😀;grínandi andlit;andlit|grín
🤥;andlit sum lýgur;andlit|lygn|pinocchio
🫨;skelvandi andlit;omg|ør|ørur|ristandi|skelva|svakur|svøk
🙂‍↔️;ristandi andlit;nei|neiligt|rista
🙂‍↕️;nikkandi andlit;ja|jaligt|nikka
😌;lætna andlit;andlit|lætna
😔;grundandi andlit;andlit|dapur|grundandi|kedd|keddur
😪;lint andlit;andlit|grætur|lint
🤤;slevandi andlit;andlit|slev
😴;sovandi andlit;andlit|sovandi|zzz
🫩;andlit við posum undir eygunum;móð|móður|sovna|troytt|troytt andlit|troyttur
😷;andlit við masku;andlit|maska|sjúk
🤒;andlit við fepurstokkið;andlit|fepurstokkur|sjúk
🤕;andlit við bind um høvdið;andlit|bind|sár|skaði
🤢;andlit ið vil spýggja;andlit|sjóverk|spýggj|vaml
🤮;spýggjandi andlit;andlit|sjóverk|spýggj|vaml
🤧;njósandi andlit;andlit|njós
🥵;heitt andlit;fepur|heitt|hitasótt|sveitti
🥶;kalt andlit;blátt andlit|frost|kalt
🥴;í ørviti andlit;í ørviti|kenning|skít|svimbul
😵;svimbult andlit;andlit|svimbul
😵‍💫;andlit við snyril eygum;dulleiða|hypnotisera|í ørvitu
🤯;andlit í brestur;andlit|brestur|skelkur
🤠;andlit við cowboyhatti;andlit|cowboy|hattur|kovboy
🥳;veitslu andlit;hattur|veitsla|veitslu horn
🥸;grýlu andlit;andlit|brillur|grýla|nøs
😎;smílandi andlit við sólbrillum;andlit|sólbrillur
🤓;nørd andlit;andlit|nørd
🧐;andlit við einglesi;andlit|einglesi|monokul
😕;forvirra andlit;andlit|forvirra|ørviti
🫤;ivingarsamt andlit;ivast|ivi|skeptisk|skeptiskur
😟;stúrt andlit;andlit|bangin|stúrin
🙁;eitt sindur illbrýnt andlit;andlit|harmur|illbrýnt|illfýsið|keddur|óglaður|ólukkulig|sorgarbundin
☹️;illbrýnt andlit;andlit|harmur|illbrýnt|illfýsið|keddur|óglaður|ólukkulig|sorgarbundin
😮;andlit við opnum munni;andlit|munn|opin
😯;bilsi andlit;andlit|ovfari|undrandi
😲;ovfari andlit;andlit|bilsi|undrandi
😳;rodna andlit;andlit|rodna
🥺;biðjandi andlit;bønandi|náði
🥹;andlit við gleðitárum;gleði|takksamur|takksom|tár
😦;skelka andlit;andlit|skelka
😧;pínt andlit;andlit|pínt
😨;bangi andlit;andlit|bangi|óttafult|óttast
😰;bangi andlit við sveitta;andlit|bangi|óttafult|óttast|sveitti
😥;sorgarbundi andlit og tár;andlit|dapur|sorgarbundin|tár
😢;andlit ið grætur;andlit|grátur|kedd|keddur|tár
😭;andlit sum grætur nógv;andlit|grátur|kedd|keddur|tár
😱;skríggjandi andlit;andlit|angist|bangilsi|ótti|ræðsla|skríggjandi
😖;sera illbrýnt andlit;andlit|harmur|illbrýnt|illfýsið|keddur|óglaður|ólukkulig|sorgarbundin
😣;ágrýti andlit;ágrýtin|andlit
😞;skuffa andlit;andlit|harmur|illbrýnt|illfýsið|keddur|óglaður|ólukkulig|sorgarbundin
😓;sveittandi andlit ið hyggur niðureftir;andlit|niður|sveitti
😩;pøst andlit;andlit|pøst|troytt|troyttur
😫;troytt andlit;andlit|móð|móður|troytt|troyttur
🥱;geispandi andlit;geisp|keða|keðsemi|troytt|troyttur
😤;andlit við royki úr nøsuni;andlit|argur|ill|vreiður
😡;sera hóttandi andlit;andlit|hóttandi|ill|illur
😠;hóttandi andlit;andlit|hóttandi|ill|illur
🤬;bannandi andlit;andlit|banna|blóta|svørja
😈;brosandi andlit við hornum;ævint´yr|andlit|bros|horn|smíl
👿;hóttandi andlit við hornum;ævint´yr|andlit|horn|hóttandi|illur
💀;skøltur;andlit|deyði
☠️;skøltur og krossleggir;deyði|krossleggir|skøltur|vandi
💩;kukkur;bros|lortur|smíl
🤡;klovn andlit;andlit|gekkur|klovn
👹;skrímsl;ævintýr|andlit|trøll
👺;vættur;ævintýr|andlit|skrímsl|trøll
👻;gálvandi spøkilsi;ævintýr|gálva|spøkilsi
👽;rúmdarvera;ævintýr|alien|andlit|ufo
👾;rúmdarvera skrímsl;ævintýr|alien|andlit|rúmdarvera|skrímsl|ufo
🤖;robottandlit;andlit|robottur|tólmenni
😺;brosandi kettuandlit;andlit|brós|brosandi|ketta|smíl
😸;brosandi kettuandlit við smílandi eygum;andlit|brós|ketta|smíl
😹;kettuandlit sum fellur gleðist´´ár;andlit|bros|gleði|ketta|smíl|tár
😻;brosandi kettuandlit við hjartaeygum;andlit|eygu|hjarta|ketta
😼;kettuandlit við speiskum smíli;andlit|beiskt|ketta|speiskt
😽;mussandi kettuandlit;andlit|ketta|muss
🙀;bilsi kettuandlit;andlit|bilsi|ketta|skelkur|undran
😿;grátandi kettuandlit;andlit|grætur|grátur|ketta|tár
😾;kettuandlit við gron;andlit|gron|ketta
🙈;apuandlit við hondunum yvir eygunum;andlit|apa|eygu|hond
🙉;apuandlit við hondunum yvir oyrunum;andlit|apa|hond|oyru
🙊;apuandlit við hondunum yvir munninum;andlit|apa|hond|munn
💌;kærleiksbræv;bræv|kærleikur
💘;pílur ígjøgnum hjarta;Amor|amorina|hjarta|kærleikstekin|pílur
💝;hjarta við bandi;band|hjarta
💖;glitrandi hjarta;glampandi|glitrandi|glógvandi|hjarta|ljómandi
💗;glógvandi hjarta;glógvandi|hjarta
💓;bankandi hjarta;bankar|hjarta|slær
💞;hjørtu sum mela í klingur;hjarta|hjørtu|mala
💕;tvey hjørtu;kærleiki
💟;hjarta pynt;hjarta|prýði|pynt
❣️;hjarta rópitekn;hjarta|rópitekn|teknseting
💔;brotið hjarta;brotið|hjarta|sorgarbundin
❤️‍🔥;hjarta sum brennur;brennur|girnd|hjarta|kærleiki
❤️‍🩹;hjarta sum er lappa;hjarta|lappa|umvæling
❤️;reytt hjarta;hjarta|reytt
🩷;ljósareytt hjarta;hjarta|kærleiki|ljósareytt
🧡;appilsingult hjarta;appilsingult|hjarta
💛;gult hjarta;gult|hjarta
💚;grønt hjarta;grønt|hjarta
💙;blátt hjarta;blátt|hjarta
🩵;ljósablátt hjarta;hjarta|ljósablátt
💜;korkalitt hjarta;bláreytt|hjarta|korkalitt|lilla|lillafarva|purpurlitt|purpurreytt
🤎;brúnt hjarta;brúnt|hjarta
🖤;svart hjarta;hjarta|svart
🩶;grátt hjarta;grátt|hjarta
🤍;hvítt hjarta;hjarta|hvítt
💋;muss merki;koss|muss|varrar|varrastift
💯;hundrað stig;100|hundrað|stig|úrslit
💢;vreiði tekin;tekin|vreiði
💥;samanstoytur;bang|samanbrestur
💫;svimbul;stjørna|stjørnuskot|tekin
💦;dropar;sveitti|vatn
💨;fok;renna|vindur
🕳️;hol;
💬;talubløðra;bløðra|samtala|tala
👁️‍🗨️;eyga í talubløðru;eyga|talubløðra
🗨️;svørt talubløðra;samtala|tala
🗯️;átalandi talubløðra;ábreiðsla|átala|hartan|skeld|skelda|talubløðra
💭;tankabløðra;hugskot|tanki|umsorgan
💤;zzz;snorkar|svevur
👋;veitrandi hond;hond|veitra|vinka
🤚;handarbak;
🖐️;fimm fingrar;fimm|fingrar|hond
✋;hond;lógvi
🖖;vulkan heilsan;heilsan|spock|vulcan|vulkan
🫱;hond til høgru;høgra|høgra hond|lógvatak|taka í hond
🫲;hond til vinstru;lógvatak|taka í hond|vinsta hond|vinstra
🫳;lógvi niðureftir;hond|lógvi|missa|niður|sleppa|tak upp
🫴;lógvi uppeftir;gev|hond|lofta|lógvi
🫷;hond skumpar til vinstru;nei|stop|stoppa|vinstra
🫸;hond skumpar til høgru;høgra|nei|stop|stoppa
👌;ok tekin;gott|hond|ok|tekin|viðurkent
🤌;samlaðir fingrar;fingrar|hond|hondtekin
🤏;fingrar sum vísa ikki nógv;eitt sindur|fingrar|hond|hondtekin|ikki nógv|lítið
✌️;sigurstekin;hond|sigur|tekin
🤞;krossaðir fingrar;eydna|fingrar|hond
🫰;krossa tummil og peikifingur;fingrar|hond|krossa|peikifingur|tummil
🤟;kærleikshandabragd;hond|kærleiki
🤘;horntekin;horn|rock|rokkur|tekin
🤙;telefontekin;hond|tekin|telefon
👈;fremstifingur peikar til vinstru;fingur|fremstifingur|hond|peikifingur|vinstru
👉;fremstifingur peikar til høgru;fingur|fremstifingur|høgru|hond|peikifingur
👆;fremstifingur peikar uppeftir;fingur|fremstifingur|hond|peikifingur|upp|uppeftir
🖕;longutong peikar uppeftir;fingur|hond|longutong|upp|uppeftir
👇;longutong peikar niðureftir;fingur|hond|longutong|niður|niðureftir
☝️;lógvi og fremstifingur peikar uppeftir;fingur|fremstifingur|hond|lógvi|peikifingur|upp|uppeftir
🫵;peikar eftir tær;hond|peikar|peikifingur|tú
👍;tummil upp;gott|samdur|tummil
👎;tummil niður;niður|ósamdur|tummil|vánaligt
✊;knýttur nevi;knýttur|nevi
👊;sláandi knýttur nevi;knýttur|nevi|slær
🤛;nevi í vendur til vinstru;knýttur|nevi|vinstru
🤜;nevi í vendur til høgru;høgru|knýttur|nevi
👏;klappandi hendur;hendur|hond|klapp
🙌;upplyftar hendur;hendur|hond|upp
🫶;hjarta hendur;hendur|hjarta|hond|kærleiki
👐;opnar hendur;hendur|hond|opin
🤲;lógvar sum eru saman;bøn|hendur|hond|lógvar|lógvi|saman
🤝;lógvatak;hendur|hond|taka í
🙏;falda hendur;bøn|eggja saman hendur|falda|hendur
✍️;skrivandi hond;hond|skriva
💅;neglalakk;fríðkanarevni|negl|vakurleikarøkt
🤳;sjálvsmynd;selfie
💪;spentur biseps;biseps|spentur|tvíhøvdavøddi
🦾;kunstigur armur;armur|maskinarmur|mekaniskur
🦿;kunstigt bein;bein|maskinbein|mekaniskt
🦵;bein;limur|sparka
🦶;fótur;limur|sparka|trampa
👂;oyra;kroppur
🦻;oyra við hoyritólið;deyvur|hoyritól|oyra
👃;nøs;kroppur
🧠;heili;gløgg|gløggur|klók|klókur|kroppur
🫀;hjarta;hjartasláttur|pulsur|yrkisgagn
🫁;lungur;andadráttur|yrkisgagn
🦷;tonn;tannlækni
🦴;kjøtbein;bein|beinagrind
👀;eygu;eyga
👁️;eyga;kroppur
👅;tunga;gálva|kroppur
👄;munnur;kroppur|varrar
🫦;bíta í vørruna;bíta|munnur|vørr
👶;pinkubarn;barn
🧒;barn;óviti
👦;drongur;piltur|smádrongur
👧;genta;smágenta
🧑;persónur;vaksin
👱;ljóshærdur persónur;fólk|ljóshærd|ljóshærdur
👨;maður;mannfólk|vaksin
🧔;persónur við skeggi;persónur|skegg
🧔‍♂️;maður við skeggi;maður|skegg
🧔‍♀️;kona við skeggi;kona|konufólk|kvinna|skegg
👨‍🦰;maður: reytt hár;maður|mannfólk|reytt hár|vaksin
👨‍🦱;maður: purlut hár;maður|mannfólk|purlut hár|vaksin
👨‍🦳;maður: hvítt hár;hvítt hár|maður|mannfólk|vaksin
👨‍🦲;maður: skallutur;maður|mannfólk|skallutur|vaksin
👩;kona;konufólk|kvinna|vaksin
👩‍🦰;kona: reytt hár;kona|konufólk|kvinna|reytt hár|vaksin
🧑‍🦰;persónur: reytt hár;persónur|reytt hár|vaksin
👩‍🦱;kona: purlut hár;kona|konufólk|kvinna|purlut hár|vaksin
🧑‍🦱;persónur: purlut hár;persónur|purlut hár|vaksin
👩‍🦳;kona: hvítt hár;hvítt hár|kona|konufólk|kvinna|vaksin
🧑‍🦳;persónur: hvítt hár;hvítt hár|persónur|vaksin
👩‍🦲;kona: skallutur;kona|konufólk|kvinna|skallutur|vaksin
🧑‍🦲;persónur: skallutur;persónur|skallutur|vaksin
👱‍♀️;ljóshærd kvinna;kona|kvinna|ljóshærd
👱‍♂️;ljóshærdur maður;ljóshærdur|maður
🧓;tilkomin;eldri
👴;gamal maður;eldri|gamal|maður|mannfólk
👵;gomul kona;eldri|gomul|kona|konufólk|kvinna
🙍;illbrýntur persónur;fólk|illbrýnt|persónur
🙍‍♂️;illbrýntur maður;illbrýntur|maður
🙍‍♀️;illbrýnt kvinna;illbrýnt|kona|kvinna
🙎;persónur við gron;fólk|gron|persónur
🙎‍♂️;maður við gron;gron|maður
🙎‍♀️;kvinna við gron;gron|kona|kvinna
🙅;persónur sum veipar nei;fólk|nei|persónur|veipar
🙅‍♂️;maður sum veipar nei;maður|nei|veipar
🙅‍♀️;kvinna sum veipar nei;kona|kvinna|nei|veipar
🙆;persónur sum veipar ok;fólk|ok|persónur|veipar
🙆‍♂️;maður sum veipar ok;maður|ok|veipar
🙆‍♀️;kvinna sum veipar ok;kona|kvinna|ok|veipar
💁;persónur sum nertir við;fólk|nertir við|persónur
💁‍♂️;maður sum nertir við;maður|nertir við
💁‍♀️;kvinna sum nertir við;kona|kvinna|nertir við
🙋;persónur sum lyftur hondina upp;fólk|hond|lyft|persónur|upp
🙋‍♂️;maður sum lyftur hondina upp;hond|lyft|maður|upp
🙋‍♀️;kvinna sum lyftur hondina upp;hond|kona|kvinna|lyft|upp
🧏;deyvur persónur;deyvur|persónur
🧏‍♂️;deyvur maður;deyvur|maður
🧏‍♀️;deyv kvinna;deyv|kona|kvinna
🙇;persónur sum bukkar;bukkar|fólk|persónur
🙇‍♂️;maður sum bukkar;bukkar|maður
🙇‍♀️;kvinna sum bukkar;bukkar|kona|kvinna
🤦;vónbrotin persónur;facepalm|fólk|ørkymlan|persónur|vónbrot
🤦‍♂️;vónbrotin maður;facepalm|maður|ørkymlan|ørkymlanfólk|persónur|vónbrot
🤦‍♀️;vónbrotin kvinna;facepalm|kona|kvinna|ørkymlan|ørkymlanfólk|persónur|vónbrot
🤷;persónur sum yppur øksl;akslaypp|fólk|ivast|ivi|persónur|veit ikki|yppa øksl
🤷‍♂️;maður um yppur øksl;akslaypp|ivast|ivi|maður|veit ikki|yppa øksl
🤷‍♀️;kvinna um yppur øksl;akslaypp|ivast|ivi|kona|kvinna|veit ikki|yppa øksl
🧑‍⚕️;heilsuverkfrøðingur;lækni|lekifrøðingur|sjúkrarøktarfrøðingur|sjúkrasystir
👨‍⚕️;mannligur lækni;heilsurøkt|lækni|maður|sjúkrarøktarfrøðingur|sjúkrasystir|terapevtur
👩‍⚕️;kvinnuligur lækni;heilsurøkt|kona|kvinna|lækni|sjúkrarøktarfrøðingur|sjúkrasystir|terapevtur
🧑‍🎓;studentur;lesandi|næmingur|prógv
👨‍🎓;mannligur studentur;maður|studentur|útbúgvin
👩‍🎓;kvinnuligur studentur;kona|kvinna|studentur|útbúgvin
🧑‍🏫;lærari;professari|vegleiðari
👨‍🏫;mannligur lærari;lærari|maður|professari|vegleiðari
👩‍🏫;kvinnuligur lærari;kona|kvinna|lærari|lærarinna|professari|vegleiðari
🧑‍⚖️;dómari;rættvísi
👨‍⚖️;mannligur dómari;dómari|maður|rættvísi
👩‍⚖️;kvinnuligur dómari;dómari|kona|kvinna|rættvísi
🧑‍🌾;bóndi;urtagarðsmaður
👨‍🌾;mannligur bóndi;bóndi|maður
👩‍🌾;kvinnuligur bóndi;bóndi|kona|kvinna
🧑‍🍳;kokkur;høvuðskokkur|matgera
👨‍🍳;mannligur kokkur;kokkur|maður
👩‍🍳;kvinnuligur kokkur;kokkur|kona|kvinna
🧑‍🔧;mekanikari;maksinsmiður|rørsmiður|smiður
👨‍🔧;mannligur mekanikari;elektrikari|maður|mekanikari|rørsmiður
👩‍🔧;kvinnuligur mekanikari;elektrikari|kona|kvinna|mekanikari|rørsmiður
🧑‍🏭;sveisari;arbeiðsfólk|sj´óðari
👨‍🏭;mannligur sveisari;arbeiðsmaður|maður|sjóðari|sveisari
👩‍🏭;kvinnuligur sveisari;arbeiðskvinna|kona|kvinna|sj´óðari|sveisari
🧑‍💼;skrivstovufólk;embætisfólk|handilsfólk|starvsfólk
👨‍💼;skrivstovumaður;arkitektur|deildarstjóri|løgfrøðingur|maður|skrivstova|stjóri
👩‍💼;skrivstovukvinna;arkitektur|deildarstjóri|kona|kvinna|løgfrøðingur|skrivstova|stjóri
🧑‍🔬;náttúruvísindafólk;alisfrøðingur|evnafrøðingur|lívsfrøðingur
👨‍🔬;vísindamaður;maður|náttúruvísindi|vísind
👩‍🔬;vísindakvinna;kona|kvinna|náttúruvísindi|vísind
🧑‍💻;tøknifrøðingur;forritari|tøkni|uppfinnari
👨‍💻;mannligur tøknifrøðingur;forritari|maður|tøkni|uppfinnari
👩‍💻;kvinnuligur tøknifrøðingur;forritari|kona|kvinna|tøkni|uppfinnari
🧑‍🎤;sangari;rokk|stjørna|undirhaldari
👨‍🎤;mannligur sangari;maður|sangari|sjónleikari|skemtari|undirhaldari|vertur
👩‍🎤;kvinnuligur sangari;kona|kvinna|sangari|sangarinna|sjónleikari|skemtari|songkvinna|undirhaldari|vertur
🧑‍🎨;listafólk;list|listamálari
👨‍🎨;listamaður;list|listamálari|maður
👩‍🎨;listakona;kona|kvinna|list|listamálari
🧑‍✈️;flogskipari;pilotur
👨‍✈️;mannligur flogskipari;flogskipari|maður|pilotur
👩‍✈️;kvinnuligur flogskipari;flogskipari|kona|kvinna|pilotur
🧑‍🚀;astronautur;rúmdarskipari|rúmdin
👨‍🚀;mannligur astronautur;astronautur|maður|rúmdarskipari|rúmdin
👩‍🚀;kvinnuligur astronautur;astronautur|kona|kvinna|rúmdarskipari|rúmdin
🧑‍🚒;sløkkiliðsfólk;sløkkilið
👨‍🚒;sløkkiliðsmaður;maður|sløkkilið
👩‍🚒;sløkkiliðskvinna;kona|kvinna|sløkkilið
👮;politistur;løgregla
👮‍♂️;løgreglumaður;løgregla|maður
👮‍♀️;løgreglukvinna;kona|kvinna|løgregla
🕵️;detektivur;løgregla|njósnari|uppdagari
🕵️‍♂️;mannligur detektivur;løgregla|maður|njósnari|uppdagari
🕵️‍♀️;kvinnuligur detektivur;kona|kvinna|løgregla|njósnari|uppdagari
💂;vaktur;
💂‍♂️;vaktarmaður;maður|vakt|vaktur
💂‍♀️;vaktarkvinna;kona|kvinna|vakt|vaktur
🥷;ninja andlit;fjaldur|ninja|sníkjandi|stríðsmaður
👷;byggiverkfrøðingur;bygging|smíð
👷‍♂️;mannligur byggiverkfrøðingur;bygging|byggiverkfrøðingur|maður|smíð
👷‍♀️;kvinnuligur byggiverkfrøðingur;bygging|byggiverkfrøðingur|kona|kvinna|smíð
🫅;persónur við krúnu;kongalig|krúna|persónur
🤴;prinsur;fúrsti|kongssonur
👸;prinsessa;fúrstakona|fúrstinna|kongsdóttir
👳;persónur við turban;fólk|turban
👳‍♂️;maður við turban;maður|turban
👳‍♀️;kvinna við turban;kona|kvinna|turban
👲;persónur við kinesiskari húgvu;fólk|húgva|kinesisk
🧕;kvinna við turriklæði;hijab|kona|kvinna|kvinnuplagg|mantilla|turriklæði
🤵;persónur í smoking;brúðgómur|persónur|smoking
🤵‍♂️;maður í smoking;maður|smoking
🤵‍♀️;kona í smoking;kona|konufólk|kvinna|smoking
👰;persónur í sløri;brúdleyp|brúður|persónur|slør
👰‍♂️;maður í sløri;maður|slør
👰‍♀️;kona í sløri;kona|kvinna|slør
🤰;kvinna við barn;kona|kvinna|upp á vegin|við barn
🫃;maður við barn;búkur|eti ov nógv|maður|upp á vegin|við barn
🫄;persónur við barn;búkur|eti ov nógv|persónur|upp á vegin|við barn
🤱;geva bróst;bróstaføði|bróstageving|mamma|móður|móðurmjólk|pinkubarn
👩‍🍼;kvinna gevur fløsku;fløska|geva fløsku|mamma|móður|pinkubarn
👨‍🍼;maður gevur fløsku;babba|faðir|fløska|pinkubarn
🧑‍🍼;persónur gevur fløsku;fløska|persónur|pinkubarn
👼;pinkabarnaeingil;ævintýr|andlit|eingil|pinkubarn|trúgv
🎅;jólamaðurin;jól|jólamaður|maður
🤶;jólakonan;jól|jólakona|kona|kvinna
🧑‍🎄;jólafólk;fólk|jól|persónur
🦸;superhetja;góður|hetja|super|yvirnátúrligur
🦸‍♂️;mannlig superhetja;góður|hetja|maður|super|yvirnát´úrligur
🦸‍♀️;kvinnulig superhetja;góð|hetja|super|yvirnátúrlig
🦹;superskálkur;bakbeist|illmenni|óndur|skálkur|super
🦹‍♂️;mannligur superskálkur;bakbeist|illmenni|maður|óndur|skálkur|super
🦹‍♀️;kvinnuligur superskálkur;bakbeist|illmenni|kona|kvinna|ónd|skálkur|super
🧙;persónur sum dugir gand;ævintýr|fólk|galdur
🧙‍♂️;gandakallur;ævintýr|gandur|kallur|maður|trøllmaður
🧙‍♀️;gandakelling;ævintýr|gandakona|gandur|kelling|kona|kvinna
🧚;álva;ævintýr|álvur
🧚‍♂️;mannligur álvur;ævintýr|álvur|maður
🧚‍♀️;kvinnulig álva;ævintýr|álva|álvadrotning|kona|kvinna
🧛;vampýrur;blóðsúgvari|drakula
🧛‍♂️;mannligur vampýrur;blóðsúgvari|drakula|maður
🧛‍♀️;kvinnuligur vampýrur;blóðsúgvari|drakula|kona|kvinna
🧜;havfólk;hav|havfrúgv|havmaður
🧜‍♂️;havmaður;triton
🧜‍♀️;havfrúgv;
🧝;álvur;ævintýr|álva
🧝‍♂️;mannfólka álvur;ævintýr|álvur|maður
🧝‍♀️;konufólka álva;ævintýr|álva|maður
🧞;andi;ævintýr
🧞‍♂️;mannligur andi;ævintýr|andi|maður
🧞‍♀️;kvinnuligur andi;ævintýr|andi|kona|kvinna
🧟;sombi;uppvakningur|zombie
🧟‍♂️;mannligur sombi;maður|sombi|uppvakningur|zombie
🧟‍♀️;kvinnuligur sombi;kona|kvinna|sombi|uppvakna|zombie
🧌;trøll;ævintýr|skrímsl|søgn
💆;persónur sum fær massasju;fólk|massasja|persónur
💆‍♂️;maður sum fær massasju;maður|massasja
💆‍♀️;kvinna sum fær massasju;kona|kvinna|massasja
💇;persónur sum fær klipt hári;fólk|hár|hárklipping|hársnið|klipp|persónur
💇‍♂️;maður sum fær klipt hári;hár|hárklipping|hársnið|klipp|maður
💇‍♀️;kvinna sum fær klipt hári;hár|hárklipping|hársnið|klipp|kona|kvinna
🚶;persónur sum gongur;fólk|gongur|gongutúr|persónur|til gongu
🚶‍♂️;maður sum gongur;gongur|gongutúr|maður|til gongu
🚶‍♀️;kvinna sum gongur;gongur|gongutúr|kona|kvinna|til gongu
🚶‍➡️;persónur sum gongur: til høgru;fólk|gongur|gongutúr|høgru|persónur|persónur sum gongur|til|til gongu
🚶‍♀️‍➡️;kvinna sum gongur: til høgru;gongur|gongutúr|høgru|kona|kvinna|kvinna sum gongur|til|til gongu
🚶‍♂️‍➡️;maður sum gongur: til høgru;gongur|gongutúr|høgru|maður|maður sum gongur|til|til gongu
🧍;persónur ið stendur;persónur|stendur
🧍‍♂️;maður ið stendur;maður|stendur
🧍‍♀️;kvinna ið stendur;kona|kvinna|stendur
🧎;persónur á knæ;á knæ|knæ|persónur
🧎‍♂️;maður á knæ;á knæ|knæ|maður
🧎‍♀️;kvinna á knæ;á knæ|knæ|kona|kvinna
🧎‍➡️;persónur á knæ: til høgru;á knæ|høgru|knæ|persónur|persónur á knæ|til
🧎‍♀️‍➡️;kvinna á knæ: til høgru;á knæ|høgru|knæ|kona|kvinna|kvinna á knæ|til
🧎‍♂️‍➡️;maður á knæ: til høgru;á knæ|høgru|knæ|maður|maður á knæ|til
🧑‍🦯;persónur við blindastavi;blind|blindastavur|blindur|persónur|stavur
🧑‍🦯‍➡️;persónur við blindastavi: til høgru;blind|blindastavur|blindur|høgru|persónur|persónur við blindastavi|stavur|til
👨‍🦯;maður við blindastavi;blindastavur|blindur|maður|stavur
👨‍🦯‍➡️;maður við blindastavi: til høgru;blindastavur|blindur|høgru|maður|maður við blindastavi|stavur|til
👩‍🦯;kvinna við blindastavi;blind|blindastavur|kona|kvinna|stavur
👩‍🦯‍➡️;kvinna við blindastavi: til høgru;blind|blindastavur|høgru|kona|kvinna|kvinna við blindastavi|stavur|til
🧑‍🦼;persónur í motorkoyristóli;koyristólur|motorkoyristólur|persónur
🧑‍🦼‍➡️;persónur í motorkoyristóli: til høgru;høgru|koyristólur|motorkoyristólur|persónur|persónur í motorkoyristóli|til
👨‍🦼;maður í motorkoyristóli;koyristólur|maður|motorkoyristólur
👨‍🦼‍➡️;maður í motorkoyristóli: til høgru;høgru|koyristólur|maður|maður í motorkoyristóli|motorkoyristólur|til
👩‍🦼;kvinna í motorkoyristóli;kona|koyristólur|kvinna|motorkoyristólur
👩‍🦼‍➡️;kvinna í motorkoyristóli: til høgru;høgru|kona|koyristólur|kvinna|kvinna í motorkoyristóli|motorkoyristólur|til
🧑‍🦽;persónur í koyristóli;koyristólur|persónur
🧑‍🦽‍➡️;persónur í koyristóli: til høgru;høgru|koyristólur|persónur|persónur í koyristóli|til
👨‍🦽;maður í koyristóli;koyristólur|maður
👨‍🦽‍➡️;maður í koyristóli: til høgru;høgru|koyristólur|maður|maður í koyristóli|til
👩‍🦽;kvinna í koyristóli;kona|koyristólur|kvinna
👩‍🦽‍➡️;kvinna í koyristóli: til høgru;høgru|kona|koyristólur|kvinna|kvinna í koyristóli|til
