😀;خنده;صورت|صورت با لبخند|لبخند|نیش باز
🥳;جشن و سور;بوغ|بوق|بوق و سرنا|پارتی|تولد|تولد مبارک|تولدت مبارک|جشن|سرنا|سور|شکلک|صورت|صورتک|کلاه|کله|مهمانی|هورا|هیجان
🥸;تغییرقیافه داده;ابرو|احساسات|بینی|تغییر قیافه|تغییرقیافه|جاسوس|چهره|ریش|سبیل|شخص|شکلک|عینک|قیافه مبدل|ناشناس
😎;باحال;جالب|خورشید|روشن|صورت|صورت خندان با عینک آفتابی|عینک|عینک آفتابی|لبخند
🤓;خوره;احساس|باهوش|حرفه‌ای|خرخون|زرنگ|زیرک|شکلک|صورت|عجیب و غریب|عینک|متخصص|متفاوت|نابغه|هوشمند
🧐;صورت با عینک یک‌چشمی;با کلاس|بدگمانی|پولدار|تخیلی|ثروتمند|سوءظن|صورت با ذره بین
😕;گیج‌شده;صورت|گیج|گیج شده|مغشوش
🫤;صورت با دهان کج;بی‌تفاوت|حالا هر چی|دهان|سرخوردگی|سرخورده|سردرگم|سردرگمی|شک و تردید|شکاک|صورتک|کج|مشکوک|مهم نیست|ناامید|نامطمئن
😟;چهره نگران;آشوب|صورت|نگران
🙁;دلخور;اخم|صورت|غصه|غم|غمگین|ناراحت
☹️;اخمو;اخم|صورت|غمگین
😮;دهان باز از تعجب;باز|تعجب|دهان|صورت|غافلگیری|همدردی
😯;مات و مبهوت;حیرت‌زده|صورت|غافلگیر|مات|مبهوت|متعجب
😲;بهت‌زده;شوکه شده|شوکه‌شده|صورت|کاملاً|مات|مبهوت|متعجب|هاج‌وواج
😳;سرخ‌شده;بهت|حیرت|خجالت|سرخ شده|گیج|گیج و منگ|منگ
🫪;صورت درهم‌ریخته;آسیب‌پذیر|پف‌کرده|شوکه‌شده|متعجب|نگرانی|وحشت
🥺;التماس‌کنان;التماس|اندوهگین|تمنا|چرا|چشم‌ها|حیوونکی|خواهش|درشت|دلسوزی|زیبا|صورتک
🥹;چهره با چشمان پراشک;احساسات|اشک شوق|افتخار|اوه|تحسین|خجالت‌زده|سپاسگزار|سپاسگزاری|شرمنده|صورتک|غمگین|قدردانی|گریان|لطفاً|مغرور|مفتخر|مقاومت
😦;چهره درهم‌کشیده با دهان باز;اخم|باز|باورنکردنی|توقع نداشتن|چهره|چهره درهم کشیده با دهان باز|دهان|صورت|نا باور
😧;دردمند;صورت|مضطرب|نگران
😨;ترسیده;ترس|ترسناک|صورت|مضطرب|نگران
😰;عرق ترس;آبی|باز|ترس|دهان|سرد|صورت|عرق
😥;ناامید اما تسکین‌یافته;آخیش|آسوده خاطر|راحت شدن|صورت|صورت ناامید اما با خیال راحت|غمگین|ناامید|ناراحت
😢;گریان;اشک|صورت|گریه|گریه کردن|ناراحت
😭;هق‌هق گریه;اشک|صورت|گریه کردن|ناراحت|هق‌هق
😱;جیغ ترس;ترس|ترسناک|ترسیده|جویدن ناخن از ترس|جیغ|صورت|وحشتناک
😖;سردرگم;به‌هم‌ریخته|صورت|گیج
😣;پافشاری;استقامت|اصرار|تلاش|سماجت|صورت
😞;ناامید;صورت|غمگین|ناراحت
😓;عرق سرد;سرد|سرما|صورت|عرق
😩;ازپاافتاده;از پا افتاده|بی‌حوصله|خسته|صورت|کسل‌کننده
😫;صورت خسته;خستگی|خسته|صورت
🥱;صورت خمیازه‌کش;بی‌حوصله|چرت|چهره|خروپف|خسته|خمیازه|خواب|خواب‌آلود|خواب‌الود|دهن دره|دهن‌دره|شب|شب بخیر|شکلک خمیازه|صدای خمیازه|کسل|هرچی|وقت خواب
😤;ژست برندگی با دلخوری;برنده|پیروزی|دود از دماغ|صورت|عصبانی|غرور|فتح|ناراحت
😡;خشمگین;خشم|دیوانه|سرخ|صورت|عصبانی|قرمز|لبو
😠;عصبانی;دیوانه|صورت
🤬;صورت با نمادهایی روی دهان;عصبانی|فحش|ناسزا|ناسزاگویان
😈;صورت لبخندزنان با دوشاخ;افسانه|تخیلی|جن|خنده شرورانه|خنده شیطانی|شاخ|شرور|صورت|صورت خندان با دوشاخ|فانتزی|لبخند
👿;چهره عصبانی با دو شاخ;دیو|شرور|شیطان|صورت|فانتزی
💀;جمجمه;اسکلت|بدن|جن و پری|صورت|مرگ|هیولا
☠️;جمجمه و استخوان صلیبی;استخوان|استخوان صلیبی|جمجمه|خطر|صورت|علامت|مرگ|هیولا
💩;یه تپهٔ گه;ان|پشکل|پی‌پی|صورت|طنز|گه|مدفوع|هیولا
🤡;دلقک;بی‌عرضه|تلخک|صورت|لوده
👹;دیو;جانور|جن و پری|صورت|فانتزی|هیولا
👺;جن کوتوله;جانور|جن و پری|صورت|فانتزی|هیولا
👻;روح;جانور|جن و پری|صورت|فانتزی|هیولا
👽;موجود فضایی;آدم فضایی|تخیلی|جانور|جن و پری|صورت|فانتزی|فرازمینی|فضا|فضایی|هیولا
👾;هیولای فضایی;آدم فضایی|بیگانه|جانور|جن و پری|صورت|فرازمینی|فضایی|هیولا
🤖;روبات;ربات|صورت|هیولا
😺;گربهٔ خندان;باز|خنده|دهان|صورت|گربه|گربه خندان
😸;گربه با چشم‌های خندان;چشم|خنده|صورت|گربه|گربهٔ خندان|لبخند
😹;گربهٔ خندان با اشک شوق;اشک|اشک شوق|شادی|صورت|گربه|گربه و قاه قاه خنده
😻;گربهٔ خندان عاشق;چشم|صورت|عشق|قلب|گربه|گربه عاشق|لبخند
😼;گربه با پوزخند;پوزخند|صورت|طعنه|گربه|لبخند
😽;گربه و بوسهٔ خجالتی;بوسه|چشم|صورت|گربه|گربه و بوسه خجالتی
🙀;گربهٔ بهت‌زده;بهت‌زده|صورت|غافلگیر|گربه|متعجب|وای
😿;گربهٔ گریان;اشک|صورت|گربه|گربه گریان|گریه|ناراحت
😾;گربهٔ اخمو;اخم|جانور|حیوان|صورت|گربه|گربه اخم کرده
🙈;میمون شرنبین;اشاره|دیدن|شر|صورت|ممنوع|میمون|میمون خوش‌بین|نبین|نه
🙉;میمون شرنشنو;اشاره|شر|شنیدن|صورت|ممنوع|میمون|میمون خوش‌باور|میمون شر نشنو|نه
🙊;میمون شرنگو;اشاره|حیوان|رازداری|سکوت|شر|صحبت|صورتک|ممنوع|میمون|میمون شر نگو|نگفتن|نه
💌;نامهٔ عاشقانه;ایمیل|عاشقانه|عشق|قلب|نامه
💘;قلب تیرخورده;الهه عشق|الههٔ عشق|تیر|عاشقانه|قلب|کوپید
💝;قلب با روبان;روبان|قلب|ولنتاین
💖;قلب درخشان;درخشش|قلب|هیجان‌زده
💗;قلب هیجان‌زده;تپش|عصبی|قلب|هیجان‌زده
💓;قلب تپنده;تپش|تپیدن|قلب
💞;قلب چرخان;چرخان|قلب
💕;دو قلب;عشق|قلب
💟;قلب تزئینی;تزئین|قلب|قلب تپنده|قلب درخشان
❣️;علامت تعجب قلبی;سجاوندی|علامت|علامت تعجب|قلب|نشانه‌گذاری
💔;قلب شکسته;شکستن|شکسته|قلب
❤️‍🔥;قلب در آتش;سوزاندن|شهوت|عشق|قلب|قلب مقدس
❤️‍🩹;قلب التیام‌یافته;التیام‌یافته|تندرست|خوب شدن|در حال بازیابی|در حال بهبود|سالم‌تر
❤️;قلب قرمز;قلب
🩷;قلب صورتی;۱۴۳|احساس|بامزه|خاص|دوست داشتن|دوستت دارم|دوست‌داشتنی|صورتی|عشق|علاقه|قلب|ناز
🧡;قلب نارنجی;نارنجی
💛;قلب زرد;زرد|قلب
💚;قلب سبز;سبز|قلب
💙;قلب آبی;آبی|قلب
🩵;قلب آبی کم‌رنگ;آبی|آبی آسمانی|آبی روشن|احساسات|خاص|دوستت دارم|سبزآبی|عشق|علاقه|فیروزه‌ای|قلب|ناز
💜;قلب بنفش;احساسات|بنفش|بهترین|دل|دوستت دارم|عشق|قلب
🤎;قلب قهوه‌ای;دل|قلب|قهوه‌ای
🖤;قلب سیاه;تار|تاریک|تیره|دل|سنگ‌دل|سیاه|سیاه‌دل|شرور|شیطانی|قلب
🩶;قلب خاکستری;۱۴۳|احساس|خاص|خاکستری|دوستت دارم|رنگ خاکستری لوح|عشق|قلب|نقره‌ای|ویژه
🤍;قلب سفید;دل|سفید|قلب
💋;بوسه ماتیکی;بوسه|بوسهٔ ماتیکی|عاشقانه|علامت|قلب|لب
💯;۱۰۰ امتیاز;۱۰۰|امتیاز|بی‌عیب‌ونقص|تمام|حقیقت|درست است|صد|کامل|نمره|وفادار
💢;نماد عصبانیت;دیوانه|عصبانی|کمیک|مصور
🫯;گردوخاک جنگ و جدال;بحث و جدل|جنجال|جنگ|غوغا|کُشتی|کشمکش|مباحثه|مخالفت
💥;برخورد;بوم|صدای انفجار|کمیک|مصور
💫;سرگیجه;ستاره|ستاره دنباله دار|کمیک|مصور
💦;قطره‌های عرق;آب|تراوش|تعرق|چکیدن|عرق|قطره|کمیک|مصور
💨;به سرعت باد;دوان|سریع|کمیک|گرد پا|مصور
🕳️;چاله;سوراخ
💬;بالن گفتار;بالن|حباب|دیالوگ|کمیک|گفتگو|مصور
👁️‍🗨️;چشم در حباب گفتار;بالون|چشم|حباب گفتار|شاهد|گفتگو
🗨️;حباب گفتار چپ;دیالوگ|گفتگو
🗯️;حباب خشم راست;بالن|جنون|حباب|دیوانه|عصبانی
💭;بالن افکار;بالن|بالن تفکر|حباب|فکر|کمیک|مصور
💤;خروپف;خرناس|خسته|خواب|خواب‌آلود|شب|شب بخیر|کمیک|مصور
👋;تکان دادن دست;آهای|اونجایی؟|با توام|بدن|بیرون|تا بعد|تکان|تکان دادن|خداحافظ|خوشامدگویی|دست|سلام
🤚;پشت دست روبه بالا;اجازه|بالا بردن دست|پشت دست|دست|دست باز|دست بالا بردن|موافقت
🖐️;دست با انگشتان باز;انگشت|انگشتان|بدن|بزن قدش|پنج|خداحافظی|دست|سلام
✋;دست بالابرده;احترام|بدن|بزن قدش|دست|دست بالا برده|سلام
🖖;سلام ولکان;اسپاک|انگشت|بدن|پیشتازان فضا|دست|سلام|ولکان
🫱;دست به سمت راست;افراد|بدن|به سمت راست|تکان دادن|دست|دست دادن|راست|رسیدن|نگه داشتن
🫲;دست به سمت چپ;افراد|بدن|به سمت چپ|تکان دادن|چپ|دست|دست دادن|رسیدن|نگه داشتن
🫳;کف دست به پایین;افتادن|افتاده|افراد|انداختن|بدن|برداشتن|بلند کردن|دست|رها کردن|کیش کردن|مرخص کردن
🫴;کف دست به بالا;افراد|بدن|برداشتن|بلند کردن|به من بگو|بیا|پیشنهاد|تعارف|دست|فراخواندن|گرفتن|نگه داشتن|نمی‌دانم
🫷;دست فشاردهنده به سمت چپ;امتناع|انتظار|ایست|بزن قدش|توقف|دست|رد کردن|سمت چپ|صبر کردن|فشار|مسدود کردن|منتظر بمان|هل دادن
🫸;دست فشاردهنده به سمت راست;امتناع|انتظار|بزن قدش|توقف|رد کردن|سمت راست|صبر کردن|فشار|مسدود کردن|منتظر بمان
👌;علامت اوکی;اوکی|باشه|بدن|بله|تأیید|حتما|حتمی|دست|سه|عالی|علامت تایید|قبول|قطعا|گرفتم!
🤌;انگشتان جمع‌شده;اشاره با دست|انگشتان|اَه|جمع‌شده|چی؟|دست|دست نگه داشتن|ریلکس|سؤال|ساکت شو|صبر|طنزآلود|هان؟
🤏;دست در حال نیشگون گرفتن;انگشتان|تقریبا|سر سوزن|کمی|کوچک|مقدار اندک|مقدار کم|نیشگون|یه ذره
✌️;علامت پیروزی;بدن|پیروزی|دست|وی
🤞;انگشتان گره خورده;انگشت|بخت|پنجه|دست|شانس|گره
🫰;دست با انگشت اشاره و شست متقاطع;افراد|بدن|بشکن|پول|ثروت|دست|عشق|قلب|گران
🤟;علامت دوستت دارم;دست|دوست دارم|دوستت دارم|سه انگشت
🤘;نماد شاخ;انگشت|بدن|دست|راک|شاخ|شیطان
🤙;دست به شکل تلفن;تلفن|تماس بگیر|دست|زنگ|زنگ بزن
👈;اشاره به چپ;اشاره|انگشت|بدن|پشت دست|دست
👉;اشاره به راست;اشاره|انگشت|بدن|پشت دست|دست
👆;اشاره به بالا با پشت دست;اشاره|انگشت|بالا|بدن|پشت دست|دست
🖕;انگشت میانه;انگشت|انگشت وسط|بدن|بیلاخ|دست|ناسزا
👇;اشاره به پایین;اشاره|انگشت|بدن|پایین|پشت دست|دست
☝️;اشاره به بالا;اشاره|انگشت|بالا|بدن|دست
🫵;اشاره به بیننده;اشاره|اشاره کردن|افراد|انگشت|بدن|تو|دست|سقلمه|سیخونک زدن|شما
👍;پسندیدن;1+|انگشت شست|ایول|باشه|بالا|بله|پرچم بالا|حتما|حله|خوب|دست|شست|عالی|فوق‌العاده|قانونی|قبول|قطعا|گرفتم!
👎;نپسندیدن;1-|پایین|دست|رد کردن|شست|نه
✊;مشت کردن;بدن|کوبیدن|گره|مشت
👊;مشت گره‌کرده;بدن|دست|کوبیدن|گره|گره کردن مشت|مشت|مشت دوستانه|مشت زدن|مشت کردن
🤛;مشت به چپ;به چپ|چپ|مشت
🤜;مشت به راست;به راست|راست|مشت|مشت مستقیم
👏;دست زدن;بدن|دست
🙌;دست‌های بالا آورده;بالابرده|تحسین|تمجید|جشن|دست|ژست|هورا
🫶;شکل قلب با دست;افراد|بدن|دست‌ها|دوستت دارم|عاشقتم|عشق|قلب
👐;دست‌های باز;باز|بدن|دست
🤲;دست دعا;آرزو|دعا|راز و نیاز|عبادت|نماز
🤝;دست دادن;دست|قرار|قرار کاری|قول|ملاقات|موافق
🙏;خواهش می‌کنم;تشکر|تعظیم|خواهش|درخواست|دست|دستان دعاگو|دعا|دعا کردن|سپاس|لطفاً
✍️;نوشتن با دست;دست|نوشتن
💅;لاک زدن;آرایش|بدن|توجه|رسیدگی|زیبایی|لاک|مانیکور|ناخن
🤳;خودگرفت;سلفی|عکس از خود
💪;عضلهٔ بازو;بدن|عضله بازو|ماهیچه|مصور|ورزیده
🦾;بازوی مکانیکی;اندام ساختگی|اندام مصنوعی|پروستتیک|دسترس‌پذیری|عضو مصنوعی|قابلیت دسترسی
🦿;پای مکانیکی;اندام ساختگی|دسترس‌پذیری|قابلیت دسترسی
🦵;لنگ;اندام|پا|ران|زانو|ساق پا|لگد
🦶;پا;پایکوبی|قوزک|لگد
👂;گوش;بدن
🦻;سمعک در گوش;دسترس‌پذیری|قابلیت دسترسی|کم شنوا|کم‌شنوایی
👃;بینی;بدن|دماغ
🧠;مغز;باهوش|خردمند|زیرک|عاقل
🫀;قلب;اندام|بدن|تپش|دل|سرخ|ضربان قلب|عضو|قلب واقعی|کالبدشناسی|مرکز|نبض
🫁;ریه;افراد|اندام|انسان|بازدم|بدن|تنفس|دستگاه تنفسی|دم|دم و بازدم|شش|شش‌ها|فرد|نفس
🦷;دندان;دندانپزشک|سفید|عصب کشی
🦴;استخوان;استخوان بندی|استخوان جناق|اسکلت|سگ
👀;دو چشم;بدن|چشم|دیدن|صورت
👁️;چشم;بدن
👅;زبان;بدن
👄;لب;بدن|دهان
🫦;گازگرفتن لب;بوسه|ترس|دلواپس|سکسی|عشوه‌گری|عصبی|گاز گرفتن|لب|لوندی|مضطرب|معاشقه|نگران|نگرانی
👶;نوزاد;بچه|خردسال|طفل|کودک
🧒;بچه;بی‌جنس|جنس خنثی|جوان|کودک
👦;پسر;آدم|پسربچه|جوان|مذکر|مرد
👧;دختر;باکره|دوشیزه
🧑;شخص;بزرگسال|جنس خنثی|جنس نامشخص
👱;آدم: موبلوند;آدم|انسان|بدن|بلوند|بور|صورت|طلایی|مرد|مرد مو بور
👨;مرد;آقا
🧔;مرد: ریش‌دار;آدم|ریش|ریش‌دار|ریشو|صورت|مرد|مرد با ریش
🧔‍♂️;مرد: ریش;ریش|مرد
🧔‍♀️;زن: ریش;ریش|زن
👨‍🦰;مرد: موقرمز;آقا|مرد|موقرمز
👨‍🦱;مرد: موفرفری;آقا|مرد|موفرفری
👨‍🦳;مرد: موسفید;آقا|مرد|موسفید
👨‍🦲;مرد: تاس;آقا|تاس|مرد
👩;زن;خانم
👩‍🦰;زن: موقرمز;خانم|زن|موقرمز
🧑‍🦰;شخص: موقرمز;بزرگسال|جنس خنثی|جنس نامشخص|شخص|موقرمز
👩‍🦱;زن: موفرفری;خانم|زن|موفرفری
🧑‍🦱;شخص: موفرفری;بزرگسال|جنس خنثی|جنس نامشخص|شخص|موفرفری
👩‍🦳;زن: موسفید;خانم|زن|موسفید
🧑‍🦳;شخص: موسفید;بزرگسال|جنس خنثی|جنس نامشخص|شخص|موسفید
👩‍🦲;زن: تاس;تاس|خانم|زن
🧑‍🦲;شخص: تاس;بزرگسال|تاس|جنس خنثی|جنس نامشخص|شخص
👱‍♀️;زن: موبور;آدم|بلوند|بور|زن بلوند|زن بور|صورت|طلایی|موطلایی
👱‍♂️;مرد: مو بور;بلوند|بور|طلایی|مرد بلوند|مرد بور
🧓;میان‌سال;پیر|پیر، مسن، میانسال|جنس خنثی|مسن
👴;پیرمرد;آدم|پیر|صورت|مرد
👵;پیرزن;پیر|زن
🙍;آدم اخمو;آدم|اخم|اشاره|بدن|دلخور|رنجیده|زن|ناامید|ناراحت|ناراضی
🙍‍♂️;مرد اخم می‌کند;اخمو|مرد ابرو در هم می‌کشد|مرد عبوس|ناخشنود|ناراضی
🙍‍♀️;زن اخم می‌کند;اخمو|زن ابرو در هم می‌کشد|مرد عبوس|ناخشنود|ناراضی
🙎;آدم ناراضی;آدم|اخم|جمع کردن لب|زن|ژست|عنق|قهر|قیافه گرفتن|ناامید|ناراحت|ناراضی|نق زدن
🙎‍♂️;مرد اخم‌وتخم می‌کند;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|ترش‌رویی|عبوس|لب‌ولوچه آویزان
🙎‍♀️;زن اخم‌وتخم می‌کند;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|ترش‌رویی|عبوس|لب‌ولوچه آویزان
🙅;ابداً نه;جلوگیری|خیر|دست|زن|ژست|قبول نمی کنم|ممنوع|نه|هرگز
🙅‍♂️;مرد نمی‌پذیرد;ابداً نه|رد|ژست مخالفت|مخالف بودن|ممنوع|نه
🙅‍♀️;زن نمی‌پذیرد;ابداً نه|رد|ژست مخالفت|مخالف بودن|ممنوع|نه
🙆;باشه;آه خدای من|اوکی|تأیید|تایید|خانم|دست|زن|ژست|قبول|ورزش کردن
🙆‍♂️;مرد می‌پذیرد;اوکی|باشه|تأیید|درست|ژشت موافقت
🙆‍♀️;زن می‌پذیرد;اوکی|باشه|تأیید|درست|ژشت موافقت
💁;آماده کمک;اشاره|اطلاعات|بدن|تکان دادن مو|دست|زن|سرزنده|طعنه|غیبت|کمک|واقعا؟
💁‍♂️;مرد کمک می‌کند;اطلاعات|انعام دادن|انعام گرفتن|رو کردن|غیبت کردن|کمک|کمک کردن|مرد دستش را رو می‌کند
💁‍♀️;زن کمک می‌کند;انعام دادن|انعام گرفتن|رو کردن|زن دستش را رو می‌کند|کمک کردن
🙋;ای ول;اجازه|بالا|بیا اینجا|دست|زن|ژست|سوال|شاد|من|من را انتخاب کن|می دانم|می‌توانم کمک کنم
🙋‍♂️;مرد دستش را بالا می‌برد;احترام|سلام دادن|سلام کردن
🙋‍♀️;زن دستش را بالا می‌برد;احترام|سلام دادن|سلام کردن
🧏;آدم ناشنوا;دسترس‌پذیری|شنیدن|قابلیت دسترسی|کر|گوش|ناشنوا
🧏‍♂️;مرد ناشنوا;مرد|ناشنوا
🧏‍♀️;زن ناشنوا;زن|ناشنوا
🙇;عذرخواهی;آدم|التماس|ببخشید|پشیمانی|تعظیم|ژست|شرمنده|عبادت|متأسف|متاسفم|مدیتیشن|مرد
🙇‍♂️;مرد تعظیم می‌کند;خواهش داشتن|درخواست کردن|عذرخواهی|عذرخواهی کردن|متأسف
🙇‍♀️;زن تعظیم می‌کند;خواهش داشتن|درخواست کردن|عذرخواهی|عذرخواهی کردن|متأسف
