😀;ծիծաղող դեմք;դեմք|քմծիծաղել
😏;կեղծ ժպտացող դեմք;դեմք|կեղծ ժպիտ
😒;անտրամադիր դեմք;անտրամադիր|դեմք|դժբախտ
🙄;պտտվող աչքերով դեմք;աչքեր|դեմք|պտտվող
😬;ծամածռվող դեմք;դեմք|ծամածռություն
😮‍💨;արտաշնչող դեմք;արտաշնչել|թեթևություն|հևալ|հևոց|հոգոց
🤥;խաբող դեմք;դեմք|պինոկիո|սուտ
🫨;ցնցվող դեմք;երկրաշարժ|հարված|շոկ|վիբրացիա|ցնցում
🙂‍↔️;հորիզոնական ճոճվող գլուխ;ոչ|չոչում
🙂‍↕️;ուղղաձիգ ճոճվող գլուխ;այո
😌;թեթևացած դեմք;դեմք|թեթևացած
😔;մտածկոտ դեմք;դեմք|մռայլված|մտածկոտ
😪;քնատ դեմք;դեմք|քնել
🤤;փսլնքոտ դեմք;դեմք|խլնքոտ|փսլնքոտ
😴;քնած դեմք;դեմք|խռռ|քնել
🫩;աչքերի տակ պարկերով դեմք;հոգնած|ուժասպառ|քնկոտ
😷;բժշկական դիմակով դեմք;բժիշկ|բժշկական դիմակ|հիվանդ|վարակ
🤒;ջերմաչափով դեմք;դեմք|հիվանդ|ջերմաչափ
🤕;գլխակապով դեմք;գլխակապ|դեմք|վիրակապ|վնասվածք
🤢;սրտխառնոցով դեմք;դեմք|սրտխառնոց|փսխում
🤮;փսխող դեմք;սրտխառնոց|փսխում
🤧;փռշտացող դեմք;դեմք|փռշտոց
🥵;շոգած դեմք;հիվանդ|շոգ|ջերմություն|տաքություն|տենդ
🥶;մրսած դեմք;դեմք|կապտած|մրսած|սառած|ցուրտ
🥴;թմրած դեմք;գլխապտույտ|թունավորում|հարբած|ճոճվող|սրտխառնոց
😵;գլխապտույտով դեմք;գլխապտույտ|դեմք
😵‍💫;պարուրաձև աչքերով դեմք;գլխապտույտ|շփոթմունք|պարուրաձև|փորձանք
🤯;պայթող գլուխ;ապշած|ուղեղ|պայթող
🤠;կովբոյի դեմք;գլխարկ|դեմք|կովբոյ
🥳;խնջույքավոր դեմք;գլխարկ|խնջույք|ուրախություն|տոն
🥸;դիմակով դեմք;ակնոց|դիմակ|ինկոգնիտո|քիթ|քողարկված
😎;ժպտացող դեմք արևային ակնոցով;արև|արևային ակնոց|դեմք|զիլ|թույն
🤓;խելոքի դեմք;գերազանցիկ|դեմք|խելացի
🧐;մոնոկլով դեմք;բարձրամիտ|խստաբարո
😕;շփոթված դեմք;դեմք|շփոթված
🫤;անկյունագծային բերանով դեմք;անհետաքրքիր|անվստահ|հիասթափված|հոռետեսական
😟;մտահոգ դեմք;անհանգստացած|դեմք|մտահոգ
🙁;թեթևակի խոժոռված դեմք;դեմք|խոժոռ
☹️;խոժոռված դեմք;դեմք|խոժոռ
😮;բաց բերանով դեմք;բաց|բերան|դեմք|համակրանք
😯;սաստված դեմք;ապշած|դեմք|զարմացած|սաստված
😲;ապշահար դեմք;ամբողջովին|ապշահար|դեմք|ցնցված
😳;շիկնած դեմք;դեմք|հիացած|շիկնած
🫪;այլայլված դեմք;անհանգստություն|զարմացած|խոցելի|խուճապ|ցնցված|փքվածություն
🥺;աղաչող դեմք;աղաչող|արցունքներ|խնդրող
🥹;արցունքը զսպած դեմք;դիմադրել|զայրացած|լացել|հպարտ|տխուր
😦;բաց բերանով խոժոռված դեմք;բաց|բերան|խոժոռ
😧;վշտահար դեմք;դեմք|վշտահար
😨;վախեցած դեմք;դեմք|սարսափած|վախ|վախեցած
😰;բաց բերանով և սառը քրտինքով դեմք;բաց|բերան|դեմք|կապույտ|սառը|քրտինք
😥;տխուր, բայց թեթևացած դեմք;դեմք|թեթևացած|հիասթափված|հիասթափված բայց թեթևացած դեմք|տխուր
😢;արտասվող դեմք;արտասվել|արցունք|դեմք|տխուր
😭;բարձրաձայն արտասվող դեմք;արցունք|բարձրաձայն|լաց|հեկեկալ|տխուր
😱;վախից գոռացող դեմք;դեմք|ծամել|ճչալ|սարսափած|վախեցած
😖;ցնցված դեմք;դեմք|ցնցված
😣;համառող դեմք;դեմք|համառ
😞;հիասթափված դեմք;դեմք|հիասթափված
😓;սառը քրտինքով դեմք;դեմք|սառը|քրտինք
😩;ուժասպառ դեմք;դեմք|հոգնած|ուժասպառ
😫;հոգնած դեմք;դեմք|հոգնած
🥱;հորանջող դեմք;հոգնած|հորանջ|ձանձրացած
😤;քթից գոլորշի հանող դեմք;դեմք|հաղթած|հաղթանակ
😡;դժգոհ դեմք;բարկացած|դեմք|դժգոհ|զայրույթ|խենք|կարմիր
😠;բարկացած դեմք;բարկացած|դեմք|զայրացած
🤬;բերանի վրա նշանով դեմք;հայհոյանք|քֆուր
😈;ժպտացող դեմք եղջյուրներով;դեմք|եղջյուրներ|ժպտալ|հեքիաթ|ֆանտազիա
👿;զայրացած դեմք՝ պոզերով;դեմք|դև|հեքիաթ|ֆանտազիա
💀;գանգ;դեմք|հեքիաթ|հրեշ|մահ|մարմին
☠️;գանգ և խաչված ոսկորներ;գանգ|դեմք|խաչված|հրեշ|մահ|մարմին|ոսկորներ
💩;կեղտի կույտ;ախկո|գոմաղբ|դեմք|կեղտ|կղանք|կոմիքս|հրեշ
🤡;ծաղրածուի դեմք;դեմք|ծաղրածու
👹;մարդակեր հսկա;արարած|դեմք|հեքիաթ|հրեշ|ճապոնական|ֆանտազիա
👺;չար ոգի;արարած|դեմք|հեքիաթ|հրեշ|ճապոնական|ֆանտազիա
👻;ուրվական;արարած|դեմք|հեքիաթ|հրեշ|ֆանտազիա
👽;այլմոլորակային;արարած|դեմք|հեքիաթ|հրեշ|չթօ|տիեզերք|ֆանտազիա
👾;այլմոլորակային հրեշ;այլմոլորակային|արարած|դեմք|հեքիաթ|հրեշ|չթօ|տիեզերք|ֆանտազիա
🤖;ռոբոտ;դեմք|հրեշ
😺;քմծիծաղող կատու;բաց|բերան|դեմք|ժպիտ|կատու|քմծիծաղ
😸;քմծիծաղող կատու ժպտացող աչքերով;աչք|դեմք|ժպիտ|կատու|քմծիծաղ
😹;ուրախության արցունքներով կատու;արցունք|դեմք|կատու|ուրախություն
😻;ժպտացող կատվի դեմք սրտաձև աչքերով;աչք|դեմք|ժպիտ|կատու|սեր|սիրտ
😼;ծուռ ժպիտով կատու;դեմք|ժպիտ|կատու|հեգնական
😽;համբուրող կատու;աչք|դեմք|կատու|համբույր
🙀;հոգնած կատու;դեմք|զարմացած|կատու|հոգնած|օհ
😿;լացող կատու;արցունք|դեմք|լաց|կատու|տխուր
😾;դժգոհող կատու;դեմք|դժգոհ|կատու
🙈;չարություն չտեսնող կապիկ;արգելված|դեմք|ժեստ|կապիկ|չար|տեսնել
🙉;չարություն չլսող կապիկ;արգելված|դեմք|ժեստ|լսել|կապիկ|չար
🙊;չարություն չասող կապիկ;արգելված|դեմք|ժեստ|խոսել|կապիկ|չարություն չասող կապիկար
💌;սիրային նամակ;նամակ|սեր|սիրավեպ|սիրտ|փոստ
💘;նետահարված սիրտ;կուպիդոն|նետ|սիրավեպ|սիրտ
💝;ժապավենով սիրտ;ժապավեն|սիրտ|վալենտին
💖;շողշողացող սիրտ;կայծ|ոգևորված|սիրտ
💗;աճող սիրտ;աճող|նյարդային|ոգևորված|սիրտ|սրտի զարկ
💓;բաբախող սիրտ;բաբախյուն|պուլսացիա|սիրտ|սրտխփոց
💞;պտտվող սրտեր;պտտվող|սիրտ
💕;երկու սիրտ;սեր|սիրտ
💟;սրտաձև նախշ;նախշ|սիրտ
❣️;սիրտ-բացականչություն;բացականչություն|կետադրական|նշան|սիրտ
💔;կոտրված սիրտ;կոտրել|կոտրված|սիրտ
❤️‍🔥;այրվող սիրտ;այրոց|կիրք|կրակ|սեր|սիրտ
❤️‍🩹;լավացող սիրտ;առողջ|բարելավում|լավանալ|սիրտ
❤️;կարմիր սիրտ;կարմիր|սիրտ
🩷;վարդագույն սիրտ;սեր|սիրում եմ|սիրտ|սրտիկ|վարդագույն
🧡;նարնջագույն սիրտ;նարնջագույն|սիրտ
💛;դեղին սիրտ;դեղին|սիրտ
💚;կանաչ սիրտ;կանաչ|սիրտ
💙;կապույտ սիրտ;կապույտ|սիրտ
🩵;բաց կապույտ սիրտ;երկնագույն|կապույտ|սիրտ|սրտիկ
💜;մանուշակագույն սիրտ;մանուշակագույն|սիրտ
🤎;դարչնագույն սիրտ;դարչնագույն|սիրտ
🖤;սև սիրտ;չար|սև|սիրտ
🩶;մոխրագույն սիրտ;արծաթագույն|գորշ|մոխրագույն|սիրտ|սրտիկ
🤍;սպիտակ սիրտ;սիրտ|սպիտակ
💋;համբույրի հետք;համբույր|հետք|շուրթեր|սիրավեպ|սիրտ
💯;հարյուր միավոր;100|ամբողջ|հաշիվ|հարյուր|միավոր
💢;զայրույթի նշան;զայրացած|խենթ|կոմիքս|նշան
🫯;կռվի ամպ;անհամաձայնություն|բանավեճ|իրարանցում|կռիվ|մարտ|վեճ
💥;բախում;բում|կոմիքս
💫;գլխապտույտ;աստղ|կոմիքս
💦;քրտինքի կաթիլներ;կաթիլներ|կոմիքս|ցայտող|քրտինք
💨;սրընթաց փախուստ;ընթանալ|կոմիքս|սլանալ
🕳️;անցք;փոս
💬;խոսքի ամպիկ;երկխոսություն|խոսք|կոմիքս|պղպջակ|փուչիկ
👁️‍🗨️;ականատեսի նշան;ականատես|ամպիկ|աչք|վկա
🗨️;խոսքի ձախակողմյա ամպիկ;երկխոսություն|խոսք
🗯️;զայրույթի աջակողմյա ամպիկ;զայրույթ|խենթ|պղպջակ|փուչիկ
💭;մտքի ամպիկ;կոմիքս|միտք|պղպջակ|փուչիկ
💤;խռռռ;կոմիքս|քնել
👋;թափահարող ձեռք;թափահարել|թափահարող|ձեռք|մարմին
🤚;ձեռքի բարձրացրած ափ;բարձրացրած
🖐️;բացված մատներով բարձրացված ձեռք;բացված|ձեռք|մատ|մարմին
✋;բարձրացված ձեռք;ձեռք|մարմին
🖖;վուլկանցիների ողջույն;ձեռք|մատ|մարմին|վուլկան
🫱;աջակողմ ձեռք;աջ|աջակողմ|ձեռք
🫲;ձախակողմ ձեռք;ձախ|ձախակողմ|ձեռք
🫳;ձեռքը ափով ներքև;գցել|հրաժարվել|ներքև|վար
🫴;ափը՝ վեր ձեռք;առաջարկ|արի|բռնել|կանչել
🫷;դեպի ձախ հրող ձեռք;գնա|դեպի ձախ|կանգնիր|հրաժարվել|հրել|ոչ|սպասիր
🫸;դեպի աջ հրող ձեռք;գնա|դեպի աջ|կանգնիր|հրաժարվել|հրել|ոչ|սպասիր
👌;ok ցույց տվող ձեռք;ok|ձեռք|մարմին
🤌;պտղունց;բացատրություն|ժեստ|հեգնանք|մատներ
🤏;պտղունց ցույց տվող ձեռք;փոքր քանակ|քիչ
✌️;հաղթական ձեռք;v|հաղթանակ|ձեռք|մարմին
🤞;խաչած մատներ;խաչել|հաջողություն|ձեռք|մատ
🫰;ցուցամատը եւ բութը խաչած ձեռք;դրամ|թանկ|ճտտացնել|սեր|սիրտ
🤟;«սիրում եմ քեզ» նշան;ձեռք|սեռ
🤘;եղջյուրների նշան;եղջյուրներ|ձեռք|մատ|մարմին
🤙;զանգիր ինձ;զանգել|ձեռք
👈;դեպի ձախ ուղղված ցուցամատ;ձեռք|մատ|մարմին|ուղղված|ցուցամատ
👉;դեպի աջ ուղղված ցուցամատ;ձեռք|մատ|մարմին|ուղղված|ցուցամատ
👆;դեպի վեր ուղղված ցուցամատ;ձեռք|մատ|մարմին|ուղղված|վեր|ցուցամատ
🖕;միջնամատ;ձեռք|մատ
👇;դեպի վար ուղղված ցուցամատ;ձեռք|մատ|մարմին|ուղղված|վար|ցուցամատ
☝️;վեր ուղղված ցուցամատ;ձեռք|ձեռքի ափ|մատ|մարմին|ուղղված|վեր|ցուցամատ
🫵;դիտողին ուղղված ցուցամատ;դուք|ցուցամատ
👍;բութ մատը վեր;+1|բութ|ձեռք|մարմին|վեր
👎;բութ մատը ներքև;-1|բութ մատ|ձեռք|մարմին|ներքև
✊;բարձրացված բռունցք;բռունցք|հարված|ձեռք|մարմին|սեղմված
👊;հանդիպակաց բռունցք;բռունցք|հարված|ձեռք|մարմին|սեղմված
🤛;բռունցքը ձախ;բռունցք|ձախ
🤜;բռունցքը աջ;աջ|բռունցք
👏;ծափահարող ձեռքեր;ծափահարել|ձեռք|մարմին
🙌;բարձրացրած ձեռքեր;բարձրացված|ժեստ|ձեռք|մարմին|ուռա|տոն
🫶;սիրտ-ձեռքեր;սեր
👐;բաց ձեռքեր;բաց|ձեռք|մարմին
🤲;ձեռքերի ափերը վեր;աղոթք
🤝;ձեռքսեղմում;համաձայնություն|հանդիպում|ձեռք|սեղմել
🙏;ձեռքերի ափերը միացված;աղոթել|ժեստ|խնդրել|խնդրում եմ|խոնարհվել|ձեռք|մարմին|միացված|շնորհակալություն
✍️;գրող ձեռք;գրել|ձեռք|մարմին
💅;եղունգների լաքապատում;եղունգ|խնամք|կոսմետիկա|հղկել|մատնահարդարում|մարմին
🤳;սելֆի;լուսանկար|հեռախոս
💪;ձգված բիցեպս;բիցեպս|կոմիքս|ձգել|մարմին|մկան
🦾;մեխանիկական ձեռք;հաշմանդամ|պրոթեզ
🦿;մեխանիկական ոտք;հաշմանդամ|պրոտեզ
🦵;ոտք;հարվածել|վերջույթ
🦶;ոտնաթաթ;հարվածել|տրորել
👂;ականջ;մարմին
🦻;լսողական սարքով ականջ;խուլ|հաշմանդամ
👃;քիթ;մարմին
🧠;ուղեղ;խելացի
🫀;կազմաբանական սիրտ;զարկ|զարկերակ|կենտրոն|սրտաբանություն|օրգան
🫁;թոքեր;արտաշնչել|ներշնչել|շնչառություն|շունչ|օրգան
🦷;ատամ;ատամնաբույժ
🦴;ոսկոր;կմախք
👀;աչքեր;աչք|դեմք|մարմին
👁️;աչք;մարմին
👅;լեզու;մարմին
👄;բերան;մարմին|շուրթեր
🫦;շուրթ կծել;անհանգստացած|անհանգստություն|անհարմար|նյարդային|սիրախաղ|վախ
👶;մանուկ;երեխա|նորածին
🧒;երեխա;փոքրիկ
👦;տղա;երիտասարդ
👧;աղջիկ;կենդանակերպ|կույս|օրիորդ
🧑;անձ;մեծահասակ|չափահաս|չեզոք սեռ
👱;անձ․ շիկահեր;շեկ|շիկահեր
👨;մարդ;մեծահասակ
🧔;անձ․ մորուք;մորուք
🧔‍♂️;մորուքավոր տղամարդ;մորուք|մորուքավոր|մորուքով տղամարդ|տղամարդ
🧔‍♀️;մորուքավոր կին;կին|մորուք|մորուքավոր|մորուքով կին
👨‍🦰;մարդ․ կարմրահեր;կարմրահեր|մարդ|մեծահասակ
👨‍🦱;մարդ․ գանգրահեր;գանգրահեր|մարդ|մեծահասակ
👨‍🦳;մարդ․ սպիտակահեր;մարդ|մեծահասակ|սպիտակահեր
👨‍🦲;մարդ․ ճաղատ;ճաղատ|մարդ|մեծահասակ
👩;կին;մեծահասակ
👩‍🦰;կին․ կարմրահեր;կարմրահեր|կին|մեծահասակ
🧑‍🦰;անձ․ կարմրահեր;անձ|կարմրահեր|մեծահասակ|չափահաս|չեզոք սեռ
👩‍🦱;կին․ գանգրահեր;գանգրահեր|կին|մեծահասակ
🧑‍🦱;անձ․ գանգրահեր;անձ|գանգրահեր|մեծահասակ|չափահաս|չեզոք սեռ
👩‍🦳;կին․ սպիտակահեր;կին|մեծահասակ|սպիտակահեր
🧑‍🦳;անձ․ սպիտակահեր;անձ|մեծահասակ|չափահաս|չեզոք սեռ|սպիտակահեր
👩‍🦲;կին․ ճաղատ;կին|ճաղատ|մեծահասակ
🧑‍🦲;անձ․ ճաղատ;անձ|ճաղատ|մեծահասակ|չափահաս|չեզոք սեռ
👱‍♀️;շիկահեր կին;կին|մազեր|շեկ|շիկահեր|վարսեր
👱‍♂️;շիկահեր տղամարդ;շեկ|շիկահեր|տղամարդ
🧓;տարեց անձ;ծեր|չեզոք սեռ|տարեց|տարեց մարդ
👴;տարեց մարդ;ծեր|մարդ|տարեց|տղամարդ
👵;տարեց կին;ծեր|կին|տարեց
🙍;խոժոռված դեմքով անձ;ժեստ|խոժոռված
🙍‍♂️;խոժոռված տղամարդ;խոժոռված|մարդ|տղամարդ
🙍‍♀️;խոժոռված կին;խոժոռված|կին
🙎;դժգոհ անձ;դժգոհ|ժեստ
🙎‍♂️;խռոված տղամարդ;խռոված|մարդ|տղամարդ
🙎‍♀️;խռոված կին;խռոված|կին
🙅;ՈՉ ակնարկող անձ;արգելված|ժեստ|ձեռք|ոչ|ոչ ցույց տվող
🙅‍♂️;տղամարդը դեմ է;արգելված|դեմ|ժեստ|տղամարդ
🙅‍♀️;կինը դեմ է;արգելված|դեմ|ժեստ|կին
🙆;ok ցույց տվող;ok|ժեստ|ձեռք
🙆‍♂️;տղամարդը կողմ է;ժեստ|կողմ|ձեռք|տղամարդ
🙆‍♀️;կինը կողմ է;ժեստ|կին|կողմ|ձեռք
💁;ձեռքը թեքած անձ;հանդուգն|ձեռձեռքը թեքած անձ|տեղեկատվություն|օգնել
💁‍♂️;տղամարդը բացում է իր մտադրությունները;հանդուգն|տղամարդ
💁‍♀️;կինը բացում է իր մտադրությունները;կին|հանդուգն
🙋;ձեռքը բարձրացրած անձ;բարձրացված|երջանիկ|ժեստ|ձեռք
🙋‍♂️;ձեռքը բարձրացրած տղամարդ;ժեստ|ձեռքը բարձրացնել|մարդ|տղամարդ
🙋‍♀️;ձեռքը բարձրացրած կին;ժեստ|կին|ձեռքը բարձրացնել
🧏;խուլ անձ;ականջ|լսողություն|խուլ|հաշմանդամ
🧏‍♂️;խուլ տղամարդ;խուլ|տղամարդ
🧏‍♀️;խուլ կին;խուլ|կին
🙇;խոնարհվող անձ;ժեստ|խոնարհվել|ներողություն|ներողություն խնդրել
🙇‍♂️;խոնարհվող տղամարդ;ժեստ|խոնարհվել|ներողություն|տղամարդ
🙇‍♀️;խոնարհվող կին;ժեստ|խոնարհվել|կին|ներողություն
🤦;դեմքն ափով ծածկած անձ;անհանվատություն|դեմք|ձեռքի ափ
🤦‍♂️;տղամարդը կորցրել է խոսելու ունակությունը;անհավատություն|դեմք|ձեռքի ափ|տղամարդ
🤦‍♀️;կինը կորցրել է խոսելու ունակությունը;անհավատություն|դեմք|կին|ձեռքի ափ
🤷;ուսերը թոթվող անձ;անտարբերություն|արհամարանք|թոթվում է ուսերը|կասկած
🤷‍♂️;ուսերը թոթվող մարդ;անտարբերություն|կասկած|մարդ|տղամարդ
🤷‍♀️;ուսերը թոթվող կին;անտարբերություն|կասկած|կին
🧑‍⚕️;բուժաշխատող;առողջապահություն|բժիշկ|բուժքույր
👨‍⚕️;բժիշկ;առողջապահություն|բժշկություն|տղամարդ
👩‍⚕️;բժշկուհի;առողջապահություն|բժիշկ|բժշկություն|կին
🧑‍🎓;ուսանող;աշակերտ|շրջանավարտ
👨‍🎓;ուսանող տղա;ուսանող|տղա
👩‍🎓;ուսանողուհի;աղջիկ|ուսանող
🧑‍🏫;ուսուցիչ;դասախոս|դասատու
👨‍🏫;տղամարդ ուսուցիչ;դասատու|ուսուցիչ|տղամարդ
👩‍🏫;ուսուցչուհի;դասատու|կին|ուսուցիչ
🧑‍⚖️;դատավոր;կշեռք
👨‍⚖️;տղամարդ դատավոր;դատավոր|տղամարդ|օրենք
👩‍⚖️;կին դատավոր;դատավոր|կին|օրենք
🧑‍🌾;ֆերմեր;ագարակատեր|այգեպան
👨‍🌾;տղամարդ ֆերմեր;ագարակատեր|այգեգործ|գյուղացի|ֆերմեր
👩‍🌾;կին ֆերմեր;ագարակատեր|գյուղացի|կին|ֆերմեր
🧑‍🍳;խոհարար;շեֆ
👨‍🍳;տղամարդ խոհարար;խոհարար|տղամարդ
👩‍🍳;խոհարարուհի;խոհարար|կին
🧑‍🔧;փականագործ;արհեստավոր|էլեկտրիկ|մեխանիկ|ջրմուղագործ
👨‍🔧;տղամարդ փականագործ;էլեկտրիկ|մեխանիկ|տղամարդ|փականագործ
👩‍🔧;կին փականագործ;էլեկտրիկ|կին|մեխանիկ|փականագործ
🧑‍🏭;բանվոր;աշխատող|արդյունաբերություն|գործարան
👨‍🏭;տղամարդ բանվոր;արդյունաբերություն|բանվոր|գործարան|տղամարդ
👩‍🏭;բանվորուհի;արդյունաբերություն|բանվոր|գործարան|կին
🧑‍💼;գրասենյակային աշխատող;գործարար|կառավարիչ|ճարտարապետ|սպիտակ օձիք
👨‍💼;տղամարդ գրասենյակի աշխատող;բիզնես|գրասենյակ|ղեկավար|տղամարդ
👩‍💼;կին գրասենյակի աշխատող;բիզնես|գրասենյակ|կին|ղեկավար
🧑‍🔬;գիտնական;ինժեներ|կենսաբան|քիմիկոս|ֆիզիկոս
👨‍🔬;տղամարդ գիտնական;գիտնական|կենսաբան|տղամարդ|քիմիկոս
👩‍🔬;կին գիտնական;գիտնական|կենսաբան|կին|քիմիկոս
🧑‍💻;տեխնիկական մասնագետ;գյուտարար|ծրագրակազմ|ծրագրային ապահովում|ծրագրավորող|մշակող
👨‍💻;տղամարդ ծրագրավորող;ծրագրավորող|համակարգիչ|տղամարդ
👩‍💻;կին ծրագրավորող;ծրագրավորող|կին|համակարգիչ
🧑‍🎤;երգիչ;աստղ|արտիստ|դերասան|կատարող|ռոք
👨‍🎤;տղամարդ երգիչ;աստղ|երգիչ|կատարող|տղամարդ
👩‍🎤;երգչուհի;աստղ|երգիչ|կատարող|կին
🧑‍🎨;նկարիչ;գեղանկարիչ|գունապնակ
👨‍🎨;տղամարդ նկարիչ;նկարիչ|պնակ|տղամարդ
👩‍🎨;նկարչուհի;կին|նկարիչ|պնակ
🧑‍✈️;օդաչու;ինքնաթիռ
👨‍✈️;տղամարդ օդաչու;ինքնաթիռ|տղամարդ|օդանավ|օդաչու
👩‍✈️;կին օդաչու;ինքնաթիռ|կին|օդանավ|օդաչու
🧑‍🚀;տիեզերագնաց;հրթիռ|տիեզերանավ
👨‍🚀;տղամարդ տիեզերագնաց;տիեզերագնաց|տիեզերանավ|տիեզերք|տղամարդ
👩‍🚀;կին տիեզերագնաց;կին|տիեզերագնաց|տիեզերանավ|տիեզերք
🧑‍🚒;հրշեջ;հրդեհաշեջ|հրշեջ մեքենա
👨‍🚒;տղամարդ հրշեջ;հրշեջ|հրշեջ մեքենա|տղամարդ
👩‍🚒;կին հրշեջ;կին|հրշեջ|հրշեջ մեքենա
👮;ոստիկան;ոստիկանություն|սպա
👮‍♂️;տղամարդ ոստիկան;ոստիկան|ոստիկանություն|տղամարդ
👮‍♀️;կին ոստիկան;կին|ոստիկան|ոստիկանություն
🕵️;խուզարկու;լրտես
🕵️‍♂️;տղամարդ խուզարկու;լրտես|խուզարկու|տղամարդ
🕵️‍♀️;կին խուզարկու;լրտես|խուզարկու|կին
💂;պահակազորային;պահակ
💂‍♂️;տղամարդ ժամապահ;ժամապահ|պահակ|տղամարդ
💂‍♀️;կին ժամապահ;ժամապահ|կին|պահակ
🥷;նինջա;աննկատ|մարտիկ|քողարկված
👷;շինարար;աշխատող|գլխարկ|շինարարություն
👷‍♂️;տղամարդ շինարար;բանվոր|շինարար|շինարարություն|տղամարդ
👷‍♀️;կին շինարար;բանվոր|կին|շինարար|շինարարություն
🫅;թագով հանձ;ազնվական|արքայական|միապետ
🤴;արքայազն;իշխան
👸;արքայադուստր;հեքիաթ|ֆանտազիա
👳;թյուրբանով անձ;թյուրբան|մարդ
👳‍♂️;չալմայով տղամարդ;մարդ|չալմա|տղամարդ
👳‍♀️;չալմայով կին;կին|չալմա
👲;թասակով անձ;անձ|գլխարկ
🧕;գլխաշորով կին;գլխաշոր|հիջաբ
🤵;սմոկինգով մարդ;մարդ|սմոկինգ|փեսա
🤵‍♂️;սմոկինգով տղամարդ;սմոկինգ|տղամարդ
🤵‍♀️;սմոկինգով կին;կին|սմոկինգ
👰;քողով անձ;հարս|հարսանիք|քող|քողով հարս
👰‍♂️;քողով տղամարդ;տղամարդ|քող
👰‍♀️;քողով կին;կին|քող
🤰;հղի կին;կին|հղի
🫃;հղի տիկին;կին|հղի
🫄;հղի անձ;անձ|հղի
🤱;կրծքով կերակրում;կերակրում|կուրծք|նորածին
