😀;दाँत दिखाता चेहरा;खीस|खुश|चेहरा|मजाकिया
😋;स्वादिष्ट खाने का मज़ा लेता चेहरा;खाना|चेहरा|भोजन|मुस्काता चेहरा|स्वादिष्ट
😛;बाहर लटकी हुई जीभ वाला चेहरा;चेहरा|जीभ|जीभ बाहर|जीभ बाहर रहना|मीठा
😜;आँख मारते हुए और जीभ बाहर निकालता चेहरा;आंख मारते हुए और जीभ बाहर निकालता चेहरा|आंख मारते हुए जीभ बाहर|आंख मारना|चुटकुला|चेहरा|छेड़ना|जीभ बाहर|मजाक|मजाकिया
🤪;अजीबोगरीब मज़ाकिया चेहरा;आँख|छोटा|बड़ा|बड़ी छोटी आँखे
😝;बंद आँखों के साथ जीभ बाहर निकालता चेहरा;आंखें बंद|चेहरा|जीभ बाहर|डरावना|बंद आंखों के साथ जीभ बाहर|बंद आंखों के साथ जीभ बाहर निकालता चेहरा|यक
🤑;धनयुक्त चेहरा;चेहरा
🤗;गले लगाता हुआ चेहरा;गले लगाता हुआ|गले लगाना|चेहरा|हाथ
🤭;मुँह पर हाथ रखे हुए चेहरा;अचरज|ओह|खिल्ली|खिसियाना|खुशी या हैरानी से चिल्लाना|चीख|दांत निकालना|मुंह पर हाथ|हू हू
🫢;खुली आँखें और मुँह पर हाथ वाला चेहरा;omg|अविश्वास|आश्चर्य|ओएमजी|ओह मॉय गॉड|डरना|डरा हुआ|त्रास|विस्मय|शर्मिंदगी|सरप्राइज़|हैरान होना|हैरानी
🫣;उंगलियों के बीच से झांकता हुआ चेहरा;उँगलियों के बीच से झाँकता हुआ चेहरा|एकटक देखना|छिपना|छिपा हुआ|झाँकना|झांकना|झिझकना|डरते हुए देखना|डरना|डरा हुआ|मोहित|शर्माना
🤫;शांत रहने का इशारा करता हुआ चेहरा;चुप|चुप रहें|चुपचाप|मौन|शांत|शांत रहें|श्श्श
🤔;सोचता हुआ चेहरा;चेहरा|विचारमग्न चेहरा
🫡;सलामी देता चेहरा;गुड लक|ठीक|धूप|यस मैम|यस सर|सलाम|सैनिक|सैल्यूट|हाँ|हाँजी|हाँजी मैम|हाँजी सर
🤐;ज़िपर-मुँह वाला चेहरा;चेहरा|ज़िप से बंद किया चेहरा|मुंह
🤨;तनी हुई भौहों वाला चेहरा;अविश्वास|अविश्वासी|अस्वीकृति|आश्चर्य|क्या|चेहरे पर उठाए हुए भौं|भौहें ताने हुआ चेहरा|शक्की|संदेह|संदेहवादी|हम्म|हल्के आश्चर्य
😐;भावहीन चेहरा;उदासीन|कोई टिप्पणी नहीं|चेहरा|भावहीन
😑;अभिव्यक्तिरहित चेहरा;कोई टिप्पणी नहीं|चेहरा|भावशून्य
😶;बिना मुँह का चेहरा;चुपचाप|चेहरा|बिना मुंह का चेहरा|मुंह रहित|शांत
🫥;बिंदीयुक्त रेखांकित चेहरा;meh|wtv|अंतर्मुखी|अदृश्य|उदास|गायब|छिपा हुआ|छिपाना|जो भी हो|दुखी|निराश चेहरा|परेशान
😶‍🌫️;बादलों से ढँका चेहरा;अनमना|अन्यमनस्क|खयालों में गुम|खोया-खोया|धुएँ से घिरा चेहरा
😏;बनावटी हँसी वाला चेहरा;कृत्रिम हंसी|चेहरा|बनावटी हंसी
😒;अप्रसन्न चेहरा;अप्रसन्न|चेहरा|नाखुश
🙄;ऊपर देखती आँखों वाला चेहरा;अरे यार|आँखें|आंखें|उफ़्फ़|ऊपर देखती आंखें|ऊपर देखती आंखों वाला चेहरा|ओ हो|क्या है|चेहरा|जो भी है|मैं क्या करूँ|रहने दो
😬;मुंह बनाता चेहरा;खिसियाता चेहरा|चेहरा|दांत निकालना|दांत पीसना|मुस्कान|मुंह बनाना
😮‍💨;सांस छोड़ता हुआ चेहरा;खाँसी|गहरी साँस|थकान|थकावट|परेशान|बीमार|साँस|साँस छोड़ना|स्माइली|स्मोक
🤥;झूठ बोलता चेहरा;चेहरा|झूठ|झूठा|पिनोकिओ
🫨;थरथराता चेहरा;कंपकपाना|काँपता चेहरा|काँपना|चेहरा|डरना|थरथराना|धक्का|भूकंप|वाइब्रेट|सरप्राइज़
🙂‍↔️;इनकार का इशारा करता हुआ सिर;इनकार|नहीं
🙂‍↕️;हामी भरने का इशारा करता हुआ सिर;हां|हामी भरना
😌;चिंतामुक्त चेहरा;आराम|चिंतामुक्त|चेहरा|शांत
😔;निरुत्साहित चेहरा;उदास|चेहरा|निरुत्साहित|विचारमग्न
😪;उनींदा चेहरा;उदास|उनींदा|चेहरा|थका हुआ|नींद|नींद भरा चेहरा
🤤;लार टपकता चेहरा;चेहरा|लार टपकना
😴;सोया हुआ चेहरा;खर्राटे|गुड नाईट|चेहरा|झपकी|थकान|नींद|नींद आ रही है|नींद भरा चेहरा|रात|शुभरात्रि|सो रहा हूँ|सो रही हूँ|सोता हुआ चेहरा|सोया
🫩;आँखों के नीचे सूजन वाला चेहरा;आँखें|ऊबा हुआ|चेहरा|थक के चूर हुआ|थका हुआ|देर होना|नींद|बैग
😷;चिकित्सा मास्क वाला चेहरा;चिकित्सा मास्क|चेहरा|ठंड|डॉक्टर|नकाब|मास्क वाला चेहरा
🤒;थर्मामीटर वाला चेहरा;चेहरा|थर्मामीटर|बीमार
🤕;सिर पर पट्टी वाला चेहरा;चेहरा|चोट|दुर्घटनाग्रस्त|सिर पर पट्टी
🤢;उल्टी करता चेहरा;उल्टी|चेहरा
🤮;उल्टी करता हुआ चेहरा;उबकाई|उलटी|उल्टी|उल्टी वाला चेहरा|बीमार
🤧;छींकता चेहरा;चेहरा|छींक|बीमार
🥵;गर्मी से लाल चेहरा;गरम|गरमी|गर्म|गर्मी|चेहरा|जल|जीभ|तपता हुआ चेहरा|पसीना|बुखार|मर|मिर्च|लू|लू लगना
🥶;ठंड से जमा हुआ चेहरा;चेहरा|जम|जमा हुआ|ठंड|ठंड से सुन्न|ठंडा|दाँत|नीला-चेहरा|बर्फ|बर्फ़|मुँह|सरदी|सर्दी
🥴;चकराया हुआ चेहरा;अजीब|आँखें|चक्कर|चूर|टेढ़ा|नशा|नशे|पियक्कड|पी|बेहोश
😵;चक्कर खाता चेहरा;चक्कर|चेहरा|बीमार
😵‍💫;घुमावदार आँखों वाला चेहरा;उलझन|ओह|कंफ़्यूज़|चक्कर|परेशान|वाह|स्माइली|हे भगवान|हैरान
🤯;विस्फोट करता हुआ सर;फटना|बिल्कुल नहीं|हैरान|होश उड़ जाना
🤠;काउबॉय हैट के साथ चेहरा;काउगर्ल|काउबॉय|चेहरा|टोपी
🥳;उत्सवी चेहरा;उत्सव|खुशखबरी|खुशी|चेहरा|जन्मदिन|जन्मदिन की बधाई|जन्मदिन की शुभकामनाएँ|जन्मदिन मुबारक|जलसा|जश्न|टोपी|पार्टी|बर्थ डे|बर्थडे|सेलिब्रेट|सेलिब्रेशन|हुर्रे|हैप्पी बर्थडे
🥸;छिपाया हुआ चेहरा;आईब्रो|खड़ूस|गुप्त|चश्मा|चेहरा|छद्म वेष|जासूस|जासूसी|नाक|भेस|मूँछ|स्माइली
😎;धूप के चश्मे के साथ मुस्काता चेहरा;चश्मा|चश्मे के साथ मुस्काना|चेहरा|धूप के चश्मे वाला मुस्काता चेहरा|मुस्काना|शानदार
🤓;मूर्खता के भाव वाला चेहरा;एक्सपर्ट|चालाक|चेहरा|बेवकूफ़|बेवकूफी के भाव वाला चेहरा|शैतानी
🧐;एक आँख में चश्मा पहने चेहरा;अमीर|उबाऊ|चेहरे पर एक आँख का चश्मा|भरा हुआ|समृद्ध
😕;परेशान चेहरा;असमंजस में|उदास|चेहरा|भ्रमित चेहरा
🫤;तिरछे मुंह वाला चेहरा;meh|wtv|अनिश्चित|उदास|उलझन|ऊंह|कन्फ्यूज़्ड|जो भी हो|परेशान|शक|संदेह|हताश चेहरा
😟;चिंतित चेहरा;उदास|चिंतित|चेहरा|तनाव
🙁;कम क्रोधित चेहरा;उदास|चेहरा
☹️;अधिक क्रोधित चेहरा;उदास|चेहरा
😮;खुले मुँह वाला चेहरा;अचंभित|खुला मुंह|चेहरा|मुंह
😯;आश्चर्यचकित चेहरा;अचंभित|अवाक|आश्चर्यचकित|चेहरा|निस्तब्ध चेहरा
😲;पूरी तरह स्तंभित चेहरा;चेहरा|झटका|पूरी तरह स्तंभित|भौंचक|भौंचका|हैरान चेहरा
😳;विस्मित चेहरा;अचंभित|उत्तेजित|चेहरा|विस्मय
🫪;विकृत चेहरा;असुरक्षित|घबराहट|चकित|चिंता|फूला हुआ चेहरा|हैरान
🥺;करुण चेहरा;आँखें|करुण|चेहरा|दयनीय|दया|दुखी|बड़ी आँखें|मना|मनाना|मासूम
🥹;आंसू रोकता चेहरा;aw|aww|उदास|खुशी के आँसू|गर्व|गुस्सा|दुखी|धन्यवाद|प्लीज़|रोना|विरोध
😦;खुले मुँह वाला त्यौरी चढ़ाता चेहरा;खुला मुंह|खुले मुंह से त्यौरी चढ़ाना|चेहरा|डरावना|त्यौरी|त्यौरी चढ़ाना
😧;दुखी चेहरा;चेहरा|डरावना|दुखमय|पीड़ा
😨;डरा हुआ चेहरा;चेहरा|डरा|भयभीत
😰;ठंडे पसीने वाला नीला चेहरा;खुला मुंह|घबराया चेहरा|घबराया हुआ चेहरा|चेहरा|ठंडा पसीना|भयभीत
😥;निराश लेकिन चिंतामुक्त चेहरा;आह!|उदास|चिंतामुक्त|चेहरा|निराश|निराश और चिंतामुक्त
😢;रोता चेहरा;आंसू|उदास|चेहरा|दुखी|रोता हुआ चेहरा|रोना
😭;ज़ोर–ज़ोर से रोता चेहरा;आंसू|उदास|चेहरा|ज़ोर–ज़ोर से रोना|रोता हुआ|रोना
😱;डर से चिल्लाता चेहरा;चेहरा|डर|डर से चिल्लाना|डरा हुआ|डरा हुआ चेहरा|भयभीत
😖;हैरान चेहरा;उदास|चेहरा|भौंचक
😣;हठी चेहरा;एकाग्रता|चांटा मारो|चेहरा|मैंने चांटा मारा चेहरा|सिरदर्द|हठ
😞;निराश चेहरा;उदास|चेहरा|निराश|निराशा|हताश
😓;ठंडे पसीने वाला उदास चेहरा;उदास|चेहरा|ठंड|ठंडा पसीना|ठंडे पसीने वाला चेहरा|पसीना
😩;घबराया चेहरा;उदास|घबराया|चेहरा|थका हुआ
😫;थका चेहरा;उदास|चेहरा|थका हुआ
🥱;उबासी लेता चेहरा;उबासी|ऊँघना|ऊबना|जम्हाई|थकान|नींद|नींद आना|सोना|सोने का समय
😤;विजयी मुद्रा वाला चेहरा;क्रोध|गुस्सा|चेहरा|जीत गया चेहरा|मैं जीता|विजय|विजयी मुद्रा
😡;खीझ में लाल चेहरा;खीझ|गुस्सा|चेहरा|पागलपन|लाल चेहरा
😠;गुस्सैल चेहरा;गुस्सा|चेहरा|पागल|पागलपन
🤬;मुँह पर निशान वाला चेहरा;अपशब्द|कसम|मदहोश|शपथ|शपथ - ग्रहण|सेंसर|सौगंध
😈;सींग वाली मुस्कान वाला चेहरा;चेहरा|मुस्कान|सींग|सींग वाली मुस्कान
👿;शैतान चेहरा;चेहरा|पिशाच|राक्षस|शैतान|सींग वाला चेहरा
💀;खोपड़ी;चेहरा|परी कथा|शरीर
☠️;खतरे या मौत का निशान;खतरे का निशान|खोपड़ी|मरा हुआ|मृत्यु
💩;मल का ढेर;गोबर|ढेर|पू|मल|विष्ठा
🤡;जोकर चेहरा;चेहरा|जोकर
👹;जापानी राक्षस;चेहरा|दैत्य|परी कथा|राक्षस
👺;जापानी पिशाच;चेहरा|टेंगू|दैत्य|परी कथा|पिशाच
👻;भूत;चेहरा|परी कथा|प्रेत|हेलोवीन
👽;परग्रह प्राणी;अंतरिक्ष|एलियन|चेहरा|परी कथा|यूएफ़ओ
👾;परग्रह दैत्य;एलियन दैत्य|चेहरा|दैत्य|परी कथा|यूएफ़ओ
🤖;रोबोट चेहरा;चेहरा|राक्षस|रोबोट
😺;मुस्काती आँखों वाली बिल्ली का चेहरा;खुला|खुले मुंह वाली मुस्काती बिल्ली का चेहरा|चेहरा|पशु|बिल्ली|बिल्ली का चेहरा|मुस्काती बिल्ली का चेहरा|मुंह
😸;दाँत दिखाती और मुस्काती आँखों वाली बिल्ली का चेहरा;खिसियाती बिल्ली वाला चेहरा|चेहरा|दांत निकालना|निकले दांत और मुस्काती आंखों वाली बिल्ली का चेहरा|पशु|बिल्ली|बिल्ली का चेहरा
😹;खुशी के आँसू वाली बिल्ली का चेहरा;खुशी के आंसू|चेहरा|पशु|बिल्ली|बिल्ली का चेहरा
😻;दिल जैसी आँखों वाली मुस्काती बिल्ली;आंखें|चेहरा|दिल|दिल जैसी आंखों वाली मुस्काती बिल्ली का चेहरा|पशु|प्यार|प्यार में|बिल्ली|बिल्ली का चेहरा|मुस्काती बिल्ली का चेहरा
😼;व्यंग्यपूर्ण मुस्कान वाली बिल्ली का चेहरा;चेहरा|टेढ़ा|पशु|बिल्ली|बिल्ली का चेहरा|बिल्ली का टेढ़ा चेहरा|व्यंग्यपूर्ण मुस्कान
😽;आँखें बंद करके चूमती बिल्ली का चेहरा;आंखें|चुंबन|चूमती बिल्ली|चूमना|चेहरा|पशु|बंद|बिल्ली
🙀;आश्चर्यचकित बिल्ली का चेहरा;चेहरा|पशु|बिल्ली|सच में आश्चर्यचकित|सुस्त बिल्ली का चेहरा|हे भगवान
😿;रोती बिल्ली का चेहरा;उदास|चेहरा|पशु|बिल्ली|बिल्ली का चेहरा|रोता हुआ|रोना
😾;खीझभरी बिल्ली का चेहरा;खीझना|चेहरा|पशु|बिल्ली|बिल्ली का चेहरा
🙈;बुरा मत देखो, गांधी जी का बन्दर;गांधी जी का बन्दर|पशु|बंदर|बुरा मत देखो|बुरा मत देखो बंदर
🙉;बुरा मत सुनो, गांधी जी का बन्दर;गांधी जी का बन्दर|पशु|बंदर|बुरा मत सुनो|बुरा मत सुनो बंदर
🙊;बुरा मत बोलो, गांधी जी का बन्दर;गांधी जी का बन्दर|पशु|बंदर|बुरा मत बोलो|बुरा मत बोलो बंदर
💌;प्रेमपत्र;दिल|दिल के चिह्न वाला पत्र|पत्र|प्यार
💘;दिल और तीर;तीर|दिल|प्यार|भावना
💝;रिबन वाला दिल;दिल|भावना|रिबन|वैलेंटाइन
💖;रोमांचित दिल;चमकदार दिल|चमकना|प्यार|भावना|रोमांचित
💗;बढ़ता हुआ दिल;घबराया|दिल|प्यार|भावना|रोमांचित
💓;धड़कता दिल;दिल|धड़कन|धड़कना|प्यार|भावना
💞;घूमते दिल;आकर्षक|कावाई|घूमना|दिल|प्यार|प्यारा|भावना
💕;दो दिल;प्यार|प्रेमी|भावना
💟;दिल की सजावट;दिल
❣️;विस्मय चिह्न वाला दिल;गहना|भारी दिल विस्मयादिबोधक|विस्मयादिबोधक
💔;टूटा दिल;उदास|टूटना|टूटा हुआ|दिल|भावना
❤️‍🔥;दिल जलना;जलना|जला हुआ दिल|दिल|प्यार
❤️‍🩹;दिल बहलाना;ठीक|ठीक होना|दिल की मरम्मत|सुधरना|स्वस्थ
❤️;लाल दिल;दिल
🩷;गुलाबी दिल;आई लव यू|गुलाबी|दिल|पसंद|प्यार|प्यारा
🧡;नारंगी दिल;नारंगी
💛;पीला दिल;दिल|पीला|भावना
💚;हरा दिल;दिल|भावना|हरा
💙;नीला दिल;दिल|नीला|भावना
🩵;हल्का नीला दिल;143|टील|दिल|नीला दिल|साइऐन|हल्का नीला
💜;बैंगनी दिल;दिल|बैंगनी|भावना
🤎;भूरा दिल;दिल|भूरा
🖤;काला दिल;काला|दिल|बुराई|शैतान
🩶;स्लेटी दिल;143|ग्रे|दिल|प्यार|रजत|स्लेट|स्लेटी
🤍;सफ़ेद दिल;दिल|शांति|सफ़ेद
💋;चुंबन का निशान;चुंबन का चिह्न|प्यार|होंठ
💯;100 अंक;100|अंक|पूरे अंक|सौ अंक
💢;गुस्से का चिह्न;कॉमिक|गुस्सा|गुस्सैल|पागल|भावना
🫯;घमासान झगड़े से बना धूल का गुब्बार;कुश्ती|झगड़ा|झड़प|बहस|मतभेद|वाद-विवाद|हंगामा
💥;टक्कर;कॉमिक|टक्कर का चिह्न|भावना|विस्फोट
💫;तारे दिखना;कॉमिक|चक्कर|चमक|तारे|भावना|सितारों
💦;पसीने की बूंदें;कॉमिक|पसीना|पसीनेदार|भावना
💨;दौड़ना;कॉमिक|तेज़|दौड़|भागना|भावना
🕳️;छिद्र;गड्ढा|छेद
💬;संवाद बुलबुला;कॉमिक|गुब्बारा|बुलबुला|बोलने का गुब्बारा|वाक बुलबुला|संवाद
👁️‍🗨️;स्पीच बबल में आंख;आंख|गवाह|स्पीच बबल
🗨️;बायाँ स्पीच बबल;बोली|संवाद
🗯️;दायाँ गुस्से वाला बबल;गुब्बारा|गुस्सा|पागल|बबल
💭;विचार बुलबुला;कॉमिक|गुब्बारे|बुलबुला|विचार|विचार गुब्बारा
💤;उनींदा;Zzz|कॉमिक|खर्राटे|खर्राटे भरना|गुड नाइट|थकान|नींद|नींद आ रही है|भावना|रात|शुभरात्रि|सोना|सोया
👋;हाथ हिलाना;अभी के लिए बाय|अलविदा|क्या आप हैं?|बाद में बात करते हैं|बाय|बाय-बाय|मैं जा रहा हूँ|मैं जा रही हूँ|हाथ|हिलाना|हैलो
🤚;उठे हुए हाथ के पीछे का भाग;उठा|उठा हुआ|पिछला हाथ
🖐️;फैली हुई अँगुलियों वाला उठा हुआ हाथ;बस|रोकना|हाथ|हाथ का पंजा
✋;उठा हुआ हाथ;ठहरो|हाथ
🖖;सेल्यूट का एक तरीका;उंगली|रोमन अग्निदेवता|वल्कन सेल्यूट|विश्वकर्मा|स्टार ट्रेक|हाथ
🫱;दाहिनी ओर हाथ;दाईं ओर हाथ|दायां|दायाँ हाथ|दाहिनी ओर|पकड़ना|हाथ|हाथ मिलाना|हाथ हिलाना|हैंडशेक
🫲;बाईं ओर हाथ;बाई ओर|बायां|बायाँ हाथ|हाथ|हाथ पकड़ना|हाथ मिलाना|हाथ हिलाना|हैंडशेक
🫳;नीचे की ओर हथेली;उठाना|खारिज|गिरना|नीचे की ओर हाथ|भगाना|हाथ|हाथ से गिरना
🫴;ऊपर की ओर हथेली;आओ|आना|इशारे से बुलाना|पकड़ना|पता नहीं|प्रस्ताव|मुझे बताओ|हाथ
🫷;बाईं तरफ़ धक्का देता हुआ हाथ;इंकार|इंतज़ार करो|धक्का|बाईं तरफ़|रुको|हाई फ़ाइव
🫸;दाईं तरफ़ धक्का देता हुआ हाथ;इंकार|इंतज़ार करो|दाईं तरफ़|धक्का|रुको|हाई फ़ाइव|हाथ
👌;ठीक का हाथ चिह्न;एकदम|ओके|क्या बात है|चिह्न|चुटकी|ज़रूर|ठीक|पक्का|बढ़िया|बहुत बढ़िया|बेहतरीन|शानदार|हाथ
🤌;सिकोड़ी हुई अंगुलियाँ;अंगुलियाँ|इशारा|उंगलियाँ|उंगलियां|चुप|चुप रहो|थोड़ा|पकड़ो|पूछ-ताछ|व्यंग्यपूर्ण|सूखा हुआ|हाथ|हाथ का इशारा
🤏;थोड़ा सा;इतना|उंगलियाँ|एक चुटकी|चुटकी|चुटकी भर|छोटा|छोटा सा|थोड़ा|हाथ
✌️;विजयी हाथ;कैंची|जीत|विजय|हाथ
🤞;क्रॉस बनाती अंगुलियाँ;उंगली|क्रॉस|क्रॉस बनाती उंगलियां|भाग्य|हाथ
🫰;क्रॉस किए तर्जनी और अंगूठे वाला हाथ;<3|चुटकी बजाना|दिल|धन|पैसा|प्यार|महँगा|महंगा|हाथ
🤟;किसी से प्यार जताने के हावभाव;ILY|तीन अंगुलियां|प्यार का इशारा|मैं तुमसे प्यार करता हूँ|हाथ
🤘;सींग का चिन्ह;उंगली|ऊंगली|यो|रॉक|रॉक ऑन|शरीर|सींग|सींग का चिह्न|हाथ
🤙;कॉल करने का संकेत;कॉल|हाथ
👈;बाईं ओर इशारा करती तर्जनी;अंगुलि|उंगली|तर्जनी अंगुलि|पीछे का हाथ|बाएं अंगुलि|बाएं इशारा करती ऊंगली|बाएँ ओर इशारा करती ऊँगली|हाथ
👉;दाईं ओर इशारा करती तर्जनी;अंगुलि|उंगली|तर्जनी अंगुलि|दाएं अंगुलि|दाएं इशारा करती ऊंगली|दाएँ ओर इशारा करती ऊँगली|पीछे का हाथ|हाथ
👆;पीछे का हाथ और ऊपर इशारा करती तर्जनी;अंगुलि|अंगुलि ऊपर|उंगली|ऊपर इशारा करती ऊंगली|तर्जनी अंगुलि|पीछे का हाथ|हाथ
🖕;बीच की अँगुली;उंगली|पीछे का हाथ|बीच की उंगली|हाथ
👇;पीछे का हाथ और नीचे इशारा करती तर्जनी;अंगुलि|अंगुलि नीचे|उंगली|तर्जनी अंगुलि|नीचे इशारा करती ऊंगली|पीछे का हाथ|हाथ
☝️;ऊपर की ओर इशारा करती तर्जनी;उंगली|ऊपर|ऊपर इशारा करती हुई उंगली|पॉइंट|शरीर|सूचकांक|हाथ
🫵;दर्शक की ओर इशारा करती हुई तर्जनी उंगली;आप|इशारा|इशारा करना|उंगली दिखाना|तुम|पोक|हाथ
👍;थंब्स अप;अंगूठा|अच्छा है|ऊपर|चिह्न|ज़रूर|ठीक है|ठेंगा|बहुत खूब|बेहतरीन|शानदार|सही बात है|सही है|हाथ
👎;थंब्स डाउन;-१|अंगूठा|चिह्न|नहीं|ना|नापसंद|नीचे|हाथ
✊;उठी हुई मुट्ठी;मुट्ठी|हाथ|हिला दिया
👊;भींची मुट्ठी;मुट्ठी|हाथ
🤛;बाईं ओर मुठ्ठी;बाईं तरफ|मुक्का|मुट्ठी
🤜;दाईं ओर मुठ्ठी;दाईं तरफ|मुक्का|मुट्ठी
👏;हाथ की ताली का चिह्न;चिह्न|ताली|बधाई|हाथ|हाथ की ताली
🙌;खुश होकर दोनों हाथ उठाना;उत्सव|दोनों हाथ|समारोह|हाथ|हुर्रे
🫶;हाथों से बना दिल का चिह्न;<3|दिल|दो हाथ|प्यार|लव यू|हाथ|हाथों से बनाया गया दिल
👐;खुले हाथ;खुला|खुले हाथ का चिह्न|चिह्न|हाथ
🤲;हथेलियों को एकसाथ ऊपर करना;कपाट हाथ|दुआ|प्रार्थना|प्रार्थना करना|हथेलियों को एक साथ|हाथ
🤝;हाथ मिलाना;मिलाना|मीटिंग|समझौता|हाथ
🙏;अभिवादन;नमस्कार|नमस्ते|पूजा|प्रार्थना|प्रार्थना करना|हाथ|हाथ जोड़ना|हावभाव
✍️;लिखता हुआ हाथ;लिखना|लिखने वाला हाथ|शरीर|हाथ
💅;नेल पॉलिश;कॉस्मेटिक|देखभाल|नख प्रसाधन|नाखून|नाखूनों की देखरेख|मेनीक्योर|सौन्दर्य प्रसाधन
🤳;सेल्फ़ी;कैमरा|फ़ोन|सेल्फी
💪;बाइसेप्स;कॉमिक|डोले|द्विशिर|बलशाली|भारोत्तोलन|मांसपेशी|लचीला
🦾;यांत्रिक हाथ;कृत्रिम हाथ|तकनीक|मशीन|मशीनी हाथ|रोबोट|रोबोटिक हाथ
🦿;यांत्रिक पैर;कृत्रिम पैर|तकनीक|मशीन|मशीनी पैर|रोबोट|रोबोटिक पैर
🦵;पैर;किक|घुटना|घुटने|जोड़|टाँगें|टांगें|लात
🦶;पाँव;एडी|एड़ी|किक|टखना|टांग|पैर|लात|हील
👂;कान;आवाज़|शरीर|सुनना
🦻;श्रवण यंत्र लगा कान;कम सुनाई देना|कान की मशीन|कान में मशीन|श्रवण यंत्र|सुनने की मशीन|सुनने में दिक्कत|सुनने में दिक़्क़त|सुनने में परेशानी|सुनने में मदद करने वाली मशीन
👃;नाक;चेहरा|शरीर|सुगंध
🧠;मस्तिष्क, दिमाग;दिमाग|बुद्धिमान|मस्तिष्क|होशियार
🫀;हृदय अंग;अंग|केंद्र|दिल|दिल की धड़कन|धड़कन|बायोलॉजी|बीट|शरीर के अंग|हार्ट|हृदय|हृदयरोग|हृदयरोग विज्ञान
