😀;mặt cười toe toét;cười toe toét|mặt
🤐;mặt có miệng bị kéo khóa;khóa kéo|mặt|miệng
🤨;mặt với lông mày rướn lên;hoài nghi|ngờ vực
😐;mặt trung lập;mặt|mặt ngây ra bất động|trung lập
😑;mặt vô cảm;không diễn cảm|mặt|thản nhiên|vô cảm
😶;mặt không có miệng;ít nói|mặt|miệng|yên lặng
🫥;mặt có đường viền chấm chấm;ẩn|biến mất|chán nản|hướng nội|thất vọng|vô hình
😶‍🌫️;mặt trong đám mây;đãng trí|đầu trong đám mây|mặt trong sương mù
😏;mặt cười khẩy;cười khẩy|mặt
😒;mặt buồn;buồn|không vui|mặt
🙄;mặt có mắt đu đưa;cái gì vậy|đu đưa|không quan tâm|mắt|mặt|sao cũng được
😬;mặt nhăn nhó;mặt|nhăn nhó
😮‍💨;mặt thở ra;huýt sáo|kiệt sức|mệt mỏi|rên rỉ|thì thầm|thở dài|thở hắt ra|thở hổn hển|thở ra
🤥;mặt nói dối;mặt|nói dối|pinocchio
🫨;mặt lắc;choáng|động đất|hốt hoảng|lắc|mặt|ngạc nhiên|rung|sốc|sửng sốt|wow
🙂‍↔️;lắc đầu;không|lắc
🙂‍↕️;gật đầu;có|gật
😌;mặt nhẹ nhõm;mặt|nhẹ nhõm
😔;mặt trầm ngâm;mặt|thất vọng|trầm ngâm
😪;mặt buồn ngủ;buồn|buồn ngủ|khóc|mặt
🤤;mặt chảy dãi;chảy dãi|mặt
😴;mặt đang ngủ;không quan tâm|mặt|mệt mỏi|ngủ|ngủ ngoan|sao cũng được|zzz
🫩;mặt có túi mắt;buồn ngủ|kiệt sức|mệt mỏi
😷;mặt đeo khẩu trang y tế;bác sĩ|lạnh|mặt|mặt nạ|ốm
🤒;mặt có miệng ngậm nhiệt kế;mặt|mệt|nhiệt kế|ốm
🤕;mặt đeo băng đầu;băng|đau|mặt|vết thương
🤢;mặt buồn nôn;buồn nôn|mặt|nôn mửa
🤮;mặt nôn mửa;nôn mửa|ốm
🤧;mặt hắt hơi;cúm|hắt hơi|mặt|sức khỏe
🥵;mặt nóng;đỏ mặt|đổ mồ hôi|nóng|sốc nhiệt|sốt
🥶;mặt lạnh;đóng băng|lạnh|lạnh cứng|mặt xanh|tê cóng
🥴;mặt choáng váng;chếnh choáng|chóng mặt|mắt đảo điên|miệng uốn lượn|say xỉn
😵;mặt chóng mặt;chóng mặt|mặt|mệt|ốm
😵‍💫;mặt có đôi mắt xoắn ốc;bối rối|chóng mặt|khó hiểu|rắc rối|thôi miên|xoắn ốc
🤯;đầu nổ tung;bị sốc|nổ
🤠;mặt đội mũ cao bồi;cao bồi|mặt|mũ|nữ cao bồi
🥳;mặt tiệc tùng;buổi tiệc|hào hứng|lễ kỷ niệm|mũ|sinh nhật|sừng|tiệc tùng
🥸;mặt trá hình;ẩn danh|gián điệp|kính|lông mày|mặt|mũi|người|ngụy trang|râu|ria mép
😎;mặt cười đeo kính;kính|mặt|mặt trời|phong cách|sáng
🤓;mặt mọt sách;bốn mắt|chuyên gia|đam mê|mặt|mọt sách|thông minh
🧐;mặt với kính một mắt;giàu có|ngột ngạt|thượng lưu
😕;mặt bối rối;bối rối|mặt
🫤;mặt có miệng xiên;buồn chán|hoài nghi|không chắc chắn|thất vọng
😟;mặt lo lắng;lo lắng|mặt
🙁;mặt hơi cau mày;cau mày|mặt
☹️;mặt cau mày;cau mày|mặt|mặt buồn
😮;mặt có miệng há;mặt|miệng|mở|thông cảm
😯;mặt làm thinh;choáng váng|làm thinh|mặt|ngạc nhiên
😲;mặt kinh ngạc;hoàn toàn|kinh ngạc|mặt|sốc
😳;mặt đỏ ửng;choáng váng|đỏ mặt|mặt
🫪;mặt méo;căng phồng|dễ tổn thương|hoảng loạn|lo lắng|ngạc nhiên|sốc
🥺;mặt cầu xin;lòng thương|mắt cún con|xin xỏ
🥹;mặt kìm nén nước mắt;buồn|chịu đựng|giận giữ|khóc|tự hào
😦;mặt cau miệng há;mặt|miệng|mở|nhăn mặt
😧;mặt đau khổ;đau khổ|mặt
😨;mặt sợ hãi;kinh hãi|mặt|sợ|sợ hãi
😰;mặt lo lắng và toát mồ hôi;lạnh|mặt|mặt lo lắng và toát mồ hôi mồ hôi|vội vã|xanh da trời
😥;mặt thất vọng nhưng nhẹ nhõm;mặt|ngạc nhiên|nhẹ nhõm|thất vọng
😢;mặt khóc;buồn|khóc|mặt|nước mắt
😭;mặt khóc to;buồn|khóc|mặt|nước mắt|thổn thức
😱;mặt la hét kinh hãi;kinh sợ|la hét|mặt|sợ|sợ hãi
😖;mặt xấu hổ;mặt|xấu hổ
😣;mặt kiên nhẫn;đau đầu|kiên nhẫn|mặt|tập trung
😞;mặt thất vọng;mặt|thất vọng
😓;mặt chán nản với mồ hôi;lạnh|mặt|mồ hôi
😩;mặt kiệt sức;kiệt sức|mặt|mệt mỏi
😫;mặt mệt mỏi;mặt|mệt mỏi
🥱;mặt đang ngáp;buồn ngủ|chán|không quan tâm|mặt ngáp|mệt mỏi|ngáp|ngủ thôi|sao cũng được
😤;mặt có mũi đang phì hơi;chiến thắng|hân hoan|không vui|mặt|tức giận
😡;mặt hờn dỗi;cơn thịnh nộ|điên|đỏ|hờn dỗi|mặt|tức giận
😠;mặt giận giữ;điên|mặt|tức giận
🤬;mặt có các ký hiệu trên miệng;chửi rủa|chửi thề|tức giận
😈;mặt cười có sừng;cười|mặt|sừng|truyện cổ tích|tưởng tượng
👿;mặt giận giữ có sừng;ma quỷ|mặt|mặt giận dữ có sừng|quỷ|tiểu yêu|tưởng tượng
💀;đầu lâu;cái chết|mặt|quái vật|truyện cổ tích
☠️;đầu lâu xương chéo;cái chết|đầu lâu|mặt|quái vật|sọ|xương chéo
💩;đống phân;chất thải|hài hước|khuôn mặt|phân|quái vật
🤡;mặt hề;hề|mặt
👹;mặt quỷ;mặt|quái vật|quỷ ăn thịt người|sinh vật|truyện cổ tích|tưởng tượng
👺;yêu tinh;mặt|quái vật|sinh vật|truyện cổ tích|tưởng tượng
👻;ma;mặt|quái vật|sinh vật|truyện cổ tích|tưởng tượng
👽;người ngoài hành tinh;đĩa bay|giả tưởng|khuôn mặt|ngoài trái đất|sinh vật
👾;quái vật ngoài hành tinh;đĩa bay|khuôn mặt|ngoài trái đất|người ngoài hành tinh|quái vật|sinh vật
🤖;mặt rô-bốt;mặt|quỷ|rô-bốt
😺;mặt mèo cười tươi;con mèo|khuôn mặt|mặt mèo cười miệng há|miệng|mở ra|nụ cười
😸;mặt mèo cười tươi với hai mắt híp lại;cười|cười toét|mắt|mặt|mặt mèo cười toét mắt cười|mèo
😹;mặt mèo có nước mắt vui sướng;mặt|mèo|niềm vui|nước mắt
😻;mặt mèo cười mắt hình trái tim;con mèo|hình trái tim|khuôn mặt|mắt|nụ cười|thân ái
😼;mặt mèo cười gượng;châm biếm|con mèo|khuôn mặt|mỉa mai|nụ cười
😽;mặt mèo hôn mắt nhắm;con mèo|hôn|khuôn mặt|mắt
🙀;mặt mèo mệt lử;mặt|mèo|mệt mỏi|ngạc nhiên|ôi
😿;mặt mèo đang khóc;buồn|khóc|mặt|mèo|nước mắt
😾;mặt mèo hờn dỗi;hờn dỗi|mặt|mèo
🙈;khỉ không nhìn điều xấu;cấm|điều xấu|khỉ|mặt|nhìn
🙉;khỉ không nghe điều xấu;cấm|điều xấu|khỉ|mặt|nghe
🙊;khỉ không nói điều xấu;cấm|điều xấu|khỉ|mặt|nói
💌;thư tình;lá thư|thư|trái tim|yêu
💘;trái tim với mũi tên;mũi tên|thần tình yêu
💝;trái tim với ruy băng;lễ tình yêu|ruy băng|trái tim
💖;trái tim lấp lánh;bị kích thích|lấp lánh
💗;trái tim lớn dần;bị kích thích|lo lắng|nhịp tim|phát triển
💓;trái tim đang đập;dao động|đập|nhịp tim
💞;trái tim xoay vòng;đang quay
💕;hai trái tim;hẹn hò|hôn|yêu
💟;hình trang trí trái tim;trái tim
❣️;dấu chấm than hình trái tim đậm;cảm thán|chấm câu|dấu
💔;trái tim tan vỡ;bị vỡ|buồn|cô đơn|vỡ
❤️‍🔥;trái tim bốc lửa;bốc lửa|cháy|thèm khát|tình yêu|trái tim|trái tim linh thiêng
❤️‍🩹;trái tim đang lành;cải thiện|đang lành|hồi phục|khỏe mạnh hơn|phục hồi
❤️;trái tim màu đỏ;cảm xúc|tình yêu|trái tim
🩷;trái tim màu hồng;dễ thương|hồng|thích|trái tim|yêu
🧡;trái tim màu cam;màu cam
💛;trái tim màu vàng;cảm xúc|màu vàng|trái tim|yêu
💚;trái tim màu lục;màu lục
💙;trái tim màu lam;màu lam
🩵;trái tim màu xanh dương nhạt;143|cảm xúc|đặc biệt|dễ thương|thích|trái tim|xanh dương nhạt|xanh lơ|xanh mòng két|yêu
💜;trái tim màu tím;tím|trái tim tím
🤎;trái tim màu nâu;màu nâu|trái tim
🖤;trái tim màu đen;đen|điều ác|tim đen|xấu
🩶;trái tim màu xám;143|bạc|cảm xúc|đặc biệt|trái tim|xám|xám đen|yêu
🤍;trái tim màu trắng;màu trắng|trái tim
💋;dấu nụ hôn;hôn|môi
💯;100 điểm;100|điểm|một trăm|toàn bộ
💢;biểu tượng giận giữ;điên|hài hước|tức giận
🫯;đám mây chiến đấu;bất đồng quan điểm|cãi nhau|cãi vã|đánh nhau|náo loạn|tranh luận|vật lộn
💥;va chạm;bom|bùng nổ|hài hước|nổ
💫;choáng váng;hài hước|ngôi sao
💦;giọt mồ hôi;bắn tung tóe|giọt nước|hài hước|mồ hôi|nước|tập thể dục
💨;lao đi;chạy|chớp nhoáng|hài hước|lao
🕳️;lỗ;
💬;bong bóng lời nói;bài diễn văn|bóng|bong bóng|hài hước|thoại
👁️‍🗨️;mắt trong bong bóng lời nói;bong bóng lời nói|mắt|nhân chứng
🗨️;bong bóng lời nói trái;bài diễn văn|thoại
🗯️;bong bóng góc phải;bong bóng|điên|khí cầu|tức giận
💭;bong bóng suy nghĩ;bong bóng|hài hước|khí cầu|nghĩ
💤;buồn ngủ;đang ngủ|hài hước|mệt|ngất rồi|ngủ
👋;vẫy tay;chào|chào nhé|có ai ở đó không?|đang vẫy|tay|vẫy|vẫy tay nè|xin chào
🤚;mu bàn tay giơ lên;giơ lên|mu bàn tay
🖐️;tay xòe ngón giơ lên;dừng|ngón tay|tay|xòe
✋;bàn tay giơ lên;dừng lại|tay
🖖;tay thần lửa;ngón tay|spock|tay|thần lửa
🫱;bàn tay hướng sang bên phải;bàn tay|bên phải|sang phải
🫲;bàn tay hướng sang bên trái;bàn tay|bên trái|sang trái
🫳;bàn tay có lòng bàn tay hướng xuống;đuổi|thả|xua|xuỵt
🫴;bàn tay có lòng bàn tay hướng lên;bắt|đến|mời gọi|vẫy gọi
🫷;bàn tay đẩy sang trái;bàn tay|chặn|chờ|đập tay|đẩy|dừng|dừng lại|sang trái|thôi|từ chối
🫸;bàn tay đẩy sang phải;bàn tay|chặn|chờ|đập tay|đẩy|dừng|dừng lại|sang phải|thôi|từ chối
👌;bàn tay làm dấu OK;chắc chắn rồi|được|ok|OK nha|tay|tuyệt
🤌;ngón tay khum lại;cái gì|cử chỉ tay|khum lại|kiên nhẫn|mỉa mai|ngón tay|tay|thẩm vấn|thư giãn
🤏;tay chụm;ít|số lượng nhỏ
✌️;tay chiến thắng;chiến thắng|chữ v|tay|v
🤞;hai ngón tay bắt chéo;bàn tay|chéo|may mắn|ngón tay
🫰;bàn tay với ngón trỏ và ngón cái bắt chéo;búng tay|đắt tiền|tiền bạc|tình yêu|trái tim
🤟;cử chỉ yêu nhau;anh yêu em|ba ngón tay|tay
🤘;ký hiệu cặp sừng;ngón tay|sừng|tay|tuyệt vời
🤙;bàn tay gọi cho tôi;bàn tay|gọi điện
👈;ngón trỏ trái chỉ sang trái;chỉ|mu bàn tay|ngón tay|ngón trỏ|tay
👉;ngón trỏ trái chỉ sang phải;chỉ|mu bàn tay|ngón tay|ngón trỏ|tay
👆;ngón trỏ trái chỉ lên;chỉ|lên|ngón tay|tay|tay trái
🖕;ngón giữa;ngón tay|tay
👇;ngón trỏ trái chỉ xuống;mu bàn tay|ngón tay|ngón trỏ|tay|trỏ
☝️;ngón trỏ chỉ lên trên;chỉ|lên|ngón tay|ngón trỏ|tay
🫵;ngón trỏ chỉ vào người xem;bạn|trỏ
👍;dấu ra hiệu đồng ý;+1|lên|ngón tay cái|tay
👎;dấu ra hiệu từ chối;-1|không thích|ngón tay cái|tay|xuống
✊;nắm đấm giơ lên;cú đấm|đoàn kết|nắm tay|siết chặt|tay
👊;nắm đấm;cú đấm|nắm tay|siết chặt|tay
🤛;nắm đấm hướng phía trái;hướng trái|nắm đấm
🤜;nắm đấm hướng sang phải;hướng phải|nắm đấm
👏;vỗ tay;hai bàn tay đang vỗ|tay
🙌;hai bàn tay giơ lên;cử chỉ|hoan hô|lễ kỷ niệm|nâng lên|tay
🫶;hai bàn tay tạo hình trái tim;yêu
👐;hai bàn tay đang xòe;mở ra|tay
🤲;hai bàn tay chạm vào nhau;cầu nguyện|lời cầu nguyện
🤝;bắt tay;đồng ý|gặp mặt|rung|tay
🙏;chắp tay;cảm ơn|cầu nguyện|hỏi|làm ơn|tay
✍️;bàn tay đang viết;tay|viết
💅;sơn móng tay;chăm sóc|đánh bóng|làm móng tay|móng tay|mỹ phẩm
🤳;tự sướng;điện thoại|máy ảnh
💪;bắp tay gập lại;bắp tay|cơ bắp|gập lại|hài hước
🦾;cánh tay giả;giả|hỗ trợ|hỗ trợ tiếp cận
🦿;chân giả;giả|hỗ trợ|hỗ trợ tiếp cận
🦵;Chân;chân tay|đá|gập chân
🦶;bàn chân;đá|dậm mạnh|mắt cá chân
👂;tai;âm thanh|cơ thể|nghe
🦻;tai đeo thiết bị trợ thính;hỗ trợ|hỗ trợ tiếp cận|nặng tai
👃;mũi;cơ thể
🧠;não;thông minh
🫀;cơ quan tim;cơ quan|giải phẫu|khoa tim mạch|màu đỏ|nhịp tim|trái tim|trái tim thật|trung tâm
🫁;phổi;cơ quan|hít vào|hô hấp|hơi thở|thở|thở ra
🦷;răng;nha sĩ|trắng|trắng ngọc
🦴;xương;bộ xương|chó|xương đòn
👀;đôi mắt;mắt|mặt
👁️;mắt;cơ thể|một mắt
👅;lưỡi;cơ thể
👄;miệng;cơ thể|hôn|làm đẹp|môi
🫦;cắn môi;hồi hộp|khó chịu|lo âu|lo lắng|sợ hãi|tán tỉnh
👶;trẻ con;trẻ em|trẻ sơ sinh
🧒;trẻ em;giới tính chung|giới tính không xác định|trẻ
👦;con trai;cậu bé
👧;con gái;bím tóc|cô gái|cung hoàng đạo|trẻ|Xử Nữ
🧑;người;giới tính chung|giới tính không xác định|người lớn
👱;người tóc vàng hoe;tóc|vàng hoe
👨;đàn ông;người lớn
🧔;người có râu;người|người đàn ông có râu|râu
🧔‍♂️;người đàn ông có râu;người đàn ông|râu
🧔‍♀️;người phụ nữ có râu;người phụ nữ|râu
👨‍🦰;đàn ông: tóc đỏ;đàn ông|người lớn|tóc đỏ
👨‍🦱;đàn ông: tóc xoăn;đàn ông|người lớn|tóc xoăn
👨‍🦳;đàn ông: tóc trắng;đàn ông|người lớn|tóc trắng
👨‍🦲;đàn ông: hói;đàn ông|hói|người lớn
👩;phụ nữ;người lớn
👩‍🦰;phụ nữ: tóc đỏ;người lớn|phụ nữ|tóc đỏ
🧑‍🦰;người: tóc đỏ;giới tính chung|giới tính không xác định|người|người lớn|tóc đỏ
👩‍🦱;phụ nữ: tóc xoăn;người lớn|phụ nữ|tóc xoăn
🧑‍🦱;người: tóc xoăn;giới tính chung|giới tính không xác định|người|người lớn|tóc xoăn
👩‍🦳;phụ nữ: tóc trắng;người lớn|phụ nữ|tóc trắng
🧑‍🦳;người: tóc trắng;giới tính chung|giới tính không xác định|người|người lớn|tóc trắng
👩‍🦲;phụ nữ: hói;hói|người lớn|phụ nữ
🧑‍🦲;người: hói;giới tính chung|giới tính không xác định|hói|người|người lớn
👱‍♀️;người phụ nữ tóc vàng hoe;nữ|phụ nữ|tóc vàng hoe
👱‍♂️;người đàn ông tóc vàng hoe;đàn ông|đàn ông: tóc vàng hoe|tóc vàng hoe
🧓;người lớn tuổi;già|giới tính không xác định|giới tính trung lập
👴;cụ ông;đàn ông|đầu hói|già|người lớn
👵;cụ bà;già|người lớn|phụ nữ
🙍;người đang cau mày;bực tức|buồn bã|cau mày|cử chỉ|khó chịu|không vui|thất vọng
🙍‍♂️;người đàn ông cau mày;cau mày|cử chỉ|nam
🙍‍♀️;người phụ nữ cau mày;cau mày|cử chỉ|phụ nữ
🙎;người đang bĩu môi;bĩu môi|cáu kỉnh|cử chỉ|hờn dỗi|nhăn nhó|thất vọng
🙎‍♂️;người đàn ông bĩu môi;bĩu môi|cử chỉ|nam
🙎‍♀️;người phụ nữ bĩu môi;bĩu môi|cử chỉ|nữ
🙅;người ra hiệu phản đối;cấm|cử chỉ|không bao giờ|không cho phép|không đời nào|tay
🙅‍♂️;người đàn ông ra hiệu phản đối;bị cấm|cấm|cử chỉ|người đàn ông|tay
🙅‍♀️;người phụ nữ ra hiệu phản đối;bị cấm|cấm|cử chỉ|người phụ nữ|tay
🙆;người ra hiệu đồng ý;cử chỉ|đồng ý|ok|tay|thể dục
🙆‍♂️;người đàn ông ra hiệu đồng ý;cử chỉ|nam|ok|tay
🙆‍♀️;người phụ nữ ra hiệu đồng ý;cử chỉ|người đàn ông ra hiệu đồng ý|nữ|ok|tay
💁;người ra hiệu trợ giúp;giúp|hất tóc|mách nước|mỉa mai|nghiêm túc|tay|thông tin|tươi tắn|vuốt tóc
💁‍♂️;người đàn ông ra hiệu trợ giúp;nam|tay ra hiệu|tươi tắn
💁‍♀️;người phụ nữ ra hiệu trợ giúp;nữ|tay ra hiệu|tươi tắn
🙋;người giơ cao tay;chọn tôi đi|cử chỉ|giơ tay|nâng lên|người vui vẻ giơ cao tay|ở bên này|tay|tôi có thể giúp|tôi muốn hỏi|vui vẻ
🙋‍♂️;người đàn ông giơ cao tay;cử chỉ|giơ tay|nam|người đàn ông
🙋‍♀️;người phụ nữ giơ cao tay;cử chỉ|giơ tay|nữ
🧏;người khiếm thính;điếc|hỗ trợ tiếp cận|khiếm thính|nghe|tai
🧏‍♂️;người đàn ông khiếm thính;điếc|khiếm thính|người đàn ông
🧏‍♀️;người phụ nữ khiếm thính;điếc|khiếm thính|người phụ nữ
🙇;người đang cúi đầu;cầu xin|cử chỉ|cúi người|hối tiếc|lấy làm tiếc|lời xin lỗi|tha thứ|tội nghiệp
🙇‍♂️;người đàn ông cúi đầu;cử chỉ|cúi đầu|người đàn ông|ủng hộ|xin lỗi
🙇‍♀️;người phụ nữ cúi đầu;cử chỉ|cúi đầu|người phụ nữ|ủng hộ|xin lỗi
🤦;người lấy tay che mặt;hoài nghi|không tin nổi|lại nữa rồi|lòng bàn tay|mặt|người dùng tay che mặt|tay che mặt|tức giận
🤦‍♂️;người đàn ông lấy tay che mặt;hoài nghi|không tin nổi|lắc đầu|lại nữa rồi|nam|người lấy tay che mặt|tay che mặt|thở dài thườn thượt|tức giận
🤦‍♀️;người phụ nữ lấy tay che mặt;hoài nghi|không tin nổi|lắc đầu|lại nữa rồi|người lấy tay che mặt|nữ|tay che mặt|thở dài thườn thượt|tức giận
🤷;người nhún vai;ai mà biết được|có thể|hững hờ|không biết|nghi ngờ|nhún vai|sao cũng được|thờ ơ
🤷‍♂️;người đàn ông nhún vai;chắc vậy|có thể|không biết|nam|nghi ngờ|người đàn ông|nhún vai|sao cũng được|sự thờ ơ|vô minh
🤷‍♀️;người phụ nữ nhún vai;chắc vậy|có thể|không biết|nghi ngờ|nhún vai|nữ|phụ nữ|sao cũng được|sự thờ ơ|vô minh
🧑‍⚕️;nhân viên y tế;bác sĩ|chăm sóc sức khỏe|nhà trị liệu|y tá
👨‍⚕️;nhân viên y tế nam;bác sĩ|chăm sóc sức khỏe|nam|trị liệu|y tá
👩‍⚕️;nhân viên y tế nữ;bác sĩ|chăm sóc sức khỏe|nữ|trị liệu|y tá
🧑‍🎓;sinh viên;tốt nghiệp
👨‍🎓;sinh viên nam;nam|sinh viên|tốt nghiệp
👩‍🎓;sinh viên nữ;nữ|sinh viên|tốt nghiệp
🧑‍🏫;giáo viên;giáo sư|người hướng dẫn
👨‍🏫;giáo viên nam;giáo sư|giáo viên|nam|người hướng dẫn
👩‍🏫;giáo viên nữ;giáo sư|giáo viên|người hướng dẫn|phụ nữ
🧑‍⚖️;thẩm phán;cầm cân nảy mực
👨‍⚖️;thẩm phán nam;cầm cân nảy mực|công lý|nam
👩‍⚖️;thẩm phán nữ;cầm cân nảy mực|nữ|thẩm phán
🧑‍🌾;nông dân;chủ trang trại|người làm vườn
👨‍🌾;nông dân nam;nam|người làm vườn|người nuôi súc vật|nông dân
👩‍🌾;nông dân nữ;người làm vườn|người nuôi súc vật|nông dân|nữ
🧑‍🍳;đầu bếp;nấu ăn
👨‍🍳;đầu bếp nam;đầu bếp|nam|nấu ăn
👩‍🍳;đầu bếp nữ;đầu bếp|nấu ăn|nữ
🧑‍🔧;thợ máy;thợ điện|thợ sửa ống nước|thợ thủ công
👨‍🔧;thợ máy nam;cơ khí|nam|người đàn ông|thợ|thợ điện|thợ sửa ống nước
👩‍🔧;thợ máy nữ;cơ khí|nữ|phụ nữ|thợ|thợ điện|thợ sửa ống nước
🧑‍🏭;công nhân nhà máy;công nghiệp|công nhân|lắp ráp|nhà máy
👨‍🏭;công nhân nhà máy nam;công nghiệp|công nhân|lắp ráp|nam|nhà máy
👩‍🏭;công nhân nhà máy nữ;công nghiệp|công nhân|lắp ráp|nhà máy|nữ
🧑‍💼;nhân viên văn phòng;công việc văn phòng|kiến trúc sư|kinh doanh|người quản lý
👨‍💼;nhân viên văn phòng nam;công việc văn phòng|kiến trúc sư|kinh doanh|người đàn ông|người quản lý
👩‍💼;nhân viên văn phòng nữ;công việc văn phòng|kiến trúc sư|kinh doanh|người phụ nữ|người quản lý
🧑‍🔬;nhà khoa học;kỹ sư|nhà hóa học|nhà sinh vật học|nhà vật lý
👨‍🔬;nhà khoa học nam;kỹ sư|người đàn ông|nhà hóa học|nhà khoa học|nhà sinh vật học|nhà vật lý
👩‍🔬;nhà khoa học nữ;kỹ sư|người phụ nữ|nhà hóa học|nhà khoa học|nhà sinh vật học|nhà vật lý
🧑‍💻;kỹ sư công nghệ;lập trình viên|người phát minh|nhà phát triển|phần mềm
👨‍💻;kỹ sư công nghệ nam;kỹ sư công nghệ|lập trình viên|người đàn ông|người phát minh|nhà phát triển|phần mềm
👩‍💻;kỹ sư công nghệ nữ;kỹ sư công nghệ|lập trình viên|người phát minh|người phụ nữ|nhà phát triển|phần mềm
🧑‍🎤;ca sĩ;diễn viên|nghệ sĩ|ngôi sao|nhạc rock
👨‍🎤;nam ca sĩ;ca sĩ|nam diễn viên|nghệ sĩ|ngôi sao|người đàn ông|nhạc rock
👩‍🎤;nữ ca sĩ;ca sĩ|diễn viên|nghệ sĩ|ngôi sao|người phụ nữ|nhạc rock
🧑‍🎨;họa sĩ;bảng màu
👨‍🎨;họa sĩ nam;bảng màu|nam|nghệ sĩ
👩‍🎨;họa sĩ nữ;bảng màu|nghệ sĩ|nữ
🧑‍✈️;phi công;máy bay
👨‍✈️;phi công nam;máy bay|nam|phi công
👩‍✈️;phi công nữ;máy bay|nữ|phi công
🧑‍🚀;phi hành gia;tên lửa
👨‍🚀;phi hành gia nam;không gian|nam|phi hành gia|tên lửa
👩‍🚀;phi hành gia nữ;không gian|nữ|nữ phi hành gia|phi hành gia|tên lửa
🧑‍🚒;lính cứu hỏa;xe cứu hỏa
👨‍🚒;lính cứu hỏa nam;lính cứu hỏa|nam|xe cứu hỏa
👩‍🚒;lính cứu hỏa nữ;lính cứu hỏa|nữ|xe cứu hỏa
👮;cảnh sát;bắt giữ|bị tóm|cảnh sát nằm vùng|công an|dừng xe|luật|sĩ quan
👮‍♂️;cảnh sát nam;cảnh sát|nam|người đàn ông|sĩ quan
👮‍♀️;cảnh sát nữ;bắt giữ|bị tóm|cảnh sát|cảnh sát nằm vùng|công an|luật pháp|nữ|nữ cảnh sát|ra tòa|sĩ quan
🕵️;thám tử;gián điệp|trinh thám
🕵️‍♂️;thám tử nam;gián điệp|nam|thám tử|trinh thám
🕵️‍♀️;thám tử nữ;gián điệp|nữ|thám tử|trinh thám
💂;bảo vệ;cung điện buckingham|london|mũ bảo hiểm
💂‍♂️;bảo vệ nam;bảo vệ|nam
💂‍♀️;bảo vệ nữ;bảo vệ|cung điện Buckingham|London|nữ
🥷;ninja;ẩn|chiến tranh|đấu sĩ|kẻ sát nhân|kỹ năng|người|tàng hình
👷;công nhân xây dựng;công nhân|mũ|mũ bảo hiểm|sửa chữa|tu sửa|xây dựng
👷‍♂️;công nhân xây dựng nam;công nhân|nam|xây dựng
👷‍♀️;công nhân xây dựng nữ;công nhân|nữ|nữ công nhân xây dựng|xây dựng
