😀;cara sonriendo;cara|divertido|feliz|sonrisa
🙎‍♂️;hombre haciendo pucheros;gesto|hombre|pucheros
🙎‍♀️;mujer haciendo pucheros;gesto|mujer|pucheros
🙅;persona haciendo el gesto de "no";gesto|mano|no|prohibido
🙅‍♂️;hombre haciendo el gesto de "no";gesto|hombre|mano|prohibido
🙅‍♀️;mujer haciendo el gesto de "no";gesto|mano|mujer|prohibido
🙆;persona haciendo el gesto de "de acuerdo";gesto|mano|OK|vale
🙆‍♂️;hombre haciendo el gesto de "de acuerdo";gesto|mano|OK|vale
🙆‍♀️;mujer haciendo el gesto de "de acuerdo";gesto|mano|OK|vale
💁;persona de mostrador de información;información|mano|mostrador|persona
💁‍♂️;empleado de mostrador de información;hombre|información|mano|mostrador
💁‍♀️;empleada de mostrador de información;información|mano|mostrador|mujer
🙋;persona con la mano levantada;feliz|gesto|levantar|mano
🙋‍♂️;hombre con la mano levantada;gesto|hombre|levantar|mano
🙋‍♀️;mujer con la mano levantada;gesto|levantar|mano|mujer
🧏;persona sorda;accesibilidad|escuchar|oído|oír|sordera
🧏‍♂️;hombre sordo;hombre|sordera|sordo
🧏‍♀️;mujer sorda;mujer|sorda|sordera
🙇;persona haciendo una reverencia;disculpa|gesto|perdón|reverencia
🙇‍♂️;hombre haciendo una reverencia;disculpa|gesto|perdón|reverencia
🙇‍♀️;mujer haciendo una reverencia;disculpa|gesto|perdón|reverencia
🤦;persona con la mano en la frente;facepalm|frente|incredulidad|mano
🤦‍♂️;hombre con la mano en la frente;facepalm|frente|incredulidad|mano
🤦‍♀️;mujer con la mano en la frente;facepalm|frente|incredulidad|mano
🤷;persona encogida de hombros;duda|encogerse|hombros|indiferencia
🤷‍♂️;hombre encogido de hombros;duda|encogerse|hombros|indiferencia
🤷‍♀️;mujer encogida de hombros;duda|encogerse|hombros|indiferencia
🧑‍⚕️;profesional sanitario;doctor|enfermero|médico|salud|terapeuta
👨‍⚕️;profesional sanitario hombre;doctor|enfermero|médico|sanitario|terapeuta hombre
👩‍⚕️;profesional sanitario mujer;doctora|enfermera|médica|sanitaria|terapeuta mujer
🧑‍🎓;estudiante;graduado|licenciado|universitario
👨‍🎓;estudiante hombre;estudiante|graduado|hombre|licenciado|universitario
👩‍🎓;estudiante mujer;estudiante|graduada|licenciada|mujer|universitaria
🧑‍🏫;docente;educador|enseñanza|instructor|maestro|profesor
👨‍🏫;docente hombre;educador|hombre|instructor|maestro|profesor
👩‍🏫;docente mujer;educadora|instructora|maestra|mujer|profesora
🧑‍⚖️;fiscal;juez|juicio|magistrado
👨‍⚖️;fiscal hombre;hombre|juez|justicia|magistrado
👩‍⚖️;fiscal mujer;jueza|justicia|magistrada|mujer
🧑‍🌾;profesional de la agricultura;agricultor|cultivador|granjero|jardinero|labrador
👨‍🌾;profesional de la agricultura hombre;agricultor|campo|granjero|hombre|labrador
👩‍🌾;profesional de la agricultura mujer;agricultora|campo|granjera|labradora|mujer
🧑‍🍳;chef;cocinero|cocinillas|guisandero|pinche
👨‍🍳;chef hombre;chef|cocinero|hombre|pinche
👩‍🍳;chef mujer;chef|cocinera|mujer|pinche
🧑‍🔧;profesional de la mecánica;electricista|fontanero|mecánico|operario|técnico
👨‍🔧;profesional de la mecánica hombre;electricista|fontanero|hombre|mecánico|operario
👩‍🔧;profesional de la mecánica mujer;electricista|fontanera|mecánica|mujer|operaria
🧑‍🏭;profesional industrial;fábrica|montaje|obrero|operario|trabajador
👨‍🏭;profesional industrial hombre;fábrica|montaje|obrero|operario|trabajador
👩‍🏭;profesional industrial mujer;fábrica|montaje|obrera|operaria|trabajadora
🧑‍💼;oficinista;arquitecto|director|ejecutivo|empresa
👨‍💼;oficinista hombre;director|ejecutivo|empresa|hombre|oficina|oficinista
👩‍💼;oficinista mujer;directora|ejecutiva|empresa|mujer|oficina|oficinista
🧑‍🔬;profesional de la ciencia;biólogo|científico|físico|investigador|químico
👨‍🔬;profesional de la ciencia hombre;biólogo|científico|físico|hombre|químico
👩‍🔬;profesional de la ciencia mujer;bióloga|científica|física|mujer|química
🧑‍💻;profesional de la tecnología;desarrollador|informático|programador|software|tecnólogo
👨‍💻;profesional de la tecnología hombre;desarrollador|hombre|informático|programador|tecnólogo
👩‍💻;profesional de la tecnología mujer;desarrolladora|informática|mujer|programadora|tecnóloga
🧑‍🎤;cantante;artista|estrella|rock
👨‍🎤;cantante hombre;artista|estrella|hombre|rock
👩‍🎤;cantante mujer;artista|estrella|mujer|rock
🧑‍🎨;artista;paleta|pintor|pinturas
👨‍🎨;artista hombre;hombre|paleta|pintor|pinturas
👩‍🎨;artista mujer;mujer|paleta|pintora|pinturas
🧑‍✈️;piloto;avión|capitán|vuelo
👨‍✈️;piloto hombre;avión|capitán|hombre|piloto|vuelo
👩‍✈️;piloto mujer;avión|capitana|mujer|piloto|vuelo
🧑‍🚀;astronauta;cohete|espacio
👨‍🚀;astronauta hombre;astronauta|cohete|espacio|hombre
👩‍🚀;astronauta mujer;astronauta|cohete|espacio|mujer
🧑‍🚒;bombero;camión|manguera
👨‍🚒;bombero hombre;apagafuegos|bombero|camión|manguera
👩‍🚒;bombera;apagafuegos|bombera mujera|camión|manguera
👮;agente de policía;agente|personas|policía
👮‍♂️;agente de policía hombre;agente|hombre|poli|policía
👮‍♀️;agente de policía mujer;agente|mujer|poli|policía
🕵️;detective;cara|espía
🕵️‍♂️;detective hombre;agente|detective|espía|hombre|investigador
🕵️‍♀️;detective mujer;agente|detective|espía|investigadora|mujer
💂;guardia;guardia real británica
💂‍♂️;guardia hombre;guardia|hombre|vigilante
💂‍♀️;guardia mujer;guardia|mujer|vigilante
🥷;ninja;furtivo|guerrero|luchador|oculto|sigilo
👷;profesional de la construcción;casco|construcción|obrero|trabajador
👷‍♂️;profesional de la construcción hombre;albañil|construcción|hombre|obrero|trabajador
👷‍♀️;profesional de la construcción mujer;albañila|construcción|mujer|obrera|trabajadora
🫅;persona con corona;majestad|monarca|monarquía|noble|real|realeza
🤴;príncipe;corona
👸;princesa;cuento|fantasía|hadas
👳;persona con turbante;turbante
👳‍♂️;hombre con turbante;hombre|turbante
👳‍♀️;mujer con turbante;mujer|turbante
👲;persona con gorro chino;gorro|gua|gua pi mao|mao|persona
🧕;mujer con hiyab;hiyab|pañuelo
🤵;persona con esmoquin;esmoquin|novio|persona
🤵‍♂️;hombre con esmoquin;esmoquin|hombre
🤵‍♀️;mujer con esmoquin;esmoquin|mujer
👰;persona con velo;boda|novia|persona|velo
👰‍♂️;hombre con velo;boda|hombre|novio|velo
👰‍♀️;mujer con velo;boda|mujer|novia|velo
🤰;mujer embarazada;embarazada|mujer
🫃;hombre embarazado;barriga|embarazado|hinchado|hinchazón|inflado|lleno
🫄;persona embarazada;barriga|embarazo|gestación|hinchazón
🤱;lactancia materna;amamantar|bebé|dar pecho|pecho
👩‍🍼;mujer alimentando a bebé;alimentar|amamantar|bebé|lactancia|mujer
👨‍🍼;hombre alimentando a bebé;alimentar|amamantar|bebé|hombre|lactancia
🧑‍🍼;persona alimentando a bebé;alimentar|amamantar|bebé|lactancia|persona
👼;bebé ángel;ángel|bebé|cara|cuento
🎅;Papá Noel;celebración|claus|cuento|fantasía|feliz|fiestas|Navidad|padre|santa
🤶;Mamá Noel;celebración|claus|cuento|fantasía|feliz|fiestas|madre|Navidad|santa
🧑‍🎄;Noel;celebración|claus|cuento|fantasía|feliz|fiestas|Navidad|santa
🦸;personaje de superhéroe;bien|héroe|heroína|superhéroe|superheroína|superpoder
🦸‍♂️;superhéroe;bueno|héroe|hombre|superhombre|superpoder
🦸‍♀️;superheroína;bondad|héroe|heroína|mujer|superhéroe|superpoder
🦹;personaje de supervillano;mal|superpoder|supervillana|supervillano|villana|villano
🦹‍♂️;supervillano;hombre|mal|malvado|villano
🦹‍♀️;supervillana;mal|malvada|mujer|villana
🧙;persona maga;bruja|brujo|hechicera|hechicero
🧙‍♂️;mago;brujo|hechicero
🧙‍♀️;maga;bruja|hechicera
🧚;hada;campanilla|oberón|puck|titania
🧚‍♂️;hada hombre;hada|oberón|puck
🧚‍♀️;hada mujer;campanilla|hada|titania
🧛;vampiro;drácula|muerto viviente|no muerto
🧛‍♂️;vampiro hombre;drácula|muerto viviente|no muerto
🧛‍♀️;vampiresa;muerta viviente|no muerta
🧜;persona sirena;sirena|tritón
🧜‍♂️;sirena hombre;sirena|tritón
🧜‍♀️;sirena;
🧝;elfo;mágico
🧝‍♂️;elfo hombre;elfo|mágico
🧝‍♀️;elfa;mágico|mujer
🧞;genio;lámpara
🧞‍♂️;genio hombre;djinn|genio|lámpara
🧞‍♀️;genio mujer;genio|lámpara
🧟;zombi;muerto viviente|no muerto
🧟‍♂️;zombi hombre;caminante|muerto viviente|no muerto
🧟‍♀️;zombi mujer;caminante|muerta viviente|no muerta
🧌;trol;cuento de hadas|fantasía|monstruo
🫈;criatura peluda;bigfoot|bosque|críptido|gigante|monstruo|peludo|sasquatch|yeti
💆;persona recibiendo masaje;cara|facial|masaje|salón
💆‍♂️;hombre recibiendo masaje;cara|facial|masaje|salón
💆‍♀️;mujer recibiendo masaje;cara|facial|masaje|salón
💇;persona cortándose el pelo;belleza|corte|pelo|peluquero
💇‍♂️;hombre cortándose el pelo;belleza|corte|pelo|peluquero
💇‍♀️;mujer cortándose el pelo;belleza|corte|pelo|peluquero
🚶;persona caminando;andar|caminando|caminar
🚶‍♂️;hombre caminando;andar|caminata|hombre|marcha
🚶‍♀️;mujer caminando;andar|caminata|marcha|mujer
🚶‍➡️;persona caminando: hacia la derecha;andar|caminando|caminar|derecha|hacia|la|persona caminando
🚶‍♀️‍➡️;mujer caminando: hacia la derecha;andar|caminata|derecha|hacia|la|marcha|mujer|mujer caminando
🚶‍♂️‍➡️;hombre caminando: hacia la derecha;andar|caminata|derecha|hacia|hombre|hombre caminando|la|marcha
🧍;persona de pie;de pie|levantada|levantado|levantarse
🧍‍♂️;hombre de pie;de pie|hombre|levantado|levantarse
🧍‍♀️;mujer de pie;de pie|levantada|levantarse|mujer
🧎;persona de rodillas;arrodillada|arrodillado|arrodillarse|de rodillas
🧎‍♂️;hombre de rodillas;arrodillado|arrodillarse|de rodillas|hombre
🧎‍♀️;mujer de rodillas;arrodillada|arrodillarse|de rodillas|mujer
🧎‍➡️;persona de rodillas: hacia la derecha;arrodillada|arrodillado|arrodillarse|de rodillas|derecha|hacia|la|persona de rodillas
🧎‍♀️‍➡️;mujer de rodillas: hacia la derecha;arrodillada|arrodillarse|de rodillas|derecha|hacia|la|mujer|mujer de rodillas
🧎‍♂️‍➡️;hombre de rodillas: hacia la derecha;arrodillado|arrodillarse|de rodillas|derecha|hacia|hombre|hombre de rodillas|la
🧑‍🦯;persona con bastón;accesibilidad|ciego|invidente
🧑‍🦯‍➡️;persona con bastón: hacia la derecha;accesibilidad|ciego|derecha|hacia|invidente|la|persona con bastón
👨‍🦯;hombre con bastón;accesibilidad|bastón|ciego|hombre|invidente
👨‍🦯‍➡️;hombre con bastón: hacia la derecha;accesibilidad|bastón|ciego|derecha|hacia|hombre|hombre con bastón|invidente|la
👩‍🦯;mujer con bastón;accesibilidad|bastón|ciega|invidente|mujer
👩‍🦯‍➡️;mujer con bastón: hacia la derecha;accesibilidad|bastón|ciega|derecha|hacia|invidente|la|mujer|mujer con bastón
🧑‍🦼;persona en silla de ruedas eléctrica;accesibilidad|silla de ruedas
🧑‍🦼‍➡️;persona en silla de ruedas eléctrica: hacia la derecha;accesibilidad|derecha|hacia|la|persona en silla de ruedas eléctrica|silla de ruedas
👨‍🦼;hombre en silla de ruedas eléctrica;accesibilidad|hombre|silla de ruedas
👨‍🦼‍➡️;hombre en silla de ruedas eléctrica: hacia la derecha;accesibilidad|derecha|hacia|hombre|hombre en silla de ruedas eléctrica|la|silla de ruedas
👩‍🦼;mujer en silla de ruedas eléctrica;accesibilidad|mujer|silla de ruedas
👩‍🦼‍➡️;mujer en silla de ruedas eléctrica: hacia la derecha;accesibilidad|derecha|hacia|la|mujer|mujer en silla de ruedas eléctrica|silla de ruedas
🧑‍🦽;persona en silla de ruedas manual;accesibilidad|silla de ruedas
🧑‍🦽‍➡️;persona en silla de ruedas manual: hacia la derecha;accesibilidad|derecha|hacia|la|persona en silla de ruedas manual|silla de ruedas
👨‍🦽;hombre en silla de ruedas manual;accesibilidad|hombre|silla de ruedas
👨‍🦽‍➡️;hombre en silla de ruedas manual: hacia la derecha;accesibilidad|derecha|hacia|hombre|hombre en silla de ruedas manual|la|silla de ruedas
👩‍🦽;mujer en silla de ruedas manual;accesibilidad|mujer|silla de ruedas
👩‍🦽‍➡️;mujer en silla de ruedas manual: hacia la derecha;accesibilidad|derecha|hacia|la|mujer|mujer en silla de ruedas manual|silla de ruedas
🏃;persona corriendo;carrera|deporte|maratón
🏃‍♂️;hombre corriendo;carrera|correr|hombre|maratón
🏃‍♀️;mujer corriendo;carrera|correr|maratón|mujer
🏃‍➡️;persona corriendo: hacia la derecha;carrera|deporte|derecha|hacia|la|maratón|persona corriendo
