😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|হাসি
🤒;মুখের মধ্যে থার্মোমিটার;অসুস্থ|থার্মোমিটার|মুখ|মুখে থার্মোমিটার|রোগগ্রস্ত
🤕;মাথায় ব্যান্ডেজ করা মুখ;আঘাত|চোট|ব্যান্ডেজ|মুখ
🤢;গা বমি করা মুখ;নোংরা|বমি|বমি বমি ভাগ|বমি বমি ভাব|মুখ
🤮;বমনরত মুখ;অসুস্থ|বমি|বমি করা|বমি বমি ভাব|মানুষ|মুখ
🤧;হাঁচি;অসুস্থ|ভাল থাক|মুখ
🥵;গরমে ঘাম ঝরা লাল মুখ;উত্তাপ|ঊর্ধ্বশ্বাস|গরম|গরম মুখমণ্ডল|ঘাম ঝরছে|ঘাম ঝরা|জিহ্বা বের হওয়া|জ্বর জ্বর|জ্বরাক্রান্ত|জ্বরে কাতর|জ্বরে কুপোকাত|মুখবিকৃতি|মুমূর্ষু|লাল মুখমণ্ডল|লাল-মুখযুক্ত|হিট স্ট্রোক
🥶;ঠান্ডায় দাঁত কাঁপা নীল মুখ;উফ কী ঠান্ডা|জমিয়ে দেওয়া|ঠান্ডা|ঠান্ডা দাঁত|তুষার|তুষারকণা|তুষারিকা|নীল|নীল-মুখযুক্ত|বরফ|মুখ|হাড় কাঁপানো ঠান্ডা
🥴;হতবুদ্ধি মুখ;অর্ধেক খোলা চোখ|গুলিয়ে ফেলা|তরঙ্গায়িত মুখ|দ্বিধাগ্রস্ত|প্রায় মাতাল|ভেঙ্গচি কাটা|মত্ত|মাতাল|মাথা ঝিমঝিম|মাথা-ঘোরা|হতবুদ্ধি|হতভম্ব
😵;হতবুদ্ধি হওয়া মুখ;অবাক|অসুস্থ|ক্লান্ত|মুখ|হতবুদ্ধি
😵‍💫;চোখ পাকানো মুখ;অপহাস|এলোমেলো করা|ওহ|চঞ্চল|জটিল|ঝামেলা|থামা|বিভ্রান্ত|মাথা ঝিমঝিম|সম্মোহিত|সর্পিল|হতবুদ্ধি
🤯;ফেটে পরা মাথা;অবাক|আশ্চর্য|বিস্ফোরণ|ব্যক্তি|মর্মাহত মুখ|মাথা বিস্ফোরণ|মানুষ|স্মাইলি
🤠;কাউবয় টুপি পরা মুখ;কাউগার্ল|কাউবয়|টুপি|ব্যক্তি|মুখ
🥳;টুপি পরে বাঁশি বাজিয়ে পার্টি উদযাপন করা মুখ;অনুষ্ঠান|আনন্দ|উদযাপন|উল্লসিত|জন্মদিন|জন্মদিনের টুপি|টুপি|পার্টি|বাঁশি|হর্ন
🥸;ছদ্মবেশী;গুপ্তচর|গোঁফ|গোয়েন্দা|চশমা|ছদ্মবেশ|নাক|ভ্রু|মুখ|লোক
😎;সানগ্লাস পরিহিত হাসি মুখ;উজ্জ্বল|চশমা|চোখ|ঠান্ডা|মুখ|শীতল|সানগ্লাস|সানগ্লাস পরা জয়ের হাসি|সানগ্লাস পরা হাসি মুখ|সূর্য|হাসি
🤓;পড়ুয়া মুখ;কদাকার|গুরু|চটপটে|চশমা|চালাক|দক্ষ|পটু|পারদর্শী|বুদ্ধিমান|বোকা|মুখ|সবজান্তা
🧐;একচোখে চশমাওয়ালা মুখ;অভিজাত|চশমা|দমবন্ধ করা মুখ|ধনী|ব্যক্তি|স্মাইলি
😕;বিভ্রান্ত মুখ;এবার কি হবে?|জানিনা|দুঃখিত|বিভ্রান্ত|মুখ
🫤;তির্যক আকৃতিতে মুখ;অনিশ্চিত|উদাস|বিভ্রান্ত|সংশয়|সংশয়যুক্ত|হতাশ
😟;চিন্তিত মুখ;উদ্বিগ্ন|কি যে হবে|মুখ
🙁;সামান্য রাগান্বিত মুখ;দুঃখ|ভ্রূ কুচঁকানো|মুখ
☹️;রাগান্বিত মুখ;কষ্ট|দুঃখ|ভ্রূ কুচঁকানো|মুখ
😮;হাঁ করা মুখ;অবাক|খোলা|ঠোঁট|মুখ|সহানুভূতি
😯;নিস্তব্ধ মুখ;অবাক|চুপ করার ইঙ্গিত করা|বলো কি|বিস্মিত হওয়া|মুখ|সে কি রে|হতভম্ব হওয়া
😲;অবাক হয়ে যাওয়া মুখ;অবাক|আশ্চর্য হওয়া|ব্যক্তি|মর্মাহত|মুখ|সম্পূর্ণ
😳;রক্তিম মুখ;অবাক|উত্তেজিত মুখ|চমকিত|মুখ|রক্তিম
🫪;অবাক;আশ্চর্য|চমক|বিস্ময়|হতবাক
🥺;অনুনয়কারী মুখ;অনুগ্রহ|অনুনয় মুখ|অনুরোধ|অসুখী|করুণা|দু:খদায়ক
🥹;কান্না চেপে রাখা মুখ;অপ্রস্তুত|আনন্দে অশ্রু|কান্না|কৃতজ্ঞ|ক্ষিপ্ত|গর্বিত|চোখে জল মুখে হাসি|বিষণ্ণ|রোধ করা
😦;খোলা মুখের সাথে ভ্রুকুটি মুখমণ্ডল;অবাক|ওরে বাবা রে|খোলা|ঠোঁট|দেখো কান্ড|ব্যক্তি|ভ্রূ কুচঁকানো|মুখ|সে কি রে
😧;উদ্বেগপূর্ণ মুখ;বেদনার্ত|ভয়|মুখ
😨;ভয়ার্ত মুখ;ভয়|ভীত|ভীতিজনক|মুখ
😰;খোলা মুখ এবং ঠাণ্ডা ঘামের সাথে মুখমণ্ডল;ঘর্মাক্ত অবস্থা|ঘাম|ঘাম ঝরা উদ্ধিগ্ন মুখ|ঠান্ডা|নীল|ব্যক্তি|ভয়ে ঘামছে|মুখ|মুখে উদ্ধিগ্ন
😥;হতাশ তবে স্বস্তি পাওয়া মুখ;আশ্চর্য হওয়া|ঘাম|দুঃখ|নিরাশ|মুখ|স্বস্তি পাওয়া|হতাশ
😢;ক্রন্দনরত মুখ;কান্না|কান্নাকাটি করা|দুঃখিত|মুখ
😭;জোরে ক্রন্দনরত মুখ;অশ্রুসজল মুখ|কান্না|কান্নাকাটি করা|দুঃখিত|মুখ
😱;ভয়ে চিৎকার করা মুখ;অবাক|খোলা মুখ|চিৎকার করা|ব্যক্তি|ভয়|ভীত|ভীতিজনক|মানুষ|মুখ|স্মাইলি
😖;বিস্মিত মুখ;মুখ|হকচকিয়ে যাওয়া
😣;জেদি মুখ;জিদ করা|মাথা ব্যথা|মুখ
😞;হতাশ মুখ;মুখ|হতাশ
😓;মুখের মধ্যে ঠাণ্ডা ঘাম লাগা;ঘর্মাক্ত অবস্থা|ঠান্ডা|মুখ
😩;পরিশ্রান্ত মুখ;অসুখী|ক্লান্ত|ক্লান্ত হওয়া|ক্ষুধার্ত|খিদে পেয়েছে|নাহ|পরিশ্রান্ত|ভয় পেয়েছে|মুখ
😫;ক্লান্ত মুখ;ক্লান্ত|মুখ
🥱;হাই তোলা মুখ;উদাস|ক্লান্ত|ক্লান্ত লাগছে|ঘুম পাচ্ছে|মুখ|রাত হয়েছে|শুভরাত্রি|হাই তোলা
😤;নাক থেকে স্টিম বেরোচ্ছে এমন মুখ;অখুশি|অসহ্যকর|জয়জয়কার|বিজয়ী|বিরক্ত|মুখ
😡;বিস্ফুরিত মুখ;ক্রুদ্ধ|ক্ষিপ্ত|গর্জন|বিস্ফারিত চোখ|মুখ|রাগ|রাগে গজ গজ|লাল
😠;রাগের মুখ;ক্রুদ্ধ|ক্ষিপ্ত|মুখ|রাগ
🤬;ঠোটে চিহ্নযুক্ত মুখ;অভিশাপ|গালাগালি|গালি|দিব্যি খাওয়া মুখ|বিরক্ত
😈;শিং এর সাথে হাসি মুখ;কল্পনা|দুষ্টুমির হাসি|মুখ|রূপকথা|শিং|হাসি
👿;শয়তান;অল্প রেগে|কল্পনা|দুষ্টু|দৈত্য|পাজি|মুখ|রূপকথা
💀;খুলি;দানব|মুখ|মৃত্যু|রূপকথা|শরীর
☠️;মাথার খুলি এবং আড়াআড়িভাবে থাকা দু‘টি হাড়;আড়াআড়িভাবে থাকা দু‘টি হাড়|খুলি|দানব|বিপদ|মুখ|মৃত্যু|শরীর
💩;পাইল অফ পো;অধৈর্য্য প্রকাশ করা|উল্টান দিক|কমিক|গোবর|দানব|দুর্গন্ধ|মুখ
🤡;জোকারের মুখ;জোকার|মুখ
👹;রাক্ষস;কল্পনা|জাপানি|দানব|বুনো জীব|মুখ|রূপকথা|শয়তান
👺;অপদেবতা;অসুর|কল্পনা|জাপানি|দানব|বুনো জীব|মুখ|রূপকথা
👻;ভূত;কল্পনা|দানব|দুষ্টু ভূত|বুনো জীব|মুখ|রূপকথা
👽;ভীন গ্রহের প্রাণী;অপার্থিব|উড়ন্ত চাকতি|এলিয়ান|কল্পনা|কাল্পনিক|জীব|দানব|মহাকাশ|মুখ|রূপকথা
👾;এলিয়ান মনস্টার;আপার্থিব জীব|উড়ন্ত চাকতি|কল্পনা|খেলা|গেম|জীব|দানব|ভীন গ্রহের প্রাণী|মহাকাশ|মুখ|রূপকথা
🤖;রোবোট;দানব|মুখ|যন্ত্রমানব|রোবট|রোবোটের মুখ
😺;মুখ খোলা অবস্থায় বেড়ালের হাসি মুখ;খোলা|বিড়াল|বিড়ালের হাসি মুখ|মুখ|হাসি
😸;চোখে হাসির সাথে মুখে হাসি বিড়াল;চোখ|দেঁতো হাসি|বিড়াল|মুখ|হাসি
😹;আনন্দের কান্না সহ বেড়ালের মুখ;আনন্দ|কান্না|জীবজন্তু|বিড়াল|মুখ|হাসতে হাসতে চোখে জল|হাসি
😻;হার্ট আকারের চোখের সাথে বেড়ালের মুখ;চোখ|ঠোঁটে হাসি চোখে ভালবাসা নিয়ে বিড়াল|বিড়াল|ভালবাসা|মুখ|হার্ট|হাসি
😼;বাঁকা হাসির সাথে বেড়ালের মুখ;বিকৃত|বিড়াল|মুখ|শ্লেষাত্মক|হাসি
😽;চুম্বনরত বিড়ালের মুখ;কিস|চুমু|চুম্বন|চোখ|বন্ধ চোখ সহ চুম্বনরত বিড়ালের মুখ|বিড়াল|মুখ
🙀;ক্লান্ত বিড়ালের মুখ;অবাক|অবাক মুখে বিড়াল|পরিশ্রান্ত|বিড়াল|বিস্ময়সূচক মুখ গোল করে ওহঃ করা|বিস্মিত হওয়া|মুখ
😿;বিড়ালের মুখে কান্না;কান্না|দুঃখিত|বিড়াল|মুখ
😾;বিস্ফুরিত বিড়ালের মুখ;বিড়াল|বিস্ফারিত চোখ|মুখ
🙈;কোনো খারাপ জিনিস দেখব না;অঙ্গভঙ্গি|জীবজন্তু|দেখতে পারব না|দেখা|না|নিষিদ্ধ|বাঁদর|বানর|ভুলেই গেছি|মুখ|হে ঈশ্বর
🙉;কোনো খারাপ কিছু শুনব না;অঙ্গভঙ্গি|দুষ্ট|নিষিদ্ধ|পশুপাখি|বাঁদর|মুখ|শোনা
🙊;কোনো খারাপ কথা বলব না;অঙ্গভঙ্গি|খারাপ কথা বলব না|দুষ্ট|না|নিষিদ্ধ|প্রাণী|বাঁদর|বানর|বোবার শত্রু নেই|মুখ
💌;প্রেমের চিঠি;চিঠি|ভালবাসা|মেল|রোমান্স|হৃদয়
💘;তীর বিদ্ধ হার্ট;কিউপিড|তীর|প্রেমে পড়া|হৃদয়
💝;রিবন বাঁধা হার্ট;১৪৩|কিস|চিহ্ন|চুমু|ফিতা|বস্তু|ভ্যালেন্টাইন|হার্ট
💖;জ্বলজ্বলে হার্ট;উত্তেজিত|কিস|ঝকমক করা|হৃদয়
💗;বর্ধনশীল হার্ট;১৪৩|উত্তেজিত|কিস|ক্রমবর্ধমান|চুমু|স্নায়ুবৈকল্য|হৃদয়|হৃদয় ধ্বনি
💓;স্পন্দিত হৃদয়;স্পন্দন|স্পন্দনশীল|স্পন্দিত|হৃদয়|হৃদস্পন্দন
💞;ঘূর্ণমান হার্ট;অ্যানিভার্সারি|ঘুরপাক|মনের সাথে মনের সংযোগ|হৃদয়
💕;দুটি হার্ট;১৪৩|আমি তোমাকে ভালবাসি|কিস|চুমু|ভালবাসা|হৃদয়
💟;হার্ট সজ্জা;১৪৩|হৃদয়
❣️;হার্টের আকারের বিস্ময়সূচক চিহ্ন;চিহ্ন|বিরাম চিহ্ন|বিস্ময়বোধক|যতিচিহ্ন|হৃদয়
💔;ভাঙ্গা হার্ট;ভগ্ন হৃদয়|ভাঙা|ভেঙে যাওয়া|মন ভেঙ্গে গেছে|হার্ট|হৃদয়
❤️‍🔥;আগুনে হৃদয়;পবিত্র হৃদয়|পোড়া|ভালবাসা|লালসা|হৃদয়
❤️‍🩹;সংশোধিত হৃদয়;উন্নতিশীল|নিরাময়কারী|পুনরুদ্ধার করা|ভাল|সেরে উঠা|স্বাস্থ্যকর
❤️;লাল হার্ট;হৃদয়
🩷;গোলাপী হার্ট;আমি তোমাকে ভালোবাসি|গোলাপী|পছন্দ|ভালবাসা|ভালোবাসা|মিষ্টি|সুন্দর|হৃদয়
🧡;কমলা হার্ট;কমলা|প্রেম|ভালোবাসা|স্মাইলি|হার্ট|হৃদয়
💛;হলুদ হার্ট;আমি তোমাকে ভালবাসি|হলুদ|হার্ট
💚;সবুজ হার্ট;সবুজ|হৃদয়
💙;নীল হার্ট;নীল|হৃদয়
🩵;হালকা নীল হার্ট;আবেগ|আমি তোমাকে ভালোবাসি|নীলচে সবুজ|ভালোবাসা|মিষ্টি|সবজে নীল|হার্ট|হালকা নীল
💜;বেগুনি হার্ট;বেগুনি|বেগুনী|হার্ট
🤎;খয়েরি হার্ট;খয়েরি রঙয়ের হৃদয়|বাদামি|হার্ট|হার্ট চিহ্ন|হৃদয়
🖤;কালো হার্ট;কালো|দুষ্ট|পাজি|বাজে|বাজে মনের|হার্ট
🩶;ধূসর হার্ট;আবেগ|আমি তোমাকে ভালোবাসি|ধূসর|রুপো|স্লেট|হার্ট
🤍;সাদা হার্ট;সাদা|হার্ট|হার্ট চিহ্ন|হৃদয়
💋;চুম্বনের চিহ্ন;কিস|চিহ্ন|চুমু|চুম্বন|ঠোট|রোমান্স|হার্ট
💯;একশো পয়েন্ট;100|পূর্ণ|শত|স্কোর
💢;ক্রোধের প্রতীক;কমিক|ক্রুদ্ধ|ক্রোধের চিহ্ন|ক্ষিপ্ত|চিহ্ন|রাগ
🫯;মারামারি;তর্কাতর্কি|বিতর্ক|মতবিরোধ|লড়াই|হট্টগোল
💥;সংঘর্ষ;কমিক|বুম|বুম করে শব্দ হওয়া
💫;হতবুদ্ধি;কমিক|তারা
💦;ঘামের ফোঁটা;কমিক|ঘর্মাক্ত অবস্থা|ঘাম|জলের ফোটা|ব্যায়াম
💨;উদ্যমী;কমিক|দূরে|দৌড়|দৌড়রত|ধোঁয়া|হানাহানি
🕳️;গর্ত;
💬;বক্তব্যের বেলুন;কমিক|ডায়ালগ|বক্তৃতা|বুদ্বুদ|বেলুন
👁️‍🗨️;চোখের মতন স্পিচ বাবল;চিহ্ন|চোখ|প্রত্যক্ষদর্শী|সাক্ষী|স্পিচ বাবল
🗨️;কথা বলার বামদিকের বুদবুদ;ডায়ালগ|বক্তৃতা|বুদবুদ
🗯️;ডানে ক্রোধের বুদ্বুদ;ক্রুদ্ধ|ক্ষিপ্ত|বুদ্বুদ|বেলুন|রেগে বোম|রেগে যাওয়ার চিহ্ন
💭;থট বেলুন;কমিক|বুদ্বুদ|বেলুন|ভাবনা
💤;ঘুম পাচ্ছে;কমিক|ক্লান্ত|ঘুমন্ত|ঘুমন্ত অবস্থা|রাত হয়েছে|শুভরাত্রি
👋;হাত নাড়ানো;দোলানো|নাড়ানো|বিদায় জানানো|শরীর|হাই|হাত|হ্যালো
🤚;হাতের পেছন দিক;হাত|হাত তোলা
🖐️;আঙ্গুল প্রসারিত করে হাত তোলা;অনেক হয়েছে|আঙ্গুল|থাক|থাম|প্রসারিত করা|শরীর|হাত
✋;অনুগ্রহ করে থামুন;জিও কাকা|শরীর|হাত|হাত তোলা
🖖;ভ্যালকান স্যালুট;আকার ইঙ্গিত|আঙ্গুল|ভালকান|শরীর|হাত
🫱;ডানদিকে হাত;করমর্দন|ডান|ডানদিকে|হাত|হাত ধরা|হাত বাড়ানো
🫲;বামদিকে হাত;করমর্দন|বাম|বামদিকে|হাত|হাত ধরো
🫳;হাতের তালু নীচের দিকে করা হাত;খারিজ|ছেড়ে দেওয়া|তাড়িয়ে দেওয়া|ফেলে দেওয়া|হাতের তালু নিচের দিকে করা হাত
🫴;হাতের তালু উপরের দিকে করা হাত;অফার|আসা|প্রস্তাব দেওয়া|বলো|বেকন|লুফে নেওয়া|হাতটা ধরো
🫷;হাত বাম দিকে সরানো;অপেক্ষা করা|তালি দেওয়া|থামা|ধাক্কা|প্রত্যাখ্যান|বাম দিকে|হাত জোড় করা
🫸;হাত ডান দিকে সরানো;অপেক্ষা করা|ডানদিকে|তালি দেওয়া|থামা|ধাক্কা|প্রত্যাখ্যান|হাত জোড়া করা
👌;ঠিক আছে;আঙ্গুলের ইশারা|খুব ভালো|জোশ|দারুন|বাহ!|শরীর|হাত|হাতের ইশারা
🤌;অল্প একটু;আঙ্গুল|একটুখানি|কিঞ্চিৎ|চিমটিকাটা|জিজ্ঞেস করা|প্রকাশ ভঙ্গি|বিদ্রুপপূর্ণ|সামান্য|হাত|হাতের অঙ্গিভঙ্গি|হাতের ইশারা|হাতের ভঙ্গি
🤏;চিমটি কাটা হাত;অল্প একটু|একটু খানি|এত টুকু|সামান্য|হাত
✌️;হাতে জয়ের চিহ্ন করা;জয়|জেতার চিহ্ন|ভি আকার|শরীর|হাত
🤞;আশা করি যেন হয়;আঙ্গুল|আশা করি|ইস হয়ে যায় যেন|ভাগ্য|ভাগ্যের শিকে ছেঁঁড়া|হাত
🫰;বুড়ো আঙুলের সঙ্গে তর্জনী ঘোরানো হাত;অর্থ|ছবি|টাকা|ভালোবাসা|মূল্যবান|হৃদয়
🤟;ভালবাসার ইঙ্গিত;প্রেম|ভালবাসা|ভালোবাসা|স্মাইলি|হাত
🤘;হর্ণ দেওয়ার চিহ্ন;আঙ্গুল|মন মাতান|রক-অন|শরীর|শিং|হাত|হাতের ইশারা|হাতের ভঙ্গি
🤙;ফোন কোরো;কল|কল কর|হাত
👈;বামে ইশারা করা উল্টো হাতের তর্জনী;আঙ্গুল|ব্যাকহ্যান্ড|শরীর|সূচক|হাত
👉;ডানে ইশারা করা উল্টো হাতের তর্জনী;আঙ্গুল|আঙ্গুল দিয়ে দেখানো|ডানদিকে ইশারা করা|পয়েন্ট|ব্যাকহ্যান্ড|শরীর|সূচক|হাত
👆;আঙুল দিয়ে উপরের দিকে ইশারা করা;আঙ্গুল|আপ|পয়েন্ট|ব্যাকহ্যান্ড|হাত
🖕;মধ্যমা;আঙ্গুল|মিডিল ফিঙ্গার|শরীর|হাত
👇;আঙুল দিয়ে নীচের দিকে ইশারা করা;আঙ্গুল|নিচের দিকে|নিচের দিকে দেখানো|পয়েন্ট|ব্যাকহ্যান্ড|হাত
☝️;উপরের দিকে ইশারা করা;আঙ্গুল|আপ|উপরের দিকে দেখানো|পয়েন্ট|শরীর|হাত
🫵;দর্শকদের দিকে উদ্দ্যেশ্য করে তর্জনী;আঙ্গুল|উদ্দেশ্য|এই যে|খোঁচা মারা|তুমি|পয়েন্ট
👍;ভালো করেছো;+1|উর্দ্ধমুখী|একদম ঠিক|ঠিক আছে|থাম্বস আপ|দারুন|পছন্দ হয়েছে|বুড়ো আঙ্গুল|হাতের ভঙ্গি
👎;ভালো করতে পারোনি;1|থাম্বস ডাউন|না কখনই না|নিম্নমুখী
✊;আঙ্গুল সামনের দিকে করে মুড়ে রাখা;কিল|ঘুসি|মুষ্টাঘাত|মুষ্টিবদ্ধ|শরীর|হাত
