😀;gülən üz;gülmək|üz
😒;kefsiz üz;darıxdırıcı üz ifadəsi|kefsiz|narazı|üz
🙄;gözlərini fırladan üz;düşünən üz ifadəsi|fırlatmaq|göz|gözləri yuxarı baxan emoji|uff|üz
😬;üz-gözünü turşudan üz;dişini ağardıb gülən üz|üz|üz-gözünü turşutmaq
😮‍💨;nəfəs alan üz;ciyərəçəkmə|nəfəsalma|pıçıldama|yorğun üz
🤥;yalançı adam üzü;adam|üzü|yalançı
🫨;silkələnən üz;aman tanrım|həyəcan|silkələmək|şok|sürpriz|titrəmək|üz|zəlzələ
🙂‍↔️;başı üfüqi silkələmək;silkələmək|yox
🙂‍↕️;başı şaquli silkələmək;hə|silkələmək
😌;rahat üz;rahatlıq|sakitlik|üz|yüngülləşmiş|yüngülləşmiş üz ifadəsi
😔;fikirli üz;fikirli|məyus|qəmgin üz|üz
😪;yuxulu üz;kədərli üz|qəmgin üz|üz|yatmaq|yorğun üz
🤤;ağız sulanan üz;ağız|ağzı sulanan üz|sulanmaq|üz
😴;yatan üz;çarpayı|üz|yatan adam emojisi|yatmaq|yorğun üz|yuxulu üz|zzz
🫩;altı torbalanmış gözləri olan üz;çox yorğun|darıxan|gecikmiş|gözlər|haldan düşmüş|heydən düşmüş|torbalar|üz|yorğun|yuxulu
😷;tibbi maskalı üz;diş həkimi|həkim|maska|naxoş|soyuq|tibb|tibbi maska taxmış üz|üz|xəstə
🤒;termometrli;naxoş|termometr|üz|xəstə
🤕;baş sarğılı üz;ağrımaq|başı sarğılı üz|sarğı|üz|xəsarət|zədə
🤢;iyrənən üz;iyrənmək|ürəyi bulanan üz|üz
🤮;qusan üz;öyümək|qaytaran üz|qusan emoji|qusmaq|xəstə
🤧;asqıran üz;asqırmaq|qrip|sifət|üz|xəstə
🥵;pörtləmiş üz;dil çıxaran emoji|hot|istivurma|qızarmış üz|qızdırma|tərləmə
🥶;donmuş üz;buz|buz bağlamış adam emojisi|dişlərini qıcayan üz|donmuş|donvurma|göy üz|şaxta|soyuq
🥴;gicəllənən üz;birtəhər|çəp gözlər|əyri ağız|gicəllənən|sərxoş|sərxoş adam emojisi
😵;başıgicəllənən üz;başgicəllənmə|üz
😵‍💫;spiral gözlü üz;başgicəllənmə|hipnozlanmış|problem|spiral
🤯;partlayan baş;beyni partlayan adam emojisi|şoka düşmüş|şokda olan adam emojisi
🤠;papaqlı qaqaş üzü;kauboy|papaqlı|qaqaş|üz
🥳;parti edən üz;bayram etmək|bayram qeyd edən üz|buynuz|doğum günü|papaq|parti
🥸;maskalanmış üz;bığ|burun|casus|eynəklər|inkoqnito|insan|maskalama|qaşlar|üz
😎;gün eynəyi ilə gülən üz;eynək|göz|gün eynəyi|günəş|özündənrazı üz|qalib gəlmiş üz|soyuqqanlı mimika
🤓;axmaq üz;ağıllı|axmaq|dərrakəli|eynək|fərasətli|gicbəsər|istedadlı|mütəxəssis|üz
🧐;monokllu üz;bir gözü sarğılı üz|stuffy|varlı adam emojisi
😕;çaşqın üz;çaşqın|əmin olmayan adam emojisi|təəssüfedici ifadə|üz
🫤;diaqonal ağızlı üz;darıxmış|karıxma|karıxmaq|meh|məyus|məyus olmaq|qeyri-əmin|sıxılmış|skeptik|şübhə|şübhəli
😟;narahat üz;məyus üz emojisi|narahat|üz
🙁;bir az qaşqabaqlı üz;narazı sifət|qaşqabağını tökmək|qaşqabaqlı|qəmgin üz|üz
☹️;qaşqabaqlı üz;qaşqabaqlı|qəmgin üz|üz
😮;ağzı açıq üz;açıq|ağız|simpatiya|şok keçirən üz|təəccüblü üz ifadəsi|üz
😯;heyrətlənmiş üz;heyrətlənmiş|susmuş|təəccüblənmiş|üz
😲;təəccüblənmiş üz;şoka düşmüş|şoka düşmüş üz|tamamilə|təəccüblənmiş|üz
😳;qızarmış üz;karıxmış|qızarmış|təəccüb ifadəsi|təəccüblə baxan üz|utanmış|üz
🫪;əyilmiş üz;həssas|narahatlıq|panik|şişkin|şok|təəccüb
🥺;yalvaran üz;iri gözlər|mərhəmət|mərhəmət gözləyən üz|nəm gözlər|yalvarış
🥹;dolmuş gözləri olan üz;ağlamaq|heyranlıq|hirsli|hislər|məmnuniyyət|minnətdar|müqavimət|qəmgin|qəmli|qürurlu|sevinc göz yaşları|utanmaq|xoşlamaq
😦;ağzı açıq qaşqabaqlı üz;açıq|ağız|qaşqabaqlı|qorxmuş üz|ürkmüş üz|üz
😧;kədərli üz;kədərli|məyus üz|təəccüblü üz|üz
😨;qorxmuş üz;narahat|qorxu|qorxulu|ürkmüş|üz
😰;ağzı açıq və soyuq tər olan üz;açıq|ağız|mavi|qəmgin üz|qorxmuş üz|soyuq|soyuq tər axıdan üz
😥;məyus lakin rahat üz;hmm|məyus lakin rahatlamış üz|qəmli|üz|yüngülləşmiş
😢;ağlayan üz;ağlamaq|göz yaşı|qəmli|üz
😭;bərkdən ağlayan üz;ağlamaq|ağlayan üz|göz yaşı|hönkürtü|kədərli|qəmli|üz
😱;qorxudan çığıran üz;çeynəmək|çığırmaq|qorxu|qorxulu|ürkmüş|üz
😖;utanan üz;beyni qarışmış adam emojisi|çaşqın üz|usanmış üz|utanan|üz
😣;inadkar üz;baş ağrısı|inadkar|inadkar adam emojisi|üz
😞;məyus üz;günahkar üz|məyus|üz
😓;soyuq tərli üz;baş ağrısı|əsəbi üz|kədərli|soyuq|tər|tər axıdan üz|üz
😩;yorulmuş üz;ağlayan üz|əzgin|usanmış|üz
😫;yorğun üz;ağlamaq|asqıran üz|kədərli üz|üz|yorğun
🥱;əsnəyən üz;bezmiş|əsnəyən|yorğun|yorğun üz|yuxu vaxtı|yuxulu üz
😤;burnundan tüstü çıxan üz;əsəbi üz|qalib|qəzəbli üz|üz|zəfər
😡;acıqlı üz;acıq etmək|acıqlı|əsəbi üz|hirsli|qəzəb|qəzəbli üz|qırmızı|üz
😠;hirsli üz;acıqlı|əsəbi üz|hirsli|üz
🤬;ağızda simvolları olan üz;lənətləyən üz|söyən üz|söymək
😈;buynuzlu gülən üz;buynuz|buynuz çıxararaq gülən şeytan|fantastika|mərdimazar|nağıl|pisniyyətli|şeytan|təbəssüm|üz
👿;şeytan;buynuz çıxarmış şeytan|fantastika|iblis|nağıl|üz
💀;kəllə;monstr|nağıl|ölüm|üz
☠️;kəllə və sümüklər;kəllə|monstr|ölüm|təhlükə işarəsi|üz
💩;pox;iyrənc|kakaşka|komik|monstr|peyin|tullantı|üz
🤡;kloun üzü;kloun|üz
👹;div;fantastika|məxluq|monstr|nağıl|şeytan|üz|yapon
👺;qoblin;əsəbi|fantastika|maska|məxluq|monstr|nağıl|üz|yapon
👻;ruh;fantastika|məxluq|monstr|nağıl|üz
👽;yadplanetli;fantastika|kosmos|monstr
👾;yadplanetli monstr;fantastika|kosmos|monstr|yadplanetli
🤖;robot üz;monstr|robot|üz
😺;ağzı açıq gülən pişik üzü;açıq|ağız|dişlərini ağardaraq gülən pişik|pişik|təbəssüm|üz
😸;gözləri gülən dişini ağardan pişik üzü;dişini ağardaraq gülən pişik|dişini ağartmaq|göz|pişik|təbəssüm|üz
😹;sevinc göz yaşları olan pişik üzü;göz yaşı|gülməkdən gözü yaşaran pişik|pişik|sevinc|sevinc göz yaşları axıdan pişik|üz
😻;ürək formalı gözləri olan gülən pişik üzü;göz|pişik|sevgi|təbəssüm|ürək|üz
😼;əyri-əyri gülən pişik üzü;dodağını büzmüş pişik|əyri|kinayə ilə baxan pişik|kinayəli|pişik|təbəssüm|üz
😽;bağlı gözlərlə öpən pişik üzü;göz|gözü bağlı öpüş göndərən pişik|öpüş|pişik|üz
🙀;təəccüblənmiş pişik üzü;əzgin|oh|pişik|təəccüblənmiş|üz
😿;ağlayan pişik üzü;ağlamaq|ağlayan pişik|göz yaşı|göz yaşı axıtmaq|kədərli|pişik|qəmli|üz
😾;acıqlı pişik üzü;acıq etmək|pişik|üz
🙈;pisliyi görümürəm;aman allah|baxmaq|jest|meymun|pis şeyləri görmürəm|qadağa|utancaq meymun
🙉;pisliyi eşitmirəm;eşitmək|jest|meymun|pis sözləri eşitmirəm|qadağa|qulaqlarını bağlamış meymun
🙊;pis danışmıram;ağzını tutmuş meymun|danışmaq|jest|meymun|pis sözlər danışmıram|qadağa
💌;sevgi məktubu;məktub|poçt|romantika|sevgi|ürək
💘;oxlu ürək;amur|ox|romantika|ürək
💝;lentli ürək;lent|sevgi|ürək|valentin
💖;qığılcımlı ürək;həyəcanlı|işıq saçan ürək|qığılcım|sevgi|ürək
💗;böyüyıb ürək;böyümək|həyəcanlı|nervous|ürək|ürək döyüntüsü
💓;döyünən ürək;döyünmək|sevgi|ürək|ürək döyüntüsü
💞;fırlanan ürəklr;143|fırlanan|iki ürək|mələk nömrəsi|ürək
💕;iki ürək;hisslər|sevgi|ürək
💟;ürək bəzəyi;143|mələk nömrəsi|ürək
❣️;ürək nida işarəsi ornamenti;durğu işarəsi|işarə|nida|ürək|ürək formalı nida işarəsi
💔;sınmış ürək;parçalanmış ürək|sındırılmış|sındırmaq|ürək
❤️‍🔥;alovlu ürək;müqəddəs ürək|sevgi|şəhvət|ürək|yanmaq
❤️‍🩹;yara bandlı ürək;özünə gəlmək|sağalma|sağlam|yara bandı bağlamaq
❤️;qırmızı ürək;sevgi|ürək
🩷;çəhrayı ürək;çəhrayı|emosiya|sevgi|şirin|ürək|xoş|xoşlamaq
🧡;narıncı ürək;narıncı
💛;sarı ürək;emosiya|sarı|ürək
💚;yaşıl ürək;ürək|yaşıl
💙;mavi ürək;mavi|ürək
🩵;açıq mavi ürək;açıq mavi|emosiya|mavi|ördəkbaşı|sevgi|səma mavisi|ürək|xoşlamaq
💜;bənövşəyi ürək;bənövşəyi|sevgi|ürək
🤎;qəhvəyi ürək;qəhvəyi|ürək
🖤;qara-ürək adam;pis|qara|ürək|xislət
🩶;boz ürək;boz|gümüş|sevgi|şifer|ürək|xüsusi şəxs
🤍;ağ ürək;ağ|ürək
💋;öpüş işarəsi;dodaq|işarə|öpüş|romantika|ürək
💯;100 xal;100|hundqırmızı|tam|tam razılaşmaq|xal|yüz xal
💢;qəzəb simvolu;acıqlı|hirsli|komik
🫯;savaş buludu;arqument|dava|debat|döyüş|fikir ayrılığı|güləş|təlaş
💥;toqquşma;bum|komik|partlamaq|partlayış
💫;başgicəllənməsi;komik|parıldamaq|parlaq ulduz|ulduz
💦;tər damcıları;komik|sıçramaq|su|su damcısı|tər
💨;sürətli hərəkət;komik|qaçış|tez getmək
🕳️;deşik;dəlik
💬;nitq şarı;danışmaq|dialoq|komik|köpük|nitq|şar
👁️‍🗨️;tanıq işarəsi;göz|nitq qabarcığı|şahid
🗨️;boş nitq şarı;dialoq|nitq
🗯️;sağ qəzəb şarı;acıqlı|əsəbi nitq şarı|hirsli|köpük|şar
💭;düşüncə şarı;bulud|düşüncə|düşüncələrə qərq olmaq|fikirlər|ideyalar|komik|köpük|şar
💤;zzz;komik|yatmaq|yorğun|yuxulu
👋;əl sallayan əllər;əl|əl sallamaq|orqan|sağ ol|sağollaşmaq işarəsi|yelləmə|yelləmək
🤚;yuxarı qalxan əl arxası;arxa|əl|qaldırmaq|yuxarı
🖐️;barmaqları aralı şəkildə qaldırılmış əl;aralı|barmaq|əl|orqan|stop
✋;qaldırımış əl;beş|əl|əl ilə salamlamaq|əl qaldırmaq|əl sallamaq|orqan
🖖;vulkan salamı;barmaq|əl|orqan|spok|vulkan|vulkan salamlaması
🫱;sağ əl;əl|əl çatma|əl sıxma|əl sıxmaq|sağ|sağa|tutmaq
🫲;sol əl;əl|əl çatma|əl sıxma|əl sıxmaq|sol|sola|tutmaq
🫳;aşağı əl;aşağı|damla|düşmə|əl|kənarlaşdırma|seçmək|şu|tutmaq
🫴;yuxarı əl;bilmirəm|əl|gəl|işarə|mənə de|qaldırmaq|təklif|tut|tutmaq
🫷;sola itələyən əl;beş vurmaq|dayan|əl|gözləmək|imtina|itələmək|sola
🫸;sağa basan əl;beş vurmaq|dayan|gözləmək|imtina|itələmək|sağa
👌;ok işarəsi;anladım|əl|ok|oldu|orqan
🤌;çimdik;barmaqlar|əl jesti|sarkastik|sorğu-sual
🤏;sıxan əl;barmaqlar|bir az|kiçik miqdar göstəricisi|kiçik say
✌️;qələbə işarəsi;əl|orqan|qələbə|v
🤞;ümid edirəm;əl|inam|işarə|uğur diləmək jesti|ümid
🫰;əl barmağı və baş barmağı çarpazlanmış vəziyyətdə;<3|bahalı|əl|pul|sevgi|snap|ürək
🤟;sevgi jesti;sevgi əli
🤘;buynuz işarəsi;barmaq|buynuzlar|əl|əla|keçibuynuzu işarəsi|orqan|rok|silkələmək
🤙;mənə zəng et;"mənə zəng et" işarəsi|əlaqə|telefon|yığmaq|zəng
👈;solu göstərən sol əlin işarə barmağı;barmaq|əl|göstərmək|işarə|işarə barmağı|sol əl|sol tərəfi işarə edən barmaq
👉;sağı göstərən sol əlin işarə barmağı;barmaq|əl|göstərmək|işarə|işarə barmağı|sağı göstərən işarə|sol əl
👆;yuxarını göstərən sol əlin işarə barmağı;barmaq|əl|göstərmək|işarə|sol əl|yuxarı|yuxarını göstərən işarə barmağı
🖕;orta barmaq;barmaq|əl
👇;aşağını göstərən sol əlin işarə barmağı;aşağı|aşağını göstərən işarə barmağı|barmaq|əl|göstərmək|işarə|sol əl
☝️;işarə barmağı;barmaq|əl|göstərmək|işarə|yuxarı
🫵;tamaşaçıya işarə edən barmaq;barmaq|əl|işarə|işarə etmək|sən
👍;baş barmaq yuxarı;afərin işarəsi|baş barmaq|bəyəndim işarəsi|əl|əla işarəsi|orqan|yaxşı işarəsi|yuxarı
👎;baş barmaq aşağı;-1|aşağı|baş barmaq|bəyənmədim işarəsi|əl|orqan|pisləmək jesti|yaxşı deyil
✊;qaldırılmış yumruq;əl|həmrəylik|orqan|sıxılmış|yumruğunu sıxmaq|yumruq|yumruqlamaq
👊;yaxınlaşan yumruq;əl|orqan|sıxılmış|yumruq|yumruqla vurmaq|yumruqlamaq
🤛;sola yönələn yumruq;sol|yumruq|zərbə
🤜;sağa yönələn yumruq;sağ|yumruq|zərbə
👏;əl çalan əllər;əl|əl çalmaq|əla işarəsi|orqan|təbrik etmək işarəsi|tərifləmək
🙌;əllərini qaldıran adam;bayram|əl|jest|orqan|qaldırılmış|ura
🫶;əldən ürək;<3|əllər|sevgi|səni sevirəm|ürək
👐;açıq əllər;açıq|əl|orqan|qucaqlama jesti
🤲;əllər yuxarı;arzu|birləşdirilmiş ovuclar|dua
🤝;salamlaşmaq;əl sıxmaq|görüşmək|salam
🙏;qatlanmış əllər;dua etmək|dua etmək işarəsi|əl|jest|orqan|qatlanmış|xahiş etmək
✍️;yazı əli;əl|orqan|qələm|qələmlə yazmaq|yazan əl|yazmaq
💅;dırnaq laklamaq;baxım|dırnaq|dırnaq boyası|kosmetika|lak|manikür|orqan|qulluq
🤳;özçəkim;foto|kamera|selfi|şəkil
💪;qatlanmış əzələ;biseps|əymək|əzələ|fitnes|idmanla məşğul olmaq|komik|press
🦾;mexaniki əl;protez|protez qol
🦿;mexaniki ayaq;protez|protez ayaq
🦵;qıç;ayaq|diz|əza|təpik
🦶;ayaq;pəncə|təpik|topuq
👂;qulaq;bədən|dinləmə|eşitmə|səs
🦻;eşitmə cihazlı qulaq;eşitmə cihazı yerləşdirilmiş qulaq|eşitmə problemi
👃;burun;bədən|iyləmək|qoxu
🧠;beyin;ağıllı|dərrakə|intelligent|zəkalı
🫀;ürək;anatomik|döyüntü|əsl ürək|mərkəz|orqan|puls|qırmızı|ürək döyüntüsü
🫁;ağciyərlər;nəfəs|nəfəsalma|nəfəsvermə|orqan|tərləmə
🦷;diş;ağ|stomatoloq
🦴;sümük;it|skelet
👀;gözlər;axtarmaq|görmək|göz|təəccüb|üz
👁️;göz;görmək işarəsi|orqan
👅;dil;bədən
👄;ağız;dodaq boyası|dodaqlar|öpüş
🫦;dişlənən dodaq;dişləmək|dodaq|dodaq boyası|eşqbazlıq|əsəbi|flört|həyəcanlı|narahat|narahat olmaq|öpüş|qorxu|seksual
👶;körpə;cavan|yeni doğulmuş uşaq
🧒;uşaq;cavan|gender-neytral|gənc
👦;oğlan;cavan|kişi|oğlan uşağı
👧;qız uşağı;cavan|keçi saç yığımı|qız bürcü|zodiak
🧑;böyük;gender-neytral
👱;sarı saçlı adam;adam|sarısaçlı şəxs|sarışın|sarışın kişi|üz
👨;kişi;dost|oğlan
🧔;saqqallı şəxs;saqqal
🧔‍♂️;kişi;saqqal|kişi: saqqal
🧔‍♀️;qadın: saqqal;kişi|kişi: saqqal|saqqal
👨‍🦰;kişi: qırmızı saç;dost|kişi|oğlan|qırmızı saç
👨‍🦱;kişi: buruq saç;buruq saç|dost|kişi|oğlan
👨‍🦳;kişi: ağ saç;ağ saç|dost|kişi|oğlan
👨‍🦲;kişi: keçəl;dost|keçəl|kişi|oğlan
👩;qadın;sarışın|xanım
👩‍🦰;qadın: qırmızı saç;qadın|qırmızı saç|sarışın|xanım
🧑‍🦰;böyük: qırmızı saç;böyük|gender-neytral|qırmızı saç
👩‍🦱;qadın: buruq saç;buruq saç|qadın|sarışın|xanım
🧑‍🦱;böyük: buruq saç;böyük|buruq saç|gender-neytral
👩‍🦳;qadın: ağ saç;ağ saç|qadın|sarışın|xanım
🧑‍🦳;böyük: ağ saç;ağ saç|böyük|gender-neytral
👩‍🦲;qadın: keçəl;keçəl|qadın|sarışın|xanım
🧑‍🦲;böyük: keçəl;böyük|gender-neytral|keçəl
👱‍♀️;sarışın qadın;qadın|sarışın
👱‍♂️;sarışın kişi;kişi|sarışın
🧓;yaşlı böyük;ağsaqqal|gender-neytral|qoca|yaşlı
👴;yaşlı kişi;baba|kişi|qoca|yaşlı
👵;yaşlı qadın;nənə|qadın|sarışın|yaşlı
🙍;qaşqabaqlı adam;hirsli|jest|məyus etmək|narahat|qaraqabaq|qaşlarını çatan qadın|qaşqabaqlı|qəmgin|qəzəbli|usanmış|xoşbəxt olmayan qadın
🙍‍♂️;kefsiz kişi;jest|kişi|qanıqara kişi|qaşqabaqlı
🙍‍♀️;kefsiz qadın;jest|qadın|qaşbaqlı
🙎;acıq edən adam;acığı tutmaq|acıq etmək|acıqlı qız|ağlayıb-sızlamaq|jest|küsmüş qız|məyus|məyus etmək|məzlum|qaşlarını çatmaq|qaşqabağını tökmək|üz-gözünü turşutmaq
🙎‍♂️;acıqlı kişi;acıqlı|jest|kişi|narazı kişi|qaşqabaqlı adam
🙎‍♀️;acıqlı qadın;acıqlı|jest|qadın
🙅;yox jesti;"olmaz" işarəsi|"qadağandır" deyən qadın|"qadağandır" işarəsi|əl|əsla|istisna etmək|jest|qadağa|qadağan etmək|qadağan olunmuş|xeyr|yox
🙅‍♂️;əleyhinə olan kişi;əl|əleyhinə|jest|kişi|qadağandır|yox
🙅‍♀️;əleyhinə olan qadın;əl|əleyhinə|jest|qadağandır|qadın
🙆;ok jesti;Aman Allahım jesti|əl|jest|məşq|ok|razılaşan qadın
🙆‍♂️;lehinə olan kişi;əl|jest|kişi|lehinə|razılaşan kişi
🙆‍♀️;lehinə olan qadın;əl|jest|lehinə|qadın
💁;məlumat verən şəxs;ciddi şəkildə|davranışsız|əl|hər nə isə|istehza|istehzalı|kobud|kömək|məlumat|məlumat verən qadın|qeybət|saçını arxaya atma|saçını özündənrazı şəkildə yellətmə|yardım|yardım təklif etmək
💁‍♂️;əl uzadan kişi;əl uzatmaq|kişi|məlumat verən kişi|sırtıq|yardım edən kişi
💁‍♀️;əl uzadan qadın;əl uzamaq|qadın|sırtıq
🙋;əlini qaldıran xoşbəxt adam;"mən bilirəm" emojisi|elə burada|əl|əlini qaldıran qadın|əllər|jest|Kömək edə bilərəm|məhz burada|məni|məni seç|qaldırılmış|sual|xoşbəxt
🙋‍♂️;əl qaldıran kişi;əl qaldırmaq|əl sallayan kişi|jest|kişi|sual vermək istəyən kişi
🙋‍♀️;əl qaldıran qadın;əl qaldırmaq|jest|qadın
🧏;kar şəxs;eşitmə|eşitmə problemi olan adam|kar|qulaq
🧏‍♂️;kar kişi;kar|kişi
🧏‍♀️;kar qadın;kar|qadın
🙇;tənzim edən adam;bağışlamaq|heyifsilənmək|jest|meditasiya|meditasiya etmək|səcdə edən kişi|təəssüf hissi keçirmək|tənzim etmək|təzim etmək|üzr|üzr istəmək|yalvarmaq
🙇‍♂️;baş əyən kişi;alqış|jest|kişi|lehinə|tənzim|üzrxahlıq
🙇‍♀️;baş əyən qadın;alqış|jest|lehinə|qadın|tənzim|üzrxahlıq
🤦;inanmaq olmur;acıqlanma|Aman Allahım|bir də yox|daha sözüm yoxdur|inamsızlıq|inanılmaz|oy yox|pərt olmaq|təəccübdən başını yellətmək|təngimiş şəxs|üzünü tutan şəxs
🤦‍♂️;üzünü tutan kişi;acıq edən kişi|acıqlanma|Aman Allahım|bir də yox|inamsızlıq|kişi|oy yox|pərt olmaq|qəzəb|təəccübdən başını yellətmək|üzünü tutmaq
🤦‍♀️;üzünü tutan qadın;acıqlanma|Aman Allahım|bir də yox|inamsızlıq|oy yox|pərt olmaq|qadın|təəccübdən başını yellətmək|təəccübləndirmək|təngimiş qadın|üzünü tutmaq
🤷;çiynini çəkmək;bəlkə|biganəlik|bilinmir|bilməmək|bilmirəm|çiynini çəkən şəxs|ehtimal ki|hər nə isə|kim bilir|laqeydlik|məlumatsızlıq|şübhə|tərəddüd
🤷‍♂️;çiynini çəkən kişi;bəlkə|bilinmir|bilməzlik|bilmirəm|çiynini çəkmək|ehtimal ki|hər nə isə|kim bilir|kişi|laqeydlik|məlumatsızlıq|şübhə
🤷‍♀️;çiynini çəkən qadın;bəlkə|bilinmir|bilməzlik|bilmirəm|çiynini çəkmək|ehtimal ki|hər nə isə|kim bilir|laqeydlik|məlumatsızlıq|qadın|şübhə
🧑‍⚕️;tibb işçisi;həkim|səhiyyə|terapist
👨‍⚕️;kişi həkim;həkim|kişi|səhiyyə|terapevt|xəstə baxıcısı
👩‍⚕️;qadın həkim;həkim|qadın|səhiyyə|terapevt|tibb bacısı
🧑‍🎓;tələbə;məzun
👨‍🎓;oğlan tələbə;kişi|məzun|tələbə
👩‍🎓;qız tələbə;məzun|qadın|tələbə
🧑‍🏫;müəllim;instruktor|professor
👨‍🏫;kişi müəllim;akademik|kişi|müəllim|professor|təlimçi
👩‍🏫;qadın müəllim;müəllim|professor|qadın
🧑‍⚖️;hakim;tərəzi
👨‍⚖️;kişi hakim;ədalət|kişi|tərəzi
👩‍⚖️;qadın hakim;ədalət|hakim|qadın|tərəzi
🧑‍🌾;fermer;bağban|rençer
👨‍🌾;kişi fermer;bağban|fermer|kişi
👩‍🌾;qadın fermer;bağban|fermer|qadın
🧑‍🍳;aşpaz;baş aşpaz
👨‍🍳;kişi aşbaz;aşbaz|aşpaz|kişi|şef
👩‍🍳;qadın aşbaz;aşbaz|aşpaz|qadın|şef
🧑‍🔧;mexanik;elektrik|santexnik|ticarətçi
👨‍🔧;kişi mexanik;çilingər|elektrik|kişi|mexanik|peşəkar
👩‍🔧;qadın mexanik;çilingər|elektrik|mexanik|peşəkar|qadın
🧑‍🏭;fabrik işçisi;fabrik|işçi|sənaye|yığım
👨‍🏭;kişi fabrik işçisi;fabrik|işçi|kişi|sənaye|yığım
👩‍🏭;qadın fabrik işçisi;fabrik|işçi|qadın|sənaye|yığım
