😀;leveä hymy;hymy|kasvot|naama|virnistys
🫡;kunnioittava tervehdys;joukot|käsi lippaan|kunniatervehdys|kyllä|ok|palveluksessanne|selvä
🤐;vetoketjusuu;naama|suu|vetoketju
🤨;kohotetut kulmakarvat;epäilevä|kasvot|mietteliäs|naama|skeptinen
😐;naama peruslukemilla;naama|neutraali|peruslukemat|pettynyt|surullinen|tunteeton
😑;ilmeetön;kasvot|naama|tunteeton|tyhjä|vihainen
😶;naama ilman suuta;hiljaa|hiljainen|naama|sanaton|suu
🫥;katkoviivalla piirretty naama;haihtuva|häviävä|introvertti|katoava|masentunut|näkymätön|piiloon
😶‍🌫️;naama pilvissä;hajamielinen|naama sumussa|pää pilvissä
😏;virnistys;huvittunut|hymy|naama|virne
😒;ei naurata;naama|onneton
🙄;silmien pyöritys;ihan sama|naama|pyörivä|silmät
😬;irvistävä;irvistys|naama
😮‍💨;hämmästynyt;hämmästyä|haukkoa henkeään|helpotus|hymiö|kuiskaus|puhaltaa|tupakointi|uupunut|vihellys
🤥;valehteleva;kasvot|valehdella|valehtelija
🫨;tärisevä;hymiö|maanjäristys|naama|omg|paniikki|shokissa|tärähdys|vapiseva|värisevä|yllättynyt
🙂‍↔️;ravistaa päätä vaakasuunnassa;ei|pudistus
🙂‍↕️;ravistaa päätä pystysuunnassa;kyllä|nyökkäys
😌;helpottunut;helpotus|naama
😔;pohdiskeleva;ajatteleva|lannistunut|mietteliäs|naama
😪;unelias;naama|uni
🤤;kuolaava;kasvot|kuola|kuolata|naama
😴;nukkuva;naama|uni|väsynyt|yö|zzz
🫩;silmäpussit;pussit silmien alla|uninen|uupunut|väsynyt
😷;naama ja hengityssuoja;flunssa|lääkäri|lääke|naama|sairas|suoja
🤒;naama ja kuumemittari;kasvot|kipeä|kuume|lämpö|lämpömittari|naama|sairas
🤕;naama ja pääside;kipeä|loukkaantunut|naama|sairas|side|vamma
🤢;pahoinvoiva;kasvot|oksentaa|pahoinvoida|pahoinvointi
🤮;oksentava;darra|kasvot|naama|oksennus|oksentaa|pahoinvointi|yrjötä
🤧;aivastava;aivastaa|aivastus|kasvot|naama|terveydeksi
🥵;kuumottava;hikoilee|kuume|kuumeinen|kuumissaan|lämpöhalvaus|punanaama|sairaus
🥶;paleleva;jääpuikot|jäätynyt|kasvot|kylmä|kylmettynyt|sininen naama
🥴;tokkurainen naama;aaltoileva suu|heikotus|humala|huppelissa|kännissä|päissään|silmät sikkaralla|tokkurainen
😵;tajuton;huimaus|kuollut|naama|pyörtyvä|tuupertuva
😵‍💫;naama jolla spiraalisilmät;apua|huimata|hymiö|hypnoosissa|naama|ongelmia|sekava|spiraali
🤯;räjähdys päässä;järkytys|naama|paukku|räjähdys|raju|sokki
🤠;cowboy-hattu;cowboy|hattu|kasvot
🥳;juhliva;hattu|juhla|juhlia|kasvot|leikki|pilli|syntymäpäivä
🥸;naamioitunut;henkilö|lasit|naama|naamio|nenä|tuntematon|valepuku|viikset
😎;aurinkolasihymy;aurinko|aurinkolasit|cool|hymy|lasit
🤓;nörtti;fiksu|hymiö|jänöhammas|naama|silmälasit
🧐;monokkeli silmässä;fiinu|kalkkis|katse|vanhanaikainen
😕;hämmentynyt;häkeltynyt|hämmennys|naama
🫤;naama suu vinossa;epäilevä|epävarma|hämmentynyt|pah|pettynyt|pyh|skeptinen|turhautunut
😟;huolestunut;huoli|naama
🙁;hieman surullinen;naama|surullinen
☹️;surullinen;naama|suru|tuomitseva
😮;yllättynyt;auki|empatia|naama|suu
😯;järkyttynyt;naama|sanaton|yllättynyt
😲;ällistynyt;ihmetys|järkyttynyt|naama|tosi
😳;punastunut naama;naama|punastunut|tyrmistynyt|vau
🫪;vääristyneet kasvot;ahdistus|haavoittuvainen|järkyttynyt|paniikki|turvonnut|yllättynyt
🥺;anova;koiranpentuilme|sääli
🥹;kyyneliä pidättelevä naama;hämmentynyt|itku|kiitollinen|pidätellä itkua|surullinen|tunteellinen|tunteet|vihainen|ylpeä
😦;surullinen ja suu auki;auki|naama|surullinen|suu
😧;ahdistunut;ahdistus|hätä|naama
😨;pelokas;huolestunut|naama|pelästynyt|pelko|yllättynyt
😰;avoin suu ja kylmänhiki;auki|hiki|kylmä|naama|sininen|suu
😥;pettynyt mutta helpottunut;ahdistunut|helpottunut|hiki|huh|naama|pettynyt|vaikea
😢;itkevä;itku|kyynel|naama|surullinen
😭;ääneen itkevä;itku|kyynel|naama|nyyhky|surullinen
😱;pelokas huuto;huuto|Munch|naama|pelko|pelokas
😖;tyrmistynyt;hämmentynyt|naama|pöyristynyt
😣;kärsivä;hellittämätön|naama|peräänantamaton|sisukas
😞;pettynyt;naama|pettymys
😓;kylmänhiki;hiki|kylmä|naama
😩;uupunut;naama|poikki|uupumus|väsynyt
😫;väsynyt;naama|uupumus|väsymys
🥱;haukotteleva naama;haukotus|kasvot|kyllästynyt|uni|väsynyt
😤;höyryä nenästä;höyry|naama|surullinen|vihainen|voittaja|voitto
😡;mököttävä;naama|punainen|raivo|suuttunut|vihainen
😠;vihainen;kiukku|naama|raivo|suuttunut|viha
🤬;sensuroitu suu;kasvot|kiroilu|sensuuri|vihainen
😈;pirullinen hymy ja sarvet;fantasia|hymy|naama|piru|sarvet|satu
👿;pikkupaholainen;demoni|fantasia|naama|piru|satu
💀;pääkallo;hirviö|kuolema|naama|ruumis|satu
☠️;pääkallo ja reisiluut;hirviö|kuolema|myrkyllinen|naama|pääkallo|reisiluut|ruumis
💩;kakkakasa;hirviö|kakka|lanta|naama|sarjakuva|sonta
🤡;pelle;kasvot|klovni
👹;peikko;fantasia|hirviö|japanilainen|naama|olio|satu
👺;hiisi;fantasia|hirviö|japanilainen|menninkäinen|naama|olio|satu
👻;kummitus;fantasia|hirviö|naama|olio|satu
👽;avaruusolio;alien|olio
👾;avaruushirviö;avaruusmonsteri|avaruusolio|naama|olio
🤖;robotti;hirviö|naama|robottinaama
😺;leveästi hymyilevä kissa;auki|hymy|kissa|naama|suu
😸;virnistävä kissa ja hymyilevät silmät;hymy|kissa|naama|silmä|virnistys
😹;kissa ja naurunkyyneleet;ilo|kissa|kissanaama ja naurunkyyneleet|kyyneleet|naama|nauru
😻;kissa ja sydänsilmät;hymy|kissa|kissanaama ja sydänsilmät|naama|rakkaus|silmä|sydän
😼;vinosti hymyilevä kissa;hymy|ironinen|kissa|naama|vino
😽;kissan pusunaama ja suljetut silmät;kissa|naama|pusu|silmä|suukko
🙀;yllättynyt kissa;eläin|kissa|naama|oho|yllättynyt
😿;itkevä kissa;itku|kissa|kyynel|naama|surullinen
😾;mököttävä kissa;kissa|mököttävä|naama
🙈;en näe pahaa;apina|ei|ele|kielletty|paholainen|pelokas
🙉;en kuule pahaa;apina|ei|ele|kielletty
🙊;en puhu pahaa;apina|eläin|hiljaa|hups|kielletty
💌;rakkauskirje;kirje|posti|rakkaus|romantiikka|sydän
💘;sydän ja nuoli;amor|nuoli|romantiikka|sydän
💝;sydän ja lahjanauha;nauha|rakkaus|sydän|vuosipäivä|ystävänpäivä
💖;kimaltava sydän;innostunut|kimalle|sydän
💗;kasvava sydän;hermostunut|innostunut|kasvava|sydämen syke|sydän
💓;sykkivä sydän;sydän|syke|sykkiä|sykkivä
💞;toisiaan kiertävät sydämet;pyörivä|sydän
💕;kaksi sydäntä;kaksi|merkkipäivä|rakkaus|sydän|xoxo
💟;sydänkoriste;143|sydän|tunne
❣️;sydänhuutomerkki;huutomerkki|sydän|välimerkit
💔;särkynyt sydän;särkyä|särkynyt|suru|sydän|tunne|yksin
❤️‍🔥;palava sydän;himo|liekki|palaa|pyhä sydän|rakkaus|sydän
❤️‍🩹;parantuva sydän;elpyvä|hyvinvoiva|parantuminen|parantuva|tervehtyvä|toipuminen
❤️;punainen sydän;punainen|rakkaus|sydän|tunne
🩷;pinkki sydän;pinkki|rakkaus|söpö|sydän|tunne|tykkäys|vaaleanpunainen
🧡;oranssi sydän;oranssi|sydän
💛;keltainen sydän;keltainen|sydän
💚;vihreä sydän;sydän|vihreä
💙;sininen sydän;rakkaus|romanssi|sininen|sydän|tunne
🩵;vaaleansininen sydän;rakkaus|sinivihreä|syaani|sydän|tunne|vaaleansininen
💜;violetti sydän;sydän|violetti
🤎;ruskea sydän;ruskea|sydän
🖤;musta sydän;musta|sydän
🩶;harmaa sydän;harmaa|hopea|rakkaus|siniharmaa|sydän|tunne
🤍;valkoinen sydän;sydän|valkoinen
💋;huulipunajälki;huulet|jälki|pusu
💯;sata pistettä;100|pisteet|täydet
💢;viha;pettynyt|sarjakuva|vihainen
🫯;tappelupilvi;argumentti|erimielisyys|metakka|nujakka|paini|tappelu|väittely
💥;törmäys;pum|sarjakuva
💫;pyörryttävä;sarjakuva|tähti
💦;hikipisarat;hiki|sarjakuva|vesi
💨;pikalähtö;juoksu|sarjakuva
🕳️;musta aukko;musta|pallo|reikä
💬;puhekupla;ilmapallo|keskustelu|kupla|puhe|sarjakuva
👁️‍🗨️;puhekuplasilmä;puhekupla|silmä|silminnäkijä|todistaja
🗨️;vasen puhekupla;keskustelu|puhe
🗯️;oikea vihainen puhekupla;ilmapallo|kupla|puhekupla|vihainen
💭;ajatuskupla;ajatus|haaveet|ilmapallo|kupla|sarjakuva
💤;zzz;sänky|sarjakuva|uni|väsynyt|yö
👋;käden heilautus;heilautus|käsi|vartalo|vilkuttaa|vilkutus
🤚;kämmenselkä koholla;kädenselkä|kädenselkä koholla|kohotettu
🖐️;nostettu käsi ja sormet erillään;käsi|levitetty|sormi|vartalo
✋;nostettu käsi;käsi|vartalo
🖖;vulkanilaisten tervehdys;käsi|sormi|spock|vartalo|vulkanilainen
🫱;oikealle ojentuva käsi;kädenojennus|käsi|oikea käsi|oikealle
🫲;vasemmalle ojentuva käsi;kädenojennus|käsi|vasemmalle|vasen
🫳;käsi kämmen alaspäin;ei kelpaa|hätistää|hätyyttää|hus|hylätä|nostaa|noutaa|pudottaa|tarttua
🫴;käsi kämmen ylöspäin;houkutella|käsi|kutsua|nostaa|pidellä|pyydystää|tarjota|viittilöidä|viittoa
🫷;vasemmalle työntävä käsi;käsi|kieltäytyä|odota|seis|stop|työntö|vartalo|vasemmalle|ylävitonen
🫸;oikealle työntävä käsi;käsi|kieltäytyä|odota|oikealle|seis|stop|työntö|vartalo|ylävitonen
👌;ok-sormiele;käsi|ok|vartalo
🤌;sormet supussa;käsi supussa|käsiele|kuulustelu|mitä|sarkastinen|sormet|supussa
🤏;nipistävä käsi;hippunen|nipistys|nipistysote|pieni määrä|sormet|vähäinen määrä|vähän
✌️;voitonmerkki;käsi|v|vartalo|voitto
🤞;sormet ristissä;käsi|narrata|onni|risti|sormi
🫰;etusormi ja peukalo ristissä;anna rahaa|hinta|kallis|napsautus|raha|rakkaus|sydän
🤟;rakastan sinua -ele;fanitus|käsi|kolme sormea|rakkaus
🤘;sarviele;käsi|rock|sarvet|sormi|vartalo
🤙;soita minulle;käsi|puhelu|soita
👈;kämmenselkä ja etusormi vasemmalle;etusormi|kämmenselkä|käsi|osoittaa|sormi|vartalo|vasemmalle osoittava etusormi kämmenselkä katsojaan päin
👉;kämmenselkä ja etusormi oikealle;etusormi|kämmenselkä|käsi|oikealle osoittava etusormi kämmenselkä katsojaan päin|osoittaa|sormi|vartalo
👆;kämmenselkä ja etusormi ylös;etusormi|kämmenselkä|käsi|osoittaa|sormi|vartalo|ylös|ylös osoittava etusormi kämmenselkä katsojaan päin
🖕;keskisormi;käsi|keskari|sormi|vartalo
👇;kämmenselkä ja etusormi alas;alas|alas osoittava etusormi kämmenselkä katsojaan päin|etusormi|kämmenselkä|käsi|osoittaa|sormi|vartalo
☝️;ylös osoittava etusormi;etusormi|käsi|osoittaa|sormi|vartalo|ylös
🫵;etusormi osoittaa katsojaa;osoittaa|sinä|sinä siinä
👍;peukalo ylös;+1|käsi|peukalo|peukku|vartalo|ylös
👎;peukalo alas;-1|alas|käsi|peukalo|vartalo
✊;nostettu nyrkki;isku|käsi|nyrkki|puristettu|vartalo
👊;kohti tuleva nyrkki;isku|käsi|nyrkki|puristettu|vartalo
🤛;nyrkki vasemmalle;nyrkki|vasen
🤜;nyrkki oikealle;nyrkki|oikea
👏;käsien taputus;käsi|taputtaa|vartalo
🙌;nousevat kädet;ele|hurraa|juhla|käsi|nostettu|vartalo
🫶;sydänkuvio käsillä;rakas|rakastaa|rakastan sinua|rakkaus|sydän|sydänkädet
👐;avoimet kädet;avoin|halaus|käsi|vartalo
🤲;kämmenet vierekkäin;anelu|kämmenet|toive
🤝;kädenpuristus;käsi|kätellä|sopimus|tapaaminen
🙏;kämmenet yhdessä;kämmenet|kiitos|kumarrus|pliis|pyyntö|rukous|yläfemma
✍️;kirjoittava käsi;käsi|kirjoittaa|vartalo
💅;kynsilakka;kosmetiikka|kynsi|kynsihuolto|lakka|manikyyri|vartalo
🤳;selfie;kamera|omakuva|puhelin
💪;pullistettu hauis;hauis|lihas|pullistaa|sarjakuva|vartalo
🦾;tekokäsi;esteettömyys
🦿;tekojalka;esteettömyys
🦵;jalka;alaraaja|potkaista|potku|raaja
🦶;jalkaterä;potkaista|potku|tallata|töminä
👂;korva;kuulo|kuunnella|pää|vartalo
🦻;kuulolaite korvassa;esteettömyys|huonokuuloinen|kuulolaite|kuulonalenema
👃;nenä;haju|pää|tuoksu|vartalo
🧠;aivot;äly|pää|vartalo|viisas
🫀;sydän;elin|kardiologia|pulssi|syke|verenkierto
🫁;keuhkot;elin|hengitys|henkäisy
🦷;hammas;hammaslääkäri|hampaisto|lääkäri
🦴;luu;koira|luuranko|luusto
👀;silmät;naama|silmä|vartalo
👁️;silmä;pää|vartalo
👅;kieli;pää|suu|uhma|vartalo
👄;suu;huulet|pää|vartalo
🫦;purra huulta;flirttaileva|hermostunut|huolestunut|huuli|huulipuna|kiusaantunut|pelokas|seksikäs|vaivautunut
👶;vauva;lapsi|nuori|raskaana
🧒;lapsi;lapsuus|nuori|sukupuolineutraali
👦;poika;miespuolinen|nuori
👧;tyttö;horoskooppi|horoskooppimerkki|neiti|neito|neitsyt|nuori|tytär
🧑;aikuinen;aikaihminen|aikuisuus|keski-ikäinen|sukupuolineutraali|täysikasvuinen
👱;vaaleatukkainen henkilö;blondi|hiukset|vaalea|vaaleahiuksinen henkilö
👨;mies;miespuolinen
🧔;parrakas henkilö;karvainen|parta|pulisongit|sänki|viikset
🧔‍♂️;parrakas mies;mies|parta
🧔‍♀️;parrakas nainen;nainen|parta
👨‍🦰;mies: punatukkainen;mies|miespuolinen|punatukkainen
👨‍🦱;mies: kiharatukkainen;kiharatukkainen|mies|miespuolinen
👨‍🦳;mies: valkotukkainen;mies|miespuolinen|valkotukkainen
👨‍🦲;mies: kalju;kalju|mies|miespuolinen
👩;nainen;aikuinen|naispuolinen
👩‍🦰;nainen: punatukkainen;aikuinen|nainen|naispuolinen|punatukkainen
🧑‍🦰;aikuinen: punatukkainen;aikaihminen|aikuinen|aikuisuus|keski-ikäinen|punatukkainen|sukupuolineutraali|täysikasvuinen
👩‍🦱;nainen: kiharatukkainen;aikuinen|kiharatukkainen|nainen|naispuolinen
🧑‍🦱;aikuinen: kiharatukkainen;aikaihminen|aikuinen|aikuisuus|keski-ikäinen|kiharatukkainen|sukupuolineutraali|täysikasvuinen
👩‍🦳;nainen: valkotukkainen;aikuinen|nainen|naispuolinen|valkotukkainen
🧑‍🦳;aikuinen: valkotukkainen;aikaihminen|aikuinen|aikuisuus|keski-ikäinen|sukupuolineutraali|täysikasvuinen|valkotukkainen
👩‍🦲;nainen: kalju;aikuinen|kalju|nainen|naispuolinen
🧑‍🦲;aikuinen: kalju;aikaihminen|aikuinen|aikuisuus|kalju|keski-ikäinen|sukupuolineutraali|täysikasvuinen
👱‍♀️;vaaleatukkainen nainen;blondi|hiukset|nainen|vaalea|vaaleahiuksinen nainen
👱‍♂️;vaaleatukkainen mies;blondi|hiukset|mies|vaalea|vaaleahiuksinen mies
🧓;vanhus;ikäihminen|seniori|sukupuolineutraali|vanha
👴;vanha mies;mies|vanha
👵;vanha nainen;mummi|mummo|nainen|vanha
🙍;surullinen henkilö;ele|surullinen
🙍‍♂️;surullinen mies;ele|harmi|mies|suru
🙍‍♀️;surullinen nainen;harmi|nainen|suru
🙎;mököttävä henkilö;ele|mököttävä
🙎‍♂️;mököttävä mies;ele|harmi|mies|mökötys
🙎‍♀️;mököttävä nainen;harmi|mökötys|nainen
🙅;ei-ele;ei|ele|käsi|kielletty
🙅‍♂️;ei käy -merkkiä näyttävä mies;ei|ele|kielletty|mies
🙅‍♀️;ei käy -merkkiä näyttävä nainen;ei|ele|kielletty|nainen
🙆;ok-ele;ele|harjoittelu|käsi|nainen|ok
🙆‍♂️;ok-merkkiä näyttävä mies;ele|kyllä|mies|ok
🙆‍♀️;ok-merkkiä näyttävä nainen;ele|kyllä|nainen|ok
💁;kämmentä ylöspäin näyttävä henkilö;apu|info|käsi|nenäkäs
💁‍♂️;kämmentä ylöspäin näyttävä mies;käsi|mies|nenäkäs
💁‍♀️;kämmentä ylöspäin näyttävä nainen;käsi|nainen|nenäkäs
🙋;iloinen henkilö viittaa;ele|iloinen|käsi|nostettu|viittaa
🙋‍♂️;viittaava mies;ele|käsi|mies|viittaus
🙋‍♀️;viittaava nainen;käsi|nainen|viittaus
🧏;kuuro henkilö;esteettömyys|korva|kuulo|kuuro
🧏‍♂️;kuuro mies;kuuro|mies
🧏‍♀️;kuuro nainen;kuuro|nainen
🙇;kumartava henkilö;anteeksi|anteeksipyyntö|ele|kumarrus
🙇‍♂️;syvään kumartava mies;anteeksipyyntö|ele|kumarrus|mies
🙇‍♀️;syvään kumartava nainen;anteeksipyyntö|ele|kumarrus|nainen|pahoillaan
🤦;peittää kasvot kädellä;ei taas|epätoivo|epäusko|facepalm|ihminen|järkytys|käsi|kasvot|omg|peittää kasvot kämmenellä|pettymys|turhautuneisuus|voi ei
🤦‍♂️;kasvonsa kädellä peittävä mies;epäusko|käsi|kasvot|mies|pettymys|smh
🤦‍♀️;kasvonsa kädellä peittävä nainen;käsi|kasvot|nainen|pettymys
🤷;olkapäitään kohauttava henkilö;ehkä|ei välitä|en tiedä|epäilys|epävarmuus|ihan sama|kohauttaa olkapäitään|niin kai|olankohautus|tietämättömyys|välinpitämättömyys
🤷‍♂️;olkapäitään kohauttava mies;ehkä|ei välitä|en tiedä|epäilys|epävarmuus|ihan sama|kohauttaa olkapäitään|niin kai|olankohautus|tietämättömyys|välinpitämättömyys
🤷‍♀️;olkapäitään kohauttava nainen;ehkä|ei välitä|en tiedä|epäilys|epävarmuus|ihan sama|kohauttaa olkapäitään|niin kai|olankohautus|tietämättömyys|välinpitämättömyys
🧑‍⚕️;hoitotyöntekijä;lääkäri|sairaanhoitaja|terapeutti|terveydenhoito
👨‍⚕️;mieshoitotyöntekijä;lääkäri|mies|sairaanhoitaja|terapeutti|terveydenhuolto
👩‍⚕️;naishoitotyöntekijä;lääkäri|nainen|sairaanhoitaja|terapeutti|terveydenhuollon naisammattilainen|terveydenhuolto
🧑‍🎓;opiskelija;lakki|opiskelu|valmistujaiset
👨‍🎓;miesopiskelija;lakki|mies|opiskelu|valmistujaiset
👩‍🎓;naisopiskelija;lakki|nainen|opiskelija|opiskelu|valmistujaiset|valmistunut
🧑‍🏫;opettaja;koulu
👨‍🏫;miesopettaja;koulu|mies|ohjaaja|opettaja
👩‍🏫;naisopettaja;koulu|nainen|opettaja
🧑‍⚖️;tuomari;vaaka
👨‍⚖️;miestuomari;laki|mies|oikeus|tuomari
👩‍⚖️;naistuomari;laki|nainen|oikeus|tuomari
🧑‍🌾;maanviljelijä;farmari|puutarhuri
👨‍🌾;miesmaanviljelijä;maanviljelijä|mies|puutarhuri|sato
👩‍🌾;naismaanviljelijä;maanviljelijä|nainen|puutarhuri|sato
🧑‍🍳;kokki;keittiömestari
👨‍🍳;mieskokki;kokki|mies|paistinpannu|ruoka
👩‍🍳;naiskokki;kokki|nainen|paistinpannu|ruoka
🧑‍🔧;mekaanikko;putkiasentaja|sähköasentaja|työkalu
👨‍🔧;miesmekaanikko;jakoavain|mekaanikko|mies|työkalu
👩‍🔧;naismekaanikko;jakoavain|mekaanikko|nainen|työkalu
🧑‍🏭;tehdastyöntekijä;kokoaminen|tehdas|teollisuus|työntekijä
👨‍🏭;miestehdastyöntekijä;hitsaaja|mies|tehdas|työntekijä
👩‍🏭;naistehdastyöntekijä;hitsaaja|nainen|tehdas|työntekijä
🧑‍💼;toimistotyöntekijä;arkkitehti|toimisto|valkokaulus|yritys
👨‍💼;miestoimistotyöntekijä;mies|pomo|toimisto|työntekijä|valkokaulus
👩‍💼;naistoimistotyöntekijä;nainen|toimisto|työntekijä|valkokaulus
🧑‍🔬;tutkija;biologi|insinööri|kemisti|lääkäri|tiede
👨‍🔬;miestutkija;biologi|matemaatikko|mies|tiede|tutkija
👩‍🔬;naistutkija;nainen|tiede|tutkija
🧑‍💻;IT-työntekijä;kehittäjä|keksijä|koodari|ohjelmisto
👨‍💻;IT-mies;IT|koodaus|mies|tietokone
👩‍💻;IT-nainen;IT|koodaus|nainen|tietokone
🧑‍🎤;laulaja;karaoke|mikki
👨‍🎤;mieslaulaja;karaoke|laulaja|mies|mikki
👩‍🎤;naislaulaja;karaoke|laulaja|mikki|nainen
🧑‍🎨;artisti;paletti|taiteilija
👨‍🎨;miestaiteilija;maalari|mies|miesartisti|taide|taiteilija
👩‍🎨;naistaiteilija;kuvataiteilija|maalari|nainen|naisartisti|taide|taiteilija
🧑‍✈️;pilotti;lentäjä|lentokone
👨‍✈️;miespilotti;lentäjä|lentokone|mies|pilotti
👩‍✈️;naispilotti;lentäjä|lentokone|nainen|pilotti
🧑‍🚀;astronautti;raketti
👨‍🚀;miesastronautti;astronautti|avaruus|mies
👩‍🚀;naisastronautti;astronautti|avaruus|nainen
🧑‍🚒;pelastaja;paloauto
👨‍🚒;palomies;mies|tulipalo|tulitaistelija
👩‍🚒;palonainen;nainen|tulipalo|tulitaistelija
👮;poliisi;etsivä|konstaapeli|kyttä|laki
👮‍♂️;miespoliisi;etsivä|konstaapeli|kyttä|laki|mies|poliisi
👮‍♀️;naispoliisi;etsivä|konstaapeli|kyttä|laki|nainen|poliisi
🕵️;etsivä;salapoliisi|vakooja
🕵️‍♂️;miesetsivä;etsivä|mies|salapoliisi|vakooja
🕵️‍♀️;naisetsivä;etsivä|nainen|salapoliisi|vakooja
💂;vartija;
💂‍♂️;miesvartija;mies|vartija
💂‍♀️;naisvartija;nainen|vartija
🥷;ninja;piilossa|sotilas|soturi|taistelija|väijyy
👷;rakennustyöläinen;hattu|rakennus|työmies
👷‍♂️;rakennusmies;mies|rakennustyöläinen|raksa
👷‍♀️;rakennusnainen;kypärä|nainen|rakennus|rakennustyöläinen|raksa
🫅;kruunua kantava henkilö;aatelinen|kruunupäinen|kuningas|kuningatar|kuninkaallinen|monarkki|ruhtinaallinen
🤴;prinssi;fantasia|kruunu|kuninkaallinen|satuprinssi
👸;prinsessa;fantasia|kruunu|kuninkaallinen|satuprinsessa
👳;turbaanipäinen henkilö;henkilö|turbaani
👳‍♂️;turbaanipäinen mies;mies|turbaani
👳‍♀️;turbaanipäinen nainen;nainen|turbaani
👲;mies ja kiinalainen hattu;gua pi mao|hattu|mies
🧕;huivipäinen nainen;hijab|khimār|mantilja|pääliina|silkkihuivi|tichel
🤵;henkilö smokissa;häät|henkilö|smokki|smokkipukuinen henkilö
🤵‍♂️;mies smokissa;häät|mies|smokki|smokkipukuinen mies
🤵‍♀️;nainen smokissa;häät|nainen|smokki|smokkipukuinen nainen
👰;huntupäinen henkilö;häät|huntu
👰‍♂️;huntupäinen mies;häät|huntu|mies|mies ja huntu
👰‍♀️;huntupäinen nainen;häät|huntu|nainen|nainen ja huntu
🤰;raskaana oleva nainen;maha|masu|nainen|paisunut|raskaana|täynnä|täysi|turvonnut
🫃;raskaana oleva mies;maha|masu|paisunut|täynnä|täysi|turvonnut
🫄;raskaana oleva henkilö;maha|masu|paisunut|täynnä|täysi|turvonnut
🤱;imetys;äiti|imettää|rintamaito|ruokkia|syöttää|vauva
👩‍🍼;vauvaa syöttävä nainen;äiti|imettävä|nainen|syöttävä|vauva
👨‍🍼;vauvaa syöttävä mies;imettävä|isä|mies|syöttävä|vastasyntynyt|vauva
🧑‍🍼;vauvaa syöttävä henkilö;henkilö|imettävä|imetys|isä|syöttävä|vanhempi|vastasyntynyt|vauva|vauvaa imettävä henkilö
👼;vauvaenkeli;enkeli|fantasia|naama|satu|vauva
🎅;joulupukki;fantasia|joulu|juhla|satu
🤶;joulupukin muori;joulu|muori
🧑‍🎄;tonttu;joulu|joulupukki|joulutonttu|xmas
🦸;supersankari;batman|hyvä|hyvis|sankari|sankaritar|supermies|supervoimat
🦸‍♂️;miessupersankari;hyvä|hyvis|sankari|supervoimat
🦸‍♀️;naissupersankari;hyvä|hyvis|sankari|sankaritar|supervoimat
🦹;superpahis;kelmi|konna|paha|rikollinen|roisto|supervoimat
🦹‍♂️;miessuperpahis;kelmi|konna|paha|rikollinen|roisto|supervoimat
🦹‍♀️;naissuperpahis;kelmi|konna|paha|rikollinen|roisto|supervoimat
