😀;nevető arc;arc|boldog|fogak|nevetés|szmájli|vidám
😋;finom ételt élvező arc;arc|fini|finom|jóízű|megnyalja a száját utána|mosoly|nyami|nyelv|szmájli
😛;arc kinyújtott nyelvvel;arc|csipkelődik|csúfolódik|fantasztikus|huncutkodik|kiöltött nyelv|király|nyelv|szmájli
😜;arc kinyújtott nyelvvel és kacsintó szemmel;arc|csipkelődik|csúfolódik|huncutkodik|kacsintás|kiöltött nyelv|mosoly|nyelv|szem|szmájli|vicc|viccelődik
🤪;őrült fej;bolond|dilis|dinnye|hülye|kicsi|lökött|nagy|őrült arc|őrült szemek|szem|szmájli|tökfej
😝;arc kilógó nyelvvel és erősen behunyt szemmel;arc|borzasztó|kiöltött nyelv|lehunyt szem|szmájli|szörnyű íz
🤑;arc dollárjelekkel;arc|dollár|fizetett|pénz|száj|szmájli
🤗;ölelés;arc|kezek|szmájli
🤭;arc szájra tett kézzel;hirtelen ráébred|hirtelen rájön|hoppá|kéz a száj előtt arc|kuncog|nevet|röhög|rötyög|szmájli|titok|vihog
🫢;nyitott szemű, száját takaró arc;áhítat|ámulat|arc|csend|elakadt lélegzet|előtt|félelem|hitetlenkedés|kéz|meglepetés|nyitva|omg|sokk|száj|szemek|zavar
🫣;kémlelő szemű arc;bámul|ijedt|kukucskál|megbabonázott|pillant|riadt|szégyenlős
🤫;csitító arc;arc|csend|csitt|csönd|csöndesen|csöndre int|elhallgattat|halkan|maradj csendben|pszt|szmájli
🤔;gondolkodó arc;arc|elgondolkodó|gondolkozik|megfontol|szmájli|tűnődő
🫡;tisztelgő arc;derűs|igen|katonák|oké|tisztelgés
🤐;arc összecipzározott szájjal;arc|cipzár|nem mond el|száj|szmájli|titok
🤨;felhúzott szemöldökű arc;arc felvont szemöldökkel|bizalmatlan|gyanakvó|helytelenít|hitetlen|hitetlenkedő|hmm|kételkedő|kétkedő|meglepett|mit|nem bízik|nem hiszi el|szkeptikus|szmájli|tessék
😐;semleges arc;arc|flegma|kifejezéstelen|közömbös|meh|nem nevet|nem vicces|pókerarc|rezzenéstelen|semleges|szmájli|unott
😑;kifejezéstelen arc;arc|érzéketlen|flegma|kifejezéstelen|meh|semleges|szmájli
😶;száj nélküli arc;arc|csendes|csöndes|kellemetlen|kifejezéstelen|néma|nincs szája|szmájli
🫥;pontozott vonalas arc;elrejtőzik|eltűnik|introvertált|láthatatlan|levert
😶‍🌫️;arc a felhőben;arc a ködben|elgondolkodó|fej a felhők között
😏;önelégült vigyor;arc|gyanakvó|önelégült|szmájli|viccelsz|vigyor
😒;unott arc;arc|boldogtalan|mérges|szmájli|szomorú|unatkozik|unott
🙄;szemét forgató arc;arc|bosszús|forgatja a szemeit|forgó szemek|ideges|mérges|szemforgatás|szmájli
😬;grimaszoló arc;arc|fogorvos|grimasz|kellemetlen|kínos|mosoly|mosolyog|szmájli
😮‍💨;levegőt kifújó arc;arc|fáradt|füst|fütty|kifúj|kilégzés|kimerült|megkönnyebbülés|sóhaj|sóhajtás|suttogás|zihálás
🤥;hazudó arc;arc|hazudik|hazudó|hazudó fej|hazudós|hazug|hosszú orr|orr|pinokkió|szmájli
🫨;rázkódó arc;arc|földrengés|meglepődés|rázkódó|rezeg
🙂‍↔️;vízszintes fejrázás;fej|fejcsóválás|fejrázás|nem|vízszintes
🙂‍↕️;függőleges fejrázás;bólintás|fej|függőleges|igen
😌;megkönnyebbült arc;arc|béke|békés|megkönnyebbült|nyugodt|szmájli
😔;elgondolkodó arc;arc|borzasztó|csalódott|elgondolkodó|elkeseredett|rossz|szmájli|szomorú|tűnődő|unott|veszít
😪;álmos arc;álmos|arc|ásít|fáradt|sír|szmájli|szomorú
🤤;nyáladzó fej;arc|fej|folyik a nyála|nyál|nyáladzó|szmájli
😴;alvó arc;álmos|alszik|alvás|arc|fáradt|jó éjszakát|jó éjt|lefekvés|lefekvés ideje|szmájli|szundi|zzz
🫩;arc táskás szemekkel;álmos|arc|elnyűtt|fáradt|késő|kifáradt|kimerült|szemek|táskás|unatkozik
😷;arc egészségügyi maszkkal;arc|beteg|betegség|egészségügyi maszk|gyógyszer|maszk|orvos|szmájli
🤒;arc lázmérővel;arc|beteg|láza van|lázas|lázmérő|szmájli
🤕;arc bekötött fejjel;arc|beütötte a fejét|fáj|fej|kötés|sérülés|szmájli
🤢;émelygő arc;arc|beteg|émelygő|fej|hányás|hányingere van|rosszul van|szmájli
🤮;hányó arc;arc|beteg|hány|kidobja a taccsot|köp|öklendezik|rosszul van|szmájli
🤧;tüsszentő arc;arc|beteg|fej|fújja az orrát|hapci|meg van fázva|megfázott|szmájli|tüsszent|tüsszentő
🥵;forró arc;arc|forróság|haldoklik|hőguta|hőség|izzad|izzadás|izzadó|lázas|liheg|megsül|nyelv|piros arc|vörös arcú
🥶;fagyos arc;arc|befagy|didereg|elkékült arc|fagyás|fagyoskodik|fázik|hideg|hűvös|jégcsap|jégcsapok|jéghideg|kék|megfagy|mínusz|vacog
🥴;részeges arc;arc|becsípett|ferde szemek|hullámvonalas száj|ittas|kába|kábult|kapatos|keresztbeálló szemek|részeg|spicces|szédül
😵;szédülő arc;arc|beteg|fáradt|szédülés|szmájli
😵‍💫;spirálszemű arc;arc|baj|hipnotizált|húha|omg|spirál|spirálszemű|szédül|szédülő|zavar|zavarodott
🤯;felrobbanó fej;arc|egyáltalán nem|elképesztő|felfoghatatlan|felrobban|megdöbbent|semmiképpen|sokkolt|szmájli
🤠;cowboykalapos fej;arc|boldog|cowboy|cowboy kalapos fej|fej|kalap|nevet|szmájli
🥳;bulizó arc;arc|buli|csákó|duda|hurrá|izgatott|kalap|partiarc|party|születésnap|szülinap|ünnep|ünneplés
🥸;álcázott arc;álbajusz|álca|arc|bajusz|inkognító|kém|orr|szemöldök|szemüveg
😎;mosolygó arc napszemüveggel;arc|laza|menő|mosoly|nap|napszemüveg|nyár|strand|szmájli
🤓;kockaarc;arc|gépmániás|kocka
🧐;arc monoklival;arc félszemüveggel|gazdag|kifinomult|klasszikus|mérges|szmájli|tehetős|vagyonos
😕;zavart arc;arc|bizonytalan|nem tudom|sajnálom|szmájli|szomorú|zavart
🫤;átlós szájú arc;bizonytalan|csalódott|kétkedő|meh
😟;aggódó arc;aggodalmas|aggódik|arc|ideges|izgul|stresszes|szmájli|szomorú
🙁;kissé komor arc;arc|rosszallás|szmájli|szomorú
☹️;rosszalló arc;arc|rosszallás|szmájli|szomorú
😮;arc nyitott szájjal;arc|csodálkozás|csodálkozik|elképed|hihetetlen|megdöbben|meglepett|meglepődik|nyitott száj|ó|szmájli|tátva marad a szája
😯;meglepődött arc;arc|döbbent|elképedt|meglepett|meglepődött|szmájli|tátott száj|tátva maradt a szája
😲;lenyűgözött arc;arc|csodálkozó|döbbent|elcsodálkozott|elképedt|lenyűgözött|megdöbbent|szmájli
😳;elpirult arc;arc|elképedt|elpirul|elvörösödik|hitetlen|kellemetlen|kételkedő|kétkedő|kidülledt szemek|kipirult|melege van|mi|okol|szmájli|zavarban van
🫪;eltorzult arc;aggodalmas|felpuffadt|lesokkolt|meglepődött|pánikoló|sebezhető
🥺;esedező arc;arc|bociszemek|kegyelem|kerek szem|kérlek|kérlek szépen|kérlelő|kiskutyaszemek|könyörgős|könyörög|lécci|légyszi|megszán|miért ne|sóvárog|szomorú
🥹;könnyeivel küszködő arc;büszke|dühös|ellenáll|örömteli|sír|szomorú
😦;rosszalló arc nyitott szájjal;arc|ijedt|ijesztő|meglepett|nyitott száj|rosszallás|szmájli
😧;elkínzott arc;arc|elgyötört|elkínzott|fél|ijedt|rémült|riadt|szmájli
😨;félelemmel teli arc;aggódik|arc|félelem|ijedt|rémült|szmájli
😰;aggódó arc nyitott szájjal és verejtékkel;arc|arc nyitott szájjal és hideg verejtékkel|hideg verejték|ideges|izzad|kék|kiveri a víz|nyitott száj|rohanás|szmájli
😥;csalódott, de megkönnyebbült arc;aggódik|arc|boldogtalan|csalódott|de megkönnyebbült arc|huhh|izzadság|megkönnyebbült|szmájli|szomorú
😢;síró arc;arc|boldogtalan|hiányzik|könnycsepp|sírás|szmájli|szomorúság
😭;zokogó arc;arc|boldogtalan|könnyek|sír|sírás|szmájli|szomorúság|zokogás
😱;félelemtől sikoltó arc;arc|félelem|ijedt|ijesztő|munch|rémület|sikolt|sikoly|szmájli
😖;összezavarodott arc;arc|frusztrált|mérges|összezavarodott|szmájli|szomorú|zavart
😣;állhatatos arc;állhatatosság|arc|fáj a feje|fejfájás|koncentrál|szmájli
😞;csalódott arc;arc|boldogtalan|borzasztó|csalódott|lehangolt|levert|megbukik|nem sikerül|okol|szmájli|szomorú|veszít
😓;lehangolt arc verejtékkel;arc|arc hideg verejtékkel|hideg verejték|ideges|izzad|izzadtság|kiveri a víz|szmájli|szomorú|verejték
😩;kimerült arc;arc|boldogtalan|éhes|fáradt|kimerült|megviselt|síró|sírós|szmájli|szomorú
😫;fáradt arc;arc|fáradtság|szmájli|szomorú|tüsszent
🥱;ásító arc;álmos|arc|ásít|ásítás|ásító|fáradt
😤;orrából gőzt fújtató arc;arc|dühös|gőz|győzelem|mérges|siker|szmájli
😡;duzzogó arc;arc|dühös|duzzog|ideges|mérges|szmájli|vörös
😠;mérges arc;arc|dühös|mérges|szmájli
🤬;arc jelekkel a száján;bosszús|cenzúra|csúnyán beszél|dühös|elátkoz|gyalázkodik|káromkodás|káromkodik|mérges|szimbólumok a szájon arc|szitkozódik|szmájli
😈;mosolygó arc szarvakkal;arc|fantasy|gonosz|mese|mosoly|ördög|rosszindulatú|szarvak
👿;mérges arc szarvakkal;arc|démon|fantasy|gonosz|mese|ördög|rossz|szarvak|szmájli
💀;koponya;csont|halál|halálfej|halott|szörny
☠️;koponya csontokkal;arc|csont|csontok|halál|halálfej|kalóz|koponya
💩;kakihalom;arc|büdi|büdös|kaka|kaki|kakiarc|képregény
🤡;bohócfej;bohóc|cirkusz|fej
👹;ogre;arc|fantasy|félelmetes|ijesztő|japán|lény|maszk|mese|ördög|óriás|szörny
👺;kobold;álarc|arc|fantasy|japán|lény|maszk|mérges|mese|szörny
👻;szellem;arc|fél|félelmetes|ijesztő|kísértet|lény|mese|szörny
👽;földönkívüli;idegen|marslakó|ufó|űrlény
👾;földönkívüli szörny;fantasy|földönkívüli|idegen|játék|pixel|pixeles|szörny|szörnyecske|ufó|űrlény
🤖;robot;arc|robotarc|szörny
😺;nevető macska;állat|arc|cica|macska|mosoly|mosolygó macskaarc nyitott szájjal|nyitott|száj
😸;nevető macska mosolygó szemmel;állat|arc|cica|macska|mosoly|mosolygó|nevetés|nevető macskaarc mosolygó szemmel|szem
😹;macska örömkönnyekkel;állat|arc|cica|kicsordul a könnye|könny|macska|macskaarc örömkönnyekkel|mosoly|nevet|örömkönny|szmájli
😻;mosolygó macska szív alakú szemmel;állat|arc|cica|macska|mosoly|mosolygó macskaarc szív alakú szemmel|szerelem|szív|szmájli
😼;macska fanyar mosollyal;arc|cica|fanyar|irónia|ironikus|macska|macskaarc fanyar mosollyal|mosoly|szmájli
😽;csókoló macska;arc|cica|csók|csókoló|csókoló macskaarc lehunyt szemmel|csukott szem|macska|puszi|szmájli
🙀;kimerült macska;állat|arc|fáradt|hűha|ijedt|kimerült|kimerült macskaarc|macska|meglepett|ó
😿;síró macska;arc|cica|könny|macska|sírás|síró|síró macskaarc|szmájli|szomorú
😾;duzzogó macska;állat|arc|cica|duzzogás|duzzogó|duzzogó macskaarc|macska|mérges|szmájli
🙈;nem láttam semmit;állat|bújócska|elbújik|elfelejt|ijedt|majom|nem|nem figyelek|nem lát semmit|tilos|zavarban van
🙉;nem hallottam semmit;állat|fül|hall|majom|nem|nem figyel|nem hall semmit|tilos|titok
🙊;nem szólok semmit;állat|bocsánat|elnézést|elszóltam magam|hoppá|majom|nem|nem beszél|nem szól semmit|tilos|titok
💌;szerelmes levél;levél|romantika|szerelem|szív
💘;nyíllal átlőtt szív;Ámor nyila|Cupido|nyíl|romantika|szerelem|szív
💝;szív szalaggal;ajándék|csók|puszi|szalag|szerelem|szív|valentin-nap
💖;ragyogó szív;csillog|izgatott|ragyogás|szív
💗;növekvő szív;idegesség|izgalom|szív|szívdobogás
💓;dobogó szív;érted dobog a szívem|szerelem|szív|szívdobogás
💞;forgó szívek;évforduló|forgás|szerelem|szeretlek|szív
💕;két szív;évforduló|randevú|randi|szerelem|szerelmes szívek|szeretlek|szív|szívek
💟;szív formájú dekoráció;dekoráció|dísz|fehér szív|lila szív|szív
❣️;nagy szív alakú felkiáltójel;írásjel|központozás|szív
💔;összetört szív;egyedül|megszakad a szíve|összetört|szakít|szakítani|szív|szomorú
❤️‍🔥;lángoló szív;égő|lángoló|szerelem|szív|vágy
❤️‍🩹;gyógyuló szív;egészségesebb|felépülő|gyógyuló|javuló|jól van|meggyógyuló
❤️;vörös szív;piros|szerelem|szeretlek|szív
🩷;rózsaszín szív;cuki|rózsaszín|szerelem|szív|tetszik
🧡;narancssárga szív;narancssárga|szív, narancssárga szív, narancssárga
💛;sárga szív;sárga|szív
💚;zöld szív;szív|zöld
💙;kék szív;kék|szív
🩵;világoskék szív;cián|pávakék|szív|világoskék
💜;lila szív;lila|szív
🤎;barna szív;barna|szív
🖤;fekete szív;fekete|gonosz|rossz|szív
🩶;szürke szív;ezüst|pala|szív|szürke
🤍;fehér szív;fehér|szív
💋;csóknyom;ajkak|csók|romantika|rúzs|rúzsfolt|rúzsnyom|szenvedély
💯;száz pont;100|a+|aha|egyértelműen|egyetértés|hűséges|IGAZ|igazság|megtartás|mindenképpen|mutatás|remek|száz|találat|teljes|tökéletes
💢;a düh szimbóluma;dühös|képregény|mérges
🫯;verekedésfelhő;birkózás|csetepaté|dulakodás|egyet nem értés|verekedés|vita
💥;ütközés;bumm|csattanás|képregény|robbanás
💫;szédülés;csillag|csillagokat lát|fényes|hullócsillag|képregény
💦;izzadságcseppek;csepp|cseppek|csobbanás|edzés|fröccsenés|izzadság|képregény|víz
💨;rohanás;elillan|ereget|ereszt|felhő|füst|futás|gyors|képregény|puki|pukizik|púzik|szellent
🕳️;lyuk;
💬;szövegbuborék;beszéd|buborék|gépel|képregény|párbeszéd|sms|üzenet
👁️‍🗨️;szem szövegbuborékban;párbeszéd|szem|szövegbuborék|tanú
🗨️;balra nyíló szövegbuborék;beszéd|buborék|párbeszéd|szövegbuborék
🗯️;jobbra nyíló dühös szövegbuborék;buborék|dühös|jobbra nyíló szövegbuborék|mérges|szövegbuborék
💭;gondolatbuborék;álmodozik|álom|buborék|felhő|gondol|gondolat|gondolkozik|képregény|ötlet
💤;alvás;álmos|alszik|éjszaka|fáradt|jó éjszakát|képregény|zzz
👋;integető kéz;hello|integet|integetés|kéz|szia|test|viszlát
🤚;kézfej;felemelt|kéz
🖐️;felemelt kéz szétálló ujjakkal;állj|kéz|ne tovább|stop|szétálló|test|ujj
✋;felemelt kéz;állj|fel|kéz|ne tovább|pacsi|stop|tenyér|test
🖖;star trek-üdvözlet;kéz|spock|star trek|test|ujj|vulcan
🫱;jobbra néző kéz;jobb|jobbra néző|kéz
🫲;balra néző kéz;bal|balra néző|kéz
🫳;lefelé néző kéz;elejt|hess|mellőz
🫴;felfelé néző kéz;elkap|felajánl|hív|int
🫷;balra toló kéz;balra|elutasít|pacsi|stop|tol|vár
🫸;jobbra toló kéz;elutasít|jobbra|pacsi|stop|tol|vár
👌;ok jel;kéz|oké|perfekt|rendben|szuper|test|ujj
🤌;összecsippentett ujjak;gúnyos|kéz|kézmozdulat|kihallgatás|mi van|micsoda|mit akarsz|összecsippentett|türelem|ujjak|várj
🤏;csippentő kéz;kicsi|kicsit|kis összeg|ujjak
✌️;győzelmi jelet mutató kéz;béke|betű|győzelem|jel|kéz|kézjel|test|ujj|v
🤞;keresztezett ujjak;drukkolok|keresztezett|kéz|sok szerencsét|szerencse|szorítok|ujj
🫰;keresztezett mutató- és hüvelykujjú kéz;csettint|drága|pénz|szeretet|szív
🤟;szeretlek kézmozdulat;3 ujj|három ujj|kéz|szeretlek|szeretlek jel
🤘;metálvilla;kéz|metál|ördögvilla|rock|rock & roll|szarvak|ujj
🤙;„hívj fel” kézjel;hívás|kéz
👈;kéz balra mutató ujjal;kéz|kézfej|mutat|mutatóujj|tenyér|test|ujj
👉;kéz jobbra mutató ujjal;arra|kéz|kézfej|mutatóujj|tenyér|test|ujj
👆;tenyér felfelé mutató ujjal;felfelé|kéz|kézfej|kézfej felfelé mutató ujjal|mutat|mutatóujj|tenyér|test|ujj
🖕;középső ujj;kéz|test|ujj
👇;tenyér lefelé mutató ujjal;kéz|kézfej|kézfej lefelé mutató ujjal|lefelé|mutat|mutatóujj|tenyér|test|ujj
☝️;kéz felfelé mutató ujjal;felfelé|kéz|mutat|mutatóujj|test|ujj
🫵;felhasználóra mutató ujj;mutat|te
👍;felfelé mutató hüvelykujj;cool|hüvelykujj|hüvelykujj felfelé|jó|kéz|like|megbeszéltük|ok|oké|rendben|test|ujj
👎;lefelé mutató hüvelykujj;elvetés|hüvelykujj lefelé|kéz|nem|rossz|test
✊;felemelt ököl;felemelt|kéz|ököl|ökölbe szorított kéz|test|ütés
👊;ütésre emelt ököl;egyetért|egyetértek|felemelt|haver|kéz|ököl|tesó|test|ütés
🤛;balra néző ököl;bal szélső|kéz|ököl
🤜;jobbra néző ököl;jobb szélső|kéz|ököl
👏;tapsoló kéz;gratulál|kéz|szép munka volt|taps|tapsol|test
🙌;kezét felemelő ember;felemelt kezek|hurrá|kéz|test|ünneplés|vidámság
🫶;szívet formázó kezek;szeretet|szív
👐;széttárt kéz;kéz|kitárva|test
🤲;felfelé fordított tenyerek;ima|imádkozik|imádság|kér|kéz|kezek|koldul|könyörgés|könyörög|köszönet|tenyér|tenyérrel felfelé|tölcsér|tölcsért formáz
🤝;kézfogás;alku|alkut köt|kéz|kezet ráz|megállapodás|megegyezés|találkozás|üdvözlés
🙏;összetett kéz;ima|imádkozik|kér|kérés|kérlek|kéz|könyörög|köszi|köszönet|köszönöm|test
✍️;író kéz;írás|kéz|test
💅;körömlakk;kéz|kifestés|körmös|köröm|körömápolás|körömfestés|lakk|lakkoz|manikűr|testrész
🤳;szelfi;fényképező|kamera|telefon
💪;befeszített bicepsz;bicepsz|edzés|edzőterem|erős|izom|kar|karizom|képregény|kéz|test
🦾;mechanikus kar;akadálymentesség|prosztetikus kar|protézis
🦿;mechanikus láb;akadálymentesség|prosztetikus láb|protézis
🦵;lábszár;behajlított láb|comb|láb|lábfej|rúg|rúgás|térd|végtag
🦶;lábfej;boka|dobogás|láb|rúg|rúgás|tapos|tipor|topog|toporog
👂;fül;fej|hall|hallás|hallgat|test|testrész
🦻;fül hallókészülékkel;akadálymentesség|hallássérült|nagyothalló
👃;orr;fej|szag|szaglás|szagol|test|testrész
🧠;agy;intelligens|okos
🫀;szív;anatómia|kardiológia|középpont|piros|pulzus|szerv|szívdobogás|szívverés
🫁;tüdő;belégzés|kilégzés|légzés|lélegzet|levegő|oxigén|szerv
🦷;fog;fehér|fogak|fogász|fogorvos
🦴;csont;csontok|csontváz|kutya
👀;szemek;arc|les|néz|szem|test|testrész
👁️;szem;test|testrész
👅;nyelv;kinyújtja a nyelvét|nyal|test|testrész
👄;száj;ajkak|rúzs|test|testrész
🫦;ajkába harapó száj;aggódó|félelem|flört|ideges|kényelmetlen|nyugtalan
👶;baba;kisbaba|kisfiú|kisgyerek|újszülött
🧒;gyerek;fiatal|gyermek|kisgyerek|kölyök
👦;fiú;kisfiú|srác
👧;lány;copf|fiatal lány|kislány|lányka
🧑;felnőtt;
👱;szőke hajú ember;ember|férfi|szőke
👨;férfi;barát|báty|férj|fiú|haver|öcs|társ|testvér
🧔;szakállas ember;szakáll|szakállas
🧔‍♂️;férfi: szakáll;férfi|szakáll
🧔‍♀️;nő: szakáll;nő|szakáll
👨‍🦰;férfi: vörös haj;barát|báty|férfi|férj|fiú|haver|öcs|társ|testvér|vörös haj
👨‍🦱;férfi: göndör haj;barát|báty|férfi|férj|fiú|göndör haj|haver|öcs|társ|testvér
👨‍🦳;férfi: ősz haj;barát|báty|férfi|férj|fiú|haver|öcs|ősz haj|társ|testvér
👨‍🦲;férfi: kopasz;barát|báty|férfi|férj|fiú|haver|kopasz|öcs|társ|testvér
👩;nő;felnőtt|hölgy
👩‍🦰;nő: vörös haj;felnőtt|hölgy|nő|vörös haj
🧑‍🦰;felnőtt: vörös haj;felnőtt|vörös haj
👩‍🦱;nő: göndör haj;felnőtt|göndör haj|hölgy|nő
🧑‍🦱;felnőtt: göndör haj;felnőtt|göndör haj
👩‍🦳;nő: ősz haj;felnőtt|hölgy|nő|ősz haj
🧑‍🦳;felnőtt: ősz haj;felnőtt|ősz haj
👩‍🦲;nő: kopasz;felnőtt|hölgy|kopasz|nő
🧑‍🦲;felnőtt: kopasz;felnőtt|kopasz
👱‍♀️;szőke nő;nő|szőke
👱‍♂️;szőke férfi;férfi|szőke
🧓;idősebb felnőtt;idős|nemi szempontból semleges|öreg
👴;idős férfi;bácsi|idős|kopasz|nagyapa|nagypapa|öreg|öregember
👵;idős nő;anyóka|idős hölgy|nagyi|nagymama|néni|öreg néni
🙍;rosszalló ember;csüggedt|homlokát ráncolja|mérges|rosszallás|rosszalló tekintet|rosszkedvű|szemöldökét ráncolja|szomorú
🙍‍♂️;rosszalló férfi;csüggedt|elégedetlen|férfi|gesztus|homlokát ráncolja|mérges|rosszallás|rosszalló|rosszkedvű|szemöldökét ráncolja|szomorú
🙍‍♀️;rosszalló nő;gesztus|nő|rosszallás|rosszalló
🙎;duzzogó ember;biggyeszt|duzzogás|duzzogó lány|duzzogó nő|grimasz|lebiggyeszt|lebiggyesztett ajak|mérges
🙎‍♂️;duzzogó férfi;duzzogás|duzzogó|férfi|gesztus|mérges
🙎‍♀️;duzzogó nő;duzzogás|duzzogó|gesztus|nő
🙅;tiltás mutatása;kézjel|ki van zárva|kizárt|nem|nem szabad|szó sem lehet róla|tilos|tiltást mutató nő|tiltott
🙅‍♂️;tiltást mutató férfi;férfi|gesztus|kézmozdulat|ki van zárva|kizárt|nem|szó sem lehet róla|tilos|tiltás
🙅‍♀️;tiltást mutató nő;gesztus|kézmozdulat|nő|tilos|tiltás
🙆;beleegyezés mutatása;kézjel|ok|oké|rendben|tornázik
🙆‍♂️;beleegyezést mutató férfi;beleegyezés|férfi|gesztus|kézmozdulat|ok|oké|rendben|tornázik
🙆‍♀️;beleegyezést mutató nő;beleegyezés|gesztus|kézmozdulat|nő|oké
💁;ember az információs pultnál;borravaló|ember|kéz|mindegy|nyitott tenyér|pletyka|szarkasztikus|szarkazmus|szemtelen
💁‍♂️;nyitott tenyerű férfi;férfi|információ|nyitott tenyér|segítség
💁‍♀️;nyitott tenyerű nő;információ|nő|nyitott tenyér|segítség
🙋;vidáman intő ember;boldog|én tudom|felemeli a kezét|integet|intés|jelentkezik|kézmozdulat|vidám
🙋‍♂️;vidáman intő férfi;én tudom|felemeli a kezét|férfi|gesztus|intés|jelentkezik|kézmozdulat|vidám
🙋‍♀️;vidáman intő nő;gesztus|intés|kézmozdulat|nő|vidám
🧏;siket ember;akadálymentesség|fül|hall|hallássérült|nagyothalló|siket
🧏‍♂️;siket férfi;férfi|siket
🧏‍♀️;siket nő;nő|siket
🙇;meghajló ember;bocsánat|bocsánatkérés|elnézést|meditáció|meditál|meghajlás|meghajol|sajnálat|sajnálom
🙇‍♂️;meghajló férfi;bocsánat|bocsánatkérés|férfi|meghajlás|meghajló|sajnálat
🙇‍♀️;meghajló nő;bocsánat|bocsánatkérés|elnézést|meditáció|meditál|meghajlás|meghajló|meghajol|nő|sajnálat|sajnálom
🤦;kézbe temetett arc;arc|elkeseredés|kéz|nem hiszem el
🤦‍♂️;arcát a kezébe temető férfi;arc|elkeseredés|férfi|fogja a fejét|hitetlenség|kézbe temetett arc
🤦‍♀️;arcát a kezébe temető nő;arc|elkeseredés|fogja a fejét|hitetlenség|kézbe temetett arc|nő
🤷;vállrándítás;közömbös|nem érdekel|rándít|váll
🤷‍♂️;vállrándító férfi;érdektelenség|férfi|kétség|közömbös|nekem mindegy|nem érdekel|nem tudom|vállrándítás
🤷‍♀️;vállrándító nő;érdektelenség|kétség|közömbös|nekem mindegy|nem érdekel|nem tudom|nő|vállrándítás
🧑‍⚕️;egészségügyi dolgozó;ápolónő|egészségügy|orvos|terapeuta
👨‍⚕️;doktor;ápoló|egészségügy|foglalkozás|orvos|terapeuta
👩‍⚕️;doktornő;ápolónő|egészségügy|foglalkozás|nővér|orvos|terapeuta
🧑‍🎓;diák;végzős
👨‍🎓;férfi tanuló;diák|diplomaosztó|diplomázik|egyetemista|férfi|foglalkozás|tanuló
👩‍🎓;női tanuló;diák|diplomaosztó|diplomázik|egyetemista|nő|tanuló
🧑‍🏫;tanár / tanárnő;oktató|professzor|tanár
👨‍🏫;tanár;férfi|foglalkozás|oktató|professzor
👩‍🏫;tanárnő;foglalkozás|nő|oktató|professzorasszony|tanár|tanítónő
🧑‍⚖️;bíró / bírónő;bíró|mérleg
👨‍⚖️;bíró;férfi|igazság|mérleg|törvény
👩‍⚖️;bírónő;bíró|igazság|mérleg|nő|törvény
