😀;חיוך רחב;חיוך|מחייך|פרצוף|שמח
🙂‍↔️;מנענע ראש מצד לצד;לא|מנענע
🙂‍↕️;מנענע ראש מלמעלה למטה;כן|נד
😌;פרצוף של אנחת רווחה;הקלה|מחייך|נחת|סיפוק|עיניים|עצומות|רגוע
😔;פרצוף מהורהר;מאוכזב|מהורהר|עיניים עצומות|עצוב|פרצוף
😪;פרצוף ישנוני;בוכה|ישנוני|מנוזל|מצונן|עצוב|פרצוף
🤤;פרצוף מזיל ריר;מזיל|מרייר|פרצוף|ריר
😴;פרצוף ישן;zzz|ישן|ישנה|לילה טוב|נוחר|עייף|פרצוף|שינה
🫩;פרצוף עם שקיות מתחת לעיניים;ישנוני|עייף|פרצוף|שקיות|תשוש
😷;פרצוף עם מסיכת מנתח;זיהום אוויר|חולה|מגיפה|מגפה|מנתח|מסיכה|עשן|קורונה
🤒;פרצוף עם מדחום;חולה|חום|מדחום|מדידת חום|פרצוף
🤕;פרצוף עם תחבושת ראש;חבול|כואב|פצוע|פציעה|פרצוף|תחבושת על הראש
🤢;פרצוף סובל מבחילה;איכסה|בחילה|הקאה|להקיא|מגעיל|פרצוף
🤮;פרצוף מקיא;בחילה|הקאה|להקיא
🤧;פרצוף מקנח אף;אף|אפצ׳י|חולה|מצונן|מקנח|מתעטש|פרצוף
🥵;מת מחום;חולה|מותש|מזיע|מכת חום|פרצוף אדום
🥶;למות מקור;מת מקור|פרצוף|קופא|קפוא|קר|קרח
🥴;שיכור;מבולבל|מסוחרר|מעוך|סחרחורת|פרצוף
😵;פרצוף עם סחרחורת;מסוחרר|פרצוף
😵‍💫;פרצוף עם עיני ספירלה;בחילה|בלבול|בלבלה|בצרה|היפנוזה|חלחלה|מבולבל|מסוחרר|סחרחורת|פרצוף
🤯;ראש מתפוצץ;המום|פרצוף מתפוצץ|שוק
🤠;פרצוף עם כובע בוקרים;בוקרים|כובע|פרצוף|קאובוי
🥳;חגיגה;יום הולדת|מזל טוב|מסיבה|פרצוף חוגג
🥸;פרצוף עם תחפושת;גבות|הסוואה|מסיכה|מצחיק|משקפיים|פרצוף|שפם|תחפושת
😎;פרצוף מחייך עם משקפי שמש;חיוך|מגניב|מחייך|משקפיים|פרצוף|שמח|שמש
🤓;פרצוף של חנון;אבו ארבע|חכם|חנון|מומחה|מחייך|משקפופר|משקפיים|פרצוף עם משקפיים
🧐;פרצוף עם מונוקל;כבד|משעמם|פרצוף
😕;פרצוף מבולבל;לא יודע|מבולבל|מבלבל|סתם|עצוב|פרצוף
🫤;פרצוף מעקם את הפה;ככה ככה|לא בטוח|מאוכזב|מבולבל|מה|מתוסכל|ספקן
😟;פרצוף מודאג;לחוץ|מה יהיה|מודאג|מתוח|פרצוף
🙁;פרצוף עם מבט עצוב;באסה|מבט עצוב|עצוב|פרצוף
☹️;פרצוף עצוב;עצוב|פרצוף
😮;פרצוף עם פה פתוח;הפתעה|וואו|מופתע|פה|פרצוף
😯;פרצוף מופתע;המום|ואו|מה?|מופתע|פרצוף
😲;פרצוף נדהם;המום|נדהם|פה|פה פעור|פרצוף|פתוח
😳;פרצוף נדהם וסמוק;הלם|מסמיק|נדהם|עיניים|שוק|תדהמה
🫪;פרצוף מעוות;המום|חרדה|מופתע|נפוח|פאניקה|פגיע
🥺;מתחנן;בבקשה|למה|עיניים מתחננות|עצוב|פרצוף מתחנן|רחמים
🥹;פרצוף עם דמעות;בכי|גאווה|התנגדות|התרגשות|כעס|נחת|עצוב|פרצוף עם דמעות בעיניים|שמחה
😦;פרצוף עצוב עם פה פתוח;הלם|עצוב|פה|פרצוף|שוק
😧;פרצוף מיוסר;הלם|ואו|מטורף|מיוסר|מפוחד|פוחד|פרצוף
😨;פרצוף מפוחד;לחוץ|מפוחד|מפחד|פוחד|פרצוף
😰;פרצוף מפחד עם זיעה קרה;זיעה קרה|מפוחד|מפחד|פרצוף
😥;פרצוף מאוכזב עם דמעה;דמעה|כמעט|מאוכזב|עצוב|פרצוף
😢;פרצוף בוכה;בוכה|דמעה|מבואס|מתגעגע|עצוב|פרצוף
😭;פרצוף בוכה בקול;בוכה|בקול|דמעות|פרצוף
😱;פרצוף צורח בפחד;אימה|בהלה|מונק|פחד|פרצוף|צועק|צורח
😖;פרצוף מתוסכל;כועס|מתוסכל|עצבן|פרצוף
😣;פרצוף סובל;כאב|להתרכז|סובל|פרצוף
😞;פרצוף מאוכזב;באסה|מאוכזב|מבאס|עצוב|פרצוף
😓;פרצוף עם זיעה קרה;באסה|זיעה קרה|טיפה|מבואס|עצוב|פרצוף
😩;פרצוף מותש;באסה|בוכה|מבאס|מותש|עייף|עצוב|פרצוף
😫;פרצוף עייף;מפהק|עייף|עצוב|פרצוף
🥱;פרצוף מפהק;לילה טוב|לישון|עייף|עייפות|פיהוק|שעמום
😤;פרצוף עם קיטור יוצא מהאף;אף|זועם|כועס|פרצוף|קיטור
😡;פרצוף זועף;זועם|זועף|כועס|פרצוף
😠;פרצוף כועס;זועם|זועף|כועס|פרצוף
🤬;פרצוף עם סמלים על הפה;כועס|מעוצבן|מקלל|סמלים על הפה|קללות
😈;פרצוף מחייך עם קרניים;אגדות|חיוך מרושע|חיוך עם קרניים|פרצוף|קרניים|שד|שטן
👿;פרצוף כועס עם קרניים;זדוני|זועף|כועס|פרצוף|קרניים|שטן
💀;גולגולת;מוות|מפחיד|פרצוף|שלד
☠️;סמל פיראטים;גולגולת|מוות|מסוכן|מפחיד|שלד
💩;גוש קקי;מגעיל|מסריח|צואה|קקי
🤡;פרצוף ליצן;ליצן|פרצוף
👹;מפלצת;אדום|יצור|מפחיד|עוג|פרצוף|קרניים
👺;גובלין;אדום|יצור|מפחיד|מפלצת|פרצוף|קרניים
👻;רוח רפאים;יצור|לשון|מוות|מחייך|פרצוף
👽;חייזר;חוצן|חלל|יצור|עב״מ|פרצוף
👾;מפלצת חייזרית;חוצן|חייזר|חלל|משחק מחשב|עב״ם
🤖;רובוט;פרצוף|פרצוף של רובוט
😺;חתול מחייך;חתול|מחייך|פה|פרצוף|פרצוף של חתול מחייך עם פה פתוח
😸;חתול מחייך עם עיניים מחייכות;חיוך גדול|חתול|מחייך|עיניים|פה|פרצוף
😹;חתול עם דמעות שמחה;דמעות|חתול|מחייך|מצחיק|פרצוף|קורע מצחוק|שמחה
😻;חתול מחייך עם עיניים בצורת לב;אהבה|חתול|לבבות|מחייך|עיניים|עיניים בצורת לב|פרצוף
😼;חתול עם חיוך עקום;זועם|חיוך עקום|חתול|פרצוף
😽;חתול מנשק;חתול|מנשק|עיניים סגורות|פרצוף|פרצוף של חתול מנשק עם עיניים סגורות
🙀;חתול פוחד;בעתה|חתול|מפחד|פחד|פרצוף
😿;חתול בוכה;בוכה|דמעה|חתול|עצוב|פרצוף
😾;חתול זועף;זועף|חתול|כועס|פרצוף|פרצוף של חתול זועף
🙈;לא ראיתי;אסור|מכסה עיניים|פרצוף|קוף
🙉;לא שמעתי;אסור|מכסה אוזניים|פרצוף|קוף
🙊;לא דיברתי;אסור|מכסה פה|פרצוף|קוף
💌;מכתב אהבה;אהבה|דואר|לב|מכתב|מכתב חתום בלב|רומנטיקה
💘;לב עם חץ;אהבה|ולנטיין|חץ|יום האהבה|לב|רומנטיקה
💝;לב עם סרט מתנה;ולנטיין|חג האהבה|ט״ו באב|לב|מתנה|סרט
💖;לב מנצנץ;אהבה|לב|מנצנץ
💗;לב גדל;אהבה|גדל|לב|מתרגש|מתרחב
💓;לב פועם;אהבה|לב|פועם|פעימות
💞;לבבות נעים במעגל;אהבה|לבבות|לבבות מסתובבים|מעגל
💕;שני לבבות;אהבה|אוהבת|לבבות
💟;לב בריבוע ורוד;לב
❣️;סימן קריאה בצורת לב;אהבה|לב|סימן קריאה
💔;לב שבור;אכזבה|לב|שבור
❤️‍🔥;לב בלהבות;לב|עולה באש|שורף|תשוקה
❤️‍🩹;לב שמשתקם;בריא יותר|מחלים|משתפר|נרפא
❤️;לב אדום;אדום|לב
🩷;לב ורוד;אהבה|אהבתי|ורוד|חמוד|לב|רגש
🧡;לב כתום;כתום
💛;לב צהוב;לב|צהוב
💚;לב ירוק;ירוק|לב
💙;לב כחול;כחול|לב
🩵;לב תכלת;אהבה|חמוד|ירוק-כחול|כחול בהיר|לב|ציאן|רגש
💜;לב סגול;לב|סגול
🤎;לב חום;חום|לב
🖤;לב שחור;אפל|כישוף|לב|מאגיה|שחור|שחורה
🩶;לב אפור;אהבה|אפור|כסוף|לב|רגש
🤍;לב לבן;לב|לבן
💋;סימן נשיקה;אהבה|נשיקה|שפתיים
💯;ציון 100;100|לגמרי|מבחן|מעולה|מצויין|ניקוד|ציון
💢;סמל כעס;כעס|פיצוץ
🫯;ענן קרב;דיון|היאבקות|ויכוח|חילוקי דעות|מהומה|קטטה|קרב
💥;פיצוץ;בום|פצצה
💫;כוכב נע במעגל;כוכב|כוכב במעגל|סחרחורת|קומיקס
💦;טיפות זיעה;זיעה|טיפה|טיפות|מים
💨;ענן בתנועה מהירה;מהר|ענן|ענן עשן|פלוץ|רוח|ריצה
🕳️;חור;בור
💬;בועת דיבור;בועה|בלון|דו-שיח|דיאלוג|שיחה
👁️‍🗨️;עין בבועת דיבור;בועת דיבור|עד|עין
🗨️;בועת דיבור משמאל;בועה|דו-שיח|דיאלוג|דיבור|ענן
🗯️;בועת דיבור כועס מימין;בועה|דו-שיח|דיאלוג|דיבור|כועס|ענן
💭;בועת מחשבה;בועה|מחשבה|רעיון
💤;סימן נחירה;zzz|ישן|ישנה|לילה|לישון|נוחר|נחירה|נחירות|שינה
👋;יד מנופפת;ביי|היי|יד|כיף|להתראות|מנופפת|שלום
🤚;גב יד פרוש;אהלן|גב יד|חמסה|כיף|כלפי מעלה|עצור|שלום
🖐️;כף יד פתוחה מורמת;חמסה|יד|כיף|מורמת|עצור|פתוחה
✋;כף יד מורמת;חמסה|יד|כיף|מורמת|עצור
🖖;הצדעה וולקנית;אצבעות|ברכת וולקנים|ברכת כהנים|וולקן|וולקנים|יד|ספוק
🫱;יד פונה ימינה;יד|ימינה|לחיצת יד|נעים להכיר
🫲;יד פונה שמאלה;יד|לחיצת יד|נעים להכיר|שמאלה
🫳;כף יד פונה למטה;לא משנה|להפיל|לך מפה|עזרה|קישטה
🫴;כף יד פונה למעלה;בוא הנה|בקשה|הושטת יד|הצעה|לתפוס|תפיסה
🫷;יד דוחפת שמאלה;דחיפה|חסימה|יד|כיף|לדחוף|לחכות|לך מפה|לסרב|סירוב|עד כאן|עצור
🫸;יד דוחפת ימינה;דחיפה|חסימה|יד|כיף|לך מפה|סירוב|עד כאן
👌;יד מסמנת שהכל בסדר;ok|אוקיי|אחלה|אישור|בסדר|הבנתי|יד|מעולה|סבבה|צביטה
🤌;יד מסמנת רק רגע;אצבעות|כף יד|סבלנות|רגע|רק רגע|תיכף
🤏;יד צובטת;בכמות קטנה|טיפונת|מעט|צביטה|קטן|קצת|תנועת צביטה
✌️;אצבעות מסמנות ניצחון;אצבעות|וי|יד|ניצחון|פיס
🤞;יד מחזיקה אצבעות;אצבעות|בהצלחה|מחזיק
🫰;קליק באצבעות;אהבה|אצבעות|יאללה|יקר|כסף|לצרוד
🤟;בוהן, אצבע וזרת מורמות;אהבה|אצבע וזרת מורמות|בוהן|יד|רוק אנד רול
🤘;יד מסמנת קרניים;אצבע מורה|אצבעות|זרת|יד|יד מסמנת קרניים באצבע מורה ובזרת|מטאל|קרניים|רוק אנד רול|רוק-אנ׳-רול
🤙;יד מסמנת ’תתקשר אליי’;יד|לגלוש|תתקשר|תתקשר אליי
👈;גב יד מצביעה שמאלה;אצבע|יד|להצביע|מצביעה|צד שמאל|שמאלה
👉;גב יד מצביעה ימינה;אצבע|יד|ימינה|להצביע|מצביעה|צד ימין
👆;גב יד מצביעה למעלה;אצבע|יד|להצביע|למעלה|מצביעה|מקום ראשון
🖕;אצבע משולשת;
👇;גב יד מצביעה למטה;אצבע|יד|כאן|להצביע|למטה|מצביעה
☝️;יד מצביעה למעלה;אצבע|הכי טוב|יד|להצביע|למעלה|מצביעה|מקום ראשון
🫵;אצבע מצביעה;אצבע|את|אתה|הצבעה עליך|להצביע|מצביע
👍;אגודל למעלה;אגודל|אהבתי|אישור|טוב|כן|לייק|למעלה|מעולה|מצוין|סבבה
👎;אגודל למטה;בוז|לא אהבתי|לא טוב|למטה|ממש לא|נגד|רע
✊;אגרוף מורם;אגרוף|אלימות|התנגדות|טוק טוק|כוח|כח|מכה
👊;מכת אגרוף;אגרוף|אלימות|בוקס|כוח|כועס|מכה
🤛;יד קמוצה שמאלה;אגרוף|בוקס|שמאלה
🤜;יד קמוצה ימינה;אגרוף|בוקס|ימינה
👏;מחיאות כפיים;הדרן|ידיים|כל הכבוד|כפיים
🙌;כפות ידיים מורמות;ברכה|הידד|כפות ידיים|נחת|סימן|שמחה
🫶;סימן לב עם הידיים;אהבה|אוהבים|ידיים לב|לב
👐;כפות ידיים פתוחות;חיבוק|ידיים פתוחות|קבלה
🤲;כפות ידיים מוצמדות ופונות כלפי מעלה;דועא|כפות ידיים במחוות תפילה|תפילה
🤝;לחיצת יד;הסכם|עסקה|פגישה
🙏;כפות ידיים מוצמדות;בבקשה|כפות ידיים|מתחנן|נמסטה|נמסקר|סימן ידיים|תודה|תפילה
✍️;יד כותבת;יד|כותבת|כתב יד|כתיבה|לכתוב
💅;מריחת לק;טיפוח|לק|מניקור|מריחת לק על ציפורניים|ציפורניים|קוסמטיקה
🤳;יד מצלמת סלפי;טלפון|מצלמה|סלפי|צילום|שיחת וידאו
💪;יד עושה שריר;זרוע|חזק|יד|כוח|כושר|לעשות שריר|שריר
🦾;זרוע מכנית;נגישות|פרוטזה|תותב|תותבת
🦿;רגל מכנית;נגישות|פרוטזה|תותב|תותבת
🦵;רגל;איבר|בעיטה|גפיים
🦶;כף רגל;בעיטה|רגל
👂;אוזן;הקשבה|כולי אוזן|להקשיב|לשמוע|צליל
🦻;אוזן עם מכשיר שמיעה;אובדן שמיעה|מכשיר שמיעה|נגישות|קשיי שמיעה
👃;אף;להריח|ריח
🧠;מוח;אינטליגנציה|שכל
🫀;לב;דופק|מרכז|פעימות לב
🫁;ריאות;מערכת הנשימה|נשימה|ריאה
🦷;שן;רופא שיניים|שיניים
🦴;עצם;כלב|עצמות|שלד
👀;עיניים;חיפוש|להסתכל|לחפש|לצפות|לראות|מחפש
👁️;עין;גוף האדם|להסתכל|לצפות|לראות
👅;לשון;גוף האדם|ליקוק|ללקק|לק
👄;פה;ליפסטיק|נשיקה|שפתיים
🫦;לנשוך שפתיים;דואג|חרדה|לא נוח|לפלרטט|סקסי|עצבים|עצבנות|פה
👶;תינוק;פעוט|קטן
🧒;ילד;א-בינארי|ילדה|צעיר
👦;בן;ילד|ינוקא|נער|פעוט|צעיר
👧;בת;ילדה|נערה|פעוטה|צעירה
🧑;אדם;בגיר|ללא מגדר|מבוגר|מגדר נייטרלי
👱;אדם עם שיער בלונדיני;אדם|איש|בלונד|בלונדיני|בלורית|גבר|פנים
👨;איש;בחור|בן אדם|גבר|חבר|נער
🧔;אדם מזוקן;אדם|גבר|היפסטר|זקן|מזוקן
🧔‍♂️;גבר עם זקן;גבר|גבר: זקן|זקן
🧔‍♀️;אישה עם זקן;אישה|אישה: זקן|זקן
👨‍🦰;איש: שיער ג׳ינג׳י;איש|בחור|בן אדם|גבר|חבר|נער|שיער ג׳ינג׳י
👨‍🦱;איש: שיער מתולתל;איש|בחור|בן אדם|גבר|חבר|נער|שיער מתולתל
👨‍🦳;איש: שיער לבן;איש|בחור|בן אדם|גבר|חבר|נער|שיער לבן
👨‍🦲;איש: קירח;איש|בחור|בן אדם|גבר|חבר|נער|קירח
👩;אישה;בחורה|בלונדינית|בת|נערה|עלמה|תספורת
👩‍🦰;אישה: שיער ג׳ינג׳י;אישה|בחורה|בלונדינית|בת|נערה|עלמה|שיער ג׳ינג׳י|תספורת
🧑‍🦰;אדם: שיער ג׳ינג׳י;אדם|בגיר|ללא מגדר|מבוגר|מגדר נייטרלי|שיער ג׳ינג׳י
👩‍🦱;אישה: שיער מתולתל;אישה|בחורה|בלונדינית|בת|נערה|עלמה|שיער מתולתל|תספורת
🧑‍🦱;אדם: שיער מתולתל;אדם|בגיר|ללא מגדר|מבוגר|מגדר נייטרלי|שיער מתולתל
👩‍🦳;אישה: שיער לבן;אישה|בחורה|בלונדינית|בת|נערה|עלמה|שיער לבן|תספורת
🧑‍🦳;אדם: שיער לבן;אדם|בגיר|ללא מגדר|מבוגר|מגדר נייטרלי|שיער לבן
👩‍🦲;אישה: קירח;אישה|בחורה|בלונדינית|בת|נערה|עלמה|קירח|תספורת
🧑‍🦲;אדם: קירח;אדם|בגיר|ללא מגדר|מבוגר|מגדר נייטרלי|קירח
👱‍♀️;בלונדינית;אישה
👱‍♂️;בלונדיני;איש|גבר
🧓;איש מבוגר;זקן|זקנה|מבוגר|מבוגרת|מגדר נייטרלי
👴;איש זקן;אדם|איש|בן|גבר|זקן|מבוגר
👵;אישה זקנה;אדם|אישה|בת|גברת|זקנה|מבוגרת|סבתא
🙍;אישה לא מרוצה;אישה מוטרדת|הבעת פנים|זועמת|זועפת|כועסת|כעוסה|לא מרוצה|מאוכזבת|עצובה
🙍‍♂️;גבר מדוכדך;איש|גבר|זועף|כועס|מדוכא|עצוב
🙍‍♀️;אישה מדוכדכת;אישה|זועפת|מדוכאת|עצובה
🙎;אישה זועפת;אדם|אישה|זועפת|כועסת|כעס|מבט זועף|מדוכאת|פנים זועפות
🙎‍♂️;גבר מבואס;אוף|איש|גבר|מחמיץ פנים|מעקם את האף
🙎‍♀️;אישה מבואסת;אוף|אישה|מחמיצה פנים|מעקמת את האף
🙅;אישה מסמנת ״לא בסדר״;אדם|אין סיכוי|אישה מסמנת ׳לא׳|אסור|לא|מסמן|סימן ידיים|עושה לא
🙅‍♂️;גבר מסמן ״לא״;איש|אסור|גבר|לא|לא בסדר|מסמן ״לא״ עם הידיים
🙅‍♀️;אישה מסמנת ״לא״;אישה|אסור|לא|לא בסדר|מסמנת ״לא״
🙆;אישה עם הידיים על הראש;אדם|אדם מסמן|אימון|אישה|התעמלות|ידיים על הראש|תנועת ידיים
🙆‍♂️;גבר עם הידיים על הראש;אדם|אימון|איש|גבר|ידיים על הראש
🙆‍♀️;אישה עם ידיים על הראש;אישה|אישה עם הידיים על הראש|בסדר|ידיים על הראש|כן
💁;אדם בדלפק מידע או מבקש טיפ;אישה|ברצינות|חוצפה|טיפ|יד|לא משנה|עזרה|צינית|רכילות
💁‍♂️;איש בדלפק מידע או מבקש טיפ;איש|גבר|גבר מבקש טיפ|חצוף|מבקש נדבה|ציני|שובב
💁‍♀️;אישה מבקשת טיפ;אישה|חוצפה|טיפ|יד|מידע|עזרה
🙋;אישה מרימה את היד;אדם|אני יודעת|אני יכולה לעזור|היי|הרמת יד|יד מורמת|שאלה|שלום|שמחה
🙋‍♂️;גבר מרים את היד;איש|גבר|היי|מצביע|מרים יד|שאלה|שלום
🙋‍♀️;אישה מנופפת בידה;אישה|אישה מרימה את היד|מצביעה
🧏;כבד שמיעה;חירש|לקוי שמיעה|לקות שמיעה|נגישות
🧏‍♂️;איש כבד שמיעה;חירש|כבד שמיעה|לקוי שמיעה|לקות שמיעה|נגישות
🧏‍♀️;אישה כבדת שמיעה;חירשת|כבדת שמיעה|לקוי שמיעה|לקות שמיעה|נגישות
🙇;אדם משתחווה;אדם קד קידה|התנצלות|מדיטציה|משתחווה|מתנצל|סליחה|קד קידה|קידה|רחמים
🙇‍♂️;גבר משתחווה;איש|גבר|התנצלות|טובה|מצטער|משתחווה|סליחה
🙇‍♀️;אישה משתחווה;אישה|התנצלות|טובה|מצטערת|משתחווה|מתנצלת|סליחה
🤦;אישה עם יד על הפנים;אוי לא|אישה|הלם|זועמת|זעזוע|כועסת|לא יכול להיות|לא מאמינה
🤦‍♂️;גבר מתוסכל;אדם|אוי לא|אין מצב|איש|גבר|לא מאמין|לא עוד פעם|נו באמת|תסכול
🤦‍♀️;אישה מתוסכלת;אדם|אוי לא|אין מצב|אישה|בהלם|לא מאמינה|לא עוד פעם|נו באמת|תסכול
🤷;מישהי מושכת בכתפיה;אדישה|אולי|אין לי מושג|אני מנחשת|לא יודעת|לא משנה|תעזבו אותי
🤷‍♂️;גבר מושך בכתפיו;אולי|אין לי מושג|איש|גבר|לא אכפת לי|לא בטוח|לא יודע|מושך בכתפיים|נראה לי|ספק
🤷‍♀️;אישה מושכת בכתפיה;אין לי מושג|אישה|לא אכפת לי|לא בטוחה|לא יודעת|לא משנה לי|מושכת בכתפיים|ספק
🧑‍⚕️;עובד בשירותי הבריאות;אח|דוקטור|מטפל|רופא|תרפיסט
👨‍⚕️;רופא;אדם|אח|איש|דוקטור|מטפל|שירותי בריאות
👩‍⚕️;רופאה;אדם|אחות|אישה|מטפלת|שירותי בריאות
🧑‍🎓;סטודנט/ית;בוגר|בוגרת|סטודנט|סטודנטית
👨‍🎓;סטודנט;אוניברסיטה|איש|גבר|הצטיינות|לימודים|מכללה|מצטיין|תלמיד
👩‍🎓;סטודנטית;אוניברסיטה|אישה|בוגרת|בת|מכללה|תלמידה
🧑‍🏫;מצוות המורים;מדריך|מדריכה|מורה|מלמדת|מרצה|עוזר הוראה|צוות הוראה
👨‍🏫;מורה;איש|בן|גבר|מנחה|מרצה|פרופסור
👩‍🏫;מוֹרָה;אישה|מורה|מנחה|מקצוע|מרצה|פרופסורית
🧑‍⚖️;שופט/ת;מאזני הצדק|מאזניים|משפט|משפטים|שופט|שופטת
👨‍⚖️;שופט;אדם|איש|בית משפט|גבר|מאזניים|משפט|צדק
👩‍⚖️;שופטת;אדם|אישה|בית משפט|מאזניים|משפט|צדק
🧑‍🌾;חקלאי/ת;גנן|גננת|חווה|חקלאות|חקלאי|חקלאית
👨‍🌾;חקלאי;אדם|איש|גנן|חוואי
👩‍🌾;חקלאית;אישה|גננית|חוואית|עובדת משק
🧑‍🍳;טבח/ית;טבח|טבחית|שף|שפית
👨‍🍳;טבח;אדם|גבר|מבשל|מקצוע|שף
👩‍🍳;טבחית;אישה|מבשלת|שפית
🧑‍🔧;מכונאי/ת;אינסטלטור|אינסטלטורית|חשמלאי|חשמלאית|מכונאי|מכונאית|שרברב
👨‍🔧;מכונאי;אינסטלטור|איש|איש מקצוע|גבר|חשמלאי|טכנאי|שיפוצניק|שרברב
