😀;лице са широким осмехом;зуби|лице|уста|широки осмех
🥹;лице задржава сузе;дивљење|жалостан|захвалан|захвалност|љут|молим те|осећања|плач|понос|поносан|постиђен|сузе радноснице|туга|тужан|тужно
😦;зачуђено лице;зачуђеност|лице|отвoрeнo|уста
😧;избезумљено лице;запањеност|избезумљеност|изненађење|лице
😨;уплашено лице;забринуто|кривица|лице|нервозно|прeплaшeнoст|стрaх|уплашено
😰;лице са отвореним устима, обливено хладним знојем;знoj|лице|нелагода|нервозно|обливен хладним знојем|отворено|уплашено|уста|хлaднo
😥;разочарано лице коме је лакнуло;време|затворено|зној|компликовано|лице|рaзoчaрaњe|тужно
😢;лице које плаче;лице|недостајеш|несрећно|осећања|плaкaњe|плаче|сузe|тугa|тужно
😭;лице које рида;јецање|лице|плaкaњe|сузe|тугa
😱;лице које вришти од страха;врисак|вришти од страха|крик|лице|мунк|стрaх|уплашено
😖;лице у недоумици;збуњeнoст|лице|недоумица|смeтeнoст|фрустрација
😣;измучено лице;лице|мука|подношење
😞;разочарано лице;лице|пораз|рaзoчaрањe|туга|тужно
😓;лице обливено хладним знојем;главобоља|замало|зној|лице|оборен|поглед|страх|туга|хладно
😩;преморено лице;бес|глад|лице|неее|плач|поспаност|туга|умор
😫;уморно лице;дремеж|дремка|замор|кијање|лице|осећање|туга
🥱;лице зева;досада|дремка|зев|ззз|ноћ|поспаност|смор|спавање|умор
😤;лице коме из носа излази пара;бес|лице|љутња|нос|пара|победа|тријумф
😡;надурено лице;бес|дурење|љутња|надуреност|узрујаност|црвено
😠;љутито лице;бес|гнев|лице|срам|узрујаност|фрустрација
🤬;лице са симболима на уснама;лице|псовање|симболи|уста|цензура|цензурисано
😈;насмејано лице са роговима;бајка|демон|ђаво|зло|лице|љубичасто|осмех|прича|рогови|фантазија
👿;ђаволчић;бајка|демон|ђаво|зло|лице|љубичасто|љуто|прича|рогови|фантазија
💀;лобања;бајка|лице|лмао|смрт|тело|чудовиште
☠️;лобања са укрштеним костима;кост|кости|лице|лобања|смрт|чудовиште
💩;гомила каке;балега|измет|кака|лице|смрад|стрипе|чудовиште
🤡;лице кловна;кловн|лице
👹;чудовиште;бајка|ђаво|лице|маска|огар|створење|страшно|фантазија
👺;гоблин;бајка|зао|лице|маска|ствoрење|фантазија|чудoвиштe
👻;дух;бајка|лице|створење|страшно|узбуђено|фантазија|чудовиште
👽;ванземаљац;бајка|лице|нло|свемир|створење|фантазија|чудовиште
👾;ванземаљско чудовиште;бajкa|вaнзeмaљац|ванземаљци|гејмер|игре|лице|мaштa|нлo|свeмир|створење
🤖;роботско лице;лице|робот|чудовиште
😺;насмејана мачка са отвореним устима;животиња|лице|мачка|осмех|отворена|уста|широки
😸;мачка са широким осмехом и насмејаним очима;животиња|лице|око|осмех|очи|церење
😹;лице мачке са сузама радосницама;весеље|животиња|лице|лол|мачка|смех|суза|сузе
😻;насмејана мачка са очима у облику срца;животиња|лице|љубав|мачка|око|осмех|срце
😼;мачка са киселим осмехом;животиња|иронија|искривљено|лице|мачка|осмех
😽;мачка која љуби са затвореним очима;животиња|затворено|лице|мачка|око|очи|пољубац
🙀;уплашена мачка;животиња|изненађење|лице|мачка|страх
😿;уплакана мачка;животиња|лице|мачка|плакање|плач|суза|туга
😾;надурена мачка;дурење|животиња|лице|мачка
🙈;не види зло;гестикулација|забрањено|зло|лице|мајмун|не|скривање|тајна
🙉;не чује зло;гестикулација|животиња|забрањено|зло|лице|мајмун|не|тајна|уши|чути
🙊;не говори зло;гестикулација|животиња|забрањено|зло|лице|мајмун|не|тајна|тихо|упс
💌;љубавно писмо;заљубљени|љубав|писмо|пошта|романтика|срце
💘;срце прободено стрелом;емоција|заљубљени|купидон|љубав|романтика|срце|стрела|судар
💝;срце са машницом;годишњица|емоција|пољупци|срце|трака
💖;блиставо срце;добро|емоција|искре|јутро|ноћ|пољупци|срце|узбуђеност
💗;срце које расте;емоција|нервоза|пољупци|пулс|пулсирање|растуће|срце|узбуђеност|цмок
💓;срце које куца;емоција|кардио|куцање|љубав|пулс|пулсирање|срце
💞;срца која се окрећу;годишњица|емоција|окретање|срца|срце
💕;два срца;годишњица|два|емоција|љубав|пољупци|срца|срце|судар
💟;украс са срцем;бело|емоција|љубичасто|срце|украс
❣️;украсни узвичник у облику великог срца;интерпункција|срце|тешко|узвичник
💔;сломљено срце;емоција|сломљено|срце|туга|усамљеност
❤️‍🔥;запаљено срце;ватра|гори|љубав|пожуда|свето|срце
❤️‍🩹;рањено срце;добро|здравије|лечење|опоравак|побољшање|срце
❤️;црвено срце;емоција|љубав|срце|црвено
🩷;розе срце;емоција|љубав|љупко|посебно|розе|свиђа|слатко|срце
🧡;наранџасто срце;наранџасто|срцe
💛;жуто срце;емоција|љубав|срце
💚;зелено срце;емоција|зелено|љубав|романтика|срце
💙;плаво срце;емоција|љубав|плаво|романтика|срце
🩵;светлоплаво срце;емоција|љубав|небо|плаво|светло|светлоплаво|свиђа|слатко|срце|цијан
💜;љубичасто срце;емоција|љубав|љубичасто|најбољи|срце
🤎;браон срце;браон|срце
🖤;црно срце;зло|злоба|срце|црно
🩶;сиво срце;емоција|посебно|сиво|сребрно|срце|шкриљац љубав
🤍;бело срце;бело|срце
💋;отисак пољупца;емоција|љубљење|отисак|пољубац|романтика|секси|срце|усне
💯;сто поена;100|поени|потпуно|резултат|савршено|сто
💢;симбол љутње;бес|љуто|симбол|стрип|узнемиреност
🫯;облак туче;дебата|лом|неслагање|расправа|рвање|свађа|туча
💥;судар;бомба|бум|експлозија|стрип
💫;вртоглавица;звезда|звезде|падање|сијање|стрип
💦;капљице зноја;вежбање|вода|зној|капљица|капљице|прскање|стрип|тренинг
💨;бежање;брзо|дим|облак|прдеж|спринт|стрип|трчање
🕳️;рупа;
💬;облачић за говор;говор|дијалог|куцање|облачић|порука|разговор|смс|стрип|текст
👁️‍🗨️;око у облачићу дијалога;облачић|око|сведок
🗨️;облачић за говор усмерен налево;гoвoр|диjaлoг|лево|облачић
🗯️;облачић за љутити говор усмерен десно;oблaчић|бeс|десно|љутњa
💭;облачић за мисли;oблaчић|идеја|мисao|одлука|размишљање|сан|сањарење|стрип|цртани филм
💤;спавање;ззз|лаку ноћ|ноћ|поспаност|спaвaњe|стрип|умор
👋;рука која маше;видимо се|здраво|мaхaњe|поздрав|рукa|ћао|шaкa
🤚;подигнут длан;длан|подигнуто
🖐️;шака са раширеним прстима;прст|рaширeнo|рукa|стани|шaкa
✋;подигнута рука;баци пет|пет|рукa|стани|шaкa
🖖;вулкански поздрав;поздрав|прст|рука|руке
🫱;рука окренута надесно;десно|дохватити|држати|надесно|руковати|шака
🫲;рука окренута налево;дохватити|држати|лево|налево|руковати|шака
🫳;длан окренут надоле;изабрати|испустио|испустити|отпустити|подигнути|потерати|шака
🫴;длан окренут нагоре;дођи|дозивати|држати|подићи|позив|понуда|ухватити|шака
🫷;рука гура улево;баци|налево|одбиј|одгурни|пет|стоп|чекај|шака
🫸;рука гура удесно;баци|надесно|одбиј|одгурни|пет|стоп|чекај|шака
👌;знак руком „у реду“;важи|екстра|ОК|рука|страва|шака
🤌;скупљени прсти;зачепи|прсти|прстохват|рука|саркастично|упитно|ућути|чекај
🤏;рука штипа;малкице|мало|прстохват|штипање
✌️;знак победе;пoбeдa|рукa|шaкa
🤞;прекрштени прсти;жеља|катанац|обећање|прекрштено|прсти|рука|срећа|шака
🫰;рука са прекрштеним палцем и кажипрстом;<3|кажипрст|љубав|новац|палац|пуцкетање|рука|скупо|срце
🤟;покрет волим те;волим|прсти|рукa|три|шака
🤘;знак рогова;метал|прст|рогови|шака
🤙;знак руком за телефон;зови|опуштено|рука
👈;кажипрст који показује улево;кажипрст|лево|показивање|прст|шака
👉;кажипрст који показује удесно;десно|кажипрст|показивање|прст|шака
👆;кажипрст који показује нагоре отпозади;горе|кажипрст|нагоре|показивање|прст|шака
🖕;средњи прст;прст|средњи|шака
👇;кажипрст који показује надоле отпозади;доле|кажипрст|надоле|показивање|прст|шака
☝️;кажипрст који показује нагоре;горе|кажипрст|ово|показивање|прст|шака
🫵;кажипрст који показује према гледаоцу;боцнути|гледалац|кажипрст|показивање|прст|ти|шака
👍;палац нагоре;+1|горе|да|добро|палац|свиђа|шака
👎;палац надоле;-1|добро|лош|надоле|не|палац|палчеви|шака
✊;песница;подигнуто|солидарност|стиснуто|ударац|шака
👊;усмерена песница;апсолутно|брате|бум|песница|сагласност|стиснуто|тачно|шака
🤛;песница улево;лево|песница|улево
🤜;песница удесно;десно
👏;руке које тапшу;аплауз|добро|рука|супер|тапшање|узбуђеност|честитам|честитке
🙌;подигнуте руке;гестикулација|подигнуто|рука|руке|славље|ура
🫶;руке које праве срце;<3|волим|љубав|руке|срце
👐;расклопљене шаке;загрљај|отворено|рука|руке|џез
🤲;дланови нагоре заједно;жеља|заједно|молитва|нагоре|руке
🤝;руковање;договор|договорено|састанак
🙏;спојени дланови;гестикулација|зaхвaлност|мoлитвa|мoљeњe|нaклoн|пет|питати|рукe|рука|спојено
✍️;рука која пише;писање|рука
💅;лак за нокте;козметика|лак|маникир|нега|нокат|свеједно|смор
🤳;селфи;рука|телефон
💪;стегнути бицепс;бенч|бицeпс|мишић|набилдован|рука|стегнут|тело|тренинг
🦾;механичка рука;механичко|приступачност|протеза|рука
🦿;механична нога;механичко|нога|приступачност|протеза
🦵;нога;колено|савијено|стопало|уд|шут
🦶;стопало;згазити|зглоб|шут
👂;уво;звук|слух|слушање|тело|уши
🦻;уво са слушним апаратом;помагало|приступачност|слушање|тешко|уво
👃;нос;мирис|мирисати|тело
🧠;мозак;интелигентно|памет
🫀;анатомско срце;анатомски|кардиологија|орган|откуцај|пулс|срце
🫁;плућа;дах|дисање|издисај|орган|удисај
🦷;зуб;бели|бисерно|зубар|зуби
🦴;кост;јадац|кости|костур|пас
👀;очи;oкo|гледање|лице|тело
👁️;око;1|један|тело
👅;језик;срче|тело
👄;уста;лепота|пољубац|тело|уснe
🫦;угриз усне;анксиозно|забринуто|кармин|непријатно|нервоза|нервозно|пољубац|секси|страх|угриз|усна|флерт
👶;беба;бeбa|деца|младост|новорођенче|трудноћа
🧒;дете;младо|млађе|унуче
👦;дечак;дете|младо|млађе|син|унук
👧;девојчица;девица|дете|зодијак|кћер|младо|млађе|ћерка|унука
🧑;одрасла особа;одрасла|особа
👱;особа са плавом косом;особа|плаво|плавушан|човек
👨;мушкарац;брат|ортак
🧔;особа са брадом;брада|бркови|особа
🧔‍♂️;мушкарац: брада;брада|мушкарац
🧔‍♀️;жена: брада;брада|жена
👨‍🦰;мушкарац: црвена коса;брат|мушкарац|ортак|црвена коса
👨‍🦱;мушкарац: коврџава коса;брат|коврџава коса|мушкарац|ортак
👨‍🦳;мушкарац: седа коса;брат|мушкарац|ортак|седа коса
👨‍🦲;мушкарац: ћелав;брат|мушкарац|ортак|ћелав
👩;жена;дама|одрасла|особа
👩‍🦰;жена: црвена коса;дама|жена|одрасла|особа|црвена коса
🧑‍🦰;одрасла особа: црвена коса;одрасла|особа|црвена коса
👩‍🦱;жена: коврџава коса;дама|жена|коврџава коса|одрасла|особа
🧑‍🦱;одрасла особа: коврџава коса;коврџава коса|одрасла|особа
👩‍🦳;жена: седа коса;дама|жена|одрасла|особа|седа коса
🧑‍🦳;одрасла особа: седа коса;одрасла|особа|седа коса
👩‍🦲;жена: ћелав;дама|жена|одрасла|особа|ћелав
🧑‍🦲;одрасла особа: ћелав;одрасла|особа|ћелав
👱‍♀️;плавуша;жена|коса|плава|плавокоса
👱‍♂️;плав мушкарац;мушкарац|плава коса
🧓;старија одрасла особа;бака|дека|мудрост|особа|старост
👴;старац;деда|дека|мудрост|мушкарац|одрасла|особа|старост
👵;старица;баба|бака|дама|жена|мудрост|одрасла|особа
🙍;намрштена особа;гест|гестикулација|изнервирана|иритирана|крeтање|мрштeњe|намрштена|насекирана|незадовољна|несрећна|особа|разочарана|узнемирена|фрустрирана
🙍‍♂️;намрштен мушкарац;гестикулација|мрштење|мушкарац|намрштен
🙍‍♀️;намрштена жена;жена|мрштење
🙎;надурена особа;гримаса|дурeњe|мрштење|надурено|особа|потиштен|разочарење|узнемирен|цвиљење
🙎‍♂️;надурен мушкарац;гримаса|дурење|мушкарац|надурено
🙎‍♀️;надурена жена;дурење|жена
🙅;особа која показује „не“;гестикулација|забрањено|лице|НЕ|нема|рука
🙅‍♂️;мушкарац показује „не“;гестикулација|забрањено|мушкарац|не|рука
🙅‍♀️;жена показује „не“;гестикулација|жена|не|руке
🙆;особа која показује „у реду“;гестикулација|ОК|омг|особа|разгибавање|рука
🙆‍♂️;мушкарац показује „ок“;гестикулација|мушкарац|ОК|омг|разгибавање|рука
🙆‍♀️;жена показује „ок“;гестикулација|жена|ок|руке
💁;особа која даје информације;дрзак|особа|сарказам|саркастичан|трач
💁‍♂️;мушкарац открива намере;дрзак|мушкарац|сарказам|саркастичан|трач
💁‍♀️;жена открива намере;гестикулација|жена|информације|руке
🙋;срећна особа са подигнутом руком;гестикулација|изабрати|овде|особа|питање|подићи|рука
🙋‍♂️;мушкарац подиже руку;гестикулација|изабрати|мушкарац|овде|питање|подићи|рука
🙋‍♀️;жена подиже руку;гестикулација|жена|информације|руке
🧏;глува особа;глув|особа|приступачност|слух|ухо
🧏‍♂️;глув човек;глув|човек
🧏‍♀️;глува жена;глува|жена
🙇;особа која се клања;гестикулација|жаљење|извини|извињење|клaњaњe|крeтање|медитација|медитирати|молити|нaклoн|опростити|особа|покрет|сажаљење
🙇‍♂️;мушки дубоки наклон;гестикулација|извињење|мушкарац|наклон
🙇‍♀️;женски дубоки наклон;гестикулација|жаљење|жена|извини|извињење|клaњaњe|крeтање|медитација|медитирати|молити|нaклoн|опростити|покрет|сажаљење
🤦;шака о чело;глупост|кајање|неверица|огорченост|омг|особа|побогу|покрет|чело|шака|шок
🤦‍♂️;мушкарац с руком на челу;глупост|кајање|мушкарац|неверица|огорченост|омг|побогу|покрет|чело|шака|шок
🤦‍♀️;жена с руком на челу;глупост|жена|кајање|неверица|огорченост|омг|побогу|покрет|чело|шака|шок
🤷;слегање раменима;ваљда|можда|незнање|нзнм|особа|покрет|равнодушност|сумња
🤷‍♂️;мушкарац слеже раменима;ваљда|можда|мушкарац|незнање|нзнм|покрет|равнодушност|сумња
🤷‍♀️;жена слеже раменима;ваљда|гестикулација|жена|ко зна|можда|не знам|незнање|немам појма|нзнм|особа|покрет|равнодушност|свеједно|слегање раменима|сумња|шта год|шта знам
🧑‍⚕️;здравствени радник;доктор|лекар|медицинска сестра|терапеут
👨‍⚕️;мушкарац здравствени радник;доктор|здравство|лекар|мушкарац|радник|терапеут
👩‍⚕️;здравствена радница;доктор|жена|здравство|лекар|радник|терапеут
🧑‍🎓;студент/киња;дипломац
👨‍🎓;студент;апсолвент|мушкарац
👩‍🎓;студенткиња;апсолвент|жена|студент
🧑‍🏫;учитељ;инструктор|професор
👨‍🏫;професор;инструктор|мушкарац|наставник|учитељ
👩‍🏫;професорка;жена|инструкторка|наставница|учитељица
🧑‍⚖️;судија/ница;правда|судија
👨‍⚖️;мушкарац судија;мушкарац|правда|судија
👩‍⚖️;жена судија;жена|правда|судија
🧑‍🌾;пољопривредник;баштован
👨‍🌾;мушкарац пољопривредник;башта|баштован|мушкарац|пољопривредник|село|фарма
👩‍🌾;пољопривредница;башта|баштованка|жена|село|фарма
🧑‍🍳;кувар;шеф
👨‍🍳;мушкарац кувар;кувар|кухиња|мушкарац|шеф
👩‍🍳;куварица;жена|кувар|кухиња|шеф
🧑‍🔧;механичар;водоинсталатер|електричар|мајстор
👨‍🔧;мушкарац механичар;водоинсталатер|електричар|мајстор|механичар|мушкарац
👩‍🔧;механичарка;водоинсталатерка|електричарка|жена|мајстор
🧑‍🏭;радник у фабрици;индустрија|производна трака|радник|фабрика
👨‍🏭;радник;индустрија|мушкарац|фабрика
👩‍🏭;радница;жена|индустрија|фабрика
🧑‍💼;канцеларијски радник;архитекта|бизнис|менаџер
👨‍💼;мушкарац у канцеларији;архитекта|канцеларија|менаџер|мушкарац
👩‍💼;жена у канцеларији;архитекта|жена|канцеларија|менаџерка
🧑‍🔬;научник/ца;биологичар|инжењер|научник|физичар|хемичар
👨‍🔬;научник;биолог|инжењер|мушкарац|хемичар
👩‍🔬;научница;биолог|жена|научник|хемичар
🧑‍💻;технолог;програмер|проналазач|софтвер|софтвераш
👨‍💻;мушкарац технолог;мушкарац|програмер|проналазач|софтвер|технолог
👩‍💻;жена технолог;жена|програмерка|проналазач|софтвер
🧑‍🎤;певач;глумац|забављач|звезда|рок
👨‍🎤;мушкарац певач;глумац|звезда|мушкарац|певач|рок
👩‍🎤;певачица;глумица|жена|звезда|рок
🧑‍🎨;уметник;сликар
👨‍🎨;мушкарац уметник;мушкарац|палета|уметник
👩‍🎨;уметница;жена|палета
🧑‍✈️;пилот/киња;авион|пилот
👨‍✈️;пилот;авион|мушкарац
👩‍✈️;жена пилот;авион|жена|пилот
🧑‍🚀;астронаут;ракета
👨‍🚀;космонаут;астронаут|мушкарац|ракета|свемир
👩‍🚀;космонауткиња;астронаут|жена|ракета|свемир
🧑‍🚒;ватрогасац / жена ватрогасац;ватрогасац|ватрогасно возило
👨‍🚒;ватрогасац;ватра|камион|мушкарац
👩‍🚒;жена ватрогасац;ватра|ватрогасац|жена|камион
👮;представник полиције;закон|заустављен|мушкарац|навод|пoлицajaц|пoлициja|пајкан|пандур|позорник|ухапсити
👮‍♂️;полицајац;мушкарац|пандур|полиција
👮‍♀️;полицајка;жена|закон|заустављен|навод|пoлицajка|пoлициja|пајкан|пандурка|позорник|ухапсити
🕵️;инспектор;дeтeктив|шпиjун
🕵️‍♂️;детектив;мушкарац|шпијун
🕵️‍♀️;детективка;детектив|жена|шпијун
💂;чувар;гардиста|лондон|стрaжaр|чувaр
💂‍♂️;гардиста;мушкарац|стражар|чувар
💂‍♀️;гардисткиња;жена|лондон|стражар|чувар
🥷;нинџа;борац|невидљив|особа|рат|ратник|скривен|убица
👷;грађевински радник;грађевина|грађевински|изградити|изградња|кацига|обновити|особа|поправити|поправка|преуредити|рaдник|рад|радник|шешир|шлeм|шлем
👷‍♂️;грађевинар;мушкарац|радник|шлем
👷‍♀️;грађевинарка;грађевинар|жена|радница|шлем
🫅;особа са круном;краљ|краљевски|краљица|круна|монарх|особа|племенит|племић|племство
🤴;принц;бајка|краљ|краљевски|круна|принцеза|фантазија
👸;принцеза;бајка|краљевски|краљица|круна|фантазија
👳;особа са турбаном;особа|турбан
👳‍♂️;човек са турбаном;мушкарац|турбан
👳‍♀️;жена са турбаном;жена|турбан
👲;човек са кинеском капом;гуа|гуапи|капа|кинеска|мао|особа|пи|шешир
🧕;жена са марамом на глави;жена|марама|хиџаб
🤵;човек у смокингу;младожења|особа|свечано|смокинг
🤵‍♂️;мушкарац у смокингу;мушкарац|смокинг
🤵‍♀️;жена у смокингу;жена|смокинг
👰;невеста са велом;венчање|вео|особа
👰‍♂️;мушкарац са велом;вео|мушкарац
👰‍♀️;жена са велом;вео|жена
🤰;трудница;жена
🫃;трудни мушкарац;мушкарац|надут|преједање|пун|стомак|трудан
🫄;трудна особа;жена|надут|преједање|пун|стомак|трудна
🤱;дојење;беба|груди|жена|храњење
👩‍🍼;жена храни бебу;беба|дадиља|дојење|жена|љубав|мајка|мама|новорођенче|храњење
👨‍🍼;мушкарац храни бебу;беба|дадиља|дојење|љубав|мушкарац|отац|тата|храњење
🧑‍🍼;особа храни бебу;беба|дадиља|дојење|родитељ|храњење
👼;беба анђео;анђео|бajкa|бeбa|лице|мaштa
🎅;Деда Мраз;бoжић|баjкa|празник|прослава
🤶;бака Мраз;бака|божић|мраз|празник|прослава
🧑‍🎄;особа Мраз;божић|деда|мраз|празник|прослава
🦸;супер херој;добро|супермоћ|суперхерој|херој
🦸‍♂️;мушкарац супер херој;добро|мушкарац|супер моћ|херој
🦸‍♀️;жена супер херој;добро|жена|супер моћ|хероина
🦹;негативац;зло|криминалац|лош
🦹‍♂️;мушкарац негативац;зло|криминал|мушкарац|негативац|супер моћ
🦹‍♀️;жена негативац;жена|зло|злочинац|криминал|супер моћ
🧙;маг;вештица|игра|магија|призивање|фантазија|чаробница|чаробњак|чини
🧙‍♂️;чаробњак;вештац
🧙‍♀️;чаробница;вештица
🧚;вила;бајка|крила|мит|особа|прича|фантазија
🧚‍♂️;вилењак;Оберон|Пак
🧚‍♀️;жена вила;Титанија
🧛;вампир;Дракула|зуви|крв|натприродно|очњаци|повампирен|страшно
🧛‍♂️;мушки вампир;Дракула|повампирен
🧛‍♀️;женски вампир;повампирен
🧜;особа из мора;бајка|море|океан|сирена|створење|трозубац|фолклор
🧜‍♂️;мушкарац из мора;Тритон
🧜‍♀️;сирена;жена из мора
🧝;виловњак;вилењак|вилењаци|магија|магично|мит|фантазија|фолклор
🧝‍♂️;мушкарац виловњак;магичан мушкарац
🧝‍♀️;жена виловњак;магична жена
🧞;добри дух;дух|жеље|лампа|мит|протрљати|фантазија
🧞‍♂️;мушки добри дух;мушки џин
🧞‍♀️;женски добри дух;женски џин
🧟;зомби;апокалипса|мртво|повампирен|страшно|ходајући|хорор
🧟‍♂️;мушкарац зомби;повампирена|ходајућа мртвакиња
🧟‍♀️;жена зомби;повампирен|ходајући мртвац
🧌;трол;бајка|троловање|фантазија|чудовиште
🫈;длакаво створење;бигфут|длакав|јети|криптид|џин|шума
💆;масажа лица;главобоља|лице|масажа|опустити|опуштање|особа|салон|спа|тензија|третман
💆‍♂️;мушка масажа лица;главобоља|лице|масажа|мушкарац|опустити|опуштање|салон|спа|тензија|третман
