😀;išsišiepęs veidas;išsišiepti|linksmas|veidas
🫪;ištįsęs veidas;išsipūtęs|nerimas|nustebęs|panika|pažeidžiamas|šokiruotas
🥺;maldaujantis veidas;gailestingumas|maldavimas|šuniuko akys|veidas
🥹;ašaras tramdantis veidas;besididžiuojantis|dėkingas|dėkingumas|džiaugsmo ašaros|išdidus|jausmai|liūdesys|liūdnas|miela|nepasiduoti|piktas|prašymas|susižavėjimas|sutrikęs|verkti
😦;paniuręs išsižiojęs veidas;burna|išsižiojęs|nustebęs|oho|paniuręs|veidas
😧;kenčiantis veidas;kenčiantis|nelaimingas|nustebęs|veidas
😨;baimės pilnas veidas;baimė|išsigandęs|susirūpinęs|veidas
😰;išsižiojęs veidas, išpiltas šalto prakaito;burna|išpiltas šalto prakaito|išsigandęs|išsižiojęs|mėlyna|prakaitas|šaltis|šypsenėlės|veidas
😥;nusivylęs veidas su palengvėjimu;nusivylęs|palengvėjimas|veidas
😢;verkiantis veidas;ašara|liūdnas|veidas|verkti
😭;garsiai raudantis veidas;ašara|liūdnas|raudoti|veidas|verkti
😱;iš baimės šaukiantis veidas;baimė|išsigandęs|šauksmas|veidas
😖;suglumintas veidas;piktas|suglumęs|veidas
😣;atkaklus veidas;atkaklus|susikaupęs|veidas
😞;nusivylęs veidas;kaltas|nusivylęs|veidas
😓;veidas, išpiltas šalto prakaito;išpiltas šalto prakaito|išsigandęs|nervingas|prakaitas|šaltas|veidas
😩;nuvargęs veidas;nuvargęs|pavargęs|veidas
😫;pavargęs veidas;miegoti|pavargęs|veidas
🥱;žiovaujantis veidas;labanakt|nuobodžiaujantis|pavargęs|veidas|žiovauti
😤;veidas su iš nosies einančiais garais;laimėjo|nelaimingas|niršti|pyktis|triumfas|veidas
😡;susiraukęs veidas;įniršis|įsiutęs|piktas|raudonas|susiraukęs|veidas
😠;piktas veidas;piktas|pyktis|veidas
🤬;veidas su simboliais ant burnos;besikeikiantis|piktas|veidas
😈;besišypsantis veidas su ragais;fantazija|pasaka|ragai|šypsena|veidas
👿;velniūkštis;fantazija|pasaka|veidas|velnias
💀;kaukolė;mirtis|monstras|pasaka|veidas
☠️;kaukolė ir sukryžiuoti kaulai;kaukolė|mirtis|monstras|sukryžiuoti kaulai|veidas
💩;išmatų krūvelė;išmatos|kakoti|komiksas|mėšlas|monstras|smarvė|veidas
🤡;klouno veidas;klounas|veidas
👹;pabaisa;fantazija|monstras|padaras|pasaka|veidas
👺;demonas;fantazija|monstras|padaras|pasaka|veidas
👻;vaiduoklis;fantazija|monstras|padaras|pasaka|veidas
👽;ateivis;fantazija|kūrinys|nežemiška būtybė|veidas
👾;monstras ateivis;ateivis|fantazija|kosmosas|kūrinys|nežemiška būtybė|pabaisa|veidas
🤖;roboto veidas;monstras|robotas|veidas
😺;besišypsančios katės snukutis;burna|gyvūnas|išsižiojęs|katė|šypsena|veidas
😸;išsišiepusios katės snukutis su besišypsančiomis akimis;akys|katė|šypsena|vaipytis|veidas
😹;katės snukutis su džiaugsmo ašaromis;ašara|džiaugsmas|džiaugsmo ašaros|gyvūnas|katė|veidas
😻;besišypsančios katės snukutis su širdelės formos akimis;akis|gyvūnas|katė|meilė|šypsena|veidas
😼;nuvargusios besišypsančios katės snukutis;ironija|ironiškai besišypsančios katės snukutis|katė|nuvargęs|šypsena|veidas
😽;bučiuojančios katės snukutis;akys|bučinys|katė|veidas
🙀;nustebusios katės snukutis;gyvūnas|katė|nustebęs|oi|veidas
😿;verkiančios katės snukutis;ašara|gyvūnas|katė|liūdesys|veidas|verkti
😾;susiraukusios katės snukutis;katė|susiraukęs|veidas
🙈;užsidengusi akis beždžionė;beždžionė|blogis|draudžiama|gyvūnas|matyti|negaliu žiūrėti|uždrausta|veidas
🙉;užsidengusi ausis beždžionė;beždžionė|blogis|draudžiama|gyvūnas|klausyti|neklausau|paslaptis|uždrausta|veidas
🙊;užsidengusi burną beždžionė;beždžionė|blogis|gyvūnas|nekalbu|uždrausta|veidas
💌;meilės laiškas;laiškas|meilė|paštas|širdis
💘;širdelė su strėle;bučinys|lūpos|širdelė|Valentino diena
💝;širdelė su kaspinu;kaspinas|metinės|valentino diena
💖;žėrinti širdelė;širdelė|susijaudinimas|žėrėti
💗;auganti širdelė;didėjimas|myliu|pulsas|širdelė|susijaudinimas|susinervinęs
💓;plakanti širdelė;plakanti|pulsavimas|širdelė|širdies plakimas|širdis
💞;besisukančios širdelės;širdelė|suktis
💕;dvi širdelės;emocijos|meilė|metinės
💟;širdelės dekoracija;emocija|purpurinė|širdelė|širdis
❣️;storas širdelės formos šauktukas;šauktukas|širdelė|širdis|skyryba|ženklas
💔;sudaužyta širdelė;emocija|liūdnas|širdelė|sudaužyta|sudaužyti
❤️‍🔥;deganti širdis;
❤️‍🩹;gydytina širdis;atsigauna|atsigaunanti|gerai|sveikesnis|taisymas|tobulinti
❤️;raudona širdelė;raudona|širdelė|širdis
🩷;rožinė širdelė;aš tave myliu|emocija|meilė|miela|myliu|patinka|rožinė|širdis|ypatinga|žavinga
🧡;oranžinė širdelė;oranžinė|širdelė
💛;geltona širdelė;geltona|širdelė
💚;žalia širdelė;širdelė|žalia
💙;mėlyna širdelė;mėlyna|širdelė
🩵;šviesiai mėlyna širdelė;aš tave myliu|emocija|meilė|miela|patinka|širdis|šviesiai mėlyna|žalsvai mėlyna|žydra
💜;purpurinė širdelė;aš tave myliu|emocija|meilė|širdelė|violetinė
🤎;ruda širdelė;ruda|širdelė
🖤;juoda širdis;blogis|juoda|širdelė|širdis
🩶;pilka širdelė;aš tave myliu|emocija|granitas|meilė|pilka|sidabras|širdis|ypatinga
🤍;balta širdelė;balta|širdelė
💋;bučinio žymė;bučinys|emocija|lūpos
💯;šimtas taškų;100|pilnas|rezultatas|šimtas|užtikrintai
💢;pykčio simbolis;komiksas|piktas|supykęs
🫯;kovos debesis;diskusijos|ginčas|grumtynės|kova|muštynės|nesutarimas|triukšmas
💥;susidūrimas;bum|komiksas
💫;apsvaigęs;komiksas|krentanti žvaigždė|žvaigždė
💦;prakaito lašeliai;komiksas|lašai|prakaitas|taškymas
💨;sukeltos dulkės;bėgimas|dulkės|komiksas
🕳️;duobė;
💬;kalbos debesėlis;balionas|debesėlis|dialogas|kalba|komiksas
👁️‍🗨️;akis kalbėjimo burbule;akis|kalbėjimo burbulas|liudjimas
🗨️;kairysis kalbos debesėlis;dialogas|kalba
🗯️;dešinysis pykčio debesėlis;balionas|debesėlis|įsiutęs|piktas
💭;minties debesėlis;balionas|debesėlis|komiksas|mintis|svajoti
💤;miego simbolis;komiksas|miegas|pavargęs
👋;mojuojanti ranka;mojuoja|mojuoti|ranka
🤚;pakelta viršutinė plaštakos pusė;pakelta|plaštaka|ranka
🖐️;iškelta ranka su išskėstais pirštais;išskėsta|pirštas|ranka|stop
✋;iškelta ranka;duok penkis|ranka
🖖;vulkanų rasės pasisveikinimo ženklas;kūnas|pasisveikinimas|pirštas|ranka|vulkanai|žvaigždžių kelias
🫱;į dešinę rodanti ranka;dešinė|dešinioji ranka|į dešinę|pasisveikinimas|ranka|rankos paspaudimas|rankos tiesimas
🫲;į kairę rodanti ranka;į kairę|kairė|kairioji ranka|pasisveikinimas|ranka|rankos paspaudimas|rankos tiesimas
🫳;ranka delnu žemyn;imti|nekreipti dėmesio|numesta|numesti|paimti|ranka|štiš
🫴;ranka delnu į viršų;ateik|gaudyti|kviesti|nežinau|papasakok|ranka|siūlymas
🫷;į kairę stumianti ranka;atsisakyti|blokuoti|duok penkis|į kairę|laukti|stumti|sulaikyti|sustoti
🫸;į dešinę stumianti ranka;atsisakyti|blokuoti|duok penkis|į dešinę|laukti|stumti|sulaikyti|sustoti
👌;GERAI ženklas rankomis;gerai|OK|ranka
🤌;suspausti pirštai;pirštai|rankos gestas|sarkastiškas|suspausti
🤏;žnybianti ranka;mažai|mažas kiekis|pirštai
✌️;pergalės ženklą rodanti ranka;pergalė|ranka|v
🤞;sukryžiuoti pirštai;kryžiuoti|kryžius|laimė|pirštai|ranka|sėkmė
🫰;ranka sukryžiuotu smiliumi ir nykščiu;brangu|meilė|pinigai|ranka|širdelė|širdis|spragtelėjimas
🤟;„myliu tave“ gestas;gestas|gestas „myliu tave“|myliu|ranka
🤘;ragų ženklas;pirštas|ragai|ranka|rokas
🤙;gestas paskambink man;ranka|skambinti
👈;į kairę pirštu rodanti ranka;indeksas|pirštas|ranka|rodyti
👉;į dešinę pirštu rodanti ranka;indeksas|pirštas|ranka|rodyti
👆;delnu nusukta aukštyn pirštu rodanti ranka;į viršų|indeksas|kūnas|pirštas|ranka|rodyti
🖕;vidurinis pirštas;pirštas|ranka
👇;delnu nusukta žemyn pirštu rodanti ranka;į apačią|indeksas|pirštas|ranka|rodyti
☝️;delnu atsukta aukštyn pirštu rodanti ranka;į viršų|indeksas|pirštas|ranka|rodyti
🫵;į žiūrovą rodantis smilius;baksnoti|pirštas|ranka|rodyti|tu
👍;nykštys į viršų;į viršų|iškeltas nykštys|liuks|nykštys|pirštas|ranka
👎;nykštys į apačią;blogai|nykštys|ranka
✊;iškeltas kumštis;kumštis|ranka|smūgis|sugniaužta
👊;artėjantis kumštis;kumštis|ranka|smūgis|sugniaužtas
🤛;į kairę nukreiptas kumštis;kairėn|kumštis
🤜;į dešinę nukreiptas kumštis;dešinėn|kumštis|ranka
👏;plojančios rankos;ploti|rankos
🙌;žmogus, iškėlęs rankas;gestas|iškėlęs rankas|iškelta|iškeltos rankos|kūnas|ranka|šventė|valio|žmogus
🫶;širdelė iš rankų;meilė|myliu tave|rankos|širdis
👐;atviros rankos;atviros|ranka|rankos
🤲;delnai suglausti;malda|ranka|suglausti delnai
🤝;rankos paspaudimas;pasisveikinimas|paspaudimas|ranka|susitarimas
🙏;suglausti delnai;gestas|melstis|prašymas|ranka
✍️;rašanti ranka;ranka|rašyti
💅;nagų lakas;kosmetika|lakas|manikiūras|nagai|priežiūra
🤳;asmenukė;fotoaparatas|telefonas
💪;paryškinti bicepsai;bicepsai|komiksas|kūnas|ranka|raumuo|sporto salė
🦾;mechaninė ranka;neįgaliųjų prieinamumas|prieinamumas|protezavimas|rankos protezas
🦿;mechaninė koja;kojos protezas|neįgaliųjų prieinamumas|prieinamumas|protezavimas
🦵;koja;galūnė|kelis|kūno dalis|spyris
🦶;pėda;galūnė|koja|kūno dalis|spyris|trepsėti
👂;ausis;garsas|klausyti|kūnas
🦻;ausis su klausos aparatu;ausis|kurtieji ir neprigirdintieji|neįgaliųjų prieinamumas|neprigirdintis|prieinamumas
👃;nosis;kūnas|kvapas
🧠;smegenys;kūno dalis|protingas
🫀;širdis;anatomija|centras|organas|pulsas|širdies plakimas
🫁;plaučiai;įkvėpimas|iškvėpimas|kvėpavimas|organas
🦷;dantis;dantistas
🦴;kaulas;skeletas|šuo
👀;akys;akis|kūnas|veidas|žiūrėti
👁️;akis;kūnas
👅;liežuvis;kūnas|laižyti
👄;burna;bučinys|kūnas|lūpdažis|lūpos
🫦;prikąsta lūpa;baimė|bučinys|flirtas|lūpos|nepatogu|nerimas|nervingumas|patrauklus|susirūpinimas
👶;kūdikis;jaunas|lauktis|naujagimis
🧒;vaikas;jaunas|neutrali lytis|žmogus
👦;berniukas;anūkas|jaunas|sūnus|vaikas
👧;mergaitė;dukra|jauna|mergelė|zodiakas
🧑;suaugusysis;neutrali lytis|žmogus
👱;šviesiaplaukis žmogus;asmuo|šviesiaplaukis|veidas|žmogus
👨;vyras;berniukas|draugas|vaikinas
🧔;barzdotas žmogus;barzda|žmogus
🧔‍♂️;vyras: barzda;barzda|vyras
🧔‍♀️;moteris: barzda;barzda|moteris
👨‍🦰;vyras: raudoni plaukai;berniukas|draugas|raudoni plaukai|vaikinas|vyras
👨‍🦱;vyras: garbanoti plaukai;berniukas|draugas|garbanoti plaukai|vaikinas|vyras
👨‍🦳;vyras: žili plaukai;berniukas|draugas|vaikinas|vyras|žili plaukai
👨‍🦲;vyras: plikas;berniukas|draugas|plikas|vaikinas|vyras
👩;moteris;šviesiaplaukė
👩‍🦰;moteris: raudoni plaukai;moteris|raudoni plaukai|šviesiaplaukė
🧑‍🦰;suaugusysis: raudoni plaukai;neutrali lytis|raudoni plaukai|suaugusysis|žmogus
👩‍🦱;moteris: garbanoti plaukai;garbanoti plaukai|moteris|šviesiaplaukė
🧑‍🦱;suaugusysis: garbanoti plaukai;garbanoti plaukai|neutrali lytis|suaugusysis|žmogus
👩‍🦳;moteris: žili plaukai;moteris|šviesiaplaukė|žili plaukai
🧑‍🦳;suaugusysis: žili plaukai;neutrali lytis|suaugusysis|žili plaukai|žmogus
👩‍🦲;moteris: plikas;moteris|plikas|šviesiaplaukė
🧑‍🦲;suaugusysis: plikas;neutrali lytis|plikas|suaugusysis|žmogus
👱‍♀️;blondinė;moteris
👱‍♂️;blondinas;vyras
🧓;kitas suaugusysis;neutrali lytis|senas|žmogus
👴;senas vyras;senas|vyras|žmogus
👵;sena moteris;močiutė|moteris|sena|šviesiaplaukė
🙍;paniuręs žmogus;antakių suraukimas|gestas|liūdnas|nelaimingas|nepatenkintas|nusivylęs|raukytis|susierzinęs|sutrikęs
🙍‍♂️;paniuręs vyras;gestas|paniuręs|vyras|žmogus
🙍‍♀️;paniurusi moteris;gestas|moteris|paniurusi
🙎;susiraukęs žmogus;antakių suraukimas|bloga nuotaika|gestas|grimasa|nusiminęs|nuvilti|raukymasis|verkšlenimas
🙎‍♂️;susiraukęs vyras;gestas|susiraukęs|vyras|žmogus
🙎‍♀️;susiraukusi moteris;gestas|moteris|susiraukusi
🙅;neigiamas gestas;be šansų|draudžiama|drausti|gestas|išskirti|ne|ranka|žmogus rodo neigiamą gestą
🙅‍♂️;draudžiantis vyras;draudžiama|gestas|neleistina|vyras
🙅‍♀️;draudžianti moteris;draudžiama|gestas|moteris|neleistina
🙆;teigiamas gestas;gerai|gestą rodantis žmogus|gestai|gestas|pratimas|ranka|vaje
🙆‍♂️;leidžiantis vyras;gerai|gestas|OK|ranka|vyras
🙆‍♀️;leidžianti moteris;gerai|gestas|moteris|ranka
💁;informacijos skyriaus darbuotojas;gandai|informacija|įžūlus|nesvarbu|pagalba|plaukų atmetimas|ranka|ranką iškėlęs žmogus|rimtai|sarkastiškas|sarkazmas
💁‍♂️;lengvai ranką pakėlęs vyras;gyvas|lengvai pakelta ranka|ranka|vyras
💁‍♀️;ranką pakėlusi moteris;gyvas|lengvai pakelta ranka|moteris
🙋;žmogus, iškėlęs ranką;aš|aš čia|galiu padėti|gestas|iškėlęs ranką|iškelta|klausimas|laimingas|pasirink mane|ranka|ranką iškėlęs žmogus|rankos|žinau|žmogus
🙋‍♂️;ranką pakėlęs vyras;gestas|pakelta ranka|ranka|vyras
🙋‍♀️;ranką iškėlusi moteris;gestas|moteris|pakelta ranka
🧏;kurčias žmogus;ausis|girdėti|kurčias|kurtieji ir neprigirdintieji|neįgaliųjų prieinamumas|prieinamumas|žmogus
🧏‍♂️;kurčias vyras;kurčias|vyras
🧏‍♀️;kurčia moteris;kurčia|moteris
🙇;nusilenkęs žmogus;atleisk|atsiprašau|atsiprašymas|gailėtis|gailiuosi|gestas|maldauti|meditacija|medituoti|nusilenkimas
🙇‍♂️;nusilenkiantis vyras;apgailestavimas|atsiprašymas|gestas|nusilenkimas|paslauga|vyras
🙇‍♀️;nusilenkianti moteris;apgailestavimas|atsiprašymas|gestas|moteris|nusilenkimas|paslauga
🤦;o varge;beviltiškumas|delnas prie veido|neįtikėtinumas|netikėjimas|o ne|šokas|susierzinęs žmogus|susierzinimas|tik ne tai|vaje|veidas|žmogus
🤦‍♂️;susierzinęs vyras;beviltiškumas|delnas prie veido|netikėjimas|o ne|šokas|susierzinimas|tik ne tai|vaje|vyras
🤦‍♀️;susierzinusi moteris;beviltiškumas|delnas prie veido|išmušti iš vėžių|moteris|netikėjimas|o ne|susierzinimas|tik ne tai|vaje
🤷;gūžtelėjimas pečiais;abejojantis žmogus|abejonė|galbūt|gūžtelėjimas|ignoravimas|nesvarbu|nežinau|nežinojimas|trūkčioti pečiais|žmogus
🤷‍♂️;abejojantis vyras;abejingumas|abejojantis žmogus|abejonė|galbūt|gūžtelėjimas pečiais|ignoravimas|nesvarbu|nežinau|nežinojimas|trūkčioti pečiais|vyras
🤷‍♀️;abejojanti moteris;abejingumas|abejojantis žmogus|abejonė|galbūt|gūžtelėjimas pečiais|ignoravimas|moteris|nesvarbu|nežinau|nežinojimas|trūkčioti pečiais
🧑‍⚕️;sveikatos darbuotojas;gydytojas|slaugymas|sveikatos priežiūra|terapistas
👨‍⚕️;medikas;gydytojas|slaugytojas|sveikata|terapeutas|vyras
👩‍⚕️;medikė;gydytoja|moteris|seselė|sveikata|terapeutė
🧑‍🎓;paskutinio kurso studentas;baigimas|studentas
👨‍🎓;studentas;absolventas|vyras
👩‍🎓;studentė;absolventė|moteris
🧑‍🏫;mokantis žmogus;dėstytojas|instruktorius|mokytojas
👨‍🏫;mokytojas;dėstytojas|profesorius|vyras
👩‍🏫;mokytoja;dėstytoja|instruktorė|moteris|profesorė
🧑‍⚖️;teisiantis žmogus;svarstyklės|teisėjas
👨‍⚖️;teisėjas;svarstyklės|teisingumas|vyras
👩‍⚖️;teisėja;moteris|svarstyklės|teisingumas
🧑‍🌾;ūkininkaujantis žmogus;sodininkas|ūkininkas
👨‍🌾;ūkininkas;darbininkas|sodininkas|vyras
👩‍🌾;ūkininkė;darbininkė|moteris|sodininkė
🧑‍🍳;gaminantis žmogus;šefas|virėjas
👨‍🍳;virėjas;šefas|vyras
👩‍🍳;virėja;moteris|šefė
🧑‍🔧;remontuojantis žmogus;elektrikas|mechanikas|santechnikas
👨‍🔧;mechanikas;elektrikas|prekybininkas|santechnikas|vyras
👩‍🔧;mechanikė;elektrikė|moteris|prekybininkė|santechnikė
🧑‍🏭;gamyklos darbuotojas;darbininkas|gamykla|industrinis|surinkimas
👨‍🏭;fabriko darbininkas;darbas|darbuotojas|fabrikas|gamyba|susirinkimas|vyras
👩‍🏭;fabriko darbininkė;darbas|darbuotoja|fabrikas|gamyba|moteris|susirinkimas
🧑‍💼;dirbantysis biure;architektas|balta apykaklė|vadybininkas|verslas
👨‍💼;biuro darbuotojas;architektas|biuras|darbas įstaigoje|vadybininkas|verslas|vyras
👩‍💼;biuro darbuotoja;architektė|biuras|darbas įstaigoje|moteris|vadybininkė|verslas
🧑‍🔬;mokslo darbuotojas;biologas|chemikas|fizikas|inžinierius|mokslininkas
👨‍🔬;mokslininkas;biologas|chemikas|fizikas|inžinierius|matematikas|vyras
👩‍🔬;mokslininkė;biologė|chemikė|fizikė|inžinierė|matematikė|moteris
🧑‍💻;technikas;išradėjas|koderis|programinė įranga|programuotojas
👨‍💻;technologas;išradėjas|kompiuteris|kūrėjas|programinė įranga|programuotojas|vyras
👩‍💻;technologė;išradėja|kompiuteris|kūrėja|moteris|programinė įranga|programuotoja
🧑‍🎤;dainuojantis žmogus;aktorius|dainininkas|linksmintojas|rokas|žvaigždė
👨‍🎤;dainininkas;aktorius|rokas|vyras|žvaigždė
👩‍🎤;dainininkė;aktorė|moteris|rokas|žvaigždė
🧑‍🎨;tapytojas;menininkas|paletė
👨‍🎨;dailininkas;paletė|vyras
👩‍🎨;dailininkė;moteris|paletė
🧑‍✈️;pilotuojantis žmogus;lėktuvas|pilotas
👨‍✈️;pilotas;lėktuvas|vyras
👩‍✈️;pilotė;lėktuvas|moteris
🧑‍🚀;kosmonautas;astronautas|raketa
👨‍🚀;astronautas;kosmosas|raketa|vyras
👩‍🚀;astronautė;kosmosas|moteris|raketa
🧑‍🚒;ugniagesys;gaisrinė mašina|gaisrininkas
👨‍🚒;gaisrininkas;gaisrininkų automobilis|vyras
👩‍🚒;gaisrininkė;gaisrininkų automobilis|moteris
👮;policininkas;įstatymas|pareigūnas|policija|policijos pareigūnas|priedangoje dirbantis policininkas|suimti|sulaikyti|sustabdytas
👮‍♂️;vyras policininkas;pareigūnas|policija|policininkas|vyras
👮‍♀️;moteris policininkė;įstatymas|moteris|pareigūnė|policija|policininkė|priedangoje dirbantis policininkas|suimti|sulaikyti|sustabdytas
🕵️;detektyvas;šnipas|vyras
🕵️‍♂️;seklys;detektyvas|seklas|šnipas|vyras
🕵️‍♀️;seklė;detektyvas|detektyvė|moteris|seklys|šnipė|žmogus
💂;sargybinis;Londonas|sargyba
💂‍♂️;vyras sargybinis;sargybinis|vyras
