😀;ansikte med stort leende;ansikte|glad|kul|leende|roligt|skratt
🫩;ansikte med påsar under ögonen;ansikte|rödögd|sent|sömnig|trött|utmattad
😷;ansikte med munskydd;ansikte|baciller|läkare|munskydd|sjuk|smitta|virus
🤒;ansikte med termometer;ansikte|feber|sjuk|termometer
🤕;ansikte med bandage på huvudet;aj|ansikte|bandage|huvud|skadad
🤢;äcklat ansikte;äcklad|ansikte|kasta upp|kräks|mår illa|spy
🤮;kräkande ansikte;ansikte|illamående|kräks|spyr
🤧;nysande ansikte;ansikte|atjoo|nysa|nyser|prosit
🥵;hett ansikte;ansikte|febrig|hett|överhettad|rött|svett|värmeslag|varmt
🥶;kallt ansikte;ansikte|blått|frostbiten|frusen|istappar|kall|minus|snö
🥴;yrt ansikte;ansikte|full|mun|ostadig|på örat|påverkad|vågig|yr
😵;omtumlat ansikte;ansikte|död|knockad|kryss|ögon|omtumlad|yr
😵‍💫;ansikte med spiralögon;ansikte|fara|förvirrad|fundersam|hypnotiserad|snurrig|spiralögon|yrsel
🤯;exploderande huvud;chockad|exploderande|huvud
🤠;ansikte med cowboyhatt;ansikte|cowboy|cowboyhatt|cowgirl|hatt
🥳;festande ansikte;ansikte|fest|födelsedag|hatt|kalas|partyhatt|tuta
🥸;maskerat ansikte;anonym|ansikte|förklädnad|glasögon|inkognito|mask|näsa
😎;leende ansikte med solglasögon;ansikte|chillar|cool|koppla av|leende|solglasögon
🤓;nördansikte;ansikte|expert|glad|glasögon|intelligent|nörd|smart
🧐;ansikte med monokel;ansikte|gammaldags|monokel|torr
😕;förbryllat ansikte;ansikte|förbryllad|inte|ledsen|vad|vet
🫤;ansikte med diagonal mun;ansikte|besviken|diagonal|förvirrad|mun|osäker|skeptisk|tveksam
😟;bekymrat ansikte;ansikte|bekymrad|ledsen|nervös|orolig|rädd
🙁;ansikte med lite sur mun;ansikte|besviken|mun|sur
☹️;ansikte med sur mun;ansikte|besviken|mun|sur
😮;förvånat ansikte;ansikte|chockad|förvånad|gapar|mun|omg|öppen|otroligt
😯;hyssjat ansikte;ansikte|gapar|hyssjad|överraskad|stum
😲;chockat ansikte;ansikte|chockad|förvånad|inte|otroligt|sant
😳;rodnande ansikte;ansikte|generad|omtumlad|pinsamt|rodnar|skäms
🫪;ansikte i närbild;chockad|förstoppad|orolig|överraskad|panik|rädd|vettskrämd
🥺;bönfallande ansikte;ansikte|bönfallande|hundögon|ledsen|nåd|snälla|tigga|varför
🥹;ansikte som håller tillbaka tårarna;ansikte|glädjetårar|gråter|känslosam|ledsen|ögon|stolt|tårar|tårfyllda
😦;ogillande ansikte med öppen mun;ansikte|bister|mun|oförstående|ogillande|öppen|rädd|vad
😧;plågat ansikte;åh nej|ångest|ansikte|lider|olycklig|plågat|rädd
😨;skrämt ansikte;ansikte|rädd|skräckinjagat|skrämd
😰;oroligt svettigt ansikte;ansikte|blått|kallsvettig|orolig|panik|rädd|svettig
😥;besviket men lättat ansikte;ansikte|besviken|lättad|nära|ögat
😢;gråtande ansikte;ansikte|gråter|ledsen|saknar|sorgligt|tårar
😭;storgråtande ansikte;ansikte|bölar|gråter|ledsen|olycklig|rinner|storgråtande|tårar
😱;ansikte som skriker av fasa;ansikte|fasa|katastrof|livrädd|rädd|skriet|skriker
😖;förvirrat ansikte;ansikte|besviken|förvirrad|frustrerad|irriterad
😣;uthålligt ansikte;ansikte|besviken|huvudvärk|misslyckades|står ut|uthålligt|uthärdar
😞;besviket ansikte;ansikte|besviken|misslyckades|nedslagen
😓;nedslaget kallsvettigt ansikte;ansikte|kallsvettig|nedslagen|nervös|rädd|svettig
😩;uttröttat ansikte;ansikte|besviken|ledsen|olycklig|slut|uppgiven|uttröttad
😫;trött ansikte;ansikte|inte|ledsen|less|orkar|trött
🥱;gäspande ansikte;ansikte|gäspa|godnatt|sängdags|sömnig|trött|uttråkad
😤;ansikte med ånga ur näsan;ånga|ansikte|arg|näsan|rasande|seger|triumf|vansinnig
😡;rasande ansikte;ansikte|arg|rasande|röd|sur
😠;argt ansikte;ansikte|arg|ilsken|upprörd
🤬;ansikte med symboler på munnen;ansikte|arg|förbannad|mun|svär|svordomar|symboler
😈;leende ansikte med horn;ansikte|djävul|elak|horn|leende|lila
👿;argt ansikte med horn;ansikte|arg|djävul|horn
💀;dödskalle;döskalle
☠️;dödskalle med ben i kors;benknotor|dödskalle|pirater
💩;bajshög;avföring|bajs
🤡;clownansikte;ansikte|clown|pajas
👹;japanskt monster;ansikte|demon|japansk|monster|saga
👺;japanskt troll;ansikte|japansk|saga|troll
👻;spöke;ansikte|saga
👽;utomjording;alien|rymdvarelse|saga|ufo
👾;utomjordiskt monster;monster|rymdvarelse|saga|ufo|utomjording
🤖;robotansikte;ansikte|robot
😺;flinande kattansikte;flinande|glad|katt|leende
😸;flinande kattansikte med leende ögon;flin|glad|grin|kattansikte|leende|ögon|tänder
😹;kattansikte med glädjetårar;glädjetårar|gråter|kattansikte|roligt|skrattar|tårar
😻;leende kattansikte med hjärtformade ögon;älskar|hjärtan|kärlek|kattansikte|leende|ögon
😼;kattansikte med snett leende;ironiskt|kattansikte|leende|snett
😽;kyssande kattansikte;blundar|kattansikte|kyss|plutar|puss
🙀;uttröttat kattansikte;chockad|förvånad|kattansikte|överraskad|rädd|uttröttad
😿;gråtande kattansikte;gråter|kattansikte|ledsen|tår
😾;tjurande katt;katt|sur|tjura|tjurig
🙈;apa ser inget;apa|håller för|inget|ögon|ser
🙉;apa hör inget;apa|håller för|hör|inget|öron
🙊;apa säger inget;apa|håller för|hemlighet|inget|munnen|säger|tyst
💌;kärleksbrev;brev|hjärta|kärlek
💘;hjärta med pil;amors|hjärta|kärlek|pil
💝;hjärta med rosett;hjärta|kärlek|present|rosa|rosett
💖;gnistrande hjärta;gnistrande|hjärta|känslor|kärlek|upprymd
💗;växande hjärta;hjärta|känslor|kärlek|nervös|puls|upprymd|växande
💓;bultande hjärta;bankar|bultande|hjärta|känslor|kärlek|puls|slår
💞;snurrande hjärtan;hjärtan|känslor|kärlek|snurrar|två
💕;två hjärtan;hjärtan|känslor|kärlek|två
💟;hjärtdekoration;dekoration|hjärta|lila|vitt
❣️;utropstecken i form av ett hjärta;hjärta|rött|utropstecken
💔;brustet hjärta;brustet|hjärta|känslor|trasigt
❤️‍🔥;brinnande hjärta;brinnande|eld|hjärta|lust
❤️‍🩹;läkande hjärta;friskna till|läker|läker sår|repa sig|tillfriskna
❤️;rött hjärta;hjärta|känslor|kärlek|rött
🩷;rosa hjärta;älskar|bedårande|gullig|hjärta|kärlek|rosa|sött
🧡;hjärta i orange;hjärta|orange
💛;gult hjärta;gult|hjärta
💚;grönt hjärta;grönt|hjärta
💙;blått hjärta;blått|hjärta
🩵;ljusblått hjärta;cyan|himmelsblå|hjärta|känsla|kärlek|ljusblå
💜;lila hjärta;hjärta|lila
🤎;brunt hjärta;brunt|hjärta
🖤;svart hjärta;hjärta|ond|svart
🩶;grått hjärta;grå|hjärta|känsla|kärlek|silver|skiffer
🤍;vitt hjärta;hjärta|vitt
💋;läppavtryck;kärlek|kyssmärke|läppar
💯;100 poäng;full pott
💢;symbol för ilska;arg|ilska|symbol
🫯;slagsmål;bråk|brottas|fajt|fajtas|fight|slåss|våld
💥;explosion;kollision|serietidning|smäll
💫;omtumlad;serietidning|stjärna|stjärnfall|yr
💦;stänkande svett;droppar|serietidning|stänkande|svettig
💨;fartsymbol;borta|pust|springa|springer iväg
🕳️;hål;
💬;pratbubbla;bubbla|dialogbubbla
👁️‍🗨️;öga i pratbubbla;öga|pratbubbla|vittne
🗨️;pratbubbla åt vänster;pratbubbla|svart|vänster
🗯️;arg pratbubbla åt höger;arg|höger|pratbubbla|taggig
💭;tankebubbla;bubbla|funderar
💤;snarkningar;snarkar|sömnig|sover|trött|uttråkad|zzz
👋;vinkande hand;är du där?|hallå|hand|hej|vinka|vinkning
🤚;höjd handrygg;hand|lyft
🖐️;hand med utspretade fingrar;finger|hand
✋;hand i luften;hand|handflata|uppräckt
🖖;vulcan-hälsning;hand|spock|Star Trek|vulcan
🫱;hand som pekar till höger;hälsa|hand|handslag|hej|höger|skaka|till höger
🫲;hand som pekar till vänster;hand|skaka|till vänster|vänster
🫳;handflatan nedåt;avvisa|neka|plocka upp|schas|släppa|släppte
🫴;handflatan uppåt;bjuda in|erbjuda|fånga|kalla på|sträcka ut en hand
🫷;hand som knuffar åt vänster;hand|high five|neka|stanna|stopp|till vänster|trycka|vänta
🫸;hand som knuffar åt höger;blockera|hand|high five|neka|pausa|stanna|stopp|till höger|trycka|vänta
👌;OK-tecken;hand|Instämmer|Javisst|Ok|tecken
🤌;fingerportmonnä;fingrar|förhör|handgest|nypa|sarkastisk
🤏;nypande hand;liten mängd
✌️;v-tecken;seger
🤞;korsade fingrar;finger|hand|korsa|lycka
🫰;hand med tummen och pekfingret korsade;<3|betala|dyrt|fingrarna|knäppa|korsade|pekfinger|pengar|tumme
🤟;jag älskar dig-gest;hand
🤘;djävulstecknet;djävulstecken|hand|hårdrock|horn|rock|rocka loss
🤙;ring mig-hand;hand|ring
👈;vänsterpekande finger;peka åt vänster|pekfinger
👉;högerpekande finger;peka åt höger|pekfinger
👆;pekfinger upp;finger|hand som pekar pekfingret uppåt|peka uppåt|pekfinger
🖕;långfinger upp;finger|hand
👇;nedåtpekande finger;finger|peka nedåt|pekfinger
☝️;finger upp;finger|förmaning|peka
🫵;finger som pekar på mig;du|finger som pekar mot tittaren|mig|peka
👍;tummen upp;bra|gillar|ok|okej|tumme|upp
👎;tummen ned;ner|ogilla|tumme
✊;knytnäve i luften;hand|knytnäve
👊;knuten hand;knytnäve
🤛;vänstervänd näve;näve|vänster|vänstervänd
🤜;högervänd näve;höger|högervänd|näve
👏;klappande händer;klappa|klappa händer
🙌;båda händerna i luften;hurra|räcker upp händerna
🫶;handhjärta;älskar|kärlek
👐;öppna händer;hand|händer|jazzhänder|öppna
🤲;handflatorna upp;bön
🤝;handskakning;avtal|hand|möte
🙏;beende händer;be|ber|händer|knäppta händer
✍️;hand som skriver;hand|skriver
💅;nagellack;måla naglar|manikyr|smink
🤳;selfie;arm som tar en selfie med telefon|kamera|telefon
💪;spänd biceps;muskler|stark
🦾;mekanisk arm;bionisk arm|protes
🦿;mekaniskt ben;bioniskt ben|protes
🦵;ben;lem|sparka
🦶;fot;sparka|stampa
👂;öra;kropp
🦻;öra med hörapparat;
👃;näsa;kropp
🧠;hjärna;klok
🫀;hjärta;kardiologi|organ|puls
🫁;lungor;andning|exhalering|inhalering|organ
🦷;tand;tandläkare
🦴;benknota;skelett
👀;ögon;öga
👁️;öga;kropp
👅;tunga;kropp
👄;mun;läppar
🫦;biter i läppen;ängslig|flirtar|nervös|obekväm|orolig|rädd|tveksam
👶;bebis;baby|liten|ung
🧒;barn;könsneutral|leende barn|ung
👦;pojke;kille|ung
👧;flicka;jungfru|stjärntecken|tjej|ung
🧑;person;könsneutral|vuxen
👱;blond person;blond|blond man|människor
👨;man;vuxen
🧔;man med skägg;person med skägg|skägg
🧔‍♂️;man: skägg;man|skägg
🧔‍♀️;kvinna: skägg;kvinna|skägg
👨‍🦰;man: rödhårig;man|rödhårig|vuxen
👨‍🦱;man: lockigt hår;lockigt hår|man|vuxen
👨‍🦳;man: vithårig;man|vithårig|vuxen
👨‍🦲;man: skallig;man|skallig|vuxen
👩;kvinna;vuxen
👩‍🦰;kvinna: rödhårig;kvinna|rödhårig|vuxen
🧑‍🦰;person: rödhårig;könsneutral|person|rödhårig|vuxen
👩‍🦱;kvinna: lockigt hår;kvinna|lockigt hår|vuxen
🧑‍🦱;person: lockigt hår;könsneutral|lockigt hår|person|vuxen
👩‍🦳;kvinna: vithårig;kvinna|vithårig|vuxen
🧑‍🦳;person: vithårig;könsneutral|person|vithårig|vuxen
👩‍🦲;kvinna: skallig;kvinna|skallig|vuxen
🧑‍🦲;person: skallig;könsneutral|person|skallig|vuxen
👱‍♀️;blond kvinna;blond|blondin|kvinna
👱‍♂️;blond man;blond|man
🧓;äldre person;äldre|gammal|könsneutral|vuxen
👴;gammal man;äldre man|gammal|man|vuxen
👵;gammal kvinna;äldre kvinna|gammal|kvinna|vuxen
🙍;sur person;missnöjd|person|sur|sur kvinna|sur uppsyn
🙍‍♂️;sur man;gest|man|missnöjd|sur
🙍‍♀️;sur kvinna;gest|kvinna|sur
🙎;plutande person;kvinna som putar med läpparna|person som plutar|plutar|puta med munnen|putar med läpparna
🙎‍♂️;plutande man;man|plutar
🙎‍♀️;plutande kvinna;kvinna|plutar
🙅;person gestikulerar NEJ;förbjudet|gest|gest för NEJ|icke|kvinna som gestikulerar NEJ|nej
🙅‍♂️;man gestikulerar NEJ;förbjudet|gest|man
🙅‍♀️;kvinna gestikulerar NEJ;förbjudet|gest|kvinna
🙆;person gestikulerar OK;gest|gest för OK|hand|kvinna som gestikulerar OK|okej
🙆‍♂️;man gestikulerar OK;gest|gest för OK|hand|okej
🙆‍♀️;kvinna gestikulerar OK;gest|gest för OK|hand|okej
💁;receptionist;hand|information|kvinna som vinkar med handen|människor|reception|sarkastisk|skvaller
💁‍♂️;hjälpande man;hjälpa|information|man|man som vinkar
💁‍♀️;hjälpande kvinna;hjälpa|information|kvinna
🙋;person som räcker upp handen;fråga|jag vet|kvinna som räcker upp handen|person|räcker upp handen
🙋‍♂️;man som räcker upp handen;man|räcka upp handen
🙋‍♀️;kvinna som räcker upp handen;kvinna|räcka upp handen
🧏;hörselskadad person;döv|hörsel|öra|tillgänglighet
🧏‍♂️;hörselskadad man;dåligt|döv|gest|höra|man|öra|tillgänglighet
🧏‍♀️;hörselskadad kvinna;döv|funktion|hörselskada|kvinna|nedsatt|öra
🙇;bugande person;ångra|be|bön|förlåt|gest|meditation|meditera|person|ursäkt
🙇‍♂️;bugande man;beklagelse|buga|man|ursäkt
🙇‍♀️;bugande kvinna;beklagelse|buga|kvinna|ursäkt
🤦;person som slår sig för pannan;ansikte|frustration|handflata|irritation|slå sig för pannan
🤦‍♂️;man som slår sig för pannan;facepalm|frustration|irritation|man
🤦‍♀️;kvinna som slår sig för pannan;facepalm|frustration|irritation|kvinna
🤷;person som rycker på axlarna;axelryckning|likgiltighet|okunskap|tvivel
🤷‍♂️;man som rycker på axlarna;axelryckning|likgiltighet|man|okunskap|tvivel|vet inte
🤷‍♀️;kvinna som rycker på axlarna;axelryckning|kvinna|likgiltighet|okunskap|tvivel
🧑‍⚕️;läkare;sjuksköterska|sjukvård|terapeut|vårdpersonal
👨‍⚕️;manlig läkare;doktor|hälsovård|läkare|man|manlig|skötare
👩‍⚕️;kvinnlig läkare;doktor|hälsovård|kvinna|kvinnlig|läkare|skötare
🧑‍🎓;student;studerande
👨‍🎓;manlig student;man|manlig|student|studerande
👩‍🎓;kvinnlig student;kvinna|kvinnlig|student|studerande
🧑‍🏫;lärare;instruktör|professor
👨‍🏫;manlig lärare;instruktör|lärare|man|manlig|professor
👩‍🏫;kvinnlig lärare;instruktör|kvinna|kvinnlig|lärarinna|professor
🧑‍⚖️;domare;advokat
👨‍⚖️;manlig domare;advokat|jurist|man|manlig
👩‍⚖️;kvinnlig domare;advokat|jurist|kvinna|kvinnlig
🧑‍🌾;bonde;jordbrukare|lantbrukare
👨‍🌾;manlig bonde;bonde|jordbruk|man|trädgårdsmästare
👩‍🌾;kvinnlig bonde;bonde|jordbruk|kvinna|trädgårdsmästare
🧑‍🍳;kock;köksmästare
👨‍🍳;manlig kock;man|matlagning|restaurang
👩‍🍳;kvinnlig kock;kvinna|matlaging|restaurang
🧑‍🔧;mekaniker;elektriker|rörmontör
👨‍🔧;manlig mekaniker;bil|elektriker|man|mekaniker|motor|rörmokare
👩‍🔧;kvinnlig mekaniker;bil|kvinna|mekaniker|motor
🧑‍🏭;fabriksarbetare;arbetare|industri|industriarbetare
👨‍🏭;manlig fabriksarbetare;fabrik|industri|man|produktion
👩‍🏭;kvinnlig fabriksarbetare;fabrik|industri|kvinna|produktion
🧑‍💼;kontorist;affärsman|ämbetsman|arkitekt|tjänsteman
👨‍💼;kontorstjänsteman;chef|kontor|man|näringsliv
👩‍💼;kontorstjänstekvinna;chef|kontor|kvinna|näringsliv
🧑‍🔬;forskare;biolog|fysiker|kemist|vetenskapsman
👨‍🔬;manlig forskare;kemi|laboratorium|man|vetenskap|vetenskapsman
👩‍🔬;kvinnlig forskare;kemi|kvinna|laboratorium|vetenskap
🧑‍💻;IT-tekniker;ingenjör|mjukvarutekniker|uppfinnare|utvecklare
👨‍💻;manlig IT-expert;data|IT|man|teknologi
👩‍💻;kvinnlig IT-expert;data|IT|kvinna|teknologi
🧑‍🎤;sångare;artist|rockstjärna|underhållare|vokalist
👨‍🎤;manlig sångare;artist|kändis|konsert|man|stjärna
👩‍🎤;kvinnlig sångare;artist|kändis|konsert|kvinna|stjärna
🧑‍🎨;konstnär;palett
👨‍🎨;manlig konstnär;målare|man|palett
👩‍🎨;kvinnlig konstnär;kvinna|målare|palett
🧑‍✈️;pilot;flygkapten
👨‍✈️;manlig pilot;flyga|man|pilot
👩‍✈️;kvinnlig pilot;flyga|kvinna|pilot
🧑‍🚀;astronaut;kosmonaut
👨‍🚀;manlig astronaut;astronaut|man|raket|rymden
👩‍🚀;kvinnlig astronaut;astronaut|kvinna|raket|rymden
🧑‍🚒;brandman;brandbil
👨‍🚒;manlig brandman;brandbil|brandman|brandväsendet|man
👩‍🚒;kvinnlig brandman;brandbil|brandväsendet|kvinna
👮;polis;aina|arrestera|bötfälla|farbror blå|gripa|konstapel|lagen|snut
👮‍♂️;manlig polis;konstapel|lagen|man|polisman
👮‍♀️;kvinnlig polis;aina|arrestera|bötfälla|farbror blå|gripa|konstapel|kvinna|lagen|snut
🕵️;detektiv;spion
🕵️‍♂️;manlig detektiv;kommissarie|man|privatdetektiv|spanare|spion
🕵️‍♀️;kvinnlig detektiv;detektiv|kommissarie|kvinna|privatdetektiv|spanare|spion
💂;vakt;grenadjär
💂‍♂️;manlig grenadjär;grenadjär|man|manlig vakt|vaktbyte|vaktparad
💂‍♀️;kvinnlig grenadjär;grenadjär|kvinna|kvinnlig vakt|vaktbyte|vaktparad
🥷;ninja;gömd|hemlig|lönnmördare
👷;byggarbetare;arbetare|hatt
👷‍♂️;manlig byggarbetare;arbetare|bygge|man
👷‍♀️;kvinnlig byggarbetare;arbetare|bygge|kvinna
🫅;person med krona;ädling|kung|kunglighet|monark
🤴;prins;
👸;prinsessa;saga
👳;man med turban;person med turban|turban
👳‍♂️;man i turban;man|turban
👳‍♀️;kvinna i turban;kvinna|turban
👲;man med kinesisk hatt;hatt|kinesisk hatt|man|man med hatt
🧕;kvinna i sjal;hijab|sjal|slöja
🤵;person i smoking;bröllop|brudgum|person|smoking
🤵‍♂️;man i smoking;man|smoking
🤵‍♀️;kvinna i smoking;kvinna|smoking
👰;person i brudslöja;bröllop|brud|brud med slöja|brudslöja|person
👰‍♂️;man i brudslöja;brudslöja|man
👰‍♀️;kvinna i brudslöja;brudslöja|kvinna
🤰;gravid kvinna;gravid|kvinna
🫃;gravid man;gravid|proppmätt|stor mage|uppsvälld
🫄;gravid person;gravid|stor mage|uppsvälld
🤱;amning;amma|baby|bröst
👩‍🍼;kvinna matar spädbarn;amma|kvinna|mata|spädbarn
👨‍🍼;man matar spädbarn;amma|barnskötare|fader|far|man|mata|pappa|spädbarn
🧑‍🍼;person ammar spädbarn;amma|barnskötare|bebis|förälder|mata|person|person matar spädbarn|spädbarn
👼;bebisängel;ängel|saga
🎅;jultomte;högtid|jul|tomten
🤶;tomtemor;jul|mor|nisse
🧑‍🎄;könsneutral tomte;jul|jultomte|tomte
🦸;superhjälte;god|hjälte|hjältinna|superkraft|superkrafter
🦸‍♂️;manlig superhjälte;god|hjälte|man|superkraft
🦸‍♀️;kvinnlig superhjälte;god|hjälte|hjältinna|kvinna|man|superkraft
🦹;superskurk;brottsling|elak|ond|skurk|superkraft|superkrafter
🦹‍♂️;manlig superskurk;brottsling|man|ond|skurk|superkraft
🦹‍♀️;kvinnlig superskurk;brottsling|kvinna|ond|skurk|superkraft
🧙;magiker;häxa|trollkarl
🧙‍♂️;manlig magiker;trollkarl
🧙‍♀️;kvinnlig magiker;häxa
🧚;fé;älva|Oberon|Puck|Titania|vingar
🧚‍♂️;manlig älva;Oberon|Puck
🧚‍♀️;kvinnlig fé;kvinnlig älva|Titania
🧛;vampyr;blod|Drakula|huggtänder|vandöd
🧛‍♂️;manlig vampyr;Drakula|vandöd
🧛‍♀️;kvinnlig vampyr;vandöd
🧜;vattenväsen;näcken|sjöjungfru|sjörå
🧜‍♂️;strömkarl;Triton
🧜‍♀️;sjöjungfru;sjörå
🧝;alv;magisk|mystisk
🧝‍♂️;manlig alv;magisk
🧝‍♀️;kvinnlig alv;magisk
🧞;ande;anden i flaskan|djinn
🧞‍♂️;manlig ande;ande|manlig djinn
🧞‍♀️;kvinnlig ande;djinn
🧟;zombie;levande död|odöd|vandöd
🧟‍♂️;manlig zombie;levande död|odöd|vandöd
🧟‍♀️;kvinnlig zombie;levande död|odöd|vandöd
🧌;troll;fantasy|monster|saga|sägen
🫈;hårig varelse;bigfoot|hårig|jätte|sasquatch|yeti
💆;person som blir masserad;ansiktsmassage|behandling|kvinna som blir masserad|massage
💆‍♂️;man som blir masserad;avslappning|huvudmassage|man|man som får massage|massage
💆‍♀️;kvinna som blir masserad;avslappning|huvudmassage|kvinna|kvinna som får massage|massage
💇;person som får håret klippt;frisör|frisyr|hårklippning|kvinna som får håret klippt|skönhet
💇‍♂️;man som får håret klippt;frisör|hårklipp|man
💇‍♀️;kvinna som får håret klippt;frisör|hårklipp|kvinna
🚶;fotgängare;lunka|man som går|promenerar|vandra
🚶‍♂️;man som går;fotgängare|gå|man|man går
🚶‍♀️;kvinna som går;fotgängare|gå|kvinna|kvinna går
🚶‍➡️;fotgängare: åt höger;åt|fotgängare|höger|lunka|man som går|promenerar|vandra
🚶‍♀️‍➡️;kvinna som går: åt höger;åt|fotgängare|gå|höger|kvinna|kvinna går|kvinna som går
🚶‍♂️‍➡️;man som går: åt höger;åt|fotgängare|gå|höger|man|man går|man som går
🧍;stående person;person|stående
🧍‍♂️;stående man;man|stående
🧍‍♀️;stående kvinna;kvinna|stående
🧎;knäsittande person;knäsittande|knästående person|på knäna
🧎‍♂️;knäsittande man;knäsittande|knästående|man
🧎‍♀️;knäsittande kvinna;knäsittande|knästående|kvinna
🧎‍➡️;knäsittande person: åt höger;åt|höger|knäsittande|knästående person|på knäna
🧎‍♀️‍➡️;knäsittande kvinna: åt höger;åt|höger|knäsittande|knästående|kvinna
🧎‍♂️‍➡️;knäsittande man: åt höger;åt|höger|knäsittande|knästående|man
🧑‍🦯;person med vit käpp;hjälpmedel|synskadad
🧑‍🦯‍➡️;person med vit käpp: åt höger;åt|hjälpmedel|höger|person med vit käpp|synskadad
👨‍🦯;man med vit käpp;blind|blindkäpp|man|man med blindkäpp|vit käpp
