😀;کھل کے ہنستا چہرہ;چہرہ|کھلا|منہ|ہنسی
😝;زبان نکالے اور سختی سے بند آنکھوں والا چہرہ;آنکھ|باپ رے!|چہرہ|خوفناک|زبان|مزاق|مزہ خراب|منہ بنانا
🤑;ڈالر کی زبان والا چہرہ;پیسہ|تبسم|چہرہ|خوشی|ڈالر|لالچ|مسکان|مسکراہٹ|منہ|ہنسی
🤗;گلے ملتا چہرہ;بغل گیری|چہرہ|گلے ملنا|مسکان|مسکراہٹ|منہ|ہنسی
🤭;منہ پر ہاتھ رکھا ہوا چہرہ;افوہ|حیران کن|حیرت|راز|منہ پر ہاتھ رکھا چہرا|ہنسنا|ہنسی
🫢;کھلی آنکھیں اور منہ پر ہاتھ رکھے ہوئے چہرہ;حیران|حیرت|خاموش|خوف|ڈرا ہوا|شرمندہ|صدمے میں|عدم یقین
🫣;جھانکتی آنکھ والا چہرہ;جھانکنا|چھپانا|خوفزدہ|شرمندہ|شرمیلا|گھورنا|مسحور
🤫;خاموش رہنے کا اشارہ کرنے والہ چہرہ;بے آواز|چپ|خامشی|خاموش|خاموش کرتا چہرا|ساکن|شش
🤔;سوچتا چہرہ;چہرہ|سوچ بچار|سوچنا|غور کرنا|غور و فکر|فکر مند|ہمم!
🫡;سلام کرتا ہوا چہرہ;افواج|ٹھیک ہے|جو حکم|جی سر|جی میڈم|جی ہاں|دھوپ|سلام|نیک تمنائیں
🤐;منہ سیے ہوئے چہرہ;بھید|پوشیدگی|چہرہ|خاموش|راز|رازداری|رمز|ساکن|سلا ہوا|منہ
🤨;اٹھی ہوئی بھویں والا چہرہ;اعتبار نہ کرنا|بد اعتمادی|بد ظن|بر گشتہ|بھروسہ نہ کرنا|بے اعتمادی|حیرانی|حیرت|سوالیہ انداز|شبہہ|شک|شکی|کال برٹ ایموجی|کیا؟|مشکوک|ناراض|ناراضگی|یقین نہ کرنا
😐;غیر جانبدار چہرہ;اچھا نہ لگنا|برا لگنا|جذبات سے عاری چہرہ|چہرہ|عجب|عجیب|غیر جانبدار|نامتاثر
😑;اظہار سے عاری چہرہ;بغیر تاثر|بے حرکت|بے حس|جذبات سے عاری|چہرہ|حسد|دکھی|عجیب|کچھ بھی صحیح!|ناخوش|ناراض
😶;بغیر منہ والا چہرہ;بھید|بول نہ پانا|چپ|چپکیدی|چہرہ|خاموشی|خموش|راز|ساکت|ساکن|سکتہ|سکوت|مسکراہٹ چھن جانا|منہ
🫥;نقطے دار لائن والا چہرہ;افسردہ|پوشیدہ|چھپنا|شرمیلا|غائب|مایوس|مجھے کیا|میری بلا سے
😶‍🌫️;بادلوں میں چہرہ;بادلوں میں سر|دھند میں چہرہ|غافل
😏;طنزیہ مسکراہٹ والا چہرہ;اترانا|استادی|تکبر|چالاک|چالاکی|چہرہ|دھیمی ہنسی|طنز|طنزیہ|غرور|مسکان|مسکراہٹ|مشکوک|ہنسی
😒;اداس چہرہ;آزردہ|برہم|جلا بھنا|چہرہ|خفا|دکھ|دکھی|غم|غم گین|فکر مند|کچھ بھی|مایوس|نا خوش|ناخوش|ناراض|ناراضگی|ناشاد
🙄;گھومتی آنکھوں والا چہرہ;آنکھ چڑھاتا|آنکھیں|اف|اکتاہٹ|اوہ|بیزار چہرہ|بیزاری|چہرہ|کچھ بھی ہو|گھومنا|ناراض
😬;مضحکہ خیز چہرہ;بد مزگی|بگڑا منہ|جبراً مسکرانا|چہرہ|خجل ہونا|دانت دکھانا|دانتوں کی درستی|کچھ نہیں!|کھسیا کر ہنسنا|کھسیانا|مسکراہٹ|معالجِ دنداں|منہ بنانا|ناگواریت|ہنسی
😮‍💨;سانس چھوڑتا چہرہ;آہ بھرنا|ارے نہیں|اُف|تھکن|راحت|سانس چھوڑنا|سرگوشی کرنا|سیٹی بجانا|کراہنا|لمبی سانس چھوڑنا|ہانپنا
🤥;جھوٹ بولتا چہرہ;پینوکیو|جھوٹ|جھوٹ بولنے والا|چہرہ|غلط|غلط بیان|غلط بیانی|مکاری
🫨;لرزتا ہوا چہرہ;بے یقینی|چہرہ|حیرت|زلزلہ|صدمہ|لرزتا ہوا|وائبریٹ
🙂‍↔️;دائیں بائیں نہ میں سر ہلاتا ہوا;دائیں بائیں نہ میں سر میں ہلاتا ہوا|نہیں، سر ہلانا
🙂‍↕️;ہاں میں اوپر نیچے سر ہلاتا ہوا;ہاں بھرنا، ہاں
😌;پُر سکون چہرہ;آرام|اطمینان|پُر سکون|تسکین|چہرہ|ڈھارس|سکون|سکونت|طمانیت
😔;سوچ میں ڈوبا چہرہ;اترا ہوا چہرہ|پریشان|تکلیف زدہ|چہرہ|دکھی|غم|غم گین|غمزدہ|گمسم|مایوس|مایوسی|نا امید|نا امیدی|ناشاد
😪;خوابیدہ چہرہ;پریشان|تھکا ہوا|چہرہ|دکھی|رونی صورت|غم|غمگین|غنودگی|فسردہ|نیند سے مخمور|نیند کا خمار
🤤;رال ٹپکاتا چہرہ;بھوکا ہونا|چٹورپن|چہرہ|رال ٹپکنا|لالچ|منہ میں پانی آنا
😴;سوتا ہوا چہرہ;آرام کا وقت|اونگھ|اونگھنا|بستر|بیڈ ٹائم|چہرہ|رات|سونا|سونے کا وقت|شب بخیر|گڈ نائٹ|نائٹ|نیند|نیند میں ہونا
🫩;آنکھوں کے گرد حلقوں والا چہرہ;تھکا ماندہ|تھکن زدہ|نیم خواب
😷;طبی ماسک والا چہرہ;آپریشن|ڈاکٹر|ڈینٹسٹ|سردی|علاج|ماسک|ماہر امراض جِلد|معالج
🤒;تھرمامیٹر لیے چہرہ;بخار|بیمار|بیماری|تپ|تھرمامیٹر|چہرہ|روگی|علالت|علیل|گرمی
🤕;سر پر پٹی باندھے چہرہ;پٹی|تکلیف|چہرہ|درد|دکھ|دکھی|زخم|زخمی|غم|غم گین
🤢;متلی کی کیفیت والا چہرہ;ابکانا|ابکی آنا|الٹی|بیمار|بیماری|چہرہ|علالت|علیل|قے|متلی
🤮;قے کرتا چہرہ;الٹی کرنا|الٹی کرنا ، قے ہونا، بیمار، علیل|بیمار|بیماری|علیل|قے|قے ہونا
🤧;چھینکیں مارتا چہرہ;بخار|بیمار|بیماری|چھینک|چہرہ|علالت|علیل|فلو|نزلا
🥵;سرخ چہرہ;بُخار زَدہ|بیمار، لو لگنا، گرم، گرم چہرہ، سرخ چہرہ، پسینہ، مرنا، زبان نکل آنا، ہانپنا، چہرہ|پسینے سے شرابور|حرارت زدگی|گرم
🥶;سرد چہرہ;برف کے قلمیں|بہت زیادہ سرد|ٹھنڈا|سردی سے ماؤف|نیلا چہرہ، ٹھنڈا، ٹھنڈا چہرہ، منجمند، فراسٹ بائٹ، قلم یخ، سب زیرو، چہرہ، ٹھنڈے دانت، نیلا|نیلگوں چہرہ
🥴;اُلجھن کا شکار شہرہ;ٹیڑھی میڑھی آنکھیں|چکرایا ہُوا|سر چکرایا، شراب سے دھت، ڈگمگایا، الٹی آنکھیں، لٹکا چہرہ، اترا منہ، دھت|مخمُور|مدہوش|ناہموار منہ
😵;چکراتا چہرہ;افتادہ|چکر|چکّر|چکر آنا|چکرانا|چہرہ|غنودگی|مائوف|نڈھال
😵‍💫;مرغولہ آنکھوں والا چہرہ;اسمائیلی|اوہ میرے خدا|پریشانی|تنويم کے اثر میں|چکر آنا|رکو|کیا کہا؟|مرغولہ|مسکراہٹ|ہیں؟
🤯;سر پھٹنا;پھٹتا ہوا دماغ|پھٹنا|حیران|حیران کن|حیرت زدہ
🤠;کاؤ بوائے ہیٹ کے ساتھ چہرہ;تبسم|ٹوپی|چہرہ|خاتون|خوشی|عورت|کاؤ بوائے|کائو گرل|کھلکھلا کر ہنسنا|مسکان|مسکراہٹ|ہنسی|ہیٹ
🥳;پارٹی سے لطف اندوز ہوتا چہرہ;باجا|باجا بجانا|برتھ ڈے|پارٹی|پارٹی والا چہرہ|پرجوش|ٹوپی|جشن|سالگرہ مبارک|مستی|ہیپی برتھ ڈے
🥸;بہروپ چہرہ;بھنویں|بہروپ|بہروپی چہرہ|پلکیں|چشمہ|چہرہ|خفیہ|مونچھ|ناک
😎;دھوپ کا چشمہ لگائے مسکراتا چہرہ;آنکھ|اترانا|اسٹائل|تبسم|چشمہ|چمکیلا|چہرہ|خوش چہرہ|خوشی|دھوپ|سورج|مسکراہٹ|ہنسی
🤓;بیوقوفانہ چہرہ;احمق|بیوقوفانہ|بے وقوف|چالاک|چہرہ|ذہین|عقلمند|کم عقل|کم فہم|ماہر|ہوشیار
🧐;ایک چشمہ پہنا ہوا چہرہ;امیر|ایک آنکھ کا چشمہ|ایک تال کی عینک|بند ناک والا چہرہ|بے نیاز|دولت مند|مال دار
😕;الجھن زدہ چہرہ;انتشار|پراگندہ|چہرہ|حیران|شش و پنج میں میں گرفتار|ششدر|کنفیوز
🫤;ترچھے منہ والا چہرہ;الجھن کا شکار|بیکار|بے یقین|شکی|مایوس|متشکک|مجھے کیا|میری بلا سے|ہاں تو؟
😟;پریشان چہرہ;بزدل|پریشان|چہرہ|دکھی|غم|غمگین|فکر مند|کم ہمت|گھبرایا ہوا چہرہ|مذبذب|ہراساں
🙁;ہلکا سا تیوری زدہ چہرہ;اداس|اداسی|افتاد|پریشان|پریشانی|تیوری|چہرہ|دکھ|دکھی چہرہ|غم|غمگین
☹️;تیوری زدہ چہرہ;اداس چہرا|افتاد|افسردہ|تکلیف|تیوری|چہرہ|خائف|خفا|دشواری|دکھی چہرا|رنجیدہ|غم|غم گین|مصیبت زدہ|ناخوش|ناراض
😮;کھلے منہ والا چہرہ;ارے!|بے یقینی|چہرہ|حیرت|حیرت انگیز|خوب!|کھلا ہوا|منہ
😯;شدید حیرت زدہ چہرہ;ارے!|پریشان|تعجب|تعجب خیز|چہرہ|حھیران|حیران|حیرت|حیرت انگیز|دھچکا پہنچنا|ششدر|غیر متوقع|لوگ|نادانستہ|ہڑبڑانا
😲;حیرت زدہ چہرہ;ارے!|باپ رے!|تعجب|تکلیف|چہرہ|حیران|حیرت
😳;شرمندگی سے سرخ چہرہ;پاگل|پریشان|چہرہ|خجل|سرخ|شرم|شرمندگی
🫪;بگڑا ہوا چہرہ;بے چینی|حیران|حیرت زدہ|خطرے سے دوچار|خوف و ہراس|سوجا ہوا
🥺;ملتجی چہرہ;التجا کرنا|التجا، رحم، التجائی چہرہ، پپّی والی آنکھیں، براہ کرم، اداس، کیوں نہیں، چہرہ، بڑی آنکھیں|رحم|طفلانہ آنکھیں
🥹;آنسو روکے ہوئے چہرہ;اداس|اداسی|پُرمسرت|پسندیدگی|پلیز|رونا|غرور|غصیلا|فخر|متشکر|مزاحمت|ہائے|ہائے اللہ
😦;منہ کھولے تیوری چڑھاتا چہرہ;ارے!|پریشان|تیوری|چہرہ|حیران|حیرت زدہ|ڈرا ہوا|شش و پنج میں ہونا|ششدر|کھلا ہوا|مبہوت|منہ|یہ کیا؟
😧;تکلیف زدہ چہرہ;تکلیف|چہرہ|حیران|حیرت زدہ|دکھی چہرا|ڈرا ہوا|فسردہ|کیا؟
😨;خوفزدہ چہرہ;اب کیا؟|ارے!|بہتان|پر ہیبت|پریشان|پریشانی|تہمت|چہرہ|حیران|خوف|دہشت|ڈرا ہوا|ششدر|کیا؟|ہیرانی
😰;کھلے منہ اور ٹھنڈے پسینے والا چہرہ;پریشان|پسینہ|ٹھنڈا|ڈرا ہوا|روہانسا چہرہ|منہ|نیلا
😥;مایوس لیکن پر سکون چہرہ;ابھی نہیں!|اداس|بچ گئے!|پر سکون|پراگندہ|پریشان|چہرہ|دکھ|دکھی|شش و پنج|غم|غم گین|مایوس|مخمصہ
😢;روتا ہوا چہرہ;آنسو|اشک آلود چہرہ|افسردہ|پریشان|جدائی|چہرہ|دکھی|رنج|رنجش|رونا|روہانسا چہرہ|ستم رسیدہ|غم|غم گین|فراق|فراق دیدہ|یاد آنا
😭;زار و قطار روتا چہرہ;آنسو|اشک|اشک آلود آنکھیں|اشک بار|افسردہ|چہرہ|دکھی|رونا|صدمہ|غم|غمگین
😱;خوف سے چلاتا چہرہ;چلانا|چہرہ|چیخ|چیخنا|خوف|ڈر|شور مچانا|صدمہ
😖;بے ترتیب چہرہ;انتہائی کنفیوز|برہمی|پریشان|چہرہ|دکھ|دکھی|سٹپتانا|سراسیمہ|شش و پنج|غم|غمگین
😣;پُرعزم چہرہ;پُرعظم|پریشانی|توجہ|چہرہ|دھیان|سر درد|غم|غم گین|غور و فکر|فوکس|متوجہ|مرکزِ توجہ
😞;مایوس چہرہ;اداس|افسردہ|پریشان|چہرہ|دکھی|غم|غم گین|مایوس|مغموم
😓;ٹھنڈے پسینے والا چہرہ;بزدل|پریشان|پسینہ|ٹھنڈ|جذباتی|چہرہ|حساس|خوف|خوف زدہ|ڈر|ڈرا ہوا|سر درد|فسردہ|کم ہمت|مضطرب|نازک مزاج|ہراساں
😩;اکتایا ہوا چہرہ;اٹھ نہ پانا|احساس|پریشان|تھکا ہوا|تھکاوٹ|چہرہ|دکھ|دکھی|رنجیدہ|روہانسا چہرہ|سنجیدہ|غم|غم گین|فسردہ|فکر|فکرمندی|مغموم|نیند سے بھرا
😫;تھکا ہوا چہرہ;اونگھتا|بے ذار|پریشان|تھکان|تھکاوٹ|تھکن|چھینک|چہرہ|دکھی|فرسودہ
🥱;جمائی لیتا چہرہ;اونگھتا ہوا|بوریت کا شکار|تھکا ماندہ|تھکاوٹ|جمائی|شب بخیر|کچھ بھی ہو|گڈ نائٹ|نیند
😤;ناک سے دھواں نکالتا چہرہ;جذبات|جلال|چہرہ|دھواں|غصہ|غصے سے پاگل|غضب ناک|فتح|فتخ
😡;نا شاد چہرہ;چہرہ|طیش|غصہ|غصے سے پاگل|غصے سے سرخ|غضب|غضب ناک|غضب ناک چہرا|غیض|قہر|نا خوش
😠;غصے والا چہرہ;پریشان|جلال|چہرہ|طیش|غصہ|غضب|غضب ناک|غیض|قہر|ناراض|ناراضگی
🤬;منہ پر علامات والا چہرہ;بد دعا|بد دعا دینا|بد کلامی|دشنام طرازی|غصہ|فحش کلامی|گالی بکنا|گالی گلوچ|گالیاں دینا|لعن|منہ پر نشانات والا چہرا|نفرین
😈;شیطانی مسکراہٹ والا چہرہ;افسانہ|تبسم|چہرہ|داستان|شاطان|شیطانی مسکراہٹ|کہانی|مسکان|مسکراہٹ
👿;شریر شیطان;آسیب|ابلیس|افسانہ|چہرہ|داستان|سایہ|شرارتی|شیطان|طیش|غصہ|غضب ناک|غیض|قہر|کہانی
💀;کھوپڑی;اشیاء|افسانہ|افسانوی|جن|چہرہ|چیز|خوف|خوفناک|راکشس|موت|میّت|ہڈیوں کا ڈھانچہ|ہلاکت
☠️;کراس شدہ ہڈیوں کے ساتھ کھوپڑی;اشیاء|چیز|خطرناک|خطرہ|کراس|کھوپڑی|کھوپڑی اور ہڈی کا نشان|موت|ہڈیاں
💩;گندگی کا ڈھیر;اشیاء|پاخانہ|چہرہ|چیز|ڈھیر|کھاد|گندگی|گو|گو کا ڈھیر|گوبر
🤡;جوکر چہرہ;تاش کا جوکر|تماشا|تماشائی|تماشگیر|تمسخر|جوکر|چہرہ|شعبدہ کار|شعبدہ گر|لوگ|مسحرہ|مسخرا
👹;شیطانی جن;آسیب|افسانوی|جاپانی|جن|چہرہ|خوف ناک|دیئو|ڈرائونا|مکھوٹا|مہیب|ہیبت ناک
👺;لمبی ناک اور مونچھوں والا دیو;آسیب|ارواح خبیثہ|افسانوی|بھوت|پری داستان|جاپانی|جن|چہرہ|خیالی|داستان|دیو|شیطان
👻;بھوت;آسیب|افسانہ|افسانوی|جن|چہرہ|داستان|ڈرائونی کہانی|ڈرانا|کہانی|مسخرا بھوت|ہالوین
👽;خلائی مخلوق;آسمانی|افسانہ|افلاکی|چہرہ|خلا|خلائی|دیئو|فضائے بسیط|کہانی|مخلوق
👾;خلائی دیو;آسمانی مخلوق|افسانہ|پرستان|پکسیل والی مخلوق|چہرہ|خلا|داستان|دیو|کھیل|کہانی|گیمس
🤖;روبوٹ;اشیاء|چہرہ|چیز|دیئو|مشین|مشینی دیئو|مونسٹر
😺;کھلے منہ کے ساتھ مسکراتی بلی کا چہرہ;بلی|بلّی|بلی کیی ہنسی|پرتبسم بلّی|تبسم|چہرہ|خوشی|مسکراہٹ|منہ|ہنسی
😸;مسکراتی آنکھوں والی کھل کے ہنستی بلی کا چہرہ;بلی|جانور|چہرہ|خوشی|مسکراہٹ|ہنستی ہوئی بلّی|ہنسی
😹;خوشی کے آنسو لیے بلی کا چہرہ;آنسو|بلی|جاندار|جانور|چہرہ|خوش|خوش ہوتی بلّی|خوشی|قہقہا|مخلوق|ہنستی ہوئی بلّی|ہنسی
😻;دل کی شکل والی آنکھوں کے ساتھ مسکراتی بلی کا چہرہ;بلی|بلی کا پیار بھرا چہرہ|پیار|تبسم|جانور|چہرہ|دل|محبت|مسکان|مسکراہٹ|ہنسی
😼;بلی کا طنزیہ مسکراہٹ والا چہرہ;بلی|چہرہ|طنز|طنزیہ تبسم|طنزیہ ہنسی|مسکراہٹ
😽;بند آنکھوں کے ساتھ بوسہ لیتا بلی کا چہرہ;آنکھ|بلی|بوسہ|بوسہ دیتی بلی|پیار|جاندار|جانور|چہرہ|مخلوق
🙀;تھکی ہوئی بلی;ارے|اوہ|بلی|تھکا ہوا بلی کا چہرہ|تھکا ہوا ہونا|تھکی ہوئی|چہرہ|حیران|حیران کن چہرہ|حیرت انگیز
😿;روتی ہوئی بلی;آنسو|اسک|بلی|بلی کا اشک آلود چہرہ|جانور|چہرہ|روتا ہوا بلی کا چہرہ|رونا|روہانسی بلی|غمگین|فسردہ
😾;ناشاد بلی;بلی|بلی کا نا شاد چہرہ|بیزاری|چہرہ|طیش|غصہ|غضب|نا شاد|نا شاد ہونا|ناراض|ناراضگی
🙈;ہاتھ سے آنکھیں چھپائے بندر;برائی کو نہ دیکھیں|بندر|چہرہ|دیکھا نہ جانا|دیکھنا|دیکھو|شرم سار|قدرت|مسدود|نہیں|نہیں دیکھا جاتا
🙉;کانوں کو ہاتھ سے چھپائے بندر;برا|برا مت سنو|برائی|بندر|جاندار|چہرہ|خاموش|سنو|شش|قدرت|ممنوع|منع|نہیں
🙊;منہ کو ہاتھوں سے بند کیے بندر;ارے نہیں|برا مت کہو|برائی|بندر|بولو|جاندار|چہرہ|خاموش|راز|شش|قدرت|مسدود|نہیں
💌;محبت بھرا خط;پیار|خط|دل|دھڑکن|رومانس|عشق|محبت نامہ|نامہ
💘;تیر پیوست ہوا دل;تیر|تیر دل کے پار|دل|زخمی|عشق|محبت|ملاقات|ویلینٹائن
💝;ربن باندھے دل;دل|دل کا تحفہ|ربن|سوغات|ہدیہ
💖;چمکتا دل;پر جوش|دل|شب بخیر|عشق|محبت
💗;بڑھتا ہوا دل;بڑا دل|بوسہ|پر جوش|دل|دھڑکن|محبت|نروس
💓;دھڑکتا دل;دل|دھڑکتا ہوا دل|دھڑکن|عشق|محبت
💞;گھومتے دل;دل|عشق|گھومنا|محبت میں مبتلا دل
💕;دو دل;احساسات|پیار|جذبات|دل|عشق|محبت|ملاقات
💟;دل کی ڈیکوریشن;دل|ڈیکوریشن
❣️;دلی اظہار;دل|دل کا بھر آنا|رموزِ اوقاف|علامت|علامتِ ندائیہ|علامتِ ندائیہ والا بھاری دل
💔;ٹوٹا ہوا دل;احساسات|تنہا دل|ٹوٹا ہوا|جذبات|دکھی دل|دل|دلِ حزین
❤️‍🔥;جلتی آگ میں دل;پاکیزہ دل|پیار|جلنا|دل|ہوس
❤️‍🩹;شفا یاب ہوتا دل;بہتر ہونا|تندرست|شفایاب ہوتا دل|شفایاب ہونا|صحت مند|صحت یاب ہونا
❤️;سرخ دل;احساس|جذبات|دل|سرخ
🩷;گلابی دل;پسند|پسندیدگی|پیارا|جذبات|خاص|دل|گلابی|محبت
🧡;نارنجی دل;دل|سرخی مائل زرد|نارنجی|نارنگی
💛;پیلا دل;پیلا|جذبات|دل|محبت
💚;سبز دل;جذبات|دل|رومانی|سبز|عشق|محبت|ہرا دل
💙;نیلا دل;دل|عشق|محبت|نیلا
🩵;ہلکا نیلا دل;آسمانی نیلا|جذبات|خاص|دل|سیان|محبت|نیلگوں|ہلکا نیلا
💜;ارغوانی دل;ارغوانی|پیار|دل|عشق|محبت
🤎;بھورا دل;براؤن|بھورا|دل|ہارٹ
🖤;کالا دل;برا|دل|سیاہ دل|شیطانی|کالا
🩶;خاکستری دل;جذبات|خاکستری|دل|سلور|سلیٹ|محبت
🤍;سفید دل;دل|سفید|نیک دل
💋;بوسے کا نشان;بوسہ|پیار|جذبات|دہانا|عشق|لب|محبت|ملاقات|ہونٹ
💯;سو پوائنٹس;اسکور|بے نظیر|پورے|سو|سو فی صد|عمدہ|وفادار
💢;غصے کی علامت;علامت|غصہ|غیظ|غیظ کی علامت
🫯;فائٹ کلاؤڈ;بحث|عدم اتفاق|کشتی|لڑائی|مکا مارنا|مناظرہ|ہنگامہ
💥;تصادم;بم|ٹکر|ٹکرائو|دھماکہ
💫;سر چکرانا;ٹوٹا تارہ|چمکتا ستارہ|روشن ستارہ|علامت|قدرت|کامکس|نجم
💦;پسینے کے قطرے;آنسو|اشک|بوندیں|پانی|پانی چھلکنا|پانی کی بوندیں|پانی کے چھینٹے|پسینہ|چھلک جانا|قدرت|قطرے|محنت
💨;تیزی سے دوڑنا;بھاگنا|بھاگو|تیزی|جائو|جانا|دھواں|دوڑنا|سرعت|قدرت
🕳️;سوراخ;چھید|خالی جگہ
💬;گفتگو غبارہ;بات چیت|باتیں|علامت|غبارہ|گفتگو|متن
👁️‍🗨️;دھمکی روکنے کی مہم;آنکھ|دھمکی|مشاہدہ|مہم
🗨️;گفتگو غبارہ بائیں;بات چیت|باتیں|بایاں|بیان|جملہ|علامت|غبارہ
🗯️;غصہ غبارہ دائیں;دایاں|علامت|غبارہ
💭;سوچ غبارہ;ایجاد|خواب|خیال|خیالی غبارہ|سوچ|علامت|غبارہ|کارٹون
💤;زززززز;اونگھنا|خوابیدہ علامت|رات|سونا|شب بخیر|کامک|گڈ نائٹ|لفظی علامت|مزاحیہ|نائٹ|نیند|نیند کی علامت|ہنسی
👋;ہاتھ لہرانا;اچھا ہے|اللہ حافظ|الوداع|بعد میں|جسم|خدا حافظ|رخصت|سلام|شاندار ہے|لہرانا|ملیں گے|ہائے|ہاتھ|ہیلو|وداع
🤚;کھڑے ہاتھ کی پشت;اشارہ|پشت|جسم|کھڑا|ہاتھ
🖐️;پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ;اشارہ|انگلی|پانچ|پنج|پنجہ|پھیلانا|ٹھہریں|جسم|دستِ اشارہ|رکیں|ہاتھ
✋;بلند ہاتھ;پنج|پنجہ|ٹھہریں|جسم|دستِ اشارہ|رکیں|روکتا ہوا ہاتھ|ہاتھ
🖖;وولکن سلیوٹ;اَتش فشاں|اشارہ|انگلی|انگلیاں|بدن|جسم|ہاتھ|ولکن
