😀;დაკრეჭილი სახე;დაკრეჭა|დაკრეჭილი|სახე
😔;ფიქრებში ჩაძირული სახე;დამწუხრებული|კალამი|სახე|ფიქრიანი
😪;ძილმორეული სახე;სახე|ძილი
🤤;დორბლიანი სახე;დორბლიანი|სახე
😴;მძინარე სახე;zzz|სახე|ძილი
🫩;სახე დასიებული თვალებით;გადაღლა|გვიანი|დაბერებული|დაქანცული|დაღლილი|თვალები|მობეზრებული|სახე|უძინარი|შეშუპება
😷;სახე სამედიცინო ნიღბით;ავადმყოფი|გაციებული|ექიმი|მედიცინა|ნიღაბი|სახე
🤒;სახე თერმომეტრით;ავადმყოფობა|თერმომეტრი|სახე
🤕;სახე თავზე ბინტით;ბინტი|ნატკენი|სახე|ტრავმა
🤢;გულისრევა;სახე|ღებინება
🤮;ღებინება;გულისრევა
🤧;ცემინება;სახე|სიცოცხლე
🥵;ცხელი სახე;დასიცხული|სიცხიანი|ცხელი
🥶;ცივი სახე;გაყინვა|ლურჯი სახე|ყინული|ცივი
🥴;თავბრუდახვეული სახე;თავბრუსხვევა|მოწამლული|ნასვამი
😵;გაბრუებული სახე;გაბრუებული|მკვდარი|სახე
😵‍💫;სახე სპირალური თვალებით;არეული|ეუფ|ჰიპნოზი
🤯;აფეთქებული თავი;დაშოკილი
🤠;სახე კოვბოის ქუდით;კოვბოი|კოვბოი გოგონა|სახე|ქუდი
🥳;მოზეიმე სახე;ზეიმი|ფართი|ქუდი|წვეულება
🥸;შენიღბული სახე;გადაცმა|ინკოგნიტო|სახე|შენიღბვა|ცხვირა
😎;მომღიმარე სახე მზის სათვალით;ამინდი|თვალი|კაშკაშა|მზე|მზის სათვალე|სათვალე|სახე|ტიპი|ღიმილი
🤓;სულელური სახე;სახე|შეშლილი
🧐;სახე მონოკლით;მკაცრი|პედანტი|წესრიგიანი
😕;დაბნეული სახე;დაბნეული|სახე
🫤;სახე დახრილი პირით;გადაუწყვეტელი|დაღვრემილი|იმედგაცრუებული|სპეპტიკური
😟;აღელვებული სახე;აღელვებული|სახე
🙁;ოდნავ შეჭმუხნილი სახე;სახე|შეკრული|შეჭმუხნილი
☹️;შეჭმუხნილი სახე;სახე|შეკრული|შეჭმუხნილი
😮;სახე ღია პირით;თანაგრძნობა|პირი|პირღია|სახე|ღია
😯;გაოცებული სახე;გაოგნებული|გაოცებული|სახე
😲;გაკვირვებული სახე;გაკვირვებული|სახე|შოკირებული
😳;გაწითლებული სახე;გაწითლებული|სახე|წითელი
🫪;მოღრეცილი სახე;განცვიფრებული|გაოცებული|დაშოკილი|პანიკა|შიში|შოკი|შფოთვა
🥺;შემოვედრება;ვედრება|ლეკვის გამოხედვა|მოწყალება
🥹;აცრემლიანებული სახე;ამაყი|გაბრაზებული|ნაღვლიანი|ტირილი|ცრემლიანი
😦;შეჭმუხნილი სახე ღია პირით;პირი|პირღია|სახე|ღია|შეკრული|შეჭმუხნილი
😧;ტანჯული სახე;სახე|ტანჯული
😨;შეშინებული სახე;სახე|შეშინებული|შიში
😰;სახე ღია პირითა და ცივი ოფლით;ლურჯი|ოფლი|ოფლიანი|პირი|პირღია|სახე|ღია|ცივი|ცისფერი
😥;იმედგაცრუებული, მაგრამ შვების გამომხატველი სახე;იმედგაცრუებული|მაგრამ შვების გამომხატველი სახე|სახე|შვება
😢;მტირალა სახე;მწუხარება|სახე|ტირილი|ცრემლი|ცრემლიანი
😭;ხმამაღლა მტირალა სახე;მწუხარება|სახე|ტირილი|ქვითინი|ცრემლი|ცრემლიანი
😱;სახე, რომელიც შიშისგან კივის;კივილი|რომელიც შიშისგან კივის|სახე|შეშინებული|შიში
😖;შეცბუნებული სახე;სახე|შეცბუნებული
😣;შეუპოვარი სახე;სახე|შეუპოვრობა
😞;იმედგაცრუებული სახე;იმედგაცრუებული|სახე
😓;სახე ცივი ოფლით;ოფლი|ოფლიანი|სახე|ცივი
😩;დაქანცული სახე;დაქანცული|დაღლილი|სახე
😫;დაღლილი სახე;დაღლილი|სახე
🥱;მთქნარება;დამთქნარება|დაღლილი|მოწყენილი
😤;სახე ცხვირიდან გამომავალი ორთქლით;გამარჯვება|სახე|ტრიუმფი
😡;გაბერილი სახე;გაბრაზებული|განრისხებული|სახე|შეშლილი|წითელი
😠;გაბრაზებული სახე;გაბრაზებული|სახე|შეშლილი
🤬;სახე პირზე აფარებული სიმბოლოებით;გინება|ლანძღვა
😈;მომღიმარე სახე რქებით;ზღაპარი|რქები|სახე|ფანტაზია|ფანტასტიკა|ღიმილი
👿;ეშმაკუნა;დემონი|ეშმაკი|ზღაპარი|სახე|ფანტაზია|ფანტასტიკა
💀;თავის ქალა;ზღაპარი|მონსტრი|სახე|სიკვდილი|სხეული|ტანი
☠️;თავის ქალა და გადაჯვარედინებული ძვლები;თავის ქალა|მონსტრი|სახე|სიკვდილი|სხეული|ტანი|ძვალი
💩;განავლის გროვა;განავალი|მონსტრი|ნაკელი|სასაცილო|სახე|ყაყა
🤡;ჯამბაზის სახე;სახე|ჯამბაზი
👹;კაციჭამია-გოლიათი;არსება|ზღაპარი|იაპონური|მონსტრი|სახე|ფანტაზია|ფანტასტიკა
👺;გობლინი;არსება|ზღაპარი|იაპონური|მონსტრი|სახე|ფანტაზია|ფანტასტიკა
👻;მოჩვენება;არსება|ზღაპარი|მონსტრი|სახე|ფანტაზია|ფანტასტიკა
👽;უცხოპლანეტელი;ამო|არსება|ზღაპარი|კოსმოსი|მონსტრი|სახე|ფანტაზია|ფანტასტიკა
👾;უცხოპლანეტელი მონსტრი;ამო|არსება|ზღაპარი|კოსმოსი|მონსტრი|სახე|უცხოპლანეტელი|ფანტაზია|ფანტასტიკა
🤖;რობოტის სახე;მონსტრი|რობოტი|სახე
😺;კატის მომღიმარე სახე ღია პირით;კატა|პირი|პირღია|სახე|ღია|ღიმილი
😸;კატის დაკრეჭილი სახე მომღიმარე თვალებით;დაკრეჭა|დაკრეჭილი|თვალი|კატა|სახე|ღიმილი
😹;კატის სახე სიხარულის ცრემლებით;კატა|მხიარული|სახე|სიხარული|ცრემლი|ცრემლიანი
😻;კატის მომღიმარე სახე გულის ფორმის თვალებით;გული|თვალი|კატა|სახე|სიყვარული|ღიმილი
😼;კატის სახე უხალისო ღიმილით;ირონიული|კატა|სახე|უხალისო|ღიმილი
😽;კატის კოცნის გამომხატველი სახე დახუჭული თვალებით;თვალი|კატა|კოცნა|სახე
🙀;კატის დაქანცული სახე;გაოცებული|დაქანცული|კატა|სახე
😿;კატის მტირალა სახე;კატა|მწუხარება|სახე|ტირილი|ცრემლი|ცრემლიანი
😾;კატის გაბერილი სახე;გაბერილი|კატა|სახე
🙈;არდანახვა;აკრძალვა|აკრძალულია|არა|ბოროტი|მაიმუნი|ჟესტი|სახე|ხედვა
🙉;არმოსმენა;აკრძალვა|აკრძალულია|არა|ბოროტი|მაიმუნი|მოსმენა|ჟესტი|სახე
🙊;ართქმა;აკრძალვა|აკრძალულია|არა|ბოროტი|ლაპარაკი|მაიმუნი|ჟესტი|სახე
💌;სასიყვარულო წერილი;გული|რომანტიკა|სიყვარული|ფოსტა|წერილი
💘;გული ისრით;გული|ისარი|კუპიდონი|რომანტიკა
💝;გული ლენტით;გული|ვალენტინობა|ლენტი
💖;მბრწყინავი გული;აღელვებული|ბრწყინვა|გული
💗;მზარდი გული;აღელვებული|გული|გულის პულსი|მზარდი|ნერვიული
💓;მფეთქავი გული;გული|გულისცემა|პულსი|ფეთქვა
💞;მბრუნავი გულები;გული|მბრუნავი
💕;ორი გული;გული|სიყვარული
💟;გულის დეკორაცია;გული
❣️;გულის ფორმის მსხვილი ძახილის ნიშანი;გული|ნიშანი|პუნქტუაცია|ძახილი
💔;გატეხილი გული;გატეხვა|გატეხილი|გული
❤️‍🔥;ალმოდებული გული;ალი|ამური|სიყვარული|ცეცხლი
❤️‍🩹;გულის გამთელება;გამთელება|გამოჯანსაღება|ჯანმრთელი
❤️;წითელი გული;გული
🩷;ვარდისფერი გული;გული|ვარდისფერი|მოწონება|საყვარელი|სიყვარული
🧡;ნარინჯისფერი გული;ნარინჯისფერი
💛;ყვითელი გული;გული|ყვითელი
💚;მწვანე გული;გული|მწვანე
💙;ლურჯი გული;გული|ლურჯი|ცისფერი
🩵;ღია ცისფერი გული;ლაჟვარდისფერი|ციანი|ცისფერი
💜;იასამნისფერი გული;გული|იასამნისფერი|იისფერი|მეწამული
🤎;ყავისფერი გული;გული|ყავისფერი
🖤;შავი გული;ალქაჯი|ბოროტი|გული|შავი
🩶;რუხი გული;გული|ვერცხლისფერი|ნაცრისფერი|რუხი
🤍;თეთრი გული;გული|თეთრი
💋;კოცნის კვალი;გული|კოცნა|ნიშანი|რომანტიკა|ტუჩები
💯;ასი ქულა;100|ასი|სავსე|ქულა
💢;სიბრაზის სიმბოლო;გაბრაზებული|სასაცილო|შეშლილი
🫯;საბრძოლო ღრუბელი;ბუნტი|დავა|დებატები|კამათი|უთანხმოება|ჩხუბი|ჭიდაობა
💥;შეჯახება;აფეთქება|ბახ|ბომბი|ბუმ|კომიქსი
💫;გაბრუებული;ვარსკვლავი|სასაცილო
💦;ოფლის წვეთები;ოფლი|ოფლიანი|სასაცილო
💨;მოწყვეტა;სასაცილო|სირბილი|ტირე
🕳️;ხვრელი;
💬;საუბრის ბუშტი;ბუშტი|დიალოგი|ლაპარაკი|სასაცილო
👁️‍🗨️;თვალი საუბრის ბუშტში;თვალი|მოწმე|საუბრის ბუშტი
🗨️;საუბრის მარცხენა ბუშტი;დიალოგი|ლაპარაკი
🗯️;სიბრაზის მარჯვენა ბუშტი;ბუშტი|გაბრაზებული|შეშლილი
💭;ფიქრის ბუშტი;აზრი|ბუშტი|სასაცილო
💤;zzz;სასაცილო|ძილი
👋;ხელის ქნევა;ტალღა|ქნევა|ხელი
🤚;აწეული ხელის ზურგიდან;აწეული|ხელის ზურგი
🖐️;აწეული ხელი გაშლილი თითებით;გაშლილი|თითი|სხეული|ტანი|ხელი
✋;აწეული ხელი;სხეული|ტანი|ხელი
🖖;ვულკანელების მისალმება;თითი|მისალმება|სხეული|ტანი|ხელი
🫱;მარჯვენა ხელი;მართალი|უფლება|ხელი
🫲;მარცხენა ხელი;მარცხენა|მარცხნივ|ხელი
🫳;ქვემოთ მიმართული ხელის გული;გაშვება|დაგდება|ხელი|ხელი გული ქვემოთ
🫴;ზემოთ მიმართული ხელის გული;დაჭერა|მოდი|მოხმობა|შეთავაზება
🫷;მარცხნივ მიწოლის ხელი;დაკა ხელი|დაცდა|მარცხნივ|მიწოლა|უარყოფა|შეჩერება
🫸;მარჯვნივ მიწოლის ხელი;დაკა ხელი|მარჯვნივ|მიწოლა|მოცდა|უარყოფა|შეჩერება
👌;ო’ქეის ჟესტი ხელით;კარგი|ხელი
🤌;შეჯგუფებული თითები;დაკითხვა|თითები|სარკასტული|შეჯგუფებული
🤏;ცოტა;პატარა|ცოტაოდენი
✌️;გამარჯვების გამოხატვა ხელით;v|გამარჯვება|სხეული|ტანი|ხელი
🤞;გადაჯვარედინებული თითები;გადაჯვარედინება|თითი|იღბალი|ხელი
🫰;ხელი საჩვენებელი თითით და ცერი გადაჯვარედინებული;გული|ვადამდელი|სიყვარული|ფული|ძვირი
🤟;ჟესტი „მიყვარხარ“;მიყვარხარ|ხელი
🤘;რქების ნიშანი;თითი|როკი|რქები|სხეული|ტანი|ხელი
🤙;„დამირეკე“ ჟესტი;დარეკვა|ხელი
👈;ხელის ზურგიდან მარხცნივ გაშვერილი საჩვენებელი თითი;თითი|მითითება|საჩვენებელი|სხეული|ტანი|ხელი
👉;ხელის ზურგიდან მარჯვნივ გაშვერილი საჩვენებელი თითი;თითი|მითითება|საჩვენებელი|სხეული|ტანი|ხელი|ხელის ზურგი
👆;ხელის ზურგიდან ზემოთ აშვერილი საჩვენებელი თითი;ზემოთ|თითი|მითითება|საჩვენებელი|სხეული|ტანი|ხელი|ხელის ზურგი
🖕;შუა თითი;თითი|სხეული|ტანი|ხელი
👇;ხელის ზურგიდან ქვემოთ დაშვერილი საჩვენებელი თითი;თითი|მითითება|საჩვენებელი|სხეული|ტანი|ქვემოთ|ხელი|ხელის ზურგი
☝️;ზემოთ აშვერილი საჩვენებელი თითი;ზემოთ|თითი|მითითება|საჩვენებელი|სხეული|ტანი|ხელი
🫵;საჩვენებელი თითი თავისკენ მიუთითებს;შენ|წერტილი
👍;ცერა ზემოთ;+1|ზემოთ|სხეული|ტანი|ცერა|ხელი
👎;ცერა ქვემოთ;-1|სხეული|ტანი|ქვემოთ|ცერა|ხელი
✊;აწეული მუშტი;დარტყმა|მუშტი|სხეული|ტანი|შეკრული|ხელი
👊;მოახლოებული მუშტი;დარტყმა|მუშტი|სხეული|ტანი|შეკრული|ხელი
🤛;მარცხნივ მიმართული მუშტი;მარცხნივ|მუშტი
🤜;მარჯვნივ მიმართული მუშტი;მარჯვნივ|მუშტი
👏;ხელები, რომლებიც ტაშს უკრავს;რომლებიც ტაშს უკრავს|სხეული|ტანი|ტაში|ხელები|ხელი
🙌;ხელებაწეული პიროვნება;აღნიშვნა|აწეული|ზეიმი|ჟესტი|სხეული|ტანი|ხელი
🫶;გულის ჟესტი;სიყვარული
👐;გაშლილი ხელები;სხეული|ტანი|ღია|ხელი
🤲;ზეცისკენ აღპყრობილი ხელისგულები;ლოცვა
🤝;ხელის ჩამორთმევა;გაცნობა|შეთანხმება|ჩამორთმევა|ხელი
🙏;ერთმანეთზე მიდებული ხელები;გთხოვ|ერთად|თხოვნა|ლოცვა|მადლობა|ჟესტი|სხეული|ტანი|ხელი
✍️;ხელი, რომელიც წერს;რომელიც წერს|სხეული|ტანი|წერა|ხელი
💅;ფრჩხილების ლაქი;კოსმეტიკა|მანიკური|მოვლა|სხეული|ტანი
🤳;სელფი;კამერა|ტელეფონი
💪;მოხრილი ბიცეპსები;ბიცეფსი|კუნთები|სასაცილო|სხეული|ტანი
🦾;მექანიკური მხარი;კიდურის პროთეზი|მექანიკური|მხარი|პროთეზი|შშმ
🦿;მექანიკური ფეხი;კიდურის პროთეზი|მექანიკური|პროთეზი|ფეხი|შშმ
🦵;ფეხი;კიდური|წვივი
🦶;ტერფი;კიდური
👂;ყური;სხეული|ტანი
🦻;ყური სმენის აპარატით;სმენადაქვეითებული|სმენის დარღვევის მქონე|შშმ
👃;ცხვირი;სხეული|ტანი
🧠;ტვინი;განათლებული|ჭკვიანი
🫀;გული;გულისცემა|ორგანო|პულსი|ცენტრი
🫁;ფილტვები;ამოსუნთქვა|ორგანო|სუნთქვა|ჩასუნთქვა
🦷;კბილი;დენტისტი
🦴;ძვალი;ჩონჩხი
👀;თვალები;თვალი|სახე|სხეული|ტანი
👁️;თვალი;სხეული|ტანი
👅;ენა;სხეული|ტანი
👄;პირი;სხეული|ტანი|ტუჩები
🫦;ტუჩის კბენა;არასასიამოვნო|ნერვული|ფლირტი|შეშფოთებული|შიში|წუხს
👶;ჩვილი;ბავშვი
🧒;ბავშვი;ახალგაზრდა|გენდერ-ნეიტრალური
👦;ბიჭი;ახალგაზრდა
👧;გოგო;ზოდიაქო|ქალიშვილი|ქალწული|ჰოროსკოპი
🧑;სრულწლოვანი;გენდერ-ნეიტრალური|სქესის მიუთითებლად
👱;ქერათმიანი ადამიანი;ქერა
👨;კაცი;ზრდასრული
🧔;წვეროსანი;წვერი
🧔‍♂️;კაცი: წვერი;მამაკაცი|მამაკაცი: წვერი|წვერი
🧔‍♀️;ქალი: წვერი;ქალი|წვერი
👨‍🦰;კაცი: წითელი თმა;ზრდასრული|კაცი|წითელი თმა
👨‍🦱;კაცი: ხვეული თმა;ზრდასრული|კაცი|ხვეული თმა
👨‍🦳;კაცი: თეთრი თმა;ზრდასრული|თეთრი თმა|კაცი
👨‍🦲;კაცი: მელოტი;ზრდასრული|კაცი|მელოტი
👩;ქალი;
👩‍🦰;ქალი: წითელი თმა;ქალი|წითელი თმა
🧑‍🦰;სრულწლოვანი: წითელი თმა;გენდერ-ნეიტრალური|სრულწლოვანი|სქესის მიუთითებლად|წითელი თმა
👩‍🦱;ქალი: ხვეული თმა;ქალი|ხვეული თმა
🧑‍🦱;სრულწლოვანი: ხვეული თმა;გენდერ-ნეიტრალური|სრულწლოვანი|სქესის მიუთითებლად|ხვეული თმა
👩‍🦳;ქალი: თეთრი თმა;თეთრი თმა|ქალი
🧑‍🦳;სრულწლოვანი: თეთრი თმა;გენდერ-ნეიტრალური|თეთრი თმა|სრულწლოვანი|სქესის მიუთითებლად
👩‍🦲;ქალი: მელოტი;მელოტი|ქალი
🧑‍🦲;სრულწლოვანი: მელოტი;გენდერ-ნეიტრალური|მელოტი|სრულწლოვანი|სქესის მიუთითებლად
👱‍♀️;ქერათმიანი ქალი;ქალი|ქერა
👱‍♂️;ქერათმიანი კაცი;კაცი|ქერა
🧓;ჭარმაგი;გენდერ-ნეიტრალური
👴;მოხუცი კაცი;კაცი|მოხუცი
👵;მოხუცი ქალი;მოხუცი|ქალი
🙍;შეჭმუხნილი პიროვნება;ჟესტი|შეკრული|შეჭმუხნილი
🙍‍♂️;შეჭმუხნილი კაცი;კაცი|ჟესტი|შეჭმუხნილი
🙍‍♀️;შეჭმუხნილი ქალი;ჟესტი|ქალი|შეჭმუხნილი
🙎;გაბერილი პიროვნება;გაბერილი|ჟესტი
🙎‍♂️;გაბუტული კაცი;გაბუტული|კაცი|ჟესტი
🙎‍♀️;გაბუტული ქალი;გაბუტული|ჟესტი|ქალი
🙅;ჟესტი „არა“;აკრძალვა|აკრძალულია|არა|ჟესტი|ხელი
🙅‍♂️;კაცი ჟესტით „არა“;აკრძალულია|არა|კაცი|ჟესტი
🙅‍♀️;ქალი ჟესტით „არა“;აკრძალულია|არა|ჟესტი|ქალი
🙆;ჟესტი „კარგი“;კარგი|ჟესტი|ხელი
🙆‍♂️;კაცი ჟესტით „კარგი“;ok|კარგი|კაცი|ჟესტი
🙆‍♀️;ქალი ჟესტით „კარგი“;ok|კარგი|ჟესტი|ქალი
💁;საინფორმაციო დახლის თანამშრომელი;დახმარება|ინფორმაცია|ხელი
💁‍♂️;კაცი დახრილი ხელით;დახრილ ხელი|კაცი
💁‍♀️;ქალი დახრილი ხელით;დახრილ ხელი|ქალი
🙋;ბედნიერი ხელაწეული პიროვნება;აწეული|ბედნიერი|ჟესტი|ხელი
🙋‍♂️;ხელაწეული კაცი;კაცი|ჟესტი|ხელაწეული
🙋‍♀️;ხელაწეული ქალი;ჟესტი|ქალი|ხელაწეული
🧏;ყრუ ადამიანი;სმენა|სმენადაქვეითებული|ყური|შშმ
🧏‍♂️;ყრუ კაცი;კაცი|სმენადაქვეითებული|ყრუ
🧏‍♀️;ყრუ ქალი;სმენადაქვეითებული|ქალი|ყრუ
🙇;თავდახრილი პიროვნება;ბოდიში|დახრა|პატიება|ჟესტი
🙇‍♂️;თავდახრილი კაცი;თავდახრილი|კაცი
🙇‍♀️;თავდახრილი ქალი;თავდახრილი|ქალი
🤦;სახეზე ხელის აფარება;გაღიზიანება|სახე|ურწმუნოება|ხელი
🤦‍♂️;სახეზე ხელაფარებული კაცი;კაცი|ჟესტი|ხელის აფარება
🤦‍♀️;სახეზე ხელაფარებული ქალი;ჟესტი|ქალი|ხელის აფარება
🤷;მხრების აჩეჩვა;გულგრილობა|ეჭვი|უცოდინრობა
🤷‍♂️;კაცი მხრებს იჩეჩავს;კაცი|მხრების აჩეჩვა
🤷‍♀️;ქალი მხრებს იჩეჩავს;მხრების აჩეჩვა|ქალი
🧑‍⚕️;ჯანდაცვის თანამშრომელი;ექთანი|ექიმი|თერაპევტი|ჯანდაცვა
👨‍⚕️;ექიმი კაცი;ექთანი|ექიმი|თერაპევტი|კაცი
👩‍⚕️;ექიმი ქალი;ექთანი|ექიმი|თერაპევტი|ქალი
🧑‍🎓;სტუდენტი;გამოსაშვები|დიპლომი|კურსდამთავრებული|მოსწავლე
👨‍🎓;სტუდენტი კაცი;კაცი|მეცნიერი|სტუდენტი
👩‍🎓;სტუდენტი ქალი;მეცნიერი|სტუდენტი|ქალი
🧑‍🏫;მასწავლებელი;ლექტორი|პროფესორი|ტუტორი
👨‍🏫;მასწავლებელი კაცი;ინსტრუქტორი|კაცი|მასწავლებელი|მეცნიერი|პროფესორი
👩‍🏫;მასწავლებელი ქალი;ინსტრუქტორი|მასწავლებელი|მეცნიერი|პროფესორი|ქალი
🧑‍⚖️;მოსამართლე;სასწორი
👨‍⚖️;მოსამართლე კაცი;კაცი|მოსამართლე
👩‍⚖️;მოსამართლე ქალი;მოსამართლე|ქალი
🧑‍🌾;ფერმერი;მებაღე|მიწათმოქმედი|ფერმა
👨‍🌾;ფერმერი კაცი;კაცი|მებაღე|ფერმერი
👩‍🌾;ფერმერი ქალი;მებაღე|ფერმერი|ქალი
🧑‍🍳;მზარეული;შეფი|შეფმზარეული
👨‍🍳;მზარეული კაცი;კაცი|მზარეული
👩‍🍳;მზარეული ქალი;მზარეული|ქალი
🧑‍🔧;ხელოსანი;ელექტრიკოსი|ელექტროტექნიკოსი|სანტექნიკი
👨‍🔧;მექანიკოსი კაცი;ელექტრიკი|კაცი|მექანიკოსი
👩‍🔧;მექანიკოსი ქალი;ელექტრიკი|მექანიკოსი|ქალი
🧑‍🏭;ქარხნის მუშა;აწყობა|ინდუსტრია|მუშა|ქარხანა
👨‍🏭;ქარხნის მუშაკი კაცი;ინდუსტრია|კაცი|ქარხანა|ქარხნის მუშაკი
👩‍🏭;ქარხნის მუშაკი ქალი;ინდუსტრია|ქალი|ქარხანა|ქარხნის მუშაკი
🧑‍💼;ოფისის თანამშრომელი;არქიტექტორი|ბიზნესი|დირექტორი|მენეჯერი
👨‍💼;თანამშრომელი კაცი;არქიტექტურა|ბიზნესი|კაცი|მენეჯერი|ოფისი|სამსახური
👩‍💼;თანამშრომელი ქალი;არქიტექტურა|ბიზნესი|მენეჯერი|ოფისი|სამსახური|ქალი
🧑‍🔬;მეცნიერი;ბიოლოგი|ინჟინერი|მეაფთიაქე|ფიზიკოსი|ქიმიკოსი
👨‍🔬;მეცნიერი კაცი;ბილოგი|კაცი|მათემატიკოსი|მეცნიერი|ფიზიკოსი|ქიმიკოსი
👩‍🔬;მეცნიერი ქალი;ბილოგი|მათემატიკოსი|მეცნიერი|ფიზიკოსი|ქალი|ქიმიკოსი
🧑‍💻;ტექნოლოგი;გამომგონებელი|დეველოპერი|კოდერი|პროგრამისტი|ტექნიკოსი
👨‍💻;პროგრამისტი კაცი;აიტიშნიკი|ბიჭი|დეველოპერი|კაცი|კოდერი|ლეპტოპი|პროგრამისტი
👩‍💻;პროგრამისტი ქალი;აიტიშნიკი|გოგო|დეველოპერი|კოდერი|ლეპტოპი|პროგრამისტი|ქალი
🧑‍🎤;მომღერალი;ვარსკვლავი|მსახიობი|როკი|წამყვანი
👨‍🎤;მომღერალი კაცი;ბიჭი|კაცი|მომღერალი|მსახიობი|როკერი
👩‍🎤;მომღერალი ქალი;გოგო|მომღერალი|მსახიობი|როკერი|ქალი
